month,tas,year,country,iso3,season
Jan,-24.0,1960,Canada,CAN,winter
Feb,-20.9,1960,Canada,CAN,winter
Mar,-21.5,1960,Canada,CAN,spring
Apr,-10.4,1960,Canada,CAN,spring
May,0.7,1960,Canada,CAN,spring
Jun,7.7,1960,Canada,CAN,summer
Jul,11.4,1960,Canada,CAN,summer
Aug,9.9,1960,Canada,CAN,summer
Sep,3.8,1960,Canada,CAN,autumn
Oct,-3.7,1960,Canada,CAN,autumn
Nov,-14.9,1960,Canada,CAN,autumn
Dec,-19.6,1960,Canada,CAN,winter
Jan,-24.5,1961,Canada,CAN,winter
Feb,-23.0,1961,Canada,CAN,winter
Mar,-20.6,1961,Canada,CAN,spring
Apr,-10.4,1961,Canada,CAN,spring
May,-1.3,1961,Canada,CAN,spring
Jun,7.9,1961,Canada,CAN,summer
Jul,11.7,1961,Canada,CAN,summer
Aug,9.9,1961,Canada,CAN,summer
Sep,2.1,1961,Canada,CAN,autumn
Oct,-5.8,1961,Canada,CAN,autumn
Nov,-14.4,1961,Canada,CAN,autumn
Dec,-22.7,1961,Canada,CAN,winter
Jan,-25.3,1962,Canada,CAN,winter
Feb,-26.5,1962,Canada,CAN,winter
Mar,-17.7,1962,Canada,CAN,spring
Apr,-10.6,1962,Canada,CAN,spring
May,-1.8,1962,Canada,CAN,spring
Jun,7.4,1962,Canada,CAN,summer
Jul,10.9,1962,Canada,CAN,summer
Aug,9.7,1962,Canada,CAN,summer
Sep,3.5,1962,Canada,CAN,autumn
Oct,-3.2,1962,Canada,CAN,autumn
Nov,-13.5,1962,Canada,CAN,autumn
Dec,-20.0,1962,Canada,CAN,winter
Jan,-25.3,1963,Canada,CAN,winter
Feb,-22.3,1963,Canada,CAN,winter
Mar,-20.8,1963,Canada,CAN,spring
Apr,-8.6,1963,Canada,CAN,spring
May,-1.2,1963,Canada,CAN,spring
Jun,6.7,1963,Canada,CAN,summer
Jul,11.1,1963,Canada,CAN,summer
Aug,9.7,1963,Canada,CAN,summer
Sep,3.3,1963,Canada,CAN,autumn
Oct,-2.5,1963,Canada,CAN,autumn
Nov,-13.6,1963,Canada,CAN,autumn
Dec,-20.8,1963,Canada,CAN,winter
Jan,-24.0,1964,Canada,CAN,winter
Feb,-21.2,1964,Canada,CAN,winter
Mar,-23.4,1964,Canada,CAN,spring
Apr,-11.6,1964,Canada,CAN,spring
May,-0.6,1964,Canada,CAN,spring
Jun,6.4,1964,Canada,CAN,summer
Jul,10.8,1964,Canada,CAN,summer
Aug,8.8,1964,Canada,CAN,summer
Sep,2.7,1964,Canada,CAN,autumn
Oct,-4.4,1964,Canada,CAN,autumn
Nov,-14.4,1964,Canada,CAN,autumn
Dec,-24.2,1964,Canada,CAN,winter
Jan,-25.8,1965,Canada,CAN,winter
Feb,-26.1,1965,Canada,CAN,winter
Mar,-19.0,1965,Canada,CAN,spring
Apr,-10.0,1965,Canada,CAN,spring
May,-0.1,1965,Canada,CAN,spring
Jun,6.2,1965,Canada,CAN,summer
Jul,10.3,1965,Canada,CAN,summer
Aug,8.9,1965,Canada,CAN,summer
Sep,1.3,1965,Canada,CAN,autumn
Oct,-5.0,1965,Canada,CAN,autumn
Nov,-14.9,1965,Canada,CAN,autumn
Dec,-20.7,1965,Canada,CAN,winter
Jan,-28.8,1966,Canada,CAN,winter
Feb,-22.7,1966,Canada,CAN,winter
Mar,-18.1,1966,Canada,CAN,spring
Apr,-11.6,1966,Canada,CAN,spring
May,-0.4,1966,Canada,CAN,spring
Jun,7.1,1966,Canada,CAN,summer
Jul,11.2,1966,Canada,CAN,summer
Aug,9.7,1966,Canada,CAN,summer
Sep,4.6,1966,Canada,CAN,autumn
Oct,-5.2,1966,Canada,CAN,autumn
Nov,-17.4,1966,Canada,CAN,autumn
Dec,-20.7,1966,Canada,CAN,winter
Jan,-24.7,1967,Canada,CAN,winter
Feb,-26.2,1967,Canada,CAN,winter
Mar,-21.4,1967,Canada,CAN,spring
Apr,-12.3,1967,Canada,CAN,spring
May,-0.8,1967,Canada,CAN,spring
Jun,6.6,1967,Canada,CAN,summer
Jul,10.6,1967,Canada,CAN,summer
Aug,9.7,1967,Canada,CAN,summer
Sep,4.2,1967,Canada,CAN,autumn
Oct,-4.1,1967,Canada,CAN,autumn
Nov,-14.6,1967,Canada,CAN,autumn
Dec,-19.5,1967,Canada,CAN,winter
Jan,-26.0,1968,Canada,CAN,winter
Feb,-23.0,1968,Canada,CAN,winter
Mar,-16.6,1968,Canada,CAN,spring
Apr,-9.9,1968,Canada,CAN,spring
May,-0.8,1968,Canada,CAN,spring
Jun,6.5,1968,Canada,CAN,summer
Jul,10.0,1968,Canada,CAN,summer
Aug,8.1,1968,Canada,CAN,summer
Sep,4.3,1968,Canada,CAN,autumn
Oct,-2.7,1968,Canada,CAN,autumn
Nov,-13.5,1968,Canada,CAN,autumn
Dec,-22.5,1968,Canada,CAN,winter
Jan,-27.1,1969,Canada,CAN,winter
Feb,-21.1,1969,Canada,CAN,winter
Mar,-19.2,1969,Canada,CAN,spring
Apr,-9.2,1969,Canada,CAN,spring
May,-1.1,1969,Canada,CAN,spring
Jun,5.9,1969,Canada,CAN,summer
Jul,10.6,1969,Canada,CAN,summer
Aug,9.8,1969,Canada,CAN,summer
Sep,3.0,1969,Canada,CAN,autumn
Oct,-4.4,1969,Canada,CAN,autumn
Nov,-13.6,1969,Canada,CAN,autumn
Dec,-17.2,1969,Canada,CAN,winter
Jan,-25.4,1970,Canada,CAN,winter
Feb,-23.0,1970,Canada,CAN,winter
Mar,-18.0,1970,Canada,CAN,spring
Apr,-10.6,1970,Canada,CAN,spring
May,-1.8,1970,Canada,CAN,spring
Jun,7.5,1970,Canada,CAN,summer
Jul,11.3,1970,Canada,CAN,summer
Aug,9.8,1970,Canada,CAN,summer
Sep,3.0,1970,Canada,CAN,autumn
Oct,-4.1,1970,Canada,CAN,autumn
Nov,-14.4,1970,Canada,CAN,autumn
Dec,-24.5,1970,Canada,CAN,winter
Jan,-26.6,1971,Canada,CAN,winter
Feb,-22.7,1971,Canada,CAN,winter
Mar,-18.5,1971,Canada,CAN,spring
Apr,-9.4,1971,Canada,CAN,spring
May,0.2,1971,Canada,CAN,spring
Jun,7.7,1971,Canada,CAN,summer
Jul,10.9,1971,Canada,CAN,summer
Aug,9.7,1971,Canada,CAN,summer
Sep,3.7,1971,Canada,CAN,autumn
Oct,-3.5,1971,Canada,CAN,autumn
Nov,-15.1,1971,Canada,CAN,autumn
Dec,-24.7,1971,Canada,CAN,winter
Jan,-28.6,1972,Canada,CAN,winter
Feb,-27.7,1972,Canada,CAN,winter
Mar,-19.9,1972,Canada,CAN,spring
Apr,-12.2,1972,Canada,CAN,spring
May,-1.1,1972,Canada,CAN,spring
Jun,6.3,1972,Canada,CAN,summer
Jul,9.6,1972,Canada,CAN,summer
Aug,9.3,1972,Canada,CAN,summer
Sep,1.0,1972,Canada,CAN,autumn
Oct,-6.9,1972,Canada,CAN,autumn
Nov,-15.2,1972,Canada,CAN,autumn
Dec,-25.2,1972,Canada,CAN,winter
Jan,-23.5,1973,Canada,CAN,winter
Feb,-24.6,1973,Canada,CAN,winter
Mar,-17.4,1973,Canada,CAN,spring
Apr,-10.4,1973,Canada,CAN,spring
May,0.7,1973,Canada,CAN,spring
Jun,7.8,1973,Canada,CAN,summer
Jul,11.6,1973,Canada,CAN,summer
Aug,10.4,1973,Canada,CAN,summer
Sep,4.1,1973,Canada,CAN,autumn
Oct,-2.8,1973,Canada,CAN,autumn
Nov,-15.4,1973,Canada,CAN,autumn
Dec,-20.8,1973,Canada,CAN,winter
Jan,-27.7,1974,Canada,CAN,winter
Feb,-24.3,1974,Canada,CAN,winter
Mar,-22.0,1974,Canada,CAN,spring
Apr,-11.5,1974,Canada,CAN,spring
May,-1.4,1974,Canada,CAN,spring
Jun,7.2,1974,Canada,CAN,summer
Jul,11.1,1974,Canada,CAN,summer
Aug,8.8,1974,Canada,CAN,summer
Sep,2.0,1974,Canada,CAN,autumn
Oct,-6.1,1974,Canada,CAN,autumn
Nov,-13.1,1974,Canada,CAN,autumn
Dec,-19.6,1974,Canada,CAN,winter
Jan,-26.7,1975,Canada,CAN,winter
Feb,-23.8,1975,Canada,CAN,winter
Mar,-20.6,1975,Canada,CAN,spring
Apr,-10.1,1975,Canada,CAN,spring
May,0.8,1975,Canada,CAN,spring
Jun,8.4,1975,Canada,CAN,summer
Jul,12.0,1975,Canada,CAN,summer
Aug,9.3,1975,Canada,CAN,summer
Sep,3.4,1975,Canada,CAN,autumn
Oct,-4.5,1975,Canada,CAN,autumn
Nov,-15.0,1975,Canada,CAN,autumn
Dec,-23.0,1975,Canada,CAN,winter
Jan,-24.2,1976,Canada,CAN,winter
Feb,-23.8,1976,Canada,CAN,winter
Mar,-20.4,1976,Canada,CAN,spring
Apr,-7.6,1976,Canada,CAN,spring
May,0.1,1976,Canada,CAN,spring
Jun,7.0,1976,Canada,CAN,summer
Jul,10.9,1976,Canada,CAN,summer
Aug,9.4,1976,Canada,CAN,summer
Sep,4.3,1976,Canada,CAN,autumn
Oct,-5.6,1976,Canada,CAN,autumn
Nov,-13.6,1976,Canada,CAN,autumn
Dec,-22.6,1976,Canada,CAN,winter
Jan,-21.5,1977,Canada,CAN,winter
Feb,-19.9,1977,Canada,CAN,winter
Mar,-16.7,1977,Canada,CAN,spring
Apr,-8.2,1977,Canada,CAN,spring
May,1.1,1977,Canada,CAN,spring
Jun,7.7,1977,Canada,CAN,summer
Jul,10.5,1977,Canada,CAN,summer
Aug,8.9,1977,Canada,CAN,summer
Sep,3.7,1977,Canada,CAN,autumn
Oct,-3.3,1977,Canada,CAN,autumn
Nov,-14.2,1977,Canada,CAN,autumn
Dec,-24.0,1977,Canada,CAN,winter
Jan,-24.8,1978,Canada,CAN,winter
Feb,-20.8,1978,Canada,CAN,winter
Mar,-19.8,1978,Canada,CAN,spring
Apr,-10.6,1978,Canada,CAN,spring
May,-0.9,1978,Canada,CAN,spring
Jun,5.9,1978,Canada,CAN,summer
Jul,10.1,1978,Canada,CAN,summer
Aug,8.5,1978,Canada,CAN,summer
Sep,3.1,1978,Canada,CAN,autumn
Oct,-6.5,1978,Canada,CAN,autumn
Nov,-16.8,1978,Canada,CAN,autumn
Dec,-20.7,1978,Canada,CAN,winter
Jan,-23.9,1979,Canada,CAN,winter
Feb,-30.4,1979,Canada,CAN,winter
Mar,-19.1,1979,Canada,CAN,spring
Apr,-10.4,1979,Canada,CAN,spring
May,-0.5,1979,Canada,CAN,spring
Jun,6.5,1979,Canada,CAN,summer
Jul,11.5,1979,Canada,CAN,summer
Aug,8.9,1979,Canada,CAN,summer
Sep,3.6,1979,Canada,CAN,autumn
Oct,-4.4,1979,Canada,CAN,autumn
Nov,-12.5,1979,Canada,CAN,autumn
Dec,-19.7,1979,Canada,CAN,winter
Jan,-24.2,1980,Canada,CAN,winter
Feb,-20.5,1980,Canada,CAN,winter
Mar,-18.3,1980,Canada,CAN,spring
Apr,-8.3,1980,Canada,CAN,spring
May,1.5,1980,Canada,CAN,spring
Jun,7.1,1980,Canada,CAN,summer
Jul,10.6,1980,Canada,CAN,summer
Aug,9.6,1980,Canada,CAN,summer
Sep,2.1,1980,Canada,CAN,autumn
Oct,-3.6,1980,Canada,CAN,autumn
Nov,-12.8,1980,Canada,CAN,autumn
Dec,-24.4,1980,Canada,CAN,winter
Jan,-18.7,1981,Canada,CAN,winter
Feb,-19.7,1981,Canada,CAN,winter
Mar,-14.4,1981,Canada,CAN,spring
Apr,-10.6,1981,Canada,CAN,spring
May,0.7,1981,Canada,CAN,spring
Jun,6.9,1981,Canada,CAN,summer
Jul,11.4,1981,Canada,CAN,summer
Aug,10.7,1981,Canada,CAN,summer
Sep,4.1,1981,Canada,CAN,autumn
Oct,-4.0,1981,Canada,CAN,autumn
Nov,-11.0,1981,Canada,CAN,autumn
Dec,-19.0,1981,Canada,CAN,winter
Jan,-28.8,1982,Canada,CAN,winter
Feb,-24.8,1982,Canada,CAN,winter
Mar,-20.2,1982,Canada,CAN,spring
Apr,-12.0,1982,Canada,CAN,spring
May,-0.8,1982,Canada,CAN,spring
Jun,7.0,1982,Canada,CAN,summer
Jul,11.2,1982,Canada,CAN,summer
Aug,8.3,1982,Canada,CAN,summer
Sep,3.5,1982,Canada,CAN,autumn
Oct,-4.4,1982,Canada,CAN,autumn
Nov,-17.0,1982,Canada,CAN,autumn
Dec,-22.0,1982,Canada,CAN,winter
Jan,-24.1,1983,Canada,CAN,winter
Feb,-23.4,1983,Canada,CAN,winter
Mar,-19.1,1983,Canada,CAN,spring
Apr,-9.9,1983,Canada,CAN,spring
May,-2.8,1983,Canada,CAN,spring
Jun,7.7,1983,Canada,CAN,summer
Jul,11.1,1983,Canada,CAN,summer
Aug,10.2,1983,Canada,CAN,summer
Sep,3.8,1983,Canada,CAN,autumn
Oct,-4.5,1983,Canada,CAN,autumn
Nov,-12.1,1983,Canada,CAN,autumn
Dec,-24.3,1983,Canada,CAN,winter
Jan,-25.0,1984,Canada,CAN,winter
Feb,-20.7,1984,Canada,CAN,winter
Mar,-18.5,1984,Canada,CAN,spring
Apr,-7.9,1984,Canada,CAN,spring
May,-0.1,1984,Canada,CAN,spring
Jun,7.7,1984,Canada,CAN,summer
Jul,11.6,1984,Canada,CAN,summer
Aug,10.1,1984,Canada,CAN,summer
Sep,2.1,1984,Canada,CAN,autumn
Oct,-4.9,1984,Canada,CAN,autumn
Nov,-15.6,1984,Canada,CAN,autumn
Dec,-24.7,1984,Canada,CAN,winter
Jan,-21.3,1985,Canada,CAN,winter
Feb,-25.4,1985,Canada,CAN,winter
Mar,-18.0,1985,Canada,CAN,spring
Apr,-11.1,1985,Canada,CAN,spring
May,0.6,1985,Canada,CAN,spring
Jun,7.3,1985,Canada,CAN,summer
Jul,10.8,1985,Canada,CAN,summer
Aug,8.7,1985,Canada,CAN,summer
Sep,3.5,1985,Canada,CAN,autumn
Oct,-5.1,1985,Canada,CAN,autumn
Nov,-17.8,1985,Canada,CAN,autumn
Dec,-19.1,1985,Canada,CAN,winter
Jan,-22.4,1986,Canada,CAN,winter
Feb,-21.8,1986,Canada,CAN,winter
Mar,-18.5,1986,Canada,CAN,spring
Apr,-10.1,1986,Canada,CAN,spring
May,0.4,1986,Canada,CAN,spring
Jun,6.2,1986,Canada,CAN,summer
Jul,10.4,1986,Canada,CAN,summer
Aug,9.0,1986,Canada,CAN,summer
Sep,2.6,1986,Canada,CAN,autumn
Oct,-5.7,1986,Canada,CAN,autumn
Nov,-18.1,1986,Canada,CAN,autumn
Dec,-18.9,1986,Canada,CAN,winter
Jan,-20.9,1987,Canada,CAN,winter
Feb,-20.9,1987,Canada,CAN,winter
Mar,-18.1,1987,Canada,CAN,spring
Apr,-8.5,1987,Canada,CAN,spring
May,-0.7,1987,Canada,CAN,spring
Jun,7.6,1987,Canada,CAN,summer
Jul,11.2,1987,Canada,CAN,summer
Aug,8.6,1987,Canada,CAN,summer
Sep,5.0,1987,Canada,CAN,autumn
Oct,-4.0,1987,Canada,CAN,autumn
Nov,-12.9,1987,Canada,CAN,autumn
Dec,-17.0,1987,Canada,CAN,winter
Jan,-24.6,1988,Canada,CAN,winter
Feb,-22.9,1988,Canada,CAN,winter
Mar,-16.0,1988,Canada,CAN,spring
Apr,-7.6,1988,Canada,CAN,spring
May,0.4,1988,Canada,CAN,spring
Jun,8.0,1988,Canada,CAN,summer
Jul,11.5,1988,Canada,CAN,summer
Aug,10.1,1988,Canada,CAN,summer
Sep,4.0,1988,Canada,CAN,autumn
Oct,-3.8,1988,Canada,CAN,autumn
Nov,-14.7,1988,Canada,CAN,autumn
Dec,-21.2,1988,Canada,CAN,winter
Jan,-25.3,1989,Canada,CAN,winter
Feb,-23.6,1989,Canada,CAN,winter
Mar,-21.7,1989,Canada,CAN,spring
Apr,-9.0,1989,Canada,CAN,spring
May,-0.8,1989,Canada,CAN,spring
Jun,8.0,1989,Canada,CAN,summer
Jul,12.1,1989,Canada,CAN,summer
Aug,10.4,1989,Canada,CAN,summer
Sep,3.9,1989,Canada,CAN,autumn
Oct,-4.6,1989,Canada,CAN,autumn
Nov,-16.7,1989,Canada,CAN,autumn
Dec,-22.4,1989,Canada,CAN,winter
Jan,-23.7,1990,Canada,CAN,winter
Feb,-26.5,1990,Canada,CAN,winter
Mar,-15.9,1990,Canada,CAN,spring
Apr,-9.1,1990,Canada,CAN,spring
May,-0.3,1990,Canada,CAN,spring
Jun,7.6,1990,Canada,CAN,summer
Jul,11.6,1990,Canada,CAN,summer
Aug,9.6,1990,Canada,CAN,summer
Sep,3.9,1990,Canada,CAN,autumn
Oct,-5.8,1990,Canada,CAN,autumn
Nov,-16.5,1990,Canada,CAN,autumn
Dec,-24.3,1990,Canada,CAN,winter
Jan,-26.2,1991,Canada,CAN,winter
Feb,-21.0,1991,Canada,CAN,winter
Mar,-18.2,1991,Canada,CAN,spring
Apr,-8.6,1991,Canada,CAN,spring
May,0.8,1991,Canada,CAN,spring
Jun,8.2,1991,Canada,CAN,summer
Jul,11.4,1991,Canada,CAN,summer
Aug,10.4,1991,Canada,CAN,summer
Sep,3.5,1991,Canada,CAN,autumn
Oct,-5.9,1991,Canada,CAN,autumn
Nov,-15.0,1991,Canada,CAN,autumn
Dec,-21.1,1991,Canada,CAN,winter
Jan,-22.2,1992,Canada,CAN,winter
Feb,-23.2,1992,Canada,CAN,winter
Mar,-16.5,1992,Canada,CAN,spring
Apr,-10.9,1992,Canada,CAN,spring
May,-1.3,1992,Canada,CAN,spring
Jun,6.4,1992,Canada,CAN,summer
Jul,9.8,1992,Canada,CAN,summer
Aug,8.9,1992,Canada,CAN,summer
Sep,2.1,1992,Canada,CAN,autumn
Oct,-4.8,1992,Canada,CAN,autumn
Nov,-13.8,1992,Canada,CAN,autumn
Dec,-22.3,1992,Canada,CAN,winter
Jan,-23.9,1993,Canada,CAN,winter
Feb,-23.6,1993,Canada,CAN,winter
Mar,-16.9,1993,Canada,CAN,spring
Apr,-9.1,1993,Canada,CAN,spring
May,0.8,1993,Canada,CAN,spring
Jun,7.3,1993,Canada,CAN,summer
Jul,10.9,1993,Canada,CAN,summer
Aug,9.4,1993,Canada,CAN,summer
Sep,2.9,1993,Canada,CAN,autumn
Oct,-4.3,1993,Canada,CAN,autumn
Nov,-15.4,1993,Canada,CAN,autumn
Dec,-21.1,1993,Canada,CAN,winter
Jan,-27.0,1994,Canada,CAN,winter
Feb,-26.8,1994,Canada,CAN,winter
Mar,-16.9,1994,Canada,CAN,spring
Apr,-9.7,1994,Canada,CAN,spring
May,0.7,1994,Canada,CAN,spring
Jun,8.4,1994,Canada,CAN,summer
Jul,12.0,1994,Canada,CAN,summer
Aug,9.9,1994,Canada,CAN,summer
Sep,4.5,1994,Canada,CAN,autumn
Oct,-2.6,1994,Canada,CAN,autumn
