month,tas,year,country,iso3,season
Jan,-9.2,1960,China,CHN,winter
Feb,-3.6,1960,China,CHN,winter
Mar,0.9,1960,China,CHN,spring
Apr,6.6,1960,China,CHN,spring
May,12.0,1960,China,CHN,spring
Jun,17.3,1960,China,CHN,summer
Jul,19.6,1960,China,CHN,summer
Aug,18.6,1960,China,CHN,summer
Sep,14.5,1960,China,CHN,autumn
Oct,6.8,1960,China,CHN,autumn
Nov,-1.0,1960,China,CHN,autumn
Dec,-7.3,1960,China,CHN,winter
Jan,-9.0,1961,China,CHN,winter
Feb,-5.9,1961,China,CHN,winter
Mar,0.6,1961,China,CHN,spring
Apr,8.5,1961,China,CHN,spring
May,12.9,1961,China,CHN,spring
Jun,17.8,1961,China,CHN,summer
Jul,20.0,1961,China,CHN,summer
Aug,18.6,1961,China,CHN,summer
Sep,14.1,1961,China,CHN,autumn
Oct,7.3,1961,China,CHN,autumn
Nov,-0.1,1961,China,CHN,autumn
Dec,-7.1,1961,China,CHN,winter
Jan,-9.3,1962,China,CHN,winter
Feb,-5.1,1962,China,CHN,winter
Mar,-0.1,1962,China,CHN,spring
Apr,7.0,1962,China,CHN,spring
May,13.0,1962,China,CHN,spring
Jun,17.1,1962,China,CHN,summer
Jul,19.7,1962,China,CHN,summer
Aug,18.6,1962,China,CHN,summer
Sep,14.3,1962,China,CHN,autumn
Oct,7.1,1962,China,CHN,autumn
Nov,-1.8,1962,China,CHN,autumn
Dec,-6.3,1962,China,CHN,winter
Jan,-9.5,1963,China,CHN,winter
Feb,-5.5,1963,China,CHN,winter
Mar,1.7,1963,China,CHN,spring
Apr,6.9,1963,China,CHN,spring
May,13.5,1963,China,CHN,spring
Jun,17.0,1963,China,CHN,summer
Jul,19.4,1963,China,CHN,summer
Aug,18.9,1963,China,CHN,summer
Sep,14.3,1963,China,CHN,autumn
Oct,7.0,1963,China,CHN,autumn
Nov,-0.2,1963,China,CHN,autumn
Dec,-6.6,1963,China,CHN,winter
Jan,-8.7,1964,China,CHN,winter
Feb,-8.8,1964,China,CHN,winter
Mar,0.7,1964,China,CHN,spring
Apr,8.5,1964,China,CHN,spring
May,12.9,1964,China,CHN,spring
Jun,16.7,1964,China,CHN,summer
Jul,19.2,1964,China,CHN,summer
Aug,18.6,1964,China,CHN,summer
Sep,13.8,1964,China,CHN,autumn
Oct,7.3,1964,China,CHN,autumn
Nov,-0.4,1964,China,CHN,autumn
Dec,-6.9,1964,China,CHN,winter
Jan,-7.8,1965,China,CHN,winter
Feb,-6.0,1965,China,CHN,winter
Mar,-0.4,1965,China,CHN,spring
Apr,7.1,1965,China,CHN,spring
May,13.3,1965,China,CHN,spring
Jun,17.2,1965,China,CHN,summer
Jul,19.2,1965,China,CHN,summer
Aug,17.8,1965,China,CHN,summer
Sep,13.6,1965,China,CHN,autumn
Oct,7.7,1965,China,CHN,autumn
Nov,-0.4,1965,China,CHN,autumn
Dec,-7.8,1965,China,CHN,winter
Jan,-8.1,1966,China,CHN,winter
Feb,-4.3,1966,China,CHN,winter
Mar,1.0,1966,China,CHN,spring
Apr,6.9,1966,China,CHN,spring
May,12.8,1966,China,CHN,spring
Jun,17.1,1966,China,CHN,summer
Jul,19.3,1966,China,CHN,summer
Aug,19.1,1966,China,CHN,summer
Sep,13.5,1966,China,CHN,autumn
Oct,7.2,1966,China,CHN,autumn
Nov,-1.2,1966,China,CHN,autumn
Dec,-8.1,1966,China,CHN,winter
Jan,-9.4,1967,China,CHN,winter
Feb,-6.7,1967,China,CHN,winter
Mar,0.3,1967,China,CHN,spring
Apr,7.3,1967,China,CHN,spring
May,14.0,1967,China,CHN,spring
Jun,16.9,1967,China,CHN,summer
Jul,19.5,1967,China,CHN,summer
Aug,18.9,1967,China,CHN,summer
Sep,13.3,1967,China,CHN,autumn
Oct,7.1,1967,China,CHN,autumn
Nov,-2.5,1967,China,CHN,autumn
Dec,-8.7,1967,China,CHN,winter
Jan,-9.1,1968,China,CHN,winter
Feb,-8.4,1968,China,CHN,winter
Mar,1.4,1968,China,CHN,spring
Apr,7.3,1968,China,CHN,spring
May,12.9,1968,China,CHN,spring
Jun,17.2,1968,China,CHN,summer
Jul,19.4,1968,China,CHN,summer
Aug,17.9,1968,China,CHN,summer
Sep,13.6,1968,China,CHN,autumn
Oct,6.4,1968,China,CHN,autumn
Nov,-0.1,1968,China,CHN,autumn
Dec,-5.3,1968,China,CHN,winter
Jan,-10.0,1969,China,CHN,winter
Feb,-8.6,1969,China,CHN,winter
Mar,0.2,1969,China,CHN,spring
Apr,7.5,1969,China,CHN,spring
May,13.5,1969,China,CHN,spring
Jun,16.6,1969,China,CHN,summer
Jul,19.3,1969,China,CHN,summer
Aug,18.1,1969,China,CHN,summer
Sep,13.7,1969,China,CHN,autumn
Oct,7.6,1969,China,CHN,autumn
Nov,-1.5,1969,China,CHN,autumn
Dec,-7.2,1969,China,CHN,winter
Jan,-9.5,1970,China,CHN,winter
Feb,-5.4,1970,China,CHN,winter
Mar,-2.2,1970,China,CHN,spring
Apr,7.1,1970,China,CHN,spring
May,13.2,1970,China,CHN,spring
Jun,16.7,1970,China,CHN,summer
Jul,19.4,1970,China,CHN,summer
Aug,18.7,1970,China,CHN,summer
Sep,13.7,1970,China,CHN,autumn
Oct,7.1,1970,China,CHN,autumn
Nov,-1.0,1970,China,CHN,autumn
Dec,-6.5,1970,China,CHN,winter
Jan,-8.9,1971,China,CHN,winter
Feb,-6.4,1971,China,CHN,winter
Mar,-0.2,1971,China,CHN,spring
Apr,7.9,1971,China,CHN,spring
May,12.6,1971,China,CHN,spring
Jun,17.1,1971,China,CHN,summer
Jul,19.7,1971,China,CHN,summer
Aug,18.3,1971,China,CHN,summer
Sep,13.7,1971,China,CHN,autumn
Oct,7.2,1971,China,CHN,autumn
Nov,0.2,1971,China,CHN,autumn
Dec,-6.0,1971,China,CHN,winter
Jan,-7.6,1972,China,CHN,winter
Feb,-8.0,1972,China,CHN,winter
Mar,1.5,1972,China,CHN,spring
Apr,7.2,1972,China,CHN,spring
May,13.4,1972,China,CHN,spring
Jun,17.3,1972,China,CHN,summer
Jul,19.3,1972,China,CHN,summer
Aug,18.5,1972,China,CHN,summer
Sep,13.2,1972,China,CHN,autumn
Oct,6.8,1972,China,CHN,autumn
Nov,-0.8,1972,China,CHN,autumn
Dec,-6.5,1972,China,CHN,winter
Jan,-7.8,1973,China,CHN,winter
Feb,-4.5,1973,China,CHN,winter
Mar,1.0,1973,China,CHN,spring
Apr,8.3,1973,China,CHN,spring
May,12.6,1973,China,CHN,spring
Jun,16.9,1973,China,CHN,summer
Jul,19.5,1973,China,CHN,summer
Aug,18.6,1973,China,CHN,summer
Sep,14.2,1973,China,CHN,autumn
Oct,6.8,1973,China,CHN,autumn
Nov,-0.1,1973,China,CHN,autumn
Dec,-6.5,1973,China,CHN,winter
Jan,-8.6,1974,China,CHN,winter
Feb,-6.9,1974,China,CHN,winter
Mar,-0.3,1974,China,CHN,spring
Apr,8.4,1974,China,CHN,spring
May,13.4,1974,China,CHN,spring
Jun,16.8,1974,China,CHN,summer
Jul,19.5,1974,China,CHN,summer
Aug,18.3,1974,China,CHN,summer
Sep,13.7,1974,China,CHN,autumn
Oct,7.0,1974,China,CHN,autumn
Nov,-0.1,1974,China,CHN,autumn
Dec,-8.4,1974,China,CHN,winter
Jan,-7.9,1975,China,CHN,winter
Feb,-5.4,1975,China,CHN,winter
Mar,1.4,1975,China,CHN,spring
Apr,7.9,1975,China,CHN,spring
May,12.4,1975,China,CHN,spring
Jun,17.4,1975,China,CHN,summer
Jul,19.3,1975,China,CHN,summer
Aug,19.1,1975,China,CHN,summer
Sep,14.8,1975,China,CHN,autumn
Oct,8.1,1975,China,CHN,autumn
Nov,-0.4,1975,China,CHN,autumn
Dec,-8.1,1975,China,CHN,winter
Jan,-7.8,1976,China,CHN,winter
Feb,-4.0,1976,China,CHN,winter
Mar,-0.4,1976,China,CHN,spring
Apr,6.8,1976,China,CHN,spring
May,12.8,1976,China,CHN,spring
Jun,16.3,1976,China,CHN,summer
Jul,18.5,1976,China,CHN,summer
Aug,17.6,1976,China,CHN,summer
Sep,13.7,1976,China,CHN,autumn
Oct,7.1,1976,China,CHN,autumn
Nov,-2.4,1976,China,CHN,autumn
Dec,-7.3,1976,China,CHN,winter
Jan,-10.9,1977,China,CHN,winter
Feb,-7.0,1977,China,CHN,winter
Mar,1.2,1977,China,CHN,spring
Apr,7.8,1977,China,CHN,spring
May,12.4,1977,China,CHN,spring
Jun,16.9,1977,China,CHN,summer
Jul,19.6,1977,China,CHN,summer
Aug,18.5,1977,China,CHN,summer
Sep,14.6,1977,China,CHN,autumn
Oct,8.0,1977,China,CHN,autumn
Nov,-0.4,1977,China,CHN,autumn
Dec,-5.8,1977,China,CHN,winter
Jan,-9.5,1978,China,CHN,winter
Feb,-6.9,1978,China,CHN,winter
Mar,0.4,1978,China,CHN,spring
Apr,8.3,1978,China,CHN,spring
May,13.4,1978,China,CHN,spring
Jun,17.7,1978,China,CHN,summer
Jul,19.7,1978,China,CHN,summer
Aug,18.7,1978,China,CHN,summer
Sep,14.1,1978,China,CHN,autumn
Oct,7.2,1978,China,CHN,autumn
Nov,0.1,1978,China,CHN,autumn
Dec,-5.2,1978,China,CHN,winter
Jan,-7.5,1979,China,CHN,winter
Feb,-4.1,1979,China,CHN,winter
Mar,0.1,1979,China,CHN,spring
Apr,7.4,1979,China,CHN,spring
May,12.9,1979,China,CHN,spring
Jun,17.4,1979,China,CHN,summer
Jul,18.9,1979,China,CHN,summer
Aug,18.4,1979,China,CHN,summer
Sep,13.2,1979,China,CHN,autumn
Oct,8.0,1979,China,CHN,autumn
Nov,-1.3,1979,China,CHN,autumn
Dec,-5.1,1979,China,CHN,winter
Jan,-8.8,1980,China,CHN,winter
Feb,-6.2,1980,China,CHN,winter
Mar,-0.1,1980,China,CHN,spring
Apr,7.0,1980,China,CHN,spring
May,13.2,1980,China,CHN,spring
Jun,17.4,1980,China,CHN,summer
Jul,19.5,1980,China,CHN,summer
Aug,18.2,1980,China,CHN,summer
Sep,13.6,1980,China,CHN,autumn
Oct,7.2,1980,China,CHN,autumn
Nov,1.8,1980,China,CHN,autumn
Dec,-6.0,1980,China,CHN,winter
Jan,-8.7,1981,China,CHN,winter
Feb,-5.2,1981,China,CHN,winter
Mar,1.7,1981,China,CHN,spring
Apr,8.7,1981,China,CHN,spring
May,13.1,1981,China,CHN,spring
Jun,17.6,1981,China,CHN,summer
Jul,20.2,1981,China,CHN,summer
Aug,18.6,1981,China,CHN,summer
Sep,13.9,1981,China,CHN,autumn
Oct,6.2,1981,China,CHN,autumn
Nov,-2.1,1981,China,CHN,autumn
Dec,-6.8,1981,China,CHN,winter
Jan,-6.9,1982,China,CHN,winter
Feb,-5.0,1982,China,CHN,winter
Mar,0.9,1982,China,CHN,spring
Apr,7.7,1982,China,CHN,spring
May,13.3,1982,China,CHN,spring
