month,tas,year,country,iso3,season
Jan,-0.2,1960,Germany,DEU,winter
Feb,0.5,1960,Germany,DEU,winter
Mar,4.5,1960,Germany,DEU,spring
Apr,7.7,1960,Germany,DEU,spring
May,13.0,1960,Germany,DEU,spring
Jun,16.4,1960,Germany,DEU,summer
Jul,15.6,1960,Germany,DEU,summer
Aug,16.3,1960,Germany,DEU,summer
Sep,13.0,1960,Germany,DEU,autumn
Oct,9.2,1960,Germany,DEU,autumn
Nov,6.0,1960,Germany,DEU,autumn
Dec,1.3,1960,Germany,DEU,winter
Jan,-0.8,1961,Germany,DEU,winter
Feb,4.4,1961,Germany,DEU,winter
Mar,6.4,1961,Germany,DEU,spring
Apr,10.8,1961,Germany,DEU,spring
May,10.6,1961,Germany,DEU,spring
Jun,16.3,1961,Germany,DEU,summer
Jul,15.5,1961,Germany,DEU,summer
Aug,16.2,1961,Germany,DEU,summer
Sep,16.7,1961,Germany,DEU,autumn
Oct,10.9,1961,Germany,DEU,autumn
Nov,3.9,1961,Germany,DEU,autumn
Dec,-0.6,1961,Germany,DEU,winter
Jan,1.6,1962,Germany,DEU,winter
Feb,0.5,1962,Germany,DEU,winter
Mar,0.7,1962,Germany,DEU,spring
Apr,8.4,1962,Germany,DEU,spring
May,10.0,1962,Germany,DEU,spring
Jun,14.4,1962,Germany,DEU,summer
Jul,15.3,1962,Germany,DEU,summer
Aug,16.3,1962,Germany,DEU,summer
Sep,12.9,1962,Germany,DEU,autumn
Oct,9.3,1962,Germany,DEU,autumn
Nov,2.9,1962,Germany,DEU,autumn
Dec,-3.1,1962,Germany,DEU,winter
Jan,-7.2,1963,Germany,DEU,winter
Feb,-5.4,1963,Germany,DEU,winter
Mar,2.8,1963,Germany,DEU,spring
Apr,8.6,1963,Germany,DEU,spring
May,12.1,1963,Germany,DEU,spring
Jun,16.0,1963,Germany,DEU,summer
Jul,18.0,1963,Germany,DEU,summer
Aug,16.4,1963,Germany,DEU,summer
Sep,14.2,1963,Germany,DEU,autumn
Oct,8.6,1963,Germany,DEU,autumn
Nov,7.4,1963,Germany,DEU,autumn
Dec,-2.9,1963,Germany,DEU,winter
Jan,-2.3,1964,Germany,DEU,winter
Feb,0.6,1964,Germany,DEU,winter
Mar,0.9,1964,Germany,DEU,spring
Apr,8.9,1964,Germany,DEU,spring
May,13.7,1964,Germany,DEU,spring
Jun,17.1,1964,Germany,DEU,summer
Jul,18.2,1964,Germany,DEU,summer
Aug,16.3,1964,Germany,DEU,summer
Sep,14.1,1964,Germany,DEU,autumn
Oct,7.3,1964,Germany,DEU,autumn
Nov,5.1,1964,Germany,DEU,autumn
Dec,0.5,1964,Germany,DEU,winter
Jan,1.1,1965,Germany,DEU,winter
Feb,-1.6,1965,Germany,DEU,winter
Mar,2.7,1965,Germany,DEU,spring
Apr,7.0,1965,Germany,DEU,spring
May,11.2,1965,Germany,DEU,spring
Jun,15.7,1965,Germany,DEU,summer
