month,tas,year,country,iso3,season
Jan,13.3,1960,Egypt,EGY,winter
Feb,15.3,1960,Egypt,EGY,winter
Mar,18.2,1960,Egypt,EGY,spring
Apr,23.0,1960,Egypt,EGY,spring
May,26.7,1960,Egypt,EGY,spring
Jun,27.9,1960,Egypt,EGY,summer
Jul,28.9,1960,Egypt,EGY,summer
Aug,29.1,1960,Egypt,EGY,summer
Sep,27.5,1960,Egypt,EGY,autumn
Oct,26.3,1960,Egypt,EGY,autumn
Nov,19.9,1960,Egypt,EGY,autumn
Dec,18.1,1960,Egypt,EGY,winter
Jan,13.7,1961,Egypt,EGY,winter
Feb,12.9,1961,Egypt,EGY,winter
Mar,15.9,1961,Egypt,EGY,spring
Apr,22.2,1961,Egypt,EGY,spring
May,26.1,1961,Egypt,EGY,spring
Jun,30.4,1961,Egypt,EGY,summer
Jul,28.7,1961,Egypt,EGY,summer
Aug,28.9,1961,Egypt,EGY,summer
Sep,25.4,1961,Egypt,EGY,autumn
Oct,22.9,1961,Egypt,EGY,autumn
Nov,18.2,1961,Egypt,EGY,autumn
Dec,14.1,1961,Egypt,EGY,winter
Jan,13.7,1962,Egypt,EGY,winter
Feb,13.9,1962,Egypt,EGY,winter
Mar,20.2,1962,Egypt,EGY,spring
Apr,21.9,1962,Egypt,EGY,spring
May,25.8,1962,Egypt,EGY,spring
Jun,29.4,1962,Egypt,EGY,summer
Jul,29.2,1962,Egypt,EGY,summer
Aug,30.2,1962,Egypt,EGY,summer
Sep,27.6,1962,Egypt,EGY,autumn
Oct,25.0,1962,Egypt,EGY,autumn
Nov,22.0,1962,Egypt,EGY,autumn
Dec,14.5,1962,Egypt,EGY,winter
Jan,14.8,1963,Egypt,EGY,winter
Feb,16.3,1963,Egypt,EGY,winter
Mar,17.1,1963,Egypt,EGY,spring
Apr,23.0,1963,Egypt,EGY,spring
May,26.0,1963,Egypt,EGY,spring
Jun,29.2,1963,Egypt,EGY,summer
Jul,29.6,1963,Egypt,EGY,summer
Aug,29.9,1963,Egypt,EGY,summer
Sep,28.0,1963,Egypt,EGY,autumn
Oct,25.7,1963,Egypt,EGY,autumn
Nov,19.1,1963,Egypt,EGY,autumn
Dec,14.8,1963,Egypt,EGY,winter
Jan,11.6,1964,Egypt,EGY,winter
Feb,13.6,1964,Egypt,EGY,winter
Mar,18.4,1964,Egypt,EGY,spring
Apr,22.1,1964,Egypt,EGY,spring
May,24.6,1964,Egypt,EGY,spring
Jun,28.3,1964,Egypt,EGY,summer
Jul,28.3,1964,Egypt,EGY,summer
Aug,28.7,1964,Egypt,EGY,summer
Sep,25.7,1964,Egypt,EGY,autumn
Oct,24.0,1964,Egypt,EGY,autumn
Nov,18.4,1964,Egypt,EGY,autumn
Dec,14.7,1964,Egypt,EGY,winter
Jan,13.2,1965,Egypt,EGY,winter
Feb,15.0,1965,Egypt,EGY,winter
Mar,18.6,1965,Egypt,EGY,spring
Apr,21.2,1965,Egypt,EGY,spring
May,24.8,1965,Egypt,EGY,spring
Jun,29.2,1965,Egypt,EGY,summer
Jul,29.4,1965,Egypt,EGY,summer
Aug,29.2,1965,Egypt,EGY,summer
Sep,27.3,1965,Egypt,EGY,autumn
Oct,23.1,1965,Egypt,EGY,autumn
Nov,18.0,1965,Egypt,EGY,autumn
Dec,14.0,1965,Egypt,EGY,winter
Jan,13.4,1966,Egypt,EGY,winter
Feb,14.6,1966,Egypt,EGY,winter
Mar,17.5,1966,Egypt,EGY,spring
Apr,22.8,1966,Egypt,EGY,spring
May,26.4,1966,Egypt,EGY,spring
Jun,29.1,1966,Egypt,EGY,summer
Jul,29.1,1966,Egypt,EGY,summer
Aug,29.3,1966,Egypt,EGY,summer
Sep,27.7,1966,Egypt,EGY,autumn
Oct,25.6,1966,Egypt,EGY,autumn
Nov,21.7,1966,Egypt,EGY,autumn
Dec,14.5,1966,Egypt,EGY,winter
Jan,11.9,1967,Egypt,EGY,winter
Feb,14.0,1967,Egypt,EGY,winter
Mar,15.2,1967,Egypt,EGY,spring
Apr,22.1,1967,Egypt,EGY,spring
May,25.2,1967,Egypt,EGY,spring
Jun,28.5,1967,Egypt,EGY,summer
Jul,28.5,1967,Egypt,EGY,summer
Aug,29.1,1967,Egypt,EGY,summer
Sep,26.7,1967,Egypt,EGY,autumn
Oct,23.4,1967,Egypt,EGY,autumn
Nov,18.0,1967,Egypt,EGY,autumn
Dec,14.9,1967,Egypt,EGY,winter
Jan,12.1,1968,Egypt,EGY,winter
Feb,14.2,1968,Egypt,EGY,winter
Mar,17.0,1968,Egypt,EGY,spring
Apr,22.4,1968,Egypt,EGY,spring
May,27.2,1968,Egypt,EGY,spring
Jun,30.3,1968,Egypt,EGY,summer
Jul,29.8,1968,Egypt,EGY,summer
Aug,29.6,1968,Egypt,EGY,summer
Sep,27.6,1968,Egypt,EGY,autumn
Oct,23.6,1968,Egypt,EGY,autumn
Nov,19.0,1968,Egypt,EGY,autumn
Dec,14.7,1968,Egypt,EGY,winter
Jan,12.2,1969,Egypt,EGY,winter
Feb,17.0,1969,Egypt,EGY,winter
Mar,20.7,1969,Egypt,EGY,spring
Apr,20.9,1969,Egypt,EGY,spring
May,25.8,1969,Egypt,EGY,spring
Jun,29.9,1969,Egypt,EGY,summer
Jul,27.8,1969,Egypt,EGY,summer
Aug,28.8,1969,Egypt,EGY,summer
Sep,28.9,1969,Egypt,EGY,autumn
Oct,25.0,1969,Egypt,EGY,autumn
Nov,19.4,1969,Egypt,EGY,autumn
Dec,14.7,1969,Egypt,EGY,winter
Jan,14.3,1970,Egypt,EGY,winter
Feb,15.3,1970,Egypt,EGY,winter
Mar,18.3,1970,Egypt,EGY,spring
Apr,22.7,1970,Egypt,EGY,spring
May,26.1,1970,Egypt,EGY,spring
Jun,27.4,1970,Egypt,EGY,summer
Jul,28.6,1970,Egypt,EGY,summer
Aug,28.7,1970,Egypt,EGY,summer
Sep,27.0,1970,Egypt,EGY,autumn
Oct,22.8,1970,Egypt,EGY,autumn
Nov,18.4,1970,Egypt,EGY,autumn
Dec,13.0,1970,Egypt,EGY,winter
Jan,14.7,1971,Egypt,EGY,winter
