month,tas,year,country,iso3,season
Jan,3.2,1960,France,FRA,winter
Feb,4.8,1960,France,FRA,winter
Mar,8.0,1960,France,FRA,spring
Apr,9.6,1960,France,FRA,spring
May,14.6,1960,France,FRA,spring
Jun,17.7,1960,France,FRA,summer
Jul,16.8,1960,France,FRA,summer
Aug,17.3,1960,France,FRA,summer
Sep,14.4,1960,France,FRA,autumn
Oct,11.1,1960,France,FRA,autumn
Nov,8.3,1960,France,FRA,autumn
Dec,3.1,1960,France,FRA,winter
Jan,3.2,1961,France,FRA,winter
Feb,7.4,1961,France,FRA,winter
Mar,8.1,1961,France,FRA,spring
Apr,11.8,1961,France,FRA,spring
May,12.5,1961,France,FRA,spring
Jun,16.7,1961,France,FRA,summer
Jul,17.7,1961,France,FRA,summer
Aug,17.9,1961,France,FRA,summer
Sep,18.6,1961,France,FRA,autumn
Oct,12.3,1961,France,FRA,autumn
Nov,6.3,1961,France,FRA,autumn
Dec,4.4,1961,France,FRA,winter
Jan,4.8,1962,France,FRA,winter
Feb,3.5,1962,France,FRA,winter
Mar,3.9,1962,France,FRA,spring
Apr,9.1,1962,France,FRA,spring
May,11.5,1962,France,FRA,spring
Jun,15.8,1962,France,FRA,summer
Jul,17.7,1962,France,FRA,summer
Aug,18.7,1962,France,FRA,summer
Sep,15.5,1962,France,FRA,autumn
Oct,11.8,1962,France,FRA,autumn
Nov,5.1,1962,France,FRA,autumn
Dec,1.0,1962,France,FRA,winter
Jan,-1.7,1963,France,FRA,winter
Feb,-0.5,1963,France,FRA,winter
Mar,6.3,1963,France,FRA,spring
Apr,9.7,1963,France,FRA,spring
May,12.2,1963,France,FRA,spring
Jun,15.8,1963,France,FRA,summer
Jul,18.6,1963,France,FRA,summer
Aug,16.4,1963,France,FRA,summer
Sep,15.1,1963,France,FRA,autumn
Oct,11.2,1963,France,FRA,autumn
Nov,9.2,1963,France,FRA,autumn
Dec,1.0,1963,France,FRA,winter
Jan,0.8,1964,France,FRA,winter
Feb,5.1,1964,France,FRA,winter
Mar,5.4,1964,France,FRA,spring
Apr,9.6,1964,France,FRA,spring
May,14.6,1964,France,FRA,spring
Jun,16.9,1964,France,FRA,summer
Jul,19.7,1964,France,FRA,summer
Aug,18.2,1964,France,FRA,summer
Sep,16.7,1964,France,FRA,autumn
Oct,9.6,1964,France,FRA,autumn
Nov,6.9,1964,France,FRA,autumn
Dec,2.9,1964,France,FRA,winter
Jan,3.5,1965,France,FRA,winter
Feb,1.4,1965,France,FRA,winter
Mar,6.5,1965,France,FRA,spring
Apr,8.7,1965,France,FRA,spring
May,12.7,1965,France,FRA,spring
Jun,16.2,1965,France,FRA,summer
Jul,16.7,1965,France,FRA,summer
Aug,17.1,1965,France,FRA,summer
Sep,13.6,1965,France,FRA,autumn
Oct,12.0,1965,France,FRA,autumn
Nov,6.3,1965,France,FRA,autumn
Dec,5.7,1965,France,FRA,winter
Jan,2.3,1966,France,FRA,winter
Feb,7.8,1966,France,FRA,winter
Mar,6.1,1966,France,FRA,spring
Apr,10.5,1966,France,FRA,spring
May,13.2,1966,France,FRA,spring
Jun,17.0,1966,France,FRA,summer
Jul,16.8,1966,France,FRA,summer
Aug,17.1,1966,France,FRA,summer
Sep,16.5,1966,France,FRA,autumn
Oct,12.8,1966,France,FRA,autumn
Nov,4.9,1966,France,FRA,autumn
Dec,5.2,1966,France,FRA,winter
Jan,3.2,1967,France,FRA,winter
Feb,5.3,1967,France,FRA,winter
Mar,7.7,1967,France,FRA,spring
Apr,8.8,1967,France,FRA,spring
