month,tas,year,country,iso3,season
Jan,3.2,1960,United Kingdom,GBR,winter
Feb,2.5,1960,United Kingdom,GBR,winter
Mar,5.2,1960,United Kingdom,GBR,spring
Apr,8.1,1960,United Kingdom,GBR,spring
May,11.5,1960,United Kingdom,GBR,spring
Jun,14.5,1960,United Kingdom,GBR,summer
Jul,14.0,1960,United Kingdom,GBR,summer
Aug,13.8,1960,United Kingdom,GBR,summer
Sep,12.0,1960,United Kingdom,GBR,autumn
Oct,9.3,1960,United Kingdom,GBR,autumn
Nov,6.1,1960,United Kingdom,GBR,autumn
Dec,2.8,1960,United Kingdom,GBR,winter
Jan,2.7,1961,United Kingdom,GBR,winter
Feb,5.7,1961,United Kingdom,GBR,winter
Mar,7.1,1961,United Kingdom,GBR,spring
Apr,8.4,1961,United Kingdom,GBR,spring
May,9.8,1961,United Kingdom,GBR,spring
Jun,12.8,1961,United Kingdom,GBR,summer
Jul,13.6,1961,United Kingdom,GBR,summer
Aug,13.9,1961,United Kingdom,GBR,summer
Sep,13.5,1961,United Kingdom,GBR,autumn
Oct,9.6,1961,United Kingdom,GBR,autumn
Nov,5.1,1961,United Kingdom,GBR,autumn
Dec,1.6,1961,United Kingdom,GBR,winter
Jan,3.4,1962,United Kingdom,GBR,winter
Feb,3.6,1962,United Kingdom,GBR,winter
Mar,1.8,1962,United Kingdom,GBR,spring
Apr,6.4,1962,United Kingdom,GBR,spring
May,8.9,1962,United Kingdom,GBR,spring
Jun,12.2,1962,United Kingdom,GBR,summer
Jul,13.2,1962,United Kingdom,GBR,summer
Aug,13.1,1962,United Kingdom,GBR,summer
Sep,11.4,1962,United Kingdom,GBR,autumn
Oct,9.6,1962,United Kingdom,GBR,autumn
Nov,4.7,1962,United Kingdom,GBR,autumn
Dec,2.1,1962,United Kingdom,GBR,winter
Jan,-1.4,1963,United Kingdom,GBR,winter
Feb,-1.0,1963,United Kingdom,GBR,winter
Mar,4.9,1963,United Kingdom,GBR,spring
Apr,7.1,1963,United Kingdom,GBR,spring
May,9.0,1963,United Kingdom,GBR,spring
