month,tas,year,country,iso3,season
Jan,25.5,1960,Indonesia,IDN,winter
Feb,25.5,1960,Indonesia,IDN,winter
Mar,25.7,1960,Indonesia,IDN,spring
Apr,26.0,1960,Indonesia,IDN,spring
May,25.9,1960,Indonesia,IDN,spring
Jun,25.5,1960,Indonesia,IDN,summer
Jul,25.2,1960,Indonesia,IDN,summer
Aug,25.6,1960,Indonesia,IDN,summer
Sep,25.7,1960,Indonesia,IDN,autumn
Oct,26.1,1960,Indonesia,IDN,autumn
Nov,25.9,1960,Indonesia,IDN,autumn
Dec,26.0,1960,Indonesia,IDN,winter
Jan,25.4,1961,Indonesia,IDN,winter
Feb,25.7,1961,Indonesia,IDN,winter
Mar,25.9,1961,Indonesia,IDN,spring
Apr,26.0,1961,Indonesia,IDN,spring
May,26.0,1961,Indonesia,IDN,spring
Jun,25.2,1961,Indonesia,IDN,summer
Jul,25.0,1961,Indonesia,IDN,summer
Aug,25.0,1961,Indonesia,IDN,summer
Sep,25.3,1961,Indonesia,IDN,autumn
Oct,25.8,1961,Indonesia,IDN,autumn
Nov,25.9,1961,Indonesia,IDN,autumn
Dec,25.9,1961,Indonesia,IDN,winter
Jan,25.3,1962,Indonesia,IDN,winter
Feb,25.2,1962,Indonesia,IDN,winter
Mar,25.5,1962,Indonesia,IDN,spring
Apr,25.8,1962,Indonesia,IDN,spring
May,25.8,1962,Indonesia,IDN,spring
Jun,25.4,1962,Indonesia,IDN,summer
Jul,25.3,1962,Indonesia,IDN,summer
Aug,25.0,1962,Indonesia,IDN,summer
Sep,25.5,1962,Indonesia,IDN,autumn
Oct,26.0,1962,Indonesia,IDN,autumn
Nov,26.1,1962,Indonesia,IDN,autumn
Dec,25.7,1962,Indonesia,IDN,winter
Jan,25.0,1963,Indonesia,IDN,winter
Feb,25.2,1963,Indonesia,IDN,winter
Mar,25.5,1963,Indonesia,IDN,spring
Apr,26.0,1963,Indonesia,IDN,spring
May,26.0,1963,Indonesia,IDN,spring
Jun,25.7,1963,Indonesia,IDN,summer
Jul,25.1,1963,Indonesia,IDN,summer
Aug,25.1,1963,Indonesia,IDN,summer
Sep,25.6,1963,Indonesia,IDN,autumn
Oct,26.0,1963,Indonesia,IDN,autumn
Nov,26.2,1963,Indonesia,IDN,autumn
Dec,26.0,1963,Indonesia,IDN,winter
Jan,26.0,1964,Indonesia,IDN,winter
Feb,25.9,1964,Indonesia,IDN,winter
Mar,25.8,1964,Indonesia,IDN,spring
Apr,26.1,1964,Indonesia,IDN,spring
May,26.1,1964,Indonesia,IDN,spring
Jun,25.4,1964,Indonesia,IDN,summer
Jul,25.1,1964,Indonesia,IDN,summer
Aug,25.2,1964,Indonesia,IDN,summer
Sep,25.6,1964,Indonesia,IDN,autumn
Oct,25.5,1964,Indonesia,IDN,autumn
Nov,25.5,1964,Indonesia,IDN,autumn
Dec,25.4,1964,Indonesia,IDN,winter
Jan,25.0,1965,Indonesia,IDN,winter
Feb,25.5,1965,Indonesia,IDN,winter
Mar,25.5,1965,Indonesia,IDN,spring
