month,tas,year,country,iso3,season
Jan,16.9,1960,India,IND,winter
Feb,20.8,1960,India,IND,winter
Mar,23.0,1960,India,IND,spring
Apr,27.5,1960,India,IND,spring
May,30.1,1960,India,IND,spring
Jun,29.6,1960,India,IND,summer
Jul,27.0,1960,India,IND,summer
Aug,26.5,1960,India,IND,summer
Sep,26.4,1960,India,IND,autumn
Oct,24.5,1960,India,IND,autumn
Nov,20.3,1960,India,IND,autumn
Dec,18.2,1960,India,IND,winter
Jan,17.7,1961,India,IND,winter
Feb,18.2,1961,India,IND,winter
Mar,24.5,1961,India,IND,spring
Apr,27.8,1961,India,IND,spring
May,29.9,1961,India,IND,spring
Jun,28.8,1961,India,IND,summer
Jul,26.7,1961,India,IND,summer
Aug,26.5,1961,India,IND,summer
Sep,25.9,1961,India,IND,autumn
Oct,24.1,1961,India,IND,autumn
Nov,20.0,1961,India,IND,autumn
Dec,16.4,1961,India,IND,winter
Jan,16.1,1962,India,IND,winter
Feb,19.4,1962,India,IND,winter
Mar,23.4,1962,India,IND,spring
Apr,27.7,1962,India,IND,spring
May,29.7,1962,India,IND,spring
Jun,29.5,1962,India,IND,summer
Jul,27.3,1962,India,IND,summer
Aug,26.4,1962,India,IND,summer
Sep,25.8,1962,India,IND,autumn
Oct,24.0,1962,India,IND,autumn
Nov,20.6,1962,India,IND,autumn
Dec,17.5,1962,India,IND,winter
Jan,16.6,1963,India,IND,winter
Feb,20.1,1963,India,IND,winter
Mar,23.4,1963,India,IND,spring
Apr,26.8,1963,India,IND,spring
May,29.2,1963,India,IND,spring
Jun,29.0,1963,India,IND,summer
Jul,27.4,1963,India,IND,summer
Aug,26.3,1963,India,IND,summer
Sep,26.1,1963,India,IND,autumn
Oct,24.9,1963,India,IND,autumn
Nov,21.5,1963,India,IND,autumn
Dec,18.0,1963,India,IND,winter
Jan,16.5,1964,India,IND,winter
Feb,19.5,1964,India,IND,winter
Mar,24.9,1964,India,IND,spring
Apr,28.4,1964,India,IND,spring
May,29.6,1964,India,IND,spring
Jun,29.2,1964,India,IND,summer
Jul,26.6,1964,India,IND,summer
Aug,26.3,1964,India,IND,summer
Sep,25.9,1964,India,IND,autumn
Oct,24.8,1964,India,IND,autumn
Nov,20.2,1964,India,IND,autumn
Dec,17.4,1964,India,IND,winter
Jan,18.0,1965,India,IND,winter
Feb,19.3,1965,India,IND,winter
Mar,23.0,1965,India,IND,spring
Apr,26.6,1965,India,IND,spring
May,29.7,1965,India,IND,spring
Jun,29.8,1965,India,IND,summer
Jul,27.0,1965,India,IND,summer
Aug,26.4,1965,India,IND,summer
Sep,26.1,1965,India,IND,autumn
Oct,25.1,1965,India,IND,autumn
Nov,21.4,1965,India,IND,autumn
Dec,17.7,1965,India,IND,winter
Jan,17.6,1966,India,IND,winter
Feb,20.9,1966,India,IND,winter
Mar,23.8,1966,India,IND,spring
Apr,27.8,1966,India,IND,spring
May,30.0,1966,India,IND,spring
Jun,29.2,1966,India,IND,summer
Jul,27.8,1966,India,IND,summer
Aug,26.5,1966,India,IND,summer
Sep,26.1,1966,India,IND,autumn
Oct,24.8,1966,India,IND,autumn
Nov,21.4,1966,India,IND,autumn
Dec,17.3,1966,India,IND,winter
Jan,16.7,1967,India,IND,winter
Feb,20.4,1967,India,IND,winter
Mar,22.8,1967,India,IND,spring
Apr,27.0,1967,India,IND,spring
May,29.8,1967,India,IND,spring
Jun,29.5,1967,India,IND,summer
Jul,27.1,1967,India,IND,summer
Aug,26.1,1967,India,IND,summer
Sep,25.9,1967,India,IND,autumn
Oct,24.3,1967,India,IND,autumn
Nov,20.5,1967,India,IND,autumn
Dec,18.2,1967,India,IND,winter
Jan,16.3,1968,India,IND,winter
Feb,18.3,1968,India,IND,winter
Mar,23.4,1968,India,IND,spring
Apr,27.0,1968,India,IND,spring
May,29.4,1968,India,IND,spring
Jun,29.3,1968,India,IND,summer
Jul,27.1,1968,India,IND,summer
Aug,26.4,1968,India,IND,summer
Sep,26.8,1968,India,IND,autumn
Oct,24.3,1968,India,IND,autumn
Nov,20.9,1968,India,IND,autumn
Dec,17.9,1968,India,IND,winter
Jan,17.1,1969,India,IND,winter
Feb,19.9,1969,India,IND,winter
Mar,25.3,1969,India,IND,spring
Apr,28.1,1969,India,IND,spring
May,29.6,1969,India,IND,spring
Jun,29.7,1969,India,IND,summer
Jul,27.1,1969,India,IND,summer
Aug,26.3,1969,India,IND,summer
Sep,26.1,1969,India,IND,autumn
Oct,25.1,1969,India,IND,autumn
Nov,21.9,1969,India,IND,autumn
Dec,18.0,1969,India,IND,winter
Jan,17.4,1970,India,IND,winter
Feb,19.5,1970,India,IND,winter
Mar,23.6,1970,India,IND,spring
Apr,28.4,1970,India,IND,spring
May,30.5,1970,India,IND,spring
Jun,28.3,1970,India,IND,summer
Jul,27.2,1970,India,IND,summer
Aug,26.3,1970,India,IND,summer
Sep,26.1,1970,India,IND,autumn
Oct,24.9,1970,India,IND,autumn
Nov,20.3,1970,India,IND,autumn
Dec,17.1,1970,India,IND,winter
Jan,16.7,1971,India,IND,winter
Feb,19.2,1971,India,IND,winter
Mar,23.4,1971,India,IND,spring
Apr,27.8,1971,India,IND,spring
May,29.0,1971,India,IND,spring
Jun,27.7,1971,India,IND,summer
Jul,26.5,1971,India,IND,summer
Aug,26.0,1971,India,IND,summer
Sep,26.1,1971,India,IND,autumn
Oct,24.2,1971,India,IND,autumn
Nov,20.2,1971,India,IND,autumn
Dec,17.3,1971,India,IND,winter
Jan,17.1,1972,India,IND,winter
Feb,17.8,1972,India,IND,winter
Mar,24.0,1972,India,IND,spring
Apr,27.3,1972,India,IND,spring
May,30.3,1972,India,IND,spring
Jun,30.2,1972,India,IND,summer
Jul,27.6,1972,India,IND,summer
Aug,26.5,1972,India,IND,summer
Sep,26.1,1972,India,IND,autumn
Oct,24.6,1972,India,IND,autumn
Nov,20.9,1972,India,IND,autumn
Dec,18.3,1972,India,IND,winter
Jan,17.4,1973,India,IND,winter
Feb,20.5,1973,India,IND,winter
Mar,23.8,1973,India,IND,spring
Apr,29.2,1973,India,IND,spring
May,30.7,1973,India,IND,spring
Jun,29.5,1973,India,IND,summer
Jul,27.1,1973,India,IND,summer
Aug,26.1,1973,India,IND,summer
Sep,26.1,1973,India,IND,autumn
Oct,24.4,1973,India,IND,autumn
Nov,20.4,1973,India,IND,autumn
Dec,17.1,1973,India,IND,winter
Jan,16.5,1974,India,IND,winter
Feb,18.8,1974,India,IND,winter
Mar,24.6,1974,India,IND,spring
Apr,28.5,1974,India,IND,spring
May,29.6,1974,India,IND,spring
Jun,29.1,1974,India,IND,summer
Jul,27.2,1974,India,IND,summer
Aug,26.5,1974,India,IND,summer
Sep,26.6,1974,India,IND,autumn
Oct,25.0,1974,India,IND,autumn
Nov,20.3,1974,India,IND,autumn
Dec,16.7,1974,India,IND,winter
Jan,16.2,1975,India,IND,winter
Feb,19.0,1975,India,IND,winter
Mar,23.4,1975,India,IND,spring
Apr,28.1,1975,India,IND,spring
May,30.3,1975,India,IND,spring
Jun,28.7,1975,India,IND,summer
Jul,26.5,1975,India,IND,summer
Aug,26.3,1975,India,IND,summer
Sep,25.6,1975,India,IND,autumn
Oct,25.0,1975,India,IND,autumn
Nov,19.8,1975,India,IND,autumn
Dec,17.0,1975,India,IND,winter
Jan,17.0,1976,India,IND,winter
Feb,19.5,1976,India,IND,winter
Mar,23.8,1976,India,IND,spring
Apr,27.3,1976,India,IND,spring
May,29.6,1976,India,IND,spring
Jun,28.7,1976,India,IND,summer
Jul,27.1,1976,India,IND,summer
Aug,25.9,1976,India,IND,summer
Sep,25.8,1976,India,IND,autumn
Oct,25.1,1976,India,IND,autumn
Nov,22.3,1976,India,IND,autumn
Dec,18.1,1976,India,IND,winter
Jan,16.9,1977,India,IND,winter
Feb,19.8,1977,India,IND,winter
Mar,25.2,1977,India,IND,spring
Apr,27.6,1977,India,IND,spring
May,28.8,1977,India,IND,spring
Jun,28.8,1977,India,IND,summer
Jul,26.9,1977,India,IND,summer
Aug,26.4,1977,India,IND,summer
Sep,26.1,1977,India,IND,autumn
Oct,24.9,1977,India,IND,autumn
Nov,22.3,1977,India,IND,autumn
Dec,18.0,1977,India,IND,winter
Jan,16.5,1978,India,IND,winter
Feb,18.9,1978,India,IND,winter
Mar,22.6,1978,India,IND,spring
Apr,27.7,1978,India,IND,spring
May,30.9,1978,India,IND,spring
Jun,29.1,1978,India,IND,summer
Jul,26.5,1978,India,IND,summer
Aug,26.1,1978,India,IND,summer
Sep,26.1,1978,India,IND,autumn
Oct,25.0,1978,India,IND,autumn
Nov,21.8,1978,India,IND,autumn
Dec,17.9,1978,India,IND,winter
Jan,17.8,1979,India,IND,winter
Feb,18.8,1979,India,IND,winter
Mar,23.0,1979,India,IND,spring
Apr,28.3,1979,India,IND,spring
May,29.5,1979,India,IND,spring
Jun,30.0,1979,India,IND,summer
Jul,27.6,1979,India,IND,summer
Aug,26.7,1979,India,IND,summer
Sep,26.5,1979,India,IND,autumn
Oct,25.4,1979,India,IND,autumn
Nov,22.5,1979,India,IND,autumn
Dec,18.5,1979,India,IND,winter
Jan,17.5,1980,India,IND,winter
Feb,20.3,1980,India,IND,winter
Mar,23.8,1980,India,IND,spring
Apr,29.0,1980,India,IND,spring
May,30.9,1980,India,IND,spring
Jun,28.8,1980,India,IND,summer
Jul,27.0,1980,India,IND,summer
Aug,26.4,1980,India,IND,summer
Sep,26.6,1980,India,IND,autumn
Oct,25.2,1980,India,IND,autumn
Nov,21.5,1980,India,IND,autumn
Dec,18.1,1980,India,IND,winter
Jan,17.0,1981,India,IND,winter
Feb,20.0,1981,India,IND,winter
Mar,23.4,1981,India,IND,spring
Apr,27.9,1981,India,IND,spring
May,29.9,1981,India,IND,spring
Jun,29.8,1981,India,IND,summer
Jul,26.9,1981,India,IND,summer
Aug,26.5,1981,India,IND,summer
Sep,26.6,1981,India,IND,autumn
Oct,24.9,1981,India,IND,autumn
Nov,20.3,1981,India,IND,autumn
Dec,17.5,1981,India,IND,winter
Jan,17.8,1982,India,IND,winter
Feb,19.1,1982,India,IND,winter
Mar,22.6,1982,India,IND,spring
Apr,27.2,1982,India,IND,spring
May,29.0,1982,India,IND,spring
Jun,29.3,1982,India,IND,summer
Jul,28.0,1982,India,IND,summer
Aug,26.5,1982,India,IND,summer
Sep,26.5,1982,India,IND,autumn
Oct,25.2,1982,India,IND,autumn
Nov,21.1,1982,India,IND,autumn
Dec,18.2,1982,India,IND,winter
Jan,16.9,1983,India,IND,winter
Feb,19.0,1983,India,IND,winter
Mar,23.4,1983,India,IND,spring
Apr,26.5,1983,India,IND,spring
May,29.4,1983,India,IND,spring
Jun,29.8,1983,India,IND,summer
Jul,27.6,1983,India,IND,summer
Aug,26.7,1983,India,IND,summer
Sep,26.4,1983,India,IND,autumn
Oct,24.3,1983,India,IND,autumn
Nov,20.2,1983,India,IND,autumn
Dec,17.5,1983,India,IND,winter
Jan,16.9,1984,India,IND,winter
Feb,18.4,1984,India,IND,winter
Mar,24.6,1984,India,IND,spring
Apr,28.1,1984,India,IND,spring
May,30.9,1984,India,IND,spring
Jun,29.2,1984,India,IND,summer
Jul,26.7,1984,India,IND,summer
Aug,26.2,1984,India,IND,summer
Sep,25.6,1984,India,IND,autumn
Oct,24.6,1984,India,IND,autumn
Nov,20.4,1984,India,IND,autumn
Dec,18.2,1984,India,IND,winter
Jan,17.5,1985,India,IND,winter
Feb,19.8,1985,India,IND,winter
Mar,25.4,1985,India,IND,spring
Apr,28.3,1985,India,IND,spring
May,30.4,1985,India,IND,spring
Jun,29.2,1985,India,IND,summer
Jul,26.7,1985,India,IND,summer
Aug,26.5,1985,India,IND,summer
Sep,26.4,1985,India,IND,autumn
Oct,24.0,1985,India,IND,autumn
Nov,20.9,1985,India,IND,autumn
Dec,18.6,1985,India,IND,winter
Jan,17.2,1986,India,IND,winter
Feb,19.4,1986,India,IND,winter
Mar,23.9,1986,India,IND,spring
Apr,27.8,1986,India,IND,spring
May,29.5,1986,India,IND,spring
Jun,29.3,1986,India,IND,summer
Jul,26.9,1986,India,IND,summer
Aug,26.3,1986,India,IND,summer
Sep,26.5,1986,India,IND,autumn
Oct,24.8,1986,India,IND,autumn
Nov,21.6,1986,India,IND,autumn
Dec,17.7,1986,India,IND,winter
Jan,17.5,1987,India,IND,winter
Feb,20.1,1987,India,IND,winter
Mar,23.9,1987,India,IND,spring
Apr,28.1,1987,India,IND,spring
May,28.9,1987,India,IND,spring
Jun,30.1,1987,India,IND,summer
Jul,27.9,1987,India,IND,summer
Aug,27.1,1987,India,IND,summer
Sep,27.2,1987,India,IND,autumn
Oct,25.3,1987,India,IND,autumn
Nov,21.7,1987,India,IND,autumn
Dec,18.2,1987,India,IND,winter
Jan,18.4,1988,India,IND,winter
Feb,20.7,1988,India,IND,winter
Mar,24.0,1988,India,IND,spring
Apr,28.4,1988,India,IND,spring
May,31.0,1988,India,IND,spring
Jun,29.4,1988,India,IND,summer
Jul,27.0,1988,India,IND,summer
Aug,26.6,1988,India,IND,summer
Sep,26.7,1988,India,IND,autumn
Oct,24.7,1988,India,IND,autumn
Nov,21.0,1988,India,IND,autumn
Dec,18.3,1988,India,IND,winter
Jan,16.6,1989,India,IND,winter
Feb,19.2,1989,India,IND,winter
Mar,23.4,1989,India,IND,spring
Apr,27.6,1989,India,IND,spring
May,30.2,1989,India,IND,spring
Jun,28.7,1989,India,IND,summer
Jul,27.0,1989,India,IND,summer
Aug,26.3,1989,India,IND,summer
Sep,26.4,1989,India,IND,autumn
Oct,24.9,1989,India,IND,autumn
Nov,21.3,1989,India,IND,autumn
Dec,17.6,1989,India,IND,winter
Jan,18.5,1990,India,IND,winter
Feb,19.7,1990,India,IND,winter
Mar,22.9,1990,India,IND,spring
Apr,27.7,1990,India,IND,spring
May,29.5,1990,India,IND,spring
Jun,28.9,1990,India,IND,summer
Jul,26.6,1990,India,IND,summer
Aug,26.5,1990,India,IND,summer
Sep,26.2,1990,India,IND,autumn
Oct,24.3,1990,India,IND,autumn
Nov,21.6,1990,India,IND,autumn
Dec,18.3,1990,India,IND,winter
Jan,16.8,1991,India,IND,winter
Feb,20.1,1991,India,IND,winter
Mar,24.3,1991,India,IND,spring
Apr,27.5,1991,India,IND,spring
May,30.2,1991,India,IND,spring
Jun,28.9,1991,India,IND,summer
Jul,27.6,1991,India,IND,summer
Aug,26.3,1991,India,IND,summer
Sep,26.5,1991,India,IND,autumn
Oct,24.7,1991,India,IND,autumn
Nov,21.0,1991,India,IND,autumn
Dec,17.8,1991,India,IND,winter
Jan,17.1,1992,India,IND,winter
Feb,18.6,1992,India,IND,winter
Mar,24.1,1992,India,IND,spring
Apr,27.7,1992,India,IND,spring
May,29.5,1992,India,IND,spring
Jun,29.9,1992,India,IND,summer
Jul,27.6,1992,India,IND,summer
Aug,26.3,1992,India,IND,summer
Sep,25.9,1992,India,IND,autumn
Oct,24.7,1992,India,IND,autumn
Nov,21.1,1992,India,IND,autumn
Dec,17.9,1992,India,IND,winter
Jan,17.5,1993,India,IND,winter
Feb,20.3,1993,India,IND,winter
Mar,22.9,1993,India,IND,spring
Apr,27.5,1993,India,IND,spring
May,30.3,1993,India,IND,spring
Jun,29.9,1993,India,IND,summer
Jul,27.3,1993,India,IND,summer
Aug,26.8,1993,India,IND,summer
Sep,26.2,1993,India,IND,autumn
Oct,25.1,1993,India,IND,autumn
Nov,21.5,1993,India,IND,autumn
Dec,18.0,1993,India,IND,winter
Jan,18.1,1994,India,IND,winter
Feb,19.3,1994,India,IND,winter
Mar,25.0,1994,India,IND,spring
Apr,27.2,1994,India,IND,spring
May,30.6,1994,India,IND,spring
