month,tas,year,country,iso3,season
Jan,24.4,1960,Philippines,PHL,winter
Feb,24.3,1960,Philippines,PHL,winter
Mar,25.4,1960,Philippines,PHL,spring
Apr,26.0,1960,Philippines,PHL,spring
May,26.4,1960,Philippines,PHL,spring
Jun,25.8,1960,Philippines,PHL,summer
Jul,26.0,1960,Philippines,PHL,summer
Aug,25.7,1960,Philippines,PHL,summer
Sep,25.4,1960,Philippines,PHL,autumn
Oct,25.2,1960,Philippines,PHL,autumn
Nov,25.0,1960,Philippines,PHL,autumn
Dec,24.3,1960,Philippines,PHL,winter
Jan,23.3,1961,Philippines,PHL,winter
Feb,24.4,1961,Philippines,PHL,winter
Mar,25.4,1961,Philippines,PHL,spring
Apr,26.3,1961,Philippines,PHL,spring
May,26.4,1961,Philippines,PHL,spring
Jun,25.8,1961,Philippines,PHL,summer
Jul,25.2,1961,Philippines,PHL,summer
Aug,25.2,1961,Philippines,PHL,summer
Sep,25.4,1961,Philippines,PHL,autumn
Oct,25.0,1961,Philippines,PHL,autumn
Nov,24.9,1961,Philippines,PHL,autumn
Dec,24.6,1961,Philippines,PHL,winter
Jan,23.5,1962,Philippines,PHL,winter
Feb,23.5,1962,Philippines,PHL,winter
Mar,25.0,1962,Philippines,PHL,spring
Apr,25.8,1962,Philippines,PHL,spring
May,26.5,1962,Philippines,PHL,spring
Jun,26.0,1962,Philippines,PHL,summer
Jul,25.3,1962,Philippines,PHL,summer
Aug,25.3,1962,Philippines,PHL,summer
Sep,25.0,1962,Philippines,PHL,autumn
Oct,25.7,1962,Philippines,PHL,autumn
Nov,24.8,1962,Philippines,PHL,autumn
Dec,24.2,1962,Philippines,PHL,winter
Jan,22.7,1963,Philippines,PHL,winter
Feb,22.9,1963,Philippines,PHL,winter
Mar,24.1,1963,Philippines,PHL,spring
Apr,25.2,1963,Philippines,PHL,spring
May,26.6,1963,Philippines,PHL,spring
Jun,25.7,1963,Philippines,PHL,summer
Jul,25.5,1963,Philippines,PHL,summer
Aug,25.4,1963,Philippines,PHL,summer
Sep,25.5,1963,Philippines,PHL,autumn
Oct,25.3,1963,Philippines,PHL,autumn
Nov,25.2,1963,Philippines,PHL,autumn
Dec,24.6,1963,Philippines,PHL,winter
Jan,24.7,1964,Philippines,PHL,winter
Feb,24.1,1964,Philippines,PHL,winter
Mar,25.0,1964,Philippines,PHL,spring
Apr,26.1,1964,Philippines,PHL,spring
May,26.3,1964,Philippines,PHL,spring
Jun,25.7,1964,Philippines,PHL,summer
Jul,25.5,1964,Philippines,PHL,summer
Aug,25.5,1964,Philippines,PHL,summer
Sep,25.5,1964,Philippines,PHL,autumn
Oct,25.4,1964,Philippines,PHL,autumn
Nov,24.6,1964,Philippines,PHL,autumn
Dec,24.1,1964,Philippines,PHL,winter
Jan,23.4,1965,Philippines,PHL,winter
Feb,24.1,1965,Philippines,PHL,winter
Mar,24.4,1965,Philippines,PHL,spring
Apr,25.7,1965,Philippines,PHL,spring
May,26.0,1965,Philippines,PHL,spring
Jun,25.4,1965,Philippines,PHL,summer
Jul,24.9,1965,Philippines,PHL,summer
Aug,25.4,1965,Philippines,PHL,summer
Sep,25.4,1965,Philippines,PHL,autumn
Oct,25.4,1965,Philippines,PHL,autumn
Nov,25.4,1965,Philippines,PHL,autumn
Dec,24.8,1965,Philippines,PHL,winter
Jan,24.5,1966,Philippines,PHL,winter
Feb,24.8,1966,Philippines,PHL,winter
Mar,25.4,1966,Philippines,PHL,spring
Apr,26.5,1966,Philippines,PHL,spring
May,26.0,1966,Philippines,PHL,spring
Jun,26.1,1966,Philippines,PHL,summer
Jul,25.6,1966,Philippines,PHL,summer
Aug,25.8,1966,Philippines,PHL,summer
Sep,25.4,1966,Philippines,PHL,autumn
Oct,25.4,1966,Philippines,PHL,autumn
Nov,25.2,1966,Philippines,PHL,autumn
Dec,25.0,1966,Philippines,PHL,winter
Jan,23.7,1967,Philippines,PHL,winter
Feb,23.7,1967,Philippines,PHL,winter
Mar,24.4,1967,Philippines,PHL,spring
Apr,25.7,1967,Philippines,PHL,spring
May,26.6,1967,Philippines,PHL,spring
Jun,25.8,1967,Philippines,PHL,summer
Jul,25.5,1967,Philippines,PHL,summer
Aug,25.2,1967,Philippines,PHL,summer
Sep,25.3,1967,Philippines,PHL,autumn
Oct,25.0,1967,Philippines,PHL,autumn
Nov,24.6,1967,Philippines,PHL,autumn
Dec,23.6,1967,Philippines,PHL,winter
Jan,23.6,1968,Philippines,PHL,winter
Feb,23.3,1968,Philippines,PHL,winter
Mar,24.9,1968,Philippines,PHL,spring
Apr,25.5,1968,Philippines,PHL,spring
May,26.7,1968,Philippines,PHL,spring
Jun,26.5,1968,Philippines,PHL,summer
Jul,26.1,1968,Philippines,PHL,summer
Aug,25.5,1968,Philippines,PHL,summer
Sep,25.6,1968,Philippines,PHL,autumn
Oct,25.0,1968,Philippines,PHL,autumn
Nov,24.1,1968,Philippines,PHL,autumn
Dec,24.3,1968,Philippines,PHL,winter
Jan,24.4,1969,Philippines,PHL,winter
Feb,24.0,1969,Philippines,PHL,winter
Mar,25.2,1969,Philippines,PHL,spring
Apr,26.2,1969,Philippines,PHL,spring
May,27.1,1969,Philippines,PHL,spring
Jun,26.3,1969,Philippines,PHL,summer
Jul,25.7,1969,Philippines,PHL,summer
Aug,25.7,1969,Philippines,PHL,summer
Sep,25.6,1969,Philippines,PHL,autumn
Oct,25.4,1969,Philippines,PHL,autumn
Nov,24.8,1969,Philippines,PHL,autumn
Dec,24.5,1969,Philippines,PHL,winter
Jan,24.2,1970,Philippines,PHL,winter
Feb,24.3,1970,Philippines,PHL,winter
Mar,25.5,1970,Philippines,PHL,spring
Apr,26.3,1970,Philippines,PHL,spring
May,26.9,1970,Philippines,PHL,spring
Jun,26.1,1970,Philippines,PHL,summer
Jul,25.8,1970,Philippines,PHL,summer
Aug,25.4,1970,Philippines,PHL,summer
Sep,25.6,1970,Philippines,PHL,autumn
Oct,25.5,1970,Philippines,PHL,autumn
Nov,25.2,1970,Philippines,PHL,autumn
Dec,25.2,1970,Philippines,PHL,winter
Jan,23.4,1971,Philippines,PHL,winter
Feb,24.2,1971,Philippines,PHL,winter
Mar,24.2,1971,Philippines,PHL,spring
Apr,25.3,1971,Philippines,PHL,spring
May,25.9,1971,Philippines,PHL,spring
Jun,25.3,1971,Philippines,PHL,summer
Jul,25.2,1971,Philippines,PHL,summer
Aug,25.4,1971,Philippines,PHL,summer
Sep,25.5,1971,Philippines,PHL,autumn
Oct,24.9,1971,Philippines,PHL,autumn
Nov,24.6,1971,Philippines,PHL,autumn
Dec,24.5,1971,Philippines,PHL,winter
Jan,23.7,1972,Philippines,PHL,winter
Feb,24.5,1972,Philippines,PHL,winter
Mar,24.0,1972,Philippines,PHL,spring
Apr,25.5,1972,Philippines,PHL,spring
May,26.1,1972,Philippines,PHL,spring
Jun,25.8,1972,Philippines,PHL,summer
Jul,25.5,1972,Philippines,PHL,summer
Aug,25.1,1972,Philippines,PHL,summer
Sep,25.5,1972,Philippines,PHL,autumn
Oct,25.8,1972,Philippines,PHL,autumn
Nov,25.4,1972,Philippines,PHL,autumn
Dec,24.9,1972,Philippines,PHL,winter
Jan,24.5,1973,Philippines,PHL,winter
Feb,24.8,1973,Philippines,PHL,winter
Mar,25.3,1973,Philippines,PHL,spring
Apr,26.6,1973,Philippines,PHL,spring
May,27.1,1973,Philippines,PHL,spring
Jun,26.5,1973,Philippines,PHL,summer
Jul,25.8,1973,Philippines,PHL,summer
Aug,25.5,1973,Philippines,PHL,summer
Sep,25.6,1973,Philippines,PHL,autumn
Oct,25.3,1973,Philippines,PHL,autumn
Nov,24.6,1973,Philippines,PHL,autumn
Dec,24.0,1973,Philippines,PHL,winter
Jan,23.7,1974,Philippines,PHL,winter
Feb,24.2,1974,Philippines,PHL,winter
Mar,24.9,1974,Philippines,PHL,spring
Apr,26.2,1974,Philippines,PHL,spring
May,26.5,1974,Philippines,PHL,spring
Jun,25.6,1974,Philippines,PHL,summer
Jul,25.6,1974,Philippines,PHL,summer
Aug,25.6,1974,Philippines,PHL,summer
Sep,25.9,1974,Philippines,PHL,autumn
Oct,25.2,1974,Philippines,PHL,autumn
Nov,24.9,1974,Philippines,PHL,autumn
Dec,24.7,1974,Philippines,PHL,winter
Jan,24.0,1975,Philippines,PHL,winter
Feb,24.3,1975,Philippines,PHL,winter
Mar,25.2,1975,Philippines,PHL,spring
Apr,25.8,1975,Philippines,PHL,spring
May,26.5,1975,Philippines,PHL,spring
Jun,25.7,1975,Philippines,PHL,summer
Jul,25.6,1975,Philippines,PHL,summer
Aug,25.3,1975,Philippines,PHL,summer
Sep,25.3,1975,Philippines,PHL,autumn
Oct,25.5,1975,Philippines,PHL,autumn
Nov,24.9,1975,Philippines,PHL,autumn
Dec,24.0,1975,Philippines,PHL,winter
Jan,23.6,1976,Philippines,PHL,winter
Feb,23.9,1976,Philippines,PHL,winter
Mar,24.9,1976,Philippines,PHL,spring
Apr,25.9,1976,Philippines,PHL,spring
May,25.5,1976,Philippines,PHL,spring
Jun,25.4,1976,Philippines,PHL,summer
Jul,25.4,1976,Philippines,PHL,summer
Aug,25.2,1976,Philippines,PHL,summer
Sep,25.2,1976,Philippines,PHL,autumn
Oct,25.8,1976,Philippines,PHL,autumn
Nov,25.0,1976,Philippines,PHL,autumn
Dec,24.5,1976,Philippines,PHL,winter
Jan,24.7,1977,Philippines,PHL,winter
Feb,24.0,1977,Philippines,PHL,winter
Mar,24.9,1977,Philippines,PHL,spring
Apr,26.4,1977,Philippines,PHL,spring
May,26.9,1977,Philippines,PHL,spring
Jun,26.2,1977,Philippines,PHL,summer
Jul,25.7,1977,Philippines,PHL,summer
Aug,25.5,1977,Philippines,PHL,summer
Sep,25.5,1977,Philippines,PHL,autumn
Oct,25.8,1977,Philippines,PHL,autumn
