month,tas,year,country,iso3,season
Jan,-28.7,1960,Russia,RUS,winter
Feb,-25.4,1960,Russia,RUS,winter
Mar,-19.8,1960,Russia,RUS,spring
Apr,-7.5,1960,Russia,RUS,spring
May,2.0,1960,Russia,RUS,spring
Jun,11.5,1960,Russia,RUS,summer
Jul,14.7,1960,Russia,RUS,summer
Aug,11.3,1960,Russia,RUS,summer
Sep,5.3,1960,Russia,RUS,autumn
Oct,-6.8,1960,Russia,RUS,autumn
Nov,-19.8,1960,Russia,RUS,autumn
Dec,-22.6,1960,Russia,RUS,winter
Jan,-27.2,1961,Russia,RUS,winter
Feb,-22.7,1961,Russia,RUS,winter
Mar,-15.2,1961,Russia,RUS,spring
Apr,-7.3,1961,Russia,RUS,spring
May,2.4,1961,Russia,RUS,spring
Jun,10.6,1961,Russia,RUS,summer
Jul,14.6,1961,Russia,RUS,summer
Aug,11.6,1961,Russia,RUS,summer
Sep,5.7,1961,Russia,RUS,autumn
Oct,-5.8,1961,Russia,RUS,autumn
Nov,-17.4,1961,Russia,RUS,autumn
Dec,-24.7,1961,Russia,RUS,winter
Jan,-23.2,1962,Russia,RUS,winter
Feb,-21.1,1962,Russia,RUS,winter
Mar,-16.4,1962,Russia,RUS,spring
Apr,-5.3,1962,Russia,RUS,spring
May,3.6,1962,Russia,RUS,spring
Jun,10.1,1962,Russia,RUS,summer
Jul,15.0,1962,Russia,RUS,summer
Aug,11.7,1962,Russia,RUS,summer
Sep,5.3,1962,Russia,RUS,autumn
Oct,-5.6,1962,Russia,RUS,autumn
Nov,-18.1,1962,Russia,RUS,autumn
Dec,-24.4,1962,Russia,RUS,winter
Jan,-25.4,1963,Russia,RUS,winter
Feb,-22.0,1963,Russia,RUS,winter
Mar,-18.8,1963,Russia,RUS,spring
Apr,-8.4,1963,Russia,RUS,spring
May,2.1,1963,Russia,RUS,spring
Jun,9.9,1963,Russia,RUS,summer
Jul,14.6,1963,Russia,RUS,summer
Aug,12.1,1963,Russia,RUS,summer
Sep,5.5,1963,Russia,RUS,autumn
Oct,-4.3,1963,Russia,RUS,autumn
Nov,-16.2,1963,Russia,RUS,autumn
Dec,-24.4,1963,Russia,RUS,winter
Jan,-26.8,1964,Russia,RUS,winter
Feb,-24.8,1964,Russia,RUS,winter
Mar,-19.8,1964,Russia,RUS,spring
Apr,-9.7,1964,Russia,RUS,spring
May,2.0,1964,Russia,RUS,spring
Jun,10.8,1964,Russia,RUS,summer
Jul,14.8,1964,Russia,RUS,summer
Aug,11.9,1964,Russia,RUS,summer
Sep,5.2,1964,Russia,RUS,autumn
Oct,-6.0,1964,Russia,RUS,autumn
Nov,-18.5,1964,Russia,RUS,autumn
Dec,-23.7,1964,Russia,RUS,winter
Jan,-27.5,1965,Russia,RUS,winter
Feb,-27.0,1965,Russia,RUS,winter
Mar,-16.3,1965,Russia,RUS,spring
Apr,-7.6,1965,Russia,RUS,spring
May,1.8,1965,Russia,RUS,spring
Jun,10.2,1965,Russia,RUS,summer
Jul,14.6,1965,Russia,RUS,summer
Aug,11.6,1965,Russia,RUS,summer
Sep,5.5,1965,Russia,RUS,autumn
Oct,-5.2,1965,Russia,RUS,autumn
Nov,-20.7,1965,Russia,RUS,autumn
Dec,-25.9,1965,Russia,RUS,winter
Jan,-28.9,1966,Russia,RUS,winter
Feb,-29.9,1966,Russia,RUS,winter
Mar,-19.4,1966,Russia,RUS,spring
Apr,-9.0,1966,Russia,RUS,spring
May,2.9,1966,Russia,RUS,spring
Jun,10.6,1966,Russia,RUS,summer
Jul,14.1,1966,Russia,RUS,summer
Aug,12.1,1966,Russia,RUS,summer
Sep,5.8,1966,Russia,RUS,autumn
Oct,-6.4,1966,Russia,RUS,autumn
Nov,-18.1,1966,Russia,RUS,autumn
Dec,-25.5,1966,Russia,RUS,winter
Jan,-27.8,1967,Russia,RUS,winter
Feb,-25.5,1967,Russia,RUS,winter
Mar,-14.8,1967,Russia,RUS,spring
Apr,-5.2,1967,Russia,RUS,spring
May,3.9,1967,Russia,RUS,spring
Jun,11.2,1967,Russia,RUS,summer
Jul,15.3,1967,Russia,RUS,summer
Aug,11.7,1967,Russia,RUS,summer
Sep,5.0,1967,Russia,RUS,autumn
Oct,-1.7,1967,Russia,RUS,autumn
Nov,-15.7,1967,Russia,RUS,autumn
Dec,-22.6,1967,Russia,RUS,winter
Jan,-27.6,1968,Russia,RUS,winter
Feb,-22.7,1968,Russia,RUS,winter
Mar,-12.9,1968,Russia,RUS,spring
Apr,-5.9,1968,Russia,RUS,spring
May,3.1,1968,Russia,RUS,spring
Jun,10.1,1968,Russia,RUS,summer
Jul,14.0,1968,Russia,RUS,summer
Aug,11.8,1968,Russia,RUS,summer
Sep,4.3,1968,Russia,RUS,autumn
Oct,-6.1,1968,Russia,RUS,autumn
Nov,-22.0,1968,Russia,RUS,autumn
Dec,-28.6,1968,Russia,RUS,winter
Jan,-30.7,1969,Russia,RUS,winter
Feb,-31.1,1969,Russia,RUS,winter
Mar,-20.0,1969,Russia,RUS,spring
Apr,-8.3,1969,Russia,RUS,spring
May,1.1,1969,Russia,RUS,spring
Jun,10.1,1969,Russia,RUS,summer
Jul,15.3,1969,Russia,RUS,summer
Aug,11.9,1969,Russia,RUS,summer
Sep,4.7,1969,Russia,RUS,autumn
Oct,-6.2,1969,Russia,RUS,autumn
Nov,-16.3,1969,Russia,RUS,autumn
Dec,-24.7,1969,Russia,RUS,winter
Jan,-27.2,1970,Russia,RUS,winter
Feb,-24.8,1970,Russia,RUS,winter
Mar,-17.2,1970,Russia,RUS,spring
Apr,-7.3,1970,Russia,RUS,spring
May,1.8,1970,Russia,RUS,spring
Jun,10.4,1970,Russia,RUS,summer
Jul,15.2,1970,Russia,RUS,summer
