month,tas,year,country,iso3,season
Jan,1.5,1960,Turkey,TUR,winter
Feb,1.3,1960,Turkey,TUR,winter
Mar,4.3,1960,Turkey,TUR,spring
Apr,9.4,1960,Turkey,TUR,spring
May,15.7,1960,Turkey,TUR,spring
Jun,18.1,1960,Turkey,TUR,summer
Jul,21.7,1960,Turkey,TUR,summer
Aug,21.1,1960,Turkey,TUR,summer
Sep,18.5,1960,Turkey,TUR,autumn
Oct,14.8,1960,Turkey,TUR,autumn
Nov,9.0,1960,Turkey,TUR,autumn
Dec,4.8,1960,Turkey,TUR,winter
Jan,-0.3,1961,Turkey,TUR,winter
Feb,0.6,1961,Turkey,TUR,winter
Mar,3.7,1961,Turkey,TUR,spring
Apr,11.2,1961,Turkey,TUR,spring
May,15.6,1961,Turkey,TUR,spring
Jun,19.1,1961,Turkey,TUR,summer
Jul,22.1,1961,Turkey,TUR,summer
Aug,22.5,1961,Turkey,TUR,summer
Sep,16.3,1961,Turkey,TUR,autumn
Oct,12.7,1961,Turkey,TUR,autumn
Nov,7.7,1961,Turkey,TUR,autumn
Dec,3.4,1961,Turkey,TUR,winter
Jan,0.5,1962,Turkey,TUR,winter
Feb,1.1,1962,Turkey,TUR,winter
Mar,7.1,1962,Turkey,TUR,spring
Apr,9.8,1962,Turkey,TUR,spring
May,15.7,1962,Turkey,TUR,spring
Jun,19.3,1962,Turkey,TUR,summer
Jul,23.0,1962,Turkey,TUR,summer
Aug,23.4,1962,Turkey,TUR,summer
Sep,18.9,1962,Turkey,TUR,autumn
Oct,13.5,1962,Turkey,TUR,autumn
Nov,10.2,1962,Turkey,TUR,autumn
Dec,4.0,1962,Turkey,TUR,winter
Jan,2.1,1963,Turkey,TUR,winter
Feb,3.7,1963,Turkey,TUR,winter
Mar,2.9,1963,Turkey,TUR,spring
Apr,9.3,1963,Turkey,TUR,spring
May,13.0,1963,Turkey,TUR,spring
Jun,18.2,1963,Turkey,TUR,summer
Jul,21.9,1963,Turkey,TUR,summer
Aug,22.6,1963,Turkey,TUR,summer
Sep,18.8,1963,Turkey,TUR,autumn
Oct,13.6,1963,Turkey,TUR,autumn
Nov,7.8,1963,Turkey,TUR,autumn
Dec,2.0,1963,Turkey,TUR,winter
Jan,-4.8,1964,Turkey,TUR,winter
Feb,-0.3,1964,Turkey,TUR,winter
Mar,5.3,1964,Turkey,TUR,spring
Apr,9.2,1964,Turkey,TUR,spring
May,13.5,1964,Turkey,TUR,spring
Jun,18.6,1964,Turkey,TUR,summer
Jul,21.7,1964,Turkey,TUR,summer
Aug,20.7,1964,Turkey,TUR,summer
Sep,17.5,1964,Turkey,TUR,autumn
Oct,13.3,1964,Turkey,TUR,autumn
Nov,7.1,1964,Turkey,TUR,autumn
Dec,2.3,1964,Turkey,TUR,winter
Jan,-0.4,1965,Turkey,TUR,winter
Feb,-0.3,1965,Turkey,TUR,winter
Mar,5.3,1965,Turkey,TUR,spring
Apr,8.6,1965,Turkey,TUR,spring
May,13.9,1965,Turkey,TUR,spring
Jun,19.3,1965,Turkey,TUR,summer
Jul,21.8,1965,Turkey,TUR,summer
Aug,22.0,1965,Turkey,TUR,summer
Sep,18.7,1965,Turkey,TUR,autumn
Oct,9.9,1965,Turkey,TUR,autumn
Nov,6.6,1965,Turkey,TUR,autumn
Dec,3.3,1965,Turkey,TUR,winter
Jan,2.9,1966,Turkey,TUR,winter
Feb,4.8,1966,Turkey,TUR,winter
Mar,5.7,1966,Turkey,TUR,spring
Apr,11.2,1966,Turkey,TUR,spring
May,14.2,1966,Turkey,TUR,spring
Jun,18.8,1966,Turkey,TUR,summer
Jul,22.5,1966,Turkey,TUR,summer
Aug,23.1,1966,Turkey,TUR,summer
Sep,17.8,1966,Turkey,TUR,autumn
Oct,14.7,1966,Turkey,TUR,autumn
Nov,10.4,1966,Turkey,TUR,autumn
Dec,3.4,1966,Turkey,TUR,winter
Jan,-0.9,1967,Turkey,TUR,winter
Feb,-2.7,1967,Turkey,TUR,winter
Mar,3.0,1967,Turkey,TUR,spring
Apr,8.8,1967,Turkey,TUR,spring
May,14.1,1967,Turkey,TUR,spring
Jun,17.1,1967,Turkey,TUR,summer
Jul,20.9,1967,Turkey,TUR,summer
Aug,21.8,1967,Turkey,TUR,summer
Sep,17.6,1967,Turkey,TUR,autumn
Oct,12.9,1967,Turkey,TUR,autumn
Nov,6.1,1967,Turkey,TUR,autumn
Dec,2.5,1967,Turkey,TUR,winter
Jan,-1.7,1968,Turkey,TUR,winter
Feb,0.2,1968,Turkey,TUR,winter
Mar,3.9,1968,Turkey,TUR,spring
Apr,11.8,1968,Turkey,TUR,spring
May,16.5,1968,Turkey,TUR,spring
Jun,17.8,1968,Turkey,TUR,summer
Jul,22.1,1968,Turkey,TUR,summer
Aug,20.4,1968,Turkey,TUR,summer
Sep,17.8,1968,Turkey,TUR,autumn
Oct,12.8,1968,Turkey,TUR,autumn
Nov,8.0,1968,Turkey,TUR,autumn
Dec,2.9,1968,Turkey,TUR,winter
Jan,-0.7,1969,Turkey,TUR,winter
Feb,0.6,1969,Turkey,TUR,winter
Mar,5.4,1969,Turkey,TUR,spring
Apr,7.9,1969,Turkey,TUR,spring
May,15.4,1969,Turkey,TUR,spring
Jun,19.6,1969,Turkey,TUR,summer
Jul,20.3,1969,Turkey,TUR,summer
Aug,22.2,1969,Turkey,TUR,summer
Sep,18.5,1969,Turkey,TUR,autumn
Oct,12.3,1969,Turkey,TUR,autumn
Nov,6.8,1969,Turkey,TUR,autumn
Dec,3.9,1969,Turkey,TUR,winter
Jan,2.2,1970,Turkey,TUR,winter
Feb,3.7,1970,Turkey,TUR,winter
Mar,6.7,1970,Turkey,TUR,spring
Apr,12.5,1970,Turkey,TUR,spring
May,14.4,1970,Turkey,TUR,spring
Jun,19.0,1970,Turkey,TUR,summer
Jul,22.3,1970,Turkey,TUR,summer
Aug,21.5,1970,Turkey,TUR,summer
Sep,17.7,1970,Turkey,TUR,autumn
Oct,11.4,1970,Turkey,TUR,autumn
Nov,8.2,1970,Turkey,TUR,autumn
