quartil,autumn,spring,summer,winter,country,iso3
min,3.4,1.0,17.1,-4.8,Turkey,TUR
25%,8.05,6.3,19.6,-0.35,Turkey,TUR
50%,13.3,9.9,21.7,1.1,Turkey,TUR
75%,17.8,14.15,22.55,2.5,Turkey,TUR
max,21.7,16.9,24.6,5.3,Turkey,TUR
min,-22.0,-20.5,9.9,-31.1,Russia,RUS
25%,-15.2,-14.6,11.6,-26.1,Russia,RUS
50%,-4.8,-6.0,12.4,-24.5,Russia,RUS
75%,5.2,2.4,14.6,-22.8,Russia,RUS
max,7.9,5.6,16.1,-18.2,Russia,RUS
min,24.1,24.0,24.9,22.7,Philippines,PHL
25%,25.3,25.7,25.6,24.2,Philippines,PHL
50%,25.6,26.3,25.8,24.6,Philippines,PHL
75%,25.9,26.75,26.2,25.1,Philippines,PHL
max,26.7,27.8,27.3,26.0,Philippines,PHL
min,19.8,22.6,25.9,16.1,India,IND
25%,21.9,24.6,26.65,17.5,India,IND
50%,25.0,27.9,27.3,18.1,India,IND
75%,26.1,29.65,28.9,19.25,India,IND
max,27.3,31.1,30.7,21.8,India,IND
min,3.0,1.8,10.7,-1.4,United Kingdom,GBR
25%,6.75,5.8,13.3,2.7,United Kingdom,GBR
50%,9.6,7.1,14.2,3.8,United Kingdom,GBR
75%,12.0,9.65,15.1,4.6,United Kingdom,GBR
max,14.8,12.1,17.2,7.0,United Kingdom,GBR
min,4.1,3.6,14.2,-1.7,France,FRA
25%,8.3,8.05,17.2,3.1,France,FRA
50%,12.0,9.7,18.4,4.3,France,FRA
75%,15.05,12.5,19.7,5.4,France,FRA
max,18.6,15.8,22.8,8.7,France,FRA
min,16.7,15.2,27.4,10.9,Egypt,EGY
25%,19.9,19.0,28.8,13.2,Egypt,EGY
50%,24.8,22.7,29.6,14.3,Egypt,EGY
75%,27.25,25.9,30.4,15.1,Egypt,EGY
max,30.4,28.8,31.6,18.1,Egypt,EGY
min,0.8,-0.0,13.7,-7.2,Germany,DEU
25%,5.65,5.75,16.0,-0.5,Germany,DEU
50%,9.5,8.4,17.1,1.0,Germany,DEU
75%,13.15,11.85,18.35,2.6,Germany,DEU
max,17.5,16.2,21.7,6.6,Germany,DEU
min,-2.5,-2.2,16.3,-10.9,China,CHN
25%,0.5,1.7,17.8,-7.8,China,CHN
50%,7.5,7.9,18.7,-6.6,China,CHN
75%,13.7,13.0,19.4,-5.4,China,CHN
max,15.4,14.7,21.0,-1.9,China,CHN
min,-18.1,-23.4,5.9,-30.4,Canada,CAN
25%,-12.85,-16.95,8.0,-24.3,Canada,CAN
50%,-4.3,-9.7,9.7,-22.7,Canada,CAN
75%,3.25,-0.85,10.9,-20.8,Canada,CAN
max,5.6,2.2,12.8,-16.4,Canada,CAN
min,-1.1,-2.5,16.0,-8.5,United States,USA
25%,1.4,1.2,18.0,-5.4,United States,USA
50%,7.9,6.5,19.1,-4.4,United States,USA
75%,14.25,12.05,19.95,-3.4,United States,USA
max,16.9,14.7,21.4,-0.1,United States,USA
min,23.0,24.5,24.9,22.3,Brazil,BRA
25%,24.7,25.4,25.6,23.4,Brazil,BRA
50%,25.2,25.9,25.9,23.9,Brazil,BRA
75%,25.7,26.3,26.2,24.4,Brazil,BRA
max,26.6,27.2,27.0,25.9,Brazil,BRA
min,15.7,17.2,25.7,13.0,Australia,AUS
25%,18.6,20.0,26.85,14.4,Australia,AUS
50%,21.9,22.8,27.5,15.0,Australia,AUS
75%,24.95,24.75,28.0,15.7,Australia,AUS
max,27.0,27.2,29.9,17.5,Australia,AUS
min,25.3,25.4,25.0,24.9,Indonesia,IDN
25%,25.8,26.0,25.4,25.6,Indonesia,IDN
50%,26.0,26.2,25.7,25.9,Indonesia,IDN
75%,26.3,26.4,25.9,26.1,Indonesia,IDN
max,26.7,26.9,26.5,26.6,Indonesia,IDN
