month,tasmax,year,country,iso3,season
Jan,35.1,1960,Australia,AUS,summer
Feb,32.9,1960,Australia,AUS,summer
Mar,31.9,1960,Australia,AUS,autumn
Apr,27.9,1960,Australia,AUS,autumn
May,21.6,1960,Australia,AUS,autumn
Jun,20.5,1960,Australia,AUS,winter
Jul,20.5,1960,Australia,AUS,winter
Aug,21.9,1960,Australia,AUS,winter
Sep,25.5,1960,Australia,AUS,spring
Oct,30.5,1960,Australia,AUS,spring
Nov,31.9,1960,Australia,AUS,spring
Dec,33.8,1960,Australia,AUS,summer
Jan,35.1,1961,Australia,AUS,summer
Feb,33.9,1961,Australia,AUS,summer
Mar,32.8,1961,Australia,AUS,autumn
Apr,28.7,1961,Australia,AUS,autumn
May,24.6,1961,Australia,AUS,autumn
Jun,21.8,1961,Australia,AUS,winter
Jul,20.4,1961,Australia,AUS,winter
Aug,22.5,1961,Australia,AUS,winter
Sep,27.7,1961,Australia,AUS,spring
Oct,31.7,1961,Australia,AUS,spring
Nov,32.6,1961,Australia,AUS,spring
Dec,34.9,1961,Australia,AUS,summer
Jan,34.1,1962,Australia,AUS,summer
Feb,33.9,1962,Australia,AUS,summer
Mar,31.7,1962,Australia,AUS,autumn
Apr,28.8,1962,Australia,AUS,autumn
May,23.9,1962,Australia,AUS,autumn
Jun,22.9,1962,Australia,AUS,winter
Jul,21.1,1962,Australia,AUS,winter
Aug,22.8,1962,Australia,AUS,winter
Sep,26.3,1962,Australia,AUS,spring
Oct,29.4,1962,Australia,AUS,spring
Nov,33.9,1962,Australia,AUS,spring
Dec,33.8,1962,Australia,AUS,summer
Jan,33.6,1963,Australia,AUS,summer
Feb,33.8,1963,Australia,AUS,summer
Mar,32.1,1963,Australia,AUS,autumn
Apr,27.6,1963,Australia,AUS,autumn
May,24.0,1963,Australia,AUS,autumn
Jun,20.6,1963,Australia,AUS,winter
Jul,20.3,1963,Australia,AUS,winter
Aug,22.9,1963,Australia,AUS,winter
Sep,26.8,1963,Australia,AUS,spring
Oct,30.3,1963,Australia,AUS,spring
Nov,32.7,1963,Australia,AUS,spring
Dec,34.5,1963,Australia,AUS,summer
Jan,34.6,1964,Australia,AUS,summer
Feb,33.5,1964,Australia,AUS,summer
Mar,32.7,1964,Australia,AUS,autumn
Apr,28.5,1964,Australia,AUS,autumn
May,24.2,1964,Australia,AUS,autumn
Jun,21.7,1964,Australia,AUS,winter
Jul,21.9,1964,Australia,AUS,winter
Aug,23.3,1964,Australia,AUS,winter
Sep,26.2,1964,Australia,AUS,spring
Oct,28.0,1964,Australia,AUS,spring
Nov,31.9,1964,Australia,AUS,spring
Dec,33.2,1964,Australia,AUS,summer
Jan,35.2,1965,Australia,AUS,summer
Feb,36.1,1965,Australia,AUS,summer
Mar,32.0,1965,Australia,AUS,autumn
Apr,28.6,1965,Australia,AUS,autumn
May,25.3,1965,Australia,AUS,autumn
Jun,21.6,1965,Australia,AUS,winter
Jul,20.1,1965,Australia,AUS,winter
Aug,22.9,1965,Australia,AUS,winter
Sep,27.4,1965,Australia,AUS,spring
Oct,30.8,1965,Australia,AUS,spring
Nov,32.8,1965,Australia,AUS,spring
Dec,34.3,1965,Australia,AUS,summer
Jan,34.1,1966,Australia,AUS,summer
Feb,33.6,1966,Australia,AUS,summer
Mar,32.6,1966,Australia,AUS,autumn
Apr,29.0,1966,Australia,AUS,autumn
May,23.8,1966,Australia,AUS,autumn
