month,tasmax,year,country,iso3,season
Jan,30.4,1960,Brazil,BRA,summer
Feb,30.3,1960,Brazil,BRA,summer
Mar,29.9,1960,Brazil,BRA,autumn
Apr,29.6,1960,Brazil,BRA,autumn
May,28.6,1960,Brazil,BRA,autumn
Jun,29.0,1960,Brazil,BRA,winter
Jul,29.3,1960,Brazil,BRA,winter
Aug,30.4,1960,Brazil,BRA,winter
Sep,31.3,1960,Brazil,BRA,spring
Oct,31.6,1960,Brazil,BRA,spring
Nov,30.6,1960,Brazil,BRA,spring
Dec,30.5,1960,Brazil,BRA,summer
Jan,30.6,1961,Brazil,BRA,summer
Feb,30.4,1961,Brazil,BRA,summer
Mar,30.4,1961,Brazil,BRA,autumn
Apr,30.2,1961,Brazil,BRA,autumn
May,29.7,1961,Brazil,BRA,autumn
Jun,28.9,1961,Brazil,BRA,winter
Jul,29.7,1961,Brazil,BRA,winter
Aug,31.6,1961,Brazil,BRA,winter
Sep,32.2,1961,Brazil,BRA,spring
Oct,31.8,1961,Brazil,BRA,spring
Nov,31.4,1961,Brazil,BRA,spring
Dec,30.5,1961,Brazil,BRA,summer
Jan,30.5,1962,Brazil,BRA,summer
Feb,30.5,1962,Brazil,BRA,summer
Mar,30.5,1962,Brazil,BRA,autumn
Apr,29.7,1962,Brazil,BRA,autumn
May,29.1,1962,Brazil,BRA,autumn
Jun,28.7,1962,Brazil,BRA,winter
Jul,28.7,1962,Brazil,BRA,winter
Aug,30.8,1962,Brazil,BRA,winter
Sep,31.9,1962,Brazil,BRA,spring
Oct,31.0,1962,Brazil,BRA,spring
Nov,31.3,1962,Brazil,BRA,spring
Dec,30.7,1962,Brazil,BRA,summer
Jan,30.7,1963,Brazil,BRA,summer
Feb,30.2,1963,Brazil,BRA,summer
Mar,30.5,1963,Brazil,BRA,autumn
Apr,30.1,1963,Brazil,BRA,autumn
May,29.2,1963,Brazil,BRA,autumn
Jun,28.8,1963,Brazil,BRA,winter
Jul,29.8,1963,Brazil,BRA,winter
Aug,31.3,1963,Brazil,BRA,winter
Sep,32.1,1963,Brazil,BRA,spring
Oct,32.7,1963,Brazil,BRA,spring
Nov,31.5,1963,Brazil,BRA,spring
Dec,30.8,1963,Brazil,BRA,summer
Jan,30.7,1964,Brazil,BRA,summer
Feb,30.8,1964,Brazil,BRA,summer
Mar,30.3,1964,Brazil,BRA,autumn
Apr,30.2,1964,Brazil,BRA,autumn
May,29.2,1964,Brazil,BRA,autumn
Jun,28.6,1964,Brazil,BRA,winter
Jul,29.1,1964,Brazil,BRA,winter
Aug,30.9,1964,Brazil,BRA,winter
Sep,31.4,1964,Brazil,BRA,spring
Oct,30.8,1964,Brazil,BRA,spring
Nov,30.5,1964,Brazil,BRA,spring
Dec,30.3,1964,Brazil,BRA,summer
Jan,30.3,1965,Brazil,BRA,summer
Feb,30.5,1965,Brazil,BRA,summer
Mar,29.7,1965,Brazil,BRA,autumn
Apr,29.7,1965,Brazil,BRA,autumn
May,29.5,1965,Brazil,BRA,autumn
Jun,29.5,1965,Brazil,BRA,winter
Jul,29.6,1965,Brazil,BRA,winter
Aug,30.9,1965,Brazil,BRA,winter
Sep,31.8,1965,Brazil,BRA,spring
Oct,31.6,1965,Brazil,BRA,spring
Nov,31.0,1965,Brazil,BRA,spring
Dec,30.8,1965,Brazil,BRA,summer
Jan,30.9,1966,Brazil,BRA,summer
Feb,30.8,1966,Brazil,BRA,summer
Mar,30.5,1966,Brazil,BRA,autumn
Apr,30.0,1966,Brazil,BRA,autumn
May,29.7,1966,Brazil,BRA,autumn
Jun,29.6,1966,Brazil,BRA,winter
Jul,29.6,1966,Brazil,BRA,winter
Aug,30.4,1966,Brazil,BRA,winter
Sep,30.9,1966,Brazil,BRA,spring
Oct,31.8,1966,Brazil,BRA,spring
Nov,31.0,1966,Brazil,BRA,spring
Dec,30.9,1966,Brazil,BRA,summer
Jan,30.5,1967,Brazil,BRA,summer
Feb,30.4,1967,Brazil,BRA,summer
Mar,30.0,1967,Brazil,BRA,autumn
Apr,29.9,1967,Brazil,BRA,autumn
May,29.9,1967,Brazil,BRA,autumn
Jun,28.8,1967,Brazil,BRA,winter
Jul,29.5,1967,Brazil,BRA,winter
Aug,31.1,1967,Brazil,BRA,winter
Sep,31.7,1967,Brazil,BRA,spring
Oct,32.0,1967,Brazil,BRA,spring
Nov,30.9,1967,Brazil,BRA,spring
Dec,30.8,1967,Brazil,BRA,summer
Jan,30.4,1968,Brazil,BRA,summer
Feb,30.2,1968,Brazil,BRA,summer
Mar,30.0,1968,Brazil,BRA,autumn
Apr,29.2,1968,Brazil,BRA,autumn
May,28.3,1968,Brazil,BRA,autumn
Jun,28.9,1968,Brazil,BRA,winter
Jul,29.5,1968,Brazil,BRA,winter
Aug,30.5,1968,Brazil,BRA,winter
Sep,30.7,1968,Brazil,BRA,spring
Oct,31.6,1968,Brazil,BRA,spring
Nov,31.3,1968,Brazil,BRA,spring
Dec,30.8,1968,Brazil,BRA,summer
Jan,30.7,1969,Brazil,BRA,summer
Feb,31.1,1969,Brazil,BRA,summer
Mar,30.9,1969,Brazil,BRA,autumn
Apr,30.3,1969,Brazil,BRA,autumn
May,30.1,1969,Brazil,BRA,autumn
Jun,29.5,1969,Brazil,BRA,winter
Jul,29.7,1969,Brazil,BRA,winter
Aug,30.8,1969,Brazil,BRA,winter
Sep,31.9,1969,Brazil,BRA,spring
Oct,31.3,1969,Brazil,BRA,spring
Nov,31.4,1969,Brazil,BRA,spring
Dec,30.5,1969,Brazil,BRA,summer
Jan,30.7,1970,Brazil,BRA,summer
Feb,30.7,1970,Brazil,BRA,summer
Mar,30.4,1970,Brazil,BRA,autumn
Apr,30.3,1970,Brazil,BRA,autumn
May,30.0,1970,Brazil,BRA,autumn
Jun,29.6,1970,Brazil,BRA,winter
Jul,29.4,1970,Brazil,BRA,winter
Aug,30.6,1970,Brazil,BRA,winter
Sep,31.2,1970,Brazil,BRA,spring
Oct,31.6,1970,Brazil,BRA,spring
Nov,30.8,1970,Brazil,BRA,spring
Dec,31.2,1970,Brazil,BRA,summer
Jan,30.4,1971,Brazil,BRA,summer
Feb,30.1,1971,Brazil,BRA,summer
Mar,30.1,1971,Brazil,BRA,autumn
Apr,29.4,1971,Brazil,BRA,autumn
May,28.7,1971,Brazil,BRA,autumn
Jun,28.2,1971,Brazil,BRA,winter
Jul,29.1,1971,Brazil,BRA,winter
Aug,30.1,1971,Brazil,BRA,winter
Sep,31.0,1971,Brazil,BRA,spring
Oct,30.4,1971,Brazil,BRA,spring
Nov,30.4,1971,Brazil,BRA,spring
Dec,30.8,1971,Brazil,BRA,summer
Jan,30.1,1972,Brazil,BRA,summer
Feb,30.2,1972,Brazil,BRA,summer
Mar,30.3,1972,Brazil,BRA,autumn
Apr,29.4,1972,Brazil,BRA,autumn
May,29.7,1972,Brazil,BRA,autumn
Jun,30.0,1972,Brazil,BRA,winter
Jul,29.6,1972,Brazil,BRA,winter
Aug,30.4,1972,Brazil,BRA,winter
Sep,31.2,1972,Brazil,BRA,spring
Oct,31.4,1972,Brazil,BRA,spring
Nov,31.2,1972,Brazil,BRA,spring
Dec,31.0,1972,Brazil,BRA,summer
Jan,31.2,1973,Brazil,BRA,summer
Feb,31.1,1973,Brazil,BRA,summer
Mar,30.8,1973,Brazil,BRA,autumn
Apr,30.6,1973,Brazil,BRA,autumn
May,29.3,1973,Brazil,BRA,autumn
Jun,29.6,1973,Brazil,BRA,winter
Jul,28.9,1973,Brazil,BRA,winter
Aug,29.9,1973,Brazil,BRA,winter
Sep,30.7,1973,Brazil,BRA,spring
Oct,31.4,1973,Brazil,BRA,spring
Nov,30.7,1973,Brazil,BRA,spring
Dec,30.4,1973,Brazil,BRA,summer
Jan,30.1,1974,Brazil,BRA,summer
Feb,30.1,1974,Brazil,BRA,summer
Mar,29.5,1974,Brazil,BRA,autumn
Apr,29.5,1974,Brazil,BRA,autumn
May,29.0,1974,Brazil,BRA,autumn
Jun,28.6,1974,Brazil,BRA,winter
Jul,28.9,1974,Brazil,BRA,winter
Aug,30.2,1974,Brazil,BRA,winter
Sep,30.8,1974,Brazil,BRA,spring
Oct,30.8,1974,Brazil,BRA,spring
Nov,30.6,1974,Brazil,BRA,spring
Dec,29.9,1974,Brazil,BRA,summer
Jan,29.9,1975,Brazil,BRA,summer
Feb,30.2,1975,Brazil,BRA,summer
Mar,29.9,1975,Brazil,BRA,autumn
Apr,29.5,1975,Brazil,BRA,autumn
May,28.9,1975,Brazil,BRA,autumn
Jun,28.8,1975,Brazil,BRA,winter
Jul,28.4,1975,Brazil,BRA,winter
Aug,30.2,1975,Brazil,BRA,winter
Sep,31.1,1975,Brazil,BRA,spring
Oct,31.1,1975,Brazil,BRA,spring
Nov,30.6,1975,Brazil,BRA,spring
Dec,30.3,1975,Brazil,BRA,summer
Jan,30.0,1976,Brazil,BRA,summer
Feb,29.9,1976,Brazil,BRA,summer
Mar,29.7,1976,Brazil,BRA,autumn
Apr,29.4,1976,Brazil,BRA,autumn
May,28.9,1976,Brazil,BRA,autumn
Jun,28.4,1976,Brazil,BRA,winter
Jul,29.0,1976,Brazil,BRA,winter
Aug,30.6,1976,Brazil,BRA,winter
Sep,30.5,1976,Brazil,BRA,spring
Oct,31.0,1976,Brazil,BRA,spring
Nov,30.6,1976,Brazil,BRA,spring
Dec,30.5,1976,Brazil,BRA,summer
Jan,30.3,1977,Brazil,BRA,summer
Feb,30.5,1977,Brazil,BRA,summer
Mar,30.5,1977,Brazil,BRA,autumn
Apr,29.7,1977,Brazil,BRA,autumn
May,29.0,1977,Brazil,BRA,autumn
Jun,29.2,1977,Brazil,BRA,winter
Jul,30.2,1977,Brazil,BRA,winter
Aug,30.6,1977,Brazil,BRA,winter
Sep,31.2,1977,Brazil,BRA,spring
Oct,31.3,1977,Brazil,BRA,spring
Nov,30.9,1977,Brazil,BRA,spring
Dec,30.5,1977,Brazil,BRA,summer
Jan,30.5,1978,Brazil,BRA,summer
Feb,30.6,1978,Brazil,BRA,summer
Mar,30.2,1978,Brazil,BRA,autumn
Apr,29.8,1978,Brazil,BRA,autumn
May,29.2,1978,Brazil,BRA,autumn
Jun,28.7,1978,Brazil,BRA,winter
Jul,29.8,1978,Brazil,BRA,winter
Aug,29.7,1978,Brazil,BRA,winter
Sep,30.8,1978,Brazil,BRA,spring
Oct,31.4,1978,Brazil,BRA,spring
Nov,30.9,1978,Brazil,BRA,spring
Dec,30.5,1978,Brazil,BRA,summer
Jan,30.1,1979,Brazil,BRA,summer
Feb,30.4,1979,Brazil,BRA,summer
Mar,30.1,1979,Brazil,BRA,autumn
Apr,29.7,1979,Brazil,BRA,autumn
May,29.4,1979,Brazil,BRA,autumn
Jun,28.4,1979,Brazil,BRA,winter
Jul,29.2,1979,Brazil,BRA,winter
Aug,31.0,1979,Brazil,BRA,winter
Sep,30.7,1979,Brazil,BRA,spring
Oct,31.6,1979,Brazil,BRA,spring
Nov,30.9,1979,Brazil,BRA,spring
Dec,30.6,1979,Brazil,BRA,summer
Jan,30.3,1980,Brazil,BRA,summer
Feb,30.5,1980,Brazil,BRA,summer
Mar,30.6,1980,Brazil,BRA,autumn
Apr,30.2,1980,Brazil,BRA,autumn
May,29.9,1980,Brazil,BRA,autumn
Jun,29.1,1980,Brazil,BRA,winter
Jul,29.6,1980,Brazil,BRA,winter
Aug,30.8,1980,Brazil,BRA,winter
Sep,30.7,1980,Brazil,BRA,spring
Oct,31.5,1980,Brazil,BRA,spring
Nov,30.6,1980,Brazil,BRA,spring
Dec,30.7,1980,Brazil,BRA,summer
Jan,30.3,1981,Brazil,BRA,summer
Feb,30.6,1981,Brazil,BRA,summer
Mar,30.5,1981,Brazil,BRA,autumn
Apr,30.1,1981,Brazil,BRA,autumn
May,29.8,1981,Brazil,BRA,autumn
Jun,28.6,1981,Brazil,BRA,winter
Jul,28.5,1981,Brazil,BRA,winter
Aug,30.4,1981,Brazil,BRA,winter
Sep,30.7,1981,Brazil,BRA,spring
Oct,30.8,1981,Brazil,BRA,spring
Nov,30.9,1981,Brazil,BRA,spring
Dec,30.7,1981,Brazil,BRA,summer
Jan,30.3,1982,Brazil,BRA,summer
Feb,30.4,1982,Brazil,BRA,summer
Mar,30.2,1982,Brazil,BRA,autumn
Apr,29.6,1982,Brazil,BRA,autumn
May,29.1,1982,Brazil,BRA,autumn
Jun,29.4,1982,Brazil,BRA,winter
Jul,29.8,1982,Brazil,BRA,winter
Aug,30.7,1982,Brazil,BRA,winter
Sep,31.0,1982,Brazil,BRA,spring
Oct,31.4,1982,Brazil,BRA,spring
Nov,31.1,1982,Brazil,BRA,spring
Dec,30.4,1982,Brazil,BRA,summer
Jan,30.7,1983,Brazil,BRA,summer
Feb,31.0,1983,Brazil,BRA,summer
Mar,30.4,1983,Brazil,BRA,autumn
Apr,30.6,1983,Brazil,BRA,autumn
