month,tasmax,year,country,iso3,season
Jan,-19.4,1960,Canada,CAN,winter
Feb,-16.0,1960,Canada,CAN,winter
Mar,-16.2,1960,Canada,CAN,spring
Apr,-5.3,1960,Canada,CAN,spring
May,5.3,1960,Canada,CAN,spring
Jun,12.5,1960,Canada,CAN,summer
Jul,16.5,1960,Canada,CAN,summer
Aug,14.4,1960,Canada,CAN,summer
Sep,7.7,1960,Canada,CAN,autumn
Oct,-0.2,1960,Canada,CAN,autumn
Nov,-11.0,1960,Canada,CAN,autumn
Dec,-15.3,1960,Canada,CAN,winter
Jan,-20.1,1961,Canada,CAN,winter
Feb,-18.2,1961,Canada,CAN,winter
Mar,-15.6,1961,Canada,CAN,spring
Apr,-5.4,1961,Canada,CAN,spring
May,3.7,1961,Canada,CAN,spring
Jun,13.0,1961,Canada,CAN,summer
Jul,17.0,1961,Canada,CAN,summer
Aug,14.8,1961,Canada,CAN,summer
Sep,6.3,1961,Canada,CAN,autumn
Oct,-1.9,1961,Canada,CAN,autumn
Nov,-10.3,1961,Canada,CAN,autumn
Dec,-18.4,1961,Canada,CAN,winter
Jan,-20.2,1962,Canada,CAN,winter
Feb,-21.3,1962,Canada,CAN,winter
Mar,-12.1,1962,Canada,CAN,spring
Apr,-5.4,1962,Canada,CAN,spring
May,3.2,1962,Canada,CAN,spring
Jun,12.3,1962,Canada,CAN,summer
Jul,16.0,1962,Canada,CAN,summer
Aug,14.3,1962,Canada,CAN,summer
Sep,7.7,1962,Canada,CAN,autumn
Oct,0.5,1962,Canada,CAN,autumn
Nov,-9.5,1962,Canada,CAN,autumn
Dec,-15.7,1962,Canada,CAN,winter
Jan,-20.5,1963,Canada,CAN,winter
Feb,-17.3,1963,Canada,CAN,winter
Mar,-15.2,1963,Canada,CAN,spring
Apr,-3.3,1963,Canada,CAN,spring
May,3.9,1963,Canada,CAN,spring
Jun,11.6,1963,Canada,CAN,summer
Jul,15.9,1963,Canada,CAN,summer
Aug,14.4,1963,Canada,CAN,summer
Sep,7.2,1963,Canada,CAN,autumn
Oct,1.7,1963,Canada,CAN,autumn
Nov,-9.9,1963,Canada,CAN,autumn
Dec,-16.3,1963,Canada,CAN,winter
Jan,-19.3,1964,Canada,CAN,winter
Feb,-16.3,1964,Canada,CAN,winter
Mar,-17.6,1964,Canada,CAN,spring
Apr,-6.2,1964,Canada,CAN,spring
May,4.1,1964,Canada,CAN,spring
Jun,11.2,1964,Canada,CAN,summer
Jul,15.8,1964,Canada,CAN,summer
Aug,13.2,1964,Canada,CAN,summer
Sep,6.6,1964,Canada,CAN,autumn
Oct,-0.6,1964,Canada,CAN,autumn
Nov,-10.5,1964,Canada,CAN,autumn
Dec,-19.9,1964,Canada,CAN,winter
Jan,-21.1,1965,Canada,CAN,winter
Feb,-20.9,1965,Canada,CAN,winter
Mar,-13.2,1965,Canada,CAN,spring
Apr,-4.7,1965,Canada,CAN,spring
May,4.8,1965,Canada,CAN,spring
Jun,10.9,1965,Canada,CAN,summer
Jul,15.2,1965,Canada,CAN,summer
Aug,13.5,1965,Canada,CAN,summer
Sep,5.3,1965,Canada,CAN,autumn
Oct,-1.2,1965,Canada,CAN,autumn
Nov,-10.8,1965,Canada,CAN,autumn
Dec,-16.5,1965,Canada,CAN,winter
Jan,-24.3,1966,Canada,CAN,winter
Feb,-17.3,1966,Canada,CAN,winter
Mar,-13.0,1966,Canada,CAN,spring
Apr,-6.5,1966,Canada,CAN,spring
May,4.4,1966,Canada,CAN,spring
Jun,12.1,1966,Canada,CAN,summer
Jul,16.2,1966,Canada,CAN,summer
Aug,14.3,1966,Canada,CAN,summer
Sep,8.9,1966,Canada,CAN,autumn
Oct,-1.7,1966,Canada,CAN,autumn
Nov,-13.2,1966,Canada,CAN,autumn
Dec,-16.5,1966,Canada,CAN,winter
Jan,-20.1,1967,Canada,CAN,winter
Feb,-21.0,1967,Canada,CAN,winter
Mar,-15.4,1967,Canada,CAN,spring
Apr,-6.8,1967,Canada,CAN,spring
May,4.0,1967,Canada,CAN,spring
Jun,11.8,1967,Canada,CAN,summer
Jul,15.7,1967,Canada,CAN,summer
Aug,14.7,1967,Canada,CAN,summer
Sep,8.6,1967,Canada,CAN,autumn
Oct,-0.8,1967,Canada,CAN,autumn
Nov,-10.7,1967,Canada,CAN,autumn
Dec,-15.2,1967,Canada,CAN,winter
Jan,-21.4,1968,Canada,CAN,winter
Feb,-17.7,1968,Canada,CAN,winter
Mar,-11.3,1968,Canada,CAN,spring
Apr,-4.7,1968,Canada,CAN,spring
May,4.2,1968,Canada,CAN,spring
Jun,11.3,1968,Canada,CAN,summer
Jul,14.8,1968,Canada,CAN,summer
Aug,12.6,1968,Canada,CAN,summer
Sep,8.1,1968,Canada,CAN,autumn
Oct,0.6,1968,Canada,CAN,autumn
Nov,-9.8,1968,Canada,CAN,autumn
Dec,-18.4,1968,Canada,CAN,winter
Jan,-22.7,1969,Canada,CAN,winter
Feb,-15.8,1969,Canada,CAN,winter
Mar,-13.7,1969,Canada,CAN,spring
Apr,-4.0,1969,Canada,CAN,spring
May,3.8,1969,Canada,CAN,spring
Jun,10.8,1969,Canada,CAN,summer
Jul,15.7,1969,Canada,CAN,summer
Aug,14.4,1969,Canada,CAN,summer
Sep,6.8,1969,Canada,CAN,autumn
Oct,-0.8,1969,Canada,CAN,autumn
Nov,-9.5,1969,Canada,CAN,autumn
Dec,-13.1,1969,Canada,CAN,winter
Jan,-21.0,1970,Canada,CAN,winter
Feb,-17.8,1970,Canada,CAN,winter
Mar,-12.6,1970,Canada,CAN,spring
Apr,-5.6,1970,Canada,CAN,spring
May,3.1,1970,Canada,CAN,spring
Jun,12.4,1970,Canada,CAN,summer
Jul,16.3,1970,Canada,CAN,summer
Aug,14.5,1970,Canada,CAN,summer
Sep,6.7,1970,Canada,CAN,autumn
Oct,-0.3,1970,Canada,CAN,autumn
Nov,-10.6,1970,Canada,CAN,autumn
Dec,-20.3,1970,Canada,CAN,winter
Jan,-22.2,1971,Canada,CAN,winter
Feb,-17.8,1971,Canada,CAN,winter
Mar,-13.2,1971,Canada,CAN,spring
Apr,-4.3,1971,Canada,CAN,spring
May,5.4,1971,Canada,CAN,spring
Jun,12.6,1971,Canada,CAN,summer
Jul,15.9,1971,Canada,CAN,summer
Aug,14.4,1971,Canada,CAN,summer
Sep,7.6,1971,Canada,CAN,autumn
Oct,0.2,1971,Canada,CAN,autumn
Nov,-11.3,1971,Canada,CAN,autumn
Dec,-20.4,1971,Canada,CAN,winter
Jan,-23.9,1972,Canada,CAN,winter
Feb,-22.8,1972,Canada,CAN,winter
Mar,-14.6,1972,Canada,CAN,spring
Apr,-6.8,1972,Canada,CAN,spring
May,4.2,1972,Canada,CAN,spring
Jun,11.1,1972,Canada,CAN,summer
Jul,14.5,1972,Canada,CAN,summer
Aug,14.0,1972,Canada,CAN,summer
Sep,4.7,1972,Canada,CAN,autumn
Oct,-2.8,1972,Canada,CAN,autumn
Nov,-11.3,1972,Canada,CAN,autumn
Dec,-20.9,1972,Canada,CAN,winter
Jan,-18.7,1973,Canada,CAN,winter
Feb,-19.4,1973,Canada,CAN,winter
Mar,-11.9,1973,Canada,CAN,spring
Apr,-5.3,1973,Canada,CAN,spring
May,5.7,1973,Canada,CAN,spring
Jun,12.5,1973,Canada,CAN,summer
Jul,16.7,1973,Canada,CAN,summer
Aug,15.0,1973,Canada,CAN,summer
Sep,8.4,1973,Canada,CAN,autumn
Oct,0.7,1973,Canada,CAN,autumn
Nov,-11.7,1973,Canada,CAN,autumn
Dec,-16.7,1973,Canada,CAN,winter
Jan,-23.2,1974,Canada,CAN,winter
Feb,-19.3,1974,Canada,CAN,winter
Mar,-16.7,1974,Canada,CAN,spring
Apr,-6.0,1974,Canada,CAN,spring
May,3.2,1974,Canada,CAN,spring
Jun,12.4,1974,Canada,CAN,summer
Jul,16.1,1974,Canada,CAN,summer
Aug,13.4,1974,Canada,CAN,summer
Sep,6.1,1974,Canada,CAN,autumn
Oct,-2.2,1974,Canada,CAN,autumn
Nov,-9.0,1974,Canada,CAN,autumn
Dec,-15.3,1974,Canada,CAN,winter
Jan,-22.1,1975,Canada,CAN,winter
Feb,-18.8,1975,Canada,CAN,winter
Mar,-15.3,1975,Canada,CAN,spring
Apr,-5.0,1975,Canada,CAN,spring
May,5.6,1975,Canada,CAN,spring
Jun,13.3,1975,Canada,CAN,summer
Jul,17.0,1975,Canada,CAN,summer
Aug,13.8,1975,Canada,CAN,summer
Sep,7.6,1975,Canada,CAN,autumn
Oct,-0.9,1975,Canada,CAN,autumn
Nov,-10.8,1975,Canada,CAN,autumn
Dec,-18.4,1975,Canada,CAN,winter
Jan,-19.4,1976,Canada,CAN,winter
Feb,-18.7,1976,Canada,CAN,winter
Mar,-14.9,1976,Canada,CAN,spring
