month,tasmax,year,country,iso3,season
Jan,-1.48,1960,China,CHN,winter
Feb,1.49,1960,China,CHN,winter
Mar,7.44,1960,China,CHN,spring
Apr,15.73,1960,China,CHN,spring
May,19.88,1960,China,CHN,spring
Jun,24.3,1960,China,CHN,summer
Jul,25.92,1960,China,CHN,summer
Aug,24.3,1960,China,CHN,summer
Sep,20.5,1960,China,CHN,autumn
Oct,13.79,1960,China,CHN,autumn
Nov,6.39,1960,China,CHN,autumn
Dec,-0.13,1960,China,CHN,winter
Jan,-2.0,1961,China,CHN,winter
Feb,2.57,1961,China,CHN,winter
Mar,7.46,1961,China,CHN,spring
Apr,14.21,1961,China,CHN,spring
May,19.56,1961,China,CHN,spring
Jun,23.34,1961,China,CHN,summer
Jul,25.33,1961,China,CHN,summer
Aug,24.4,1961,China,CHN,summer
Sep,20.43,1961,China,CHN,autumn
Oct,13.95,1961,China,CHN,autumn
Nov,4.73,1961,China,CHN,autumn
Dec,1.09,1961,China,CHN,winter
Jan,-1.64,1962,China,CHN,winter
Feb,2.41,1962,China,CHN,winter
Mar,9.12,1962,China,CHN,spring
Apr,13.74,1962,China,CHN,spring
May,20.16,1962,China,CHN,spring
Jun,23.41,1962,China,CHN,summer
Jul,25.08,1962,China,CHN,summer
Aug,24.55,1962,China,CHN,summer
Sep,20.5,1962,China,CHN,autumn
Oct,13.77,1962,China,CHN,autumn
Nov,6.39,1962,China,CHN,autumn
Dec,0.59,1962,China,CHN,winter
Jan,-2.03,1963,China,CHN,winter
Feb,-2.12,1963,China,CHN,winter
Mar,7.77,1963,China,CHN,spring
Apr,14.84,1963,China,CHN,spring
May,19.08,1963,China,CHN,spring
Jun,22.69,1963,China,CHN,summer
Jul,24.85,1963,China,CHN,summer
Aug,24.35,1963,China,CHN,summer
Sep,19.74,1963,China,CHN,autumn
Oct,13.78,1963,China,CHN,autumn
Nov,6.82,1963,China,CHN,autumn
Dec,0.09,1963,China,CHN,winter
Jan,-0.19,1964,China,CHN,winter
Feb,1.17,1964,China,CHN,winter
Mar,6.85,1964,China,CHN,spring
Apr,13.94,1964,China,CHN,spring
May,20.06,1964,China,CHN,spring
Jun,23.34,1964,China,CHN,summer
Jul,24.94,1964,China,CHN,summer
Aug,23.83,1964,China,CHN,summer
Sep,20.1,1964,China,CHN,autumn
Oct,14.4,1964,China,CHN,autumn
Nov,6.3,1964,China,CHN,autumn
Dec,-0.75,1964,China,CHN,winter
Jan,-0.65,1965,China,CHN,winter
Feb,3.43,1965,China,CHN,winter
Mar,8.14,1965,China,CHN,spring
Apr,13.64,1965,China,CHN,spring
May,19.64,1965,China,CHN,spring
Jun,23.39,1965,China,CHN,summer
Jul,24.93,1965,China,CHN,summer
Aug,24.67,1965,China,CHN,summer
Sep,19.98,1965,China,CHN,autumn
Oct,13.56,1965,China,CHN,autumn
Nov,5.77,1965,China,CHN,autumn
Dec,-1.3,1965,China,CHN,winter
Jan,-2.02,1966,China,CHN,winter
Feb,0.46,1966,China,CHN,winter
Mar,7.44,1966,China,CHN,spring
Apr,13.89,1966,China,CHN,spring
May,20.3,1966,China,CHN,spring
Jun,23.13,1966,China,CHN,summer
Jul,25.32,1966,China,CHN,summer
Aug,24.67,1966,China,CHN,summer
Sep,19.7,1966,China,CHN,autumn
Oct,13.84,1966,China,CHN,autumn
Nov,3.64,1966,China,CHN,autumn
Dec,-1.82,1966,China,CHN,winter
Jan,-1.99,1967,China,CHN,winter
Feb,-1.4,1967,China,CHN,winter
Mar,8.37,1967,China,CHN,spring
Apr,14.38,1967,China,CHN,spring
May,19.53,1967,China,CHN,spring
Jun,23.34,1967,China,CHN,summer
Jul,25.21,1967,China,CHN,summer
Aug,23.79,1967,China,CHN,summer
Sep,19.96,1967,China,CHN,autumn
Oct,12.86,1967,China,CHN,autumn
Nov,6.94,1967,China,CHN,autumn
Dec,1.58,1967,China,CHN,winter
Jan,-3.12,1968,China,CHN,winter
Feb,-1.76,1968,China,CHN,winter
Mar,7.48,1968,China,CHN,spring
Apr,14.4,1968,China,CHN,spring
May,20.36,1968,China,CHN,spring
Jun,22.78,1968,China,CHN,summer
Jul,24.93,1968,China,CHN,summer
Aug,23.92,1968,China,CHN,summer
Sep,19.91,1968,China,CHN,autumn
Oct,14.25,1968,China,CHN,autumn
Nov,5.34,1968,China,CHN,autumn
Dec,0.22,1968,China,CHN,winter
Jan,-2.33,1969,China,CHN,winter
Feb,1.9,1969,China,CHN,winter
Mar,4.51,1969,China,CHN,spring
Apr,13.97,1969,China,CHN,spring
May,19.77,1969,China,CHN,spring
Jun,22.93,1969,China,CHN,summer
Jul,24.91,1969,China,CHN,summer
Aug,24.69,1969,China,CHN,summer
Sep,19.82,1969,China,CHN,autumn
Oct,13.92,1969,China,CHN,autumn
Nov,5.98,1969,China,CHN,autumn
Dec,0.48,1969,China,CHN,winter
Jan,-1.53,1970,China,CHN,winter
Feb,0.78,1970,China,CHN,winter
Mar,7.1,1970,China,CHN,spring
Apr,14.82,1970,China,CHN,spring
May,19.17,1970,China,CHN,spring
Jun,23.18,1970,China,CHN,summer
Jul,25.42,1970,China,CHN,summer
Aug,24.14,1970,China,CHN,summer
Sep,19.53,1970,China,CHN,autumn
Oct,13.89,1970,China,CHN,autumn
Nov,7.14,1970,China,CHN,autumn
Dec,0.96,1970,China,CHN,winter
Jan,-0.55,1971,China,CHN,winter
Feb,-1.34,1971,China,CHN,winter
Mar,8.67,1971,China,CHN,spring
Apr,13.94,1971,China,CHN,spring
May,20.12,1971,China,CHN,spring
Jun,23.75,1971,China,CHN,summer
Jul,25.04,1971,China,CHN,summer
Aug,24.49,1971,China,CHN,summer
Sep,19.38,1971,China,CHN,autumn
Oct,13.45,1971,China,CHN,autumn
Nov,5.81,1971,China,CHN,autumn
Dec,0.38,1971,China,CHN,winter
Jan,-1.14,1972,China,CHN,winter
Feb,2.54,1972,China,CHN,winter
Mar,7.94,1972,China,CHN,spring
Apr,15.2,1972,China,CHN,spring
May,18.81,1972,China,CHN,spring
Jun,22.78,1972,China,CHN,summer
Jul,25.28,1972,China,CHN,summer
Aug,24.39,1972,China,CHN,summer
Sep,20.42,1972,China,CHN,autumn
Oct,13.03,1972,China,CHN,autumn
Nov,6.81,1972,China,CHN,autumn
Dec,0.83,1972,China,CHN,winter
Jan,-1.51,1973,China,CHN,winter
Feb,0.2,1973,China,CHN,winter
Mar,6.57,1973,China,CHN,spring
Apr,15.59,1973,China,CHN,spring
May,19.96,1973,China,CHN,spring
Jun,22.81,1973,China,CHN,summer
Jul,25.03,1973,China,CHN,summer
Aug,23.87,1973,China,CHN,summer
Sep,19.77,1973,China,CHN,autumn
Oct,13.49,1973,China,CHN,autumn
Nov,6.72,1973,China,CHN,autumn
Dec,-2.24,1973,China,CHN,winter
Jan,-1.0,1974,China,CHN,winter
Feb,1.72,1974,China,CHN,winter
Mar,8.3,1974,China,CHN,spring
Apr,14.52,1974,China,CHN,spring
May,18.76,1974,China,CHN,spring
Jun,23.34,1974,China,CHN,summer
Jul,24.91,1974,China,CHN,summer
Aug,25.12,1974,China,CHN,summer
Sep,20.79,1974,China,CHN,autumn
Oct,14.47,1974,China,CHN,autumn
Nov,5.93,1974,China,CHN,autumn
Dec,-1.04,1974,China,CHN,winter
Jan,-0.51,1975,China,CHN,winter
Feb,2.72,1975,China,CHN,winter
Mar,6.2,1975,China,CHN,spring
Apr,13.38,1975,China,CHN,spring
May,19.37,1975,China,CHN,spring
Jun,22.08,1975,China,CHN,summer
Jul,24.2,1975,China,CHN,summer
Aug,23.42,1975,China,CHN,summer
Sep,19.89,1975,China,CHN,autumn
Oct,13.76,1975,China,CHN,autumn
Nov,4.22,1975,China,CHN,autumn
Dec,-0.45,1975,China,CHN,winter
Jan,-4.34,1976,China,CHN,winter
Feb,0.58,1976,China,CHN,winter
Mar,8.43,1976,China,CHN,spring
Apr,14.35,1976,China,CHN,spring
May,18.85,1976,China,CHN,spring
Jun,22.82,1976,China,CHN,summer
Jul,25.17,1976,China,CHN,summer
Aug,24.37,1976,China,CHN,summer
Sep,20.77,1976,China,CHN,autumn
Oct,14.36,1976,China,CHN,autumn
Nov,6.05,1976,China,CHN,autumn
Dec,0.65,1976,China,CHN,winter
Jan,-2.58,1977,China,CHN,winter
Feb,0.11,1977,China,CHN,winter
Mar,6.88,1977,China,CHN,spring
Apr,15.45,1977,China,CHN,spring
May,19.89,1977,China,CHN,spring
Jun,23.75,1977,China,CHN,summer
Jul,25.59,1977,China,CHN,summer
Aug,24.68,1977,China,CHN,summer
Sep,20.51,1977,China,CHN,autumn
Oct,13.87,1977,China,CHN,autumn
Nov,6.35,1977,China,CHN,autumn
Dec,1.99,1977,China,CHN,winter
Jan,-0.38,1978,China,CHN,winter
Feb,3.23,1978,China,CHN,winter
Mar,6.84,1978,China,CHN,spring
Apr,13.93,1978,China,CHN,spring
May,19.62,1978,China,CHN,spring
Jun,23.54,1978,China,CHN,summer
Jul,24.47,1978,China,CHN,summer
Aug,23.99,1978,China,CHN,summer
Sep,19.13,1978,China,CHN,autumn
Oct,15.23,1978,China,CHN,autumn
Nov,5.71,1978,China,CHN,autumn
Dec,1.64,1978,China,CHN,winter
Jan,-1.93,1979,China,CHN,winter
Feb,0.58,1979,China,CHN,winter
Mar,6.51,1979,China,CHN,spring
Apr,13.89,1979,China,CHN,spring
May,19.9,1979,China,CHN,spring
Jun,23.4,1979,China,CHN,summer
Jul,25.2,1979,China,CHN,summer
Aug,23.6,1979,China,CHN,summer
Sep,19.78,1979,China,CHN,autumn
Oct,13.49,1979,China,CHN,autumn
Nov,8.8,1979,China,CHN,autumn
Dec,0.9,1979,China,CHN,winter
Jan,-1.88,1980,China,CHN,winter
Feb,1.85,1980,China,CHN,winter
