month,tasmax,year,country,iso3,season
Jan,2.5,1960,Germany,DEU,winter
Feb,3.7,1960,Germany,DEU,winter
Mar,8.2,1960,Germany,DEU,spring
Apr,12.5,1960,Germany,DEU,spring
May,18.4,1960,Germany,DEU,spring
Jun,21.7,1960,Germany,DEU,summer
Jul,20.3,1960,Germany,DEU,summer
Aug,20.6,1960,Germany,DEU,summer
Sep,17.7,1960,Germany,DEU,autumn
Oct,12.4,1960,Germany,DEU,autumn
Nov,8.8,1960,Germany,DEU,autumn
Dec,3.2,1960,Germany,DEU,winter
Jan,1.8,1961,Germany,DEU,winter
Feb,7.7,1961,Germany,DEU,winter
Mar,10.9,1961,Germany,DEU,spring
Apr,15.5,1961,Germany,DEU,spring
May,14.8,1961,Germany,DEU,spring
Jun,21.5,1961,Germany,DEU,summer
Jul,20.1,1961,Germany,DEU,summer
Aug,20.9,1961,Germany,DEU,summer
Sep,22.0,1961,Germany,DEU,autumn
Oct,15.0,1961,Germany,DEU,autumn
Nov,6.7,1961,Germany,DEU,autumn
Dec,2.4,1961,Germany,DEU,winter
Jan,4.2,1962,Germany,DEU,winter
Feb,3.3,1962,Germany,DEU,winter
Mar,4.4,1962,Germany,DEU,spring
Apr,13.1,1962,Germany,DEU,spring
May,14.3,1962,Germany,DEU,spring
Jun,19.8,1962,Germany,DEU,summer
Jul,20.0,1962,Germany,DEU,summer
Aug,21.3,1962,Germany,DEU,summer
Sep,17.8,1962,Germany,DEU,autumn
Oct,13.7,1962,Germany,DEU,autumn
Nov,5.5,1962,Germany,DEU,autumn
Dec,-0.3,1962,Germany,DEU,winter
Jan,-4.1,1963,Germany,DEU,winter
Feb,-1.9,1963,Germany,DEU,winter
Mar,7.0,1963,Germany,DEU,spring
Apr,13.3,1963,Germany,DEU,spring
May,16.9,1963,Germany,DEU,spring
Jun,21.2,1963,Germany,DEU,summer
Jul,23.5,1963,Germany,DEU,summer
Aug,21.0,1963,Germany,DEU,summer
Sep,18.7,1963,Germany,DEU,autumn
Oct,12.5,1963,Germany,DEU,autumn
Nov,10.4,1963,Germany,DEU,autumn
Dec,-0.3,1963,Germany,DEU,winter
Jan,0.3,1964,Germany,DEU,winter
Feb,3.8,1964,Germany,DEU,winter
Mar,4.2,1964,Germany,DEU,spring
Apr,13.5,1964,Germany,DEU,spring
May,19.1,1964,Germany,DEU,spring
Jun,22.8,1964,Germany,DEU,summer
Jul,24.0,1964,Germany,DEU,summer
Aug,21.5,1964,Germany,DEU,summer
Sep,19.2,1964,Germany,DEU,autumn
Oct,10.9,1964,Germany,DEU,autumn
Nov,7.4,1964,Germany,DEU,autumn
Dec,2.7,1964,Germany,DEU,winter
Jan,3.2,1965,Germany,DEU,winter
Feb,1.1,1965,Germany,DEU,winter
Mar,6.7,1965,Germany,DEU,spring
Apr,11.1,1965,Germany,DEU,spring
May,15.6,1965,Germany,DEU,spring
Jun,20.5,1965,Germany,DEU,summer
Jul,19.4,1965,Germany,DEU,summer
Aug,20.5,1965,Germany,DEU,summer
Sep,17.8,1965,Germany,DEU,autumn
Oct,13.5,1965,Germany,DEU,autumn
Nov,4.3,1965,Germany,DEU,autumn
Dec,4.5,1965,Germany,DEU,winter
Jan,-0.2,1966,Germany,DEU,winter
Feb,6.5,1966,Germany,DEU,winter
Mar,7.0,1966,Germany,DEU,spring
Apr,13.1,1966,Germany,DEU,spring
May,18.3,1966,Germany,DEU,spring
Jun,22.2,1966,Germany,DEU,summer
Jul,20.3,1966,Germany,DEU,summer
