month,tasmax,year,country,iso3,season
Jan,20.5,1960,Egypt,EGY,winter
Feb,23.1,1960,Egypt,EGY,winter
Mar,26.0,1960,Egypt,EGY,spring
Apr,31.0,1960,Egypt,EGY,spring
May,34.6,1960,Egypt,EGY,spring
Jun,35.8,1960,Egypt,EGY,summer
Jul,36.2,1960,Egypt,EGY,summer
Aug,36.3,1960,Egypt,EGY,summer
Sep,34.4,1960,Egypt,EGY,autumn
Oct,33.5,1960,Egypt,EGY,autumn
Nov,26.7,1960,Egypt,EGY,autumn
Dec,24.8,1960,Egypt,EGY,winter
Jan,20.7,1961,Egypt,EGY,winter
Feb,20.3,1961,Egypt,EGY,winter
Mar,23.6,1961,Egypt,EGY,spring
Apr,30.1,1961,Egypt,EGY,spring
May,34.0,1961,Egypt,EGY,spring
Jun,38.4,1961,Egypt,EGY,summer
Jul,35.7,1961,Egypt,EGY,summer
Aug,35.8,1961,Egypt,EGY,summer
Sep,32.4,1961,Egypt,EGY,autumn
Oct,30.0,1961,Egypt,EGY,autumn
Nov,25.2,1961,Egypt,EGY,autumn
Dec,21.2,1961,Egypt,EGY,winter
Jan,20.8,1962,Egypt,EGY,winter
Feb,21.4,1962,Egypt,EGY,winter
Mar,28.1,1962,Egypt,EGY,spring
Apr,29.8,1962,Egypt,EGY,spring
May,33.5,1962,Egypt,EGY,spring
Jun,37.4,1962,Egypt,EGY,summer
Jul,36.4,1962,Egypt,EGY,summer
Aug,37.3,1962,Egypt,EGY,summer
Sep,34.8,1962,Egypt,EGY,autumn
Oct,32.2,1962,Egypt,EGY,autumn
Nov,29.0,1962,Egypt,EGY,autumn
Dec,21.7,1962,Egypt,EGY,winter
Jan,22.2,1963,Egypt,EGY,winter
Feb,24.0,1963,Egypt,EGY,winter
Mar,24.9,1963,Egypt,EGY,spring
Apr,31.0,1963,Egypt,EGY,spring
May,33.7,1963,Egypt,EGY,spring
Jun,37.1,1963,Egypt,EGY,summer
Jul,36.9,1963,Egypt,EGY,summer
Aug,37.0,1963,Egypt,EGY,summer
Sep,35.0,1963,Egypt,EGY,autumn
Oct,32.9,1963,Egypt,EGY,autumn
Nov,26.0,1963,Egypt,EGY,autumn
Dec,21.9,1963,Egypt,EGY,winter
Jan,18.8,1964,Egypt,EGY,winter
Feb,21.1,1964,Egypt,EGY,winter
Mar,26.2,1964,Egypt,EGY,spring
Apr,30.1,1964,Egypt,EGY,spring
May,32.6,1964,Egypt,EGY,spring
Jun,36.3,1964,Egypt,EGY,summer
Jul,35.6,1964,Egypt,EGY,summer
Aug,36.0,1964,Egypt,EGY,summer
Sep,33.0,1964,Egypt,EGY,autumn
Oct,31.3,1964,Egypt,EGY,autumn
Nov,25.4,1964,Egypt,EGY,autumn
Dec,21.7,1964,Egypt,EGY,winter
Jan,20.2,1965,Egypt,EGY,winter
