month,tasmax,year,country,iso3,season
Jan,6.6,1960,France,FRA,winter
Feb,8.6,1960,France,FRA,winter
Mar,11.9,1960,France,FRA,spring
Apr,14.5,1960,France,FRA,spring
May,20.2,1960,France,FRA,spring
Jun,23.2,1960,France,FRA,summer
Jul,21.6,1960,France,FRA,summer
Aug,22.2,1960,France,FRA,summer
Sep,19.0,1960,France,FRA,autumn
Oct,14.7,1960,France,FRA,autumn
Nov,11.6,1960,France,FRA,autumn
Dec,5.7,1960,France,FRA,winter
Jan,6.1,1961,France,FRA,winter
Feb,11.4,1961,France,FRA,winter
Mar,13.8,1961,France,FRA,spring
Apr,16.4,1961,France,FRA,spring
May,17.7,1961,France,FRA,spring
Jun,22.1,1961,France,FRA,summer
Jul,23.2,1961,France,FRA,summer
Aug,23.6,1961,France,FRA,summer
Sep,24.0,1961,France,FRA,autumn
Oct,16.4,1961,France,FRA,autumn
Nov,9.2,1961,France,FRA,autumn
Dec,7.6,1961,France,FRA,winter
Jan,7.7,1962,France,FRA,winter
Feb,7.1,1962,France,FRA,winter
Mar,7.7,1962,France,FRA,spring
Apr,13.6,1962,France,FRA,spring
May,16.0,1962,France,FRA,spring
Jun,21.7,1962,France,FRA,summer
Jul,23.2,1962,France,FRA,summer
Aug,24.6,1962,France,FRA,summer
Sep,20.9,1962,France,FRA,autumn
Oct,16.4,1962,France,FRA,autumn
Nov,8.2,1962,France,FRA,autumn
Dec,4.5,1962,France,FRA,winter
Jan,1.4,1963,France,FRA,winter
Feb,3.2,1963,France,FRA,winter
Mar,10.5,1963,France,FRA,spring
Apr,14.1,1963,France,FRA,spring
May,17.1,1963,France,FRA,spring
Jun,20.5,1963,France,FRA,summer
Jul,24.1,1963,France,FRA,summer
Aug,20.8,1963,France,FRA,summer
Sep,19.3,1963,France,FRA,autumn
Oct,15.6,1963,France,FRA,autumn
Nov,12.7,1963,France,FRA,autumn
Dec,3.9,1963,France,FRA,winter
Jan,3.7,1964,France,FRA,winter
Feb,8.5,1964,France,FRA,winter
Mar,8.9,1964,France,FRA,spring
Apr,14.1,1964,France,FRA,spring
May,19.8,1964,France,FRA,spring
Jun,22.3,1964,France,FRA,summer
Jul,26.0,1964,France,FRA,summer
Aug,23.9,1964,France,FRA,summer
Sep,22.0,1964,France,FRA,autumn
Oct,13.5,1964,France,FRA,autumn
Nov,9.8,1964,France,FRA,autumn
Dec,5.9,1964,France,FRA,winter
Jan,6.4,1965,France,FRA,winter
Feb,4.9,1965,France,FRA,winter
Mar,10.7,1965,France,FRA,spring
Apr,13.0,1965,France,FRA,spring
May,17.4,1965,France,FRA,spring
Jun,21.3,1965,France,FRA,summer
Jul,21.6,1965,France,FRA,summer
Aug,22.1,1965,France,FRA,summer
Sep,18.0,1965,France,FRA,autumn
Oct,16.5,1965,France,FRA,autumn
Nov,9.5,1965,France,FRA,autumn
Dec,8.8,1965,France,FRA,winter
Jan,5.3,1966,France,FRA,winter
Feb,11.1,1966,France,FRA,winter
Mar,10.5,1966,France,FRA,spring
Apr,14.9,1966,France,FRA,spring
May,18.1,1966,France,FRA,spring
Jun,22.2,1966,France,FRA,summer
Jul,21.6,1966,France,FRA,summer
Aug,22.2,1966,France,FRA,summer
Sep,21.9,1966,France,FRA,autumn
Oct,16.2,1966,France,FRA,autumn
Nov,8.0,1966,France,FRA,autumn
Dec,8.0,1966,France,FRA,winter
Jan,6.1,1967,France,FRA,winter
Feb,8.9,1967,France,FRA,winter
Mar,11.8,1967,France,FRA,spring
Apr,13.8,1967,France,FRA,spring
May,17.4,1967,France,FRA,spring
Jun,21.0,1967,France,FRA,summer
Jul,25.9,1967,France,FRA,summer
Aug,23.4,1967,France,FRA,summer
Sep,19.9,1967,France,FRA,autumn
Oct,17.5,1967,France,FRA,autumn
Nov,10.1,1967,France,FRA,autumn
Dec,5.4,1967,France,FRA,winter
Jan,6.4,1968,France,FRA,winter
Feb,7.5,1968,France,FRA,winter
Mar,11.1,1968,France,FRA,spring
Apr,15.0,1968,France,FRA,spring
May,16.3,1968,France,FRA,spring
Jun,20.9,1968,France,FRA,summer
Jul,23.1,1968,France,FRA,summer
Aug,21.7,1968,France,FRA,summer
Sep,19.6,1968,France,FRA,autumn
Oct,17.5,1968,France,FRA,autumn
Nov,9.7,1968,France,FRA,autumn
Dec,5.6,1968,France,FRA,winter
Jan,7.5,1969,France,FRA,winter
Feb,5.6,1969,France,FRA,winter
Mar,9.9,1969,France,FRA,spring
Apr,13.7,1969,France,FRA,spring
May,18.1,1969,France,FRA,spring
Jun,19.8,1969,France,FRA,summer
Jul,24.9,1969,France,FRA,summer
Aug,23.3,1969,France,FRA,summer
Sep,20.4,1969,France,FRA,autumn
Oct,17.8,1969,France,FRA,autumn
Nov,10.5,1969,France,FRA,autumn
Dec,3.7,1969,France,FRA,winter
Jan,6.7,1970,France,FRA,winter
Feb,7.6,1970,France,FRA,winter
Mar,8.0,1970,France,FRA,spring
Apr,11.8,1970,France,FRA,spring
May,18.0,1970,France,FRA,spring
Jun,22.8,1970,France,FRA,summer
Jul,23.3,1970,France,FRA,summer
Aug,23.5,1970,France,FRA,summer
Sep,22.1,1970,France,FRA,autumn
Oct,15.4,1970,France,FRA,autumn
Nov,12.3,1970,France,FRA,autumn
Dec,5.1,1970,France,FRA,winter
Jan,6.1,1971,France,FRA,winter
Feb,7.7,1971,France,FRA,winter
Mar,7.8,1971,France,FRA,spring
Apr,15.8,1971,France,FRA,spring
May,18.5,1971,France,FRA,spring
Jun,19.4,1971,France,FRA,summer
Jul,25.7,1971,France,FRA,summer
Aug,24.0,1971,France,FRA,summer
Sep,21.3,1971,France,FRA,autumn
Oct,17.4,1971,France,FRA,autumn
Nov,9.0,1971,France,FRA,autumn
Dec,7.1,1971,France,FRA,winter
Jan,5.9,1972,France,FRA,winter
Feb,9.0,1972,France,FRA,winter
Mar,12.7,1972,France,FRA,spring
Apr,12.8,1972,France,FRA,spring
May,16.3,1972,France,FRA,spring
Jun,19.2,1972,France,FRA,summer
Jul,23.5,1972,France,FRA,summer
Aug,22.1,1972,France,FRA,summer
Sep,18.2,1972,France,FRA,autumn
Oct,15.6,1972,France,FRA,autumn
Nov,10.7,1972,France,FRA,autumn
Dec,7.2,1972,France,FRA,winter
Jan,5.3,1973,France,FRA,winter
Feb,6.4,1973,France,FRA,winter
Mar,11.1,1973,France,FRA,spring
Apr,12.4,1973,France,FRA,spring
May,18.5,1973,France,FRA,spring
Jun,22.4,1973,France,FRA,summer
Jul,23.2,1973,France,FRA,summer
Aug,25.7,1973,France,FRA,summer
Sep,22.2,1973,France,FRA,autumn
Oct,14.8,1973,France,FRA,autumn
Nov,10.5,1973,France,FRA,autumn
Dec,6.5,1973,France,FRA,winter
Jan,9.2,1974,France,FRA,winter
Feb,8.7,1974,France,FRA,winter
Mar,11.1,1974,France,FRA,spring
Apr,14.3,1974,France,FRA,spring
May,17.3,1974,France,FRA,spring
Jun,21.3,1974,France,FRA,summer
Jul,23.3,1974,France,FRA,summer
Aug,24.3,1974,France,FRA,summer
Sep,18.9,1974,France,FRA,autumn
Oct,11.1,1974,France,FRA,autumn
Nov,10.6,1974,France,FRA,autumn
Dec,9.6,1974,France,FRA,winter
Jan,9.2,1975,France,FRA,winter
Feb,9.6,1975,France,FRA,winter
Mar,8.7,1975,France,FRA,spring
Apr,13.5,1975,France,FRA,spring
May,16.6,1975,France,FRA,spring
Jun,21.0,1975,France,FRA,summer
Jul,24.9,1975,France,FRA,summer
Aug,25.3,1975,France,FRA,summer
Sep,20.6,1975,France,FRA,autumn
Oct,14.4,1975,France,FRA,autumn
Nov,9.8,1975,France,FRA,autumn
Dec,5.1,1975,France,FRA,winter
Jan,6.8,1976,France,FRA,winter
Feb,8.0,1976,France,FRA,winter
Mar,10.6,1976,France,FRA,spring
Apr,14.0,1976,France,FRA,spring
May,19.7,1976,France,FRA,spring
Jun,25.6,1976,France,FRA,summer
Jul,26.1,1976,France,FRA,summer
Aug,25.0,1976,France,FRA,summer
Sep,19.4,1976,France,FRA,autumn
Oct,15.4,1976,France,FRA,autumn
Nov,9.4,1976,France,FRA,autumn
Dec,5.8,1976,France,FRA,winter
Jan,6.2,1977,France,FRA,winter
Feb,9.9,1977,France,FRA,winter
Mar,12.6,1977,France,FRA,spring
Apr,12.7,1977,France,FRA,spring
May,16.4,1977,France,FRA,spring
Jun,19.3,1977,France,FRA,summer
Jul,22.4,1977,France,FRA,summer
Aug,21.8,1977,France,FRA,summer
Sep,20.0,1977,France,FRA,autumn
Oct,17.1,1977,France,FRA,autumn
Nov,10.3,1977,France,FRA,autumn
Dec,8.2,1977,France,FRA,winter
Jan,5.9,1978,France,FRA,winter
Feb,7.0,1978,France,FRA,winter
Mar,11.2,1978,France,FRA,spring
Apr,11.9,1978,France,FRA,spring
May,16.4,1978,France,FRA,spring
Jun,19.8,1978,France,FRA,summer
Jul,22.2,1978,France,FRA,summer
Aug,22.5,1978,France,FRA,summer
Sep,21.1,1978,France,FRA,autumn
Oct,16.2,1978,France,FRA,autumn
Nov,10.1,1978,France,FRA,autumn
Dec,8.1,1978,France,FRA,winter
Jan,4.4,1979,France,FRA,winter
Feb,7.0,1979,France,FRA,winter
Mar,10.2,1979,France,FRA,spring
Apr,12.3,1979,France,FRA,spring
May,17.2,1979,France,FRA,spring
Jun,21.2,1979,France,FRA,summer
Jul,24.2,1979,France,FRA,summer
