month,tasmax,year,country,iso3,season
Jan,6.0,1960,United Kingdom,GBR,winter
Feb,5.7,1960,United Kingdom,GBR,winter
Mar,8.1,1960,United Kingdom,GBR,spring
Apr,12.2,1960,United Kingdom,GBR,spring
May,16.2,1960,United Kingdom,GBR,spring
Jun,19.4,1960,United Kingdom,GBR,summer
Jul,17.8,1960,United Kingdom,GBR,summer
Aug,17.8,1960,United Kingdom,GBR,summer
Sep,15.7,1960,United Kingdom,GBR,autumn
Oct,12.1,1960,United Kingdom,GBR,autumn
Nov,9.0,1960,United Kingdom,GBR,autumn
Dec,5.4,1960,United Kingdom,GBR,winter
Jan,5.3,1961,United Kingdom,GBR,winter
Feb,8.5,1961,United Kingdom,GBR,winter
Mar,11.1,1961,United Kingdom,GBR,spring
Apr,12.1,1961,United Kingdom,GBR,spring
May,14.2,1961,United Kingdom,GBR,spring
Jun,17.4,1961,United Kingdom,GBR,summer
Jul,17.6,1961,United Kingdom,GBR,summer
Aug,18.1,1961,United Kingdom,GBR,summer
Sep,17.5,1961,United Kingdom,GBR,autumn
Oct,13.0,1961,United Kingdom,GBR,autumn
Nov,8.0,1961,United Kingdom,GBR,autumn
Dec,4.5,1961,United Kingdom,GBR,winter
Jan,6.3,1962,United Kingdom,GBR,winter
Feb,6.6,1962,United Kingdom,GBR,winter
Mar,5.5,1962,United Kingdom,GBR,spring
Apr,10.5,1962,United Kingdom,GBR,spring
May,12.9,1962,United Kingdom,GBR,spring
Jun,17.1,1962,United Kingdom,GBR,summer
Jul,17.2,1962,United Kingdom,GBR,summer
Aug,16.8,1962,United Kingdom,GBR,summer
Sep,14.8,1962,United Kingdom,GBR,autumn
Oct,13.0,1962,United Kingdom,GBR,autumn
Nov,7.5,1962,United Kingdom,GBR,autumn
Dec,5.1,1962,United Kingdom,GBR,winter
Jan,1.3,1963,United Kingdom,GBR,winter
Feb,2.0,1963,United Kingdom,GBR,winter
Mar,8.3,1963,United Kingdom,GBR,spring
Apr,10.8,1963,United Kingdom,GBR,spring
May,13.2,1963,United Kingdom,GBR,spring
Jun,17.4,1963,United Kingdom,GBR,summer
Jul,17.8,1963,United Kingdom,GBR,summer
Aug,16.6,1963,United Kingdom,GBR,summer
Sep,15.6,1963,United Kingdom,GBR,autumn
Oct,12.9,1963,United Kingdom,GBR,autumn
Nov,9.3,1963,United Kingdom,GBR,autumn
Dec,4.9,1963,United Kingdom,GBR,winter
Jan,5.9,1964,United Kingdom,GBR,winter
Feb,6.3,1964,United Kingdom,GBR,winter
Mar,6.1,1964,United Kingdom,GBR,spring
Apr,11.1,1964,United Kingdom,GBR,spring
May,15.7,1964,United Kingdom,GBR,spring
Jun,16.4,1964,United Kingdom,GBR,summer
Jul,18.5,1964,United Kingdom,GBR,summer
Aug,18.2,1964,United Kingdom,GBR,summer
Sep,17.1,1964,United Kingdom,GBR,autumn
Oct,11.8,1964,United Kingdom,GBR,autumn
Nov,9.3,1964,United Kingdom,GBR,autumn
Dec,5.8,1964,United Kingdom,GBR,winter
Jan,5.0,1965,United Kingdom,GBR,winter
Feb,5.2,1965,United Kingdom,GBR,winter
Mar,8.0,1965,United Kingdom,GBR,spring
Apr,11.1,1965,United Kingdom,GBR,spring
May,14.0,1965,United Kingdom,GBR,spring
Jun,17.1,1965,United Kingdom,GBR,summer
Jul,16.2,1965,United Kingdom,GBR,summer
Aug,17.7,1965,United Kingdom,GBR,summer
Sep,14.6,1965,United Kingdom,GBR,autumn
Oct,13.4,1965,United Kingdom,GBR,autumn
Nov,6.4,1965,United Kingdom,GBR,autumn
Dec,6.2,1965,United Kingdom,GBR,winter
Jan,4.3,1966,United Kingdom,GBR,winter
Feb,6.4,1966,United Kingdom,GBR,winter
Mar,9.0,1966,United Kingdom,GBR,spring
Apr,9.0,1966,United Kingdom,GBR,spring
May,14.4,1966,United Kingdom,GBR,spring
Jun,17.9,1966,United Kingdom,GBR,summer
Jul,17.8,1966,United Kingdom,GBR,summer
Aug,17.4,1966,United Kingdom,GBR,summer
Sep,16.5,1966,United Kingdom,GBR,autumn
Oct,12.2,1966,United Kingdom,GBR,autumn
Nov,7.3,1966,United Kingdom,GBR,autumn
Dec,7.0,1966,United Kingdom,GBR,winter
Jan,6.0,1967,United Kingdom,GBR,winter
Feb,7.2,1967,United Kingdom,GBR,winter
Mar,8.9,1967,United Kingdom,GBR,spring
Apr,10.7,1967,United Kingdom,GBR,spring
May,12.7,1967,United Kingdom,GBR,spring
Jun,17.6,1967,United Kingdom,GBR,summer
Jul,19.1,1967,United Kingdom,GBR,summer
Aug,18.3,1967,United Kingdom,GBR,summer
Sep,16.0,1967,United Kingdom,GBR,autumn
Oct,12.2,1967,United Kingdom,GBR,autumn
Nov,8.1,1967,United Kingdom,GBR,autumn
Dec,6.4,1967,United Kingdom,GBR,winter
Jan,6.2,1968,United Kingdom,GBR,winter
Feb,3.9,1968,United Kingdom,GBR,winter
Mar,8.7,1968,United Kingdom,GBR,spring
Apr,11.2,1968,United Kingdom,GBR,spring
May,12.4,1968,United Kingdom,GBR,spring
