month,tasmax,year,country,iso3,season
Jan,30.0,1960,Indonesia,IDN,winter
Feb,30.1,1960,Indonesia,IDN,winter
Mar,30.6,1960,Indonesia,IDN,spring
Apr,30.7,1960,Indonesia,IDN,spring
May,30.7,1960,Indonesia,IDN,spring
Jun,30.3,1960,Indonesia,IDN,summer
Jul,30.0,1960,Indonesia,IDN,summer
Aug,30.7,1960,Indonesia,IDN,summer
Sep,30.8,1960,Indonesia,IDN,autumn
Oct,31.3,1960,Indonesia,IDN,autumn
Nov,30.7,1960,Indonesia,IDN,autumn
Dec,30.7,1960,Indonesia,IDN,winter
Jan,29.9,1961,Indonesia,IDN,winter
Feb,30.3,1961,Indonesia,IDN,winter
Mar,30.6,1961,Indonesia,IDN,spring
Apr,30.7,1961,Indonesia,IDN,spring
May,30.7,1961,Indonesia,IDN,spring
Jun,30.1,1961,Indonesia,IDN,summer
Jul,30.0,1961,Indonesia,IDN,summer
Aug,30.2,1961,Indonesia,IDN,summer
Sep,30.5,1961,Indonesia,IDN,autumn
Oct,31.0,1961,Indonesia,IDN,autumn
Nov,30.9,1961,Indonesia,IDN,autumn
Dec,30.5,1961,Indonesia,IDN,winter
Jan,29.7,1962,Indonesia,IDN,winter
Feb,29.7,1962,Indonesia,IDN,winter
Mar,30.1,1962,Indonesia,IDN,spring
Apr,30.5,1962,Indonesia,IDN,spring
May,30.6,1962,Indonesia,IDN,spring
Jun,30.3,1962,Indonesia,IDN,summer
Jul,30.2,1962,Indonesia,IDN,summer
Aug,30.0,1962,Indonesia,IDN,summer
Sep,30.5,1962,Indonesia,IDN,autumn
Oct,30.9,1962,Indonesia,IDN,autumn
Nov,30.8,1962,Indonesia,IDN,autumn
Dec,30.2,1962,Indonesia,IDN,winter
Jan,29.3,1963,Indonesia,IDN,winter
Feb,29.7,1963,Indonesia,IDN,winter
Mar,30.1,1963,Indonesia,IDN,spring
Apr,31.0,1963,Indonesia,IDN,spring
May,30.7,1963,Indonesia,IDN,spring
Jun,30.6,1963,Indonesia,IDN,summer
Jul,30.1,1963,Indonesia,IDN,summer
Aug,30.2,1963,Indonesia,IDN,summer
Sep,30.7,1963,Indonesia,IDN,autumn
Oct,31.2,1963,Indonesia,IDN,autumn
Nov,31.2,1963,Indonesia,IDN,autumn
Dec,30.7,1963,Indonesia,IDN,winter
Jan,30.6,1964,Indonesia,IDN,winter
Feb,30.4,1964,Indonesia,IDN,winter
Mar,30.3,1964,Indonesia,IDN,spring
Apr,30.7,1964,Indonesia,IDN,spring
May,30.8,1964,Indonesia,IDN,spring
Jun,30.3,1964,Indonesia,IDN,summer
Jul,29.9,1964,Indonesia,IDN,summer
Aug,30.3,1964,Indonesia,IDN,summer
Sep,30.6,1964,Indonesia,IDN,autumn
Oct,30.6,1964,Indonesia,IDN,autumn
Nov,30.3,1964,Indonesia,IDN,autumn
Dec,30.1,1964,Indonesia,IDN,winter
Jan,29.6,1965,Indonesia,IDN,winter
Feb,30.2,1965,Indonesia,IDN,winter
Mar,30.1,1965,Indonesia,IDN,spring
Apr,30.4,1965,Indonesia,IDN,spring
May,30.5,1965,Indonesia,IDN,spring
Jun,30.4,1965,Indonesia,IDN,summer
Jul,30.0,1965,Indonesia,IDN,summer
Aug,30.3,1965,Indonesia,IDN,summer
Sep,30.7,1965,Indonesia,IDN,autumn
Oct,31.2,1965,Indonesia,IDN,autumn
