month,tasmax,year,country,iso3,season
Jan,24.0,1960,India,IND,winter
Feb,28.6,1960,India,IND,winter
Mar,30.2,1960,India,IND,spring
Apr,34.8,1960,India,IND,spring
May,36.9,1960,India,IND,spring
Jun,34.9,1960,India,IND,summer
Jul,30.9,1960,India,IND,summer
Aug,30.1,1960,India,IND,summer
Sep,30.9,1960,India,IND,autumn
Oct,30.4,1960,India,IND,autumn
Nov,27.4,1960,India,IND,autumn
Dec,25.3,1960,India,IND,winter
Jan,24.6,1961,India,IND,winter
Feb,25.1,1961,India,IND,winter
Mar,31.9,1961,India,IND,spring
Apr,35.0,1961,India,IND,spring
May,36.5,1961,India,IND,spring
Jun,34.0,1961,India,IND,summer
Jul,30.6,1961,India,IND,summer
Aug,30.1,1961,India,IND,summer
Sep,30.2,1961,India,IND,autumn
Oct,29.9,1961,India,IND,autumn
Nov,26.5,1961,India,IND,autumn
Dec,23.4,1961,India,IND,winter
Jan,23.4,1962,India,IND,winter
Feb,26.7,1962,India,IND,winter
Mar,31.0,1962,India,IND,spring
Apr,34.8,1962,India,IND,spring
May,36.4,1962,India,IND,spring
Jun,34.9,1962,India,IND,summer
Jul,31.3,1962,India,IND,summer
Aug,30.1,1962,India,IND,summer
Sep,30.1,1962,India,IND,autumn
Oct,30.1,1962,India,IND,autumn
Nov,27.5,1962,India,IND,autumn
Dec,24.3,1962,India,IND,winter
Jan,24.1,1963,India,IND,winter
Feb,27.9,1963,India,IND,winter
Mar,30.9,1963,India,IND,spring
Apr,33.8,1963,India,IND,spring
May,35.8,1963,India,IND,spring
Jun,34.2,1963,India,IND,summer
Jul,31.5,1963,India,IND,summer
Aug,29.9,1963,India,IND,summer
Sep,30.7,1963,India,IND,autumn
Oct,30.8,1963,India,IND,autumn
Nov,27.9,1963,India,IND,autumn
Dec,25.1,1963,India,IND,winter
Jan,23.6,1964,India,IND,winter
Feb,26.9,1964,India,IND,winter
Mar,32.5,1964,India,IND,spring
Apr,35.4,1964,India,IND,spring
May,36.3,1964,India,IND,spring
Jun,34.6,1964,India,IND,summer
Jul,30.5,1964,India,IND,summer
