month,tasmax,year,country,iso3,season
Jan,28.8,1960,Philippines,PHL,winter
Feb,28.6,1960,Philippines,PHL,winter
Mar,30.5,1960,Philippines,PHL,spring
Apr,30.7,1960,Philippines,PHL,spring
May,31.1,1960,Philippines,PHL,spring
Jun,29.8,1960,Philippines,PHL,summer
Jul,30.3,1960,Philippines,PHL,summer
Aug,29.7,1960,Philippines,PHL,summer
Sep,29.5,1960,Philippines,PHL,autumn
Oct,29.4,1960,Philippines,PHL,autumn
Nov,29.4,1960,Philippines,PHL,autumn
Dec,28.7,1960,Philippines,PHL,winter
Jan,27.6,1961,Philippines,PHL,winter
Feb,29.0,1961,Philippines,PHL,winter
Mar,30.3,1961,Philippines,PHL,spring
Apr,31.3,1961,Philippines,PHL,spring
May,31.1,1961,Philippines,PHL,spring
Jun,30.1,1961,Philippines,PHL,summer
Jul,29.2,1961,Philippines,PHL,summer
Aug,29.1,1961,Philippines,PHL,summer
Sep,29.6,1961,Philippines,PHL,autumn
Oct,29.5,1961,Philippines,PHL,autumn
Nov,29.7,1961,Philippines,PHL,autumn
Dec,29.0,1961,Philippines,PHL,winter
Jan,27.6,1962,Philippines,PHL,winter
Feb,28.0,1962,Philippines,PHL,winter
Mar,29.6,1962,Philippines,PHL,spring
Apr,30.7,1962,Philippines,PHL,spring
May,31.4,1962,Philippines,PHL,spring
Jun,30.7,1962,Philippines,PHL,summer
Jul,29.1,1962,Philippines,PHL,summer
Aug,29.5,1962,Philippines,PHL,summer
Sep,29.0,1962,Philippines,PHL,autumn
Oct,30.2,1962,Philippines,PHL,autumn
Nov,29.2,1962,Philippines,PHL,autumn
Dec,28.6,1962,Philippines,PHL,winter
Jan,26.6,1963,Philippines,PHL,winter
Feb,27.2,1963,Philippines,PHL,winter
Mar,29.0,1963,Philippines,PHL,spring
Apr,30.5,1963,Philippines,PHL,spring
May,31.8,1963,Philippines,PHL,spring
Jun,29.8,1963,Philippines,PHL,summer
Jul,29.7,1963,Philippines,PHL,summer
Aug,29.4,1963,Philippines,PHL,summer
Sep,29.4,1963,Philippines,PHL,autumn
Oct,29.7,1963,Philippines,PHL,autumn
Nov,29.8,1963,Philippines,PHL,autumn
Dec,29.0,1963,Philippines,PHL,winter
Jan,29.3,1964,Philippines,PHL,winter
Feb,28.6,1964,Philippines,PHL,winter
Mar,29.9,1964,Philippines,PHL,spring
Apr,31.0,1964,Philippines,PHL,spring
May,30.9,1964,Philippines,PHL,spring
Jun,30.1,1964,Philippines,PHL,summer
Jul,29.8,1964,Philippines,PHL,summer
Aug,29.7,1964,Philippines,PHL,summer
Sep,29.6,1964,Philippines,PHL,autumn
Oct,29.6,1964,Philippines,PHL,autumn
Nov,28.5,1964,Philippines,PHL,autumn
Dec,28.0,1964,Philippines,PHL,winter
Jan,27.5,1965,Philippines,PHL,winter
Feb,28.7,1965,Philippines,PHL,winter
Mar,28.9,1965,Philippines,PHL,spring
Apr,30.6,1965,Philippines,PHL,spring
May,30.6,1965,Philippines,PHL,spring
Jun,29.5,1965,Philippines,PHL,summer
Jul,28.7,1965,Philippines,PHL,summer
Aug,29.7,1965,Philippines,PHL,summer
Sep,29.4,1965,Philippines,PHL,autumn
Oct,29.9,1965,Philippines,PHL,autumn
Nov,29.7,1965,Philippines,PHL,autumn
Dec,29.3,1965,Philippines,PHL,winter
Jan,29.3,1966,Philippines,PHL,winter
Feb,29.7,1966,Philippines,PHL,winter
Mar,30.5,1966,Philippines,PHL,spring
Apr,31.6,1966,Philippines,PHL,spring
May,30.1,1966,Philippines,PHL,spring
Jun,30.5,1966,Philippines,PHL,summer
Jul,29.6,1966,Philippines,PHL,summer
Aug,29.8,1966,Philippines,PHL,summer
Sep,29.5,1966,Philippines,PHL,autumn
Oct,29.7,1966,Philippines,PHL,autumn
Nov,29.3,1966,Philippines,PHL,autumn
Dec,29.0,1966,Philippines,PHL,winter
Jan,27.9,1967,Philippines,PHL,winter
Feb,28.2,1967,Philippines,PHL,winter
Mar,29.1,1967,Philippines,PHL,spring
Apr,30.5,1967,Philippines,PHL,spring
May,31.6,1967,Philippines,PHL,spring
Jun,30.1,1967,Philippines,PHL,summer
Jul,29.5,1967,Philippines,PHL,summer
Aug,28.9,1967,Philippines,PHL,summer
Sep,29.4,1967,Philippines,PHL,autumn
Oct,29.1,1967,Philippines,PHL,autumn
Nov,29.0,1967,Philippines,PHL,autumn
Dec,28.0,1967,Philippines,PHL,winter
Jan,27.9,1968,Philippines,PHL,winter
Feb,28.1,1968,Philippines,PHL,winter
Mar,29.9,1968,Philippines,PHL,spring
