month,tasmax,year,country,iso3,season
Jan,-24.5,1960,Russia,RUS,winter
Feb,-20.3,1960,Russia,RUS,winter
Mar,-13.6,1960,Russia,RUS,spring
Apr,-1.6,1960,Russia,RUS,spring
May,7.3,1960,Russia,RUS,spring
Jun,17.2,1960,Russia,RUS,summer
Jul,20.3,1960,Russia,RUS,summer
Aug,16.5,1960,Russia,RUS,summer
Sep,9.5,1960,Russia,RUS,autumn
Oct,-2.6,1960,Russia,RUS,autumn
Nov,-15.6,1960,Russia,RUS,autumn
Dec,-18.7,1960,Russia,RUS,winter
Jan,-22.9,1961,Russia,RUS,winter
Feb,-17.8,1961,Russia,RUS,winter
Mar,-9.4,1961,Russia,RUS,spring
Apr,-1.6,1961,Russia,RUS,spring
May,7.6,1961,Russia,RUS,spring
Jun,16.0,1961,Russia,RUS,summer
Jul,20.2,1961,Russia,RUS,summer
Aug,16.7,1961,Russia,RUS,summer
Sep,10.3,1961,Russia,RUS,autumn
Oct,-1.8,1961,Russia,RUS,autumn
Nov,-13.3,1961,Russia,RUS,autumn
Dec,-20.5,1961,Russia,RUS,winter
Jan,-18.7,1962,Russia,RUS,winter
Feb,-16.2,1962,Russia,RUS,winter
Mar,-10.6,1962,Russia,RUS,spring
Apr,0.6,1962,Russia,RUS,spring
May,8.9,1962,Russia,RUS,spring
Jun,15.5,1962,Russia,RUS,summer
Jul,20.7,1962,Russia,RUS,summer
Aug,17.3,1962,Russia,RUS,summer
Sep,9.9,1962,Russia,RUS,autumn
Oct,-1.4,1962,Russia,RUS,autumn
Nov,-14.3,1962,Russia,RUS,autumn
Dec,-20.0,1962,Russia,RUS,winter
Jan,-20.8,1963,Russia,RUS,winter
Feb,-16.7,1963,Russia,RUS,winter
Mar,-12.3,1963,Russia,RUS,spring
Apr,-2.5,1963,Russia,RUS,spring
May,7.5,1963,Russia,RUS,spring
Jun,15.4,1963,Russia,RUS,summer
Jul,20.4,1963,Russia,RUS,summer
Aug,17.4,1963,Russia,RUS,summer
Sep,10.3,1963,Russia,RUS,autumn
Oct,-0.5,1963,Russia,RUS,autumn
Nov,-12.1,1963,Russia,RUS,autumn
Dec,-20.0,1963,Russia,RUS,winter
Jan,-22.2,1964,Russia,RUS,winter
Feb,-19.6,1964,Russia,RUS,winter
Mar,-13.5,1964,Russia,RUS,spring
Apr,-3.9,1964,Russia,RUS,spring
May,7.4,1964,Russia,RUS,spring
Jun,16.6,1964,Russia,RUS,summer
Jul,20.8,1964,Russia,RUS,summer
Aug,17.5,1964,Russia,RUS,summer
Sep,10.0,1964,Russia,RUS,autumn
Oct,-1.9,1964,Russia,RUS,autumn
Nov,-14.4,1964,Russia,RUS,autumn
Dec,-19.6,1964,Russia,RUS,winter
Jan,-22.9,1965,Russia,RUS,winter
Feb,-22.1,1965,Russia,RUS,winter
Mar,-10.4,1965,Russia,RUS,spring
Apr,-1.6,1965,Russia,RUS,spring
May,7.1,1965,Russia,RUS,spring
Jun,16.0,1965,Russia,RUS,summer
Jul,20.3,1965,Russia,RUS,summer
Aug,17.0,1965,Russia,RUS,summer
Sep,10.1,1965,Russia,RUS,autumn
Oct,-1.2,1965,Russia,RUS,autumn
Nov,-16.7,1965,Russia,RUS,autumn
Dec,-21.8,1965,Russia,RUS,winter
Jan,-24.5,1966,Russia,RUS,winter
Feb,-24.7,1966,Russia,RUS,winter
Mar,-13.5,1966,Russia,RUS,spring
Apr,-3.3,1966,Russia,RUS,spring
May,8.5,1966,Russia,RUS,spring
Jun,16.3,1966,Russia,RUS,summer
Jul,19.9,1966,Russia,RUS,summer
Aug,17.6,1966,Russia,RUS,summer
Sep,10.6,1966,Russia,RUS,autumn
Oct,-2.1,1966,Russia,RUS,autumn
Nov,-14.0,1966,Russia,RUS,autumn
Dec,-21.6,1966,Russia,RUS,winter
Jan,-23.1,1967,Russia,RUS,winter
Feb,-20.4,1967,Russia,RUS,winter
Mar,-9.3,1967,Russia,RUS,spring
Apr,1.0,1967,Russia,RUS,spring
May,9.4,1967,Russia,RUS,spring
Jun,17.1,1967,Russia,RUS,summer
Jul,21.2,1967,Russia,RUS,summer
Aug,17.2,1967,Russia,RUS,summer
Sep,9.7,1967,Russia,RUS,autumn
Oct,2.2,1967,Russia,RUS,autumn
Nov,-11.9,1967,Russia,RUS,autumn
Dec,-18.5,1967,Russia,RUS,winter
Jan,-23.3,1968,Russia,RUS,winter
Feb,-17.7,1968,Russia,RUS,winter
Mar,-7.2,1968,Russia,RUS,spring
Apr,-0.2,1968,Russia,RUS,spring
May,8.5,1968,Russia,RUS,spring
Jun,15.9,1968,Russia,RUS,summer
Jul,19.7,1968,Russia,RUS,summer
Aug,17.3,1968,Russia,RUS,summer
Sep,8.8,1968,Russia,RUS,autumn
Oct,-1.7,1968,Russia,RUS,autumn
Nov,-17.7,1968,Russia,RUS,autumn
Dec,-24.3,1968,Russia,RUS,winter
Jan,-26.6,1969,Russia,RUS,winter
Feb,-26.0,1969,Russia,RUS,winter
Mar,-13.7,1969,Russia,RUS,spring
Apr,-2.5,1969,Russia,RUS,spring
May,6.1,1969,Russia,RUS,spring
Jun,15.6,1969,Russia,RUS,summer
Jul,21.2,1969,Russia,RUS,summer
Aug,17.2,1969,Russia,RUS,summer
Sep,9.0,1969,Russia,RUS,autumn
Oct,-2.6,1969,Russia,RUS,autumn
Nov,-12.6,1969,Russia,RUS,autumn
Dec,-20.8,1969,Russia,RUS,winter
Jan,-22.6,1970,Russia,RUS,winter
Feb,-19.8,1970,Russia,RUS,winter
Mar,-11.4,1970,Russia,RUS,spring
Apr,-1.8,1970,Russia,RUS,spring
May,7.1,1970,Russia,RUS,spring
Jun,16.1,1970,Russia,RUS,summer
Jul,21.0,1970,Russia,RUS,summer
Aug,15.8,1970,Russia,RUS,summer
Sep,10.9,1970,Russia,RUS,autumn
Oct,-2.7,1970,Russia,RUS,autumn
Nov,-13.8,1970,Russia,RUS,autumn
Dec,-20.4,1970,Russia,RUS,winter
Jan,-20.3,1971,Russia,RUS,winter
Feb,-22.7,1971,Russia,RUS,winter
Mar,-12.6,1971,Russia,RUS,spring
Apr,-2.2,1971,Russia,RUS,spring
May,8.0,1971,Russia,RUS,spring
Jun,16.2,1971,Russia,RUS,summer
Jul,20.3,1971,Russia,RUS,summer
Aug,17.9,1971,Russia,RUS,summer
Sep,11.2,1971,Russia,RUS,autumn
Oct,-0.5,1971,Russia,RUS,autumn
Nov,-10.3,1971,Russia,RUS,autumn
Dec,-19.3,1971,Russia,RUS,winter
Jan,-25.8,1972,Russia,RUS,winter
Feb,-18.9,1972,Russia,RUS,winter
Mar,-11.5,1972,Russia,RUS,spring
Apr,0.2,1972,Russia,RUS,spring
May,6.9,1972,Russia,RUS,spring
Jun,16.1,1972,Russia,RUS,summer
Jul,20.2,1972,Russia,RUS,summer
Aug,17.3,1972,Russia,RUS,summer
Sep,8.6,1972,Russia,RUS,autumn
Oct,-1.3,1972,Russia,RUS,autumn
Nov,-16.5,1972,Russia,RUS,autumn
Dec,-18.9,1972,Russia,RUS,winter
Jan,-22.7,1973,Russia,RUS,winter
Feb,-17.9,1973,Russia,RUS,winter
Mar,-10.5,1973,Russia,RUS,spring
Apr,-1.1,1973,Russia,RUS,spring
May,8.7,1973,Russia,RUS,spring
Jun,17.3,1973,Russia,RUS,summer
Jul,19.9,1973,Russia,RUS,summer
Aug,17.6,1973,Russia,RUS,summer
Sep,9.9,1973,Russia,RUS,autumn
Oct,-1.7,1973,Russia,RUS,autumn
Nov,-12.8,1973,Russia,RUS,autumn
Dec,-18.9,1973,Russia,RUS,winter
Jan,-24.5,1974,Russia,RUS,winter
Feb,-22.1,1974,Russia,RUS,winter
Mar,-9.9,1974,Russia,RUS,spring
Apr,-0.7,1974,Russia,RUS,spring
May,7.4,1974,Russia,RUS,spring
Jun,16.0,1974,Russia,RUS,summer
Jul,20.7,1974,Russia,RUS,summer
Aug,17.8,1974,Russia,RUS,summer
Sep,11.1,1974,Russia,RUS,autumn
Oct,-2.0,1974,Russia,RUS,autumn
Nov,-16.5,1974,Russia,RUS,autumn
Dec,-21.4,1974,Russia,RUS,winter
Jan,-20.2,1975,Russia,RUS,winter
Feb,-18.8,1975,Russia,RUS,winter
Mar,-8.7,1975,Russia,RUS,spring
Apr,0.5,1975,Russia,RUS,spring
May,9.1,1975,Russia,RUS,spring
Jun,17.1,1975,Russia,RUS,summer
Jul,20.2,1975,Russia,RUS,summer
Aug,16.8,1975,Russia,RUS,summer
Sep,11.0,1975,Russia,RUS,autumn
Oct,-0.9,1975,Russia,RUS,autumn
Nov,-12.7,1975,Russia,RUS,autumn
Dec,-18.0,1975,Russia,RUS,winter
Jan,-20.9,1976,Russia,RUS,winter
Feb,-21.8,1976,Russia,RUS,winter
Mar,-12.1,1976,Russia,RUS,spring
Apr,0.1,1976,Russia,RUS,spring
May,7.0,1976,Russia,RUS,spring
Jun,16.1,1976,Russia,RUS,summer
Jul,19.5,1976,Russia,RUS,summer
Aug,17.0,1976,Russia,RUS,summer
Sep,10.4,1976,Russia,RUS,autumn
Oct,-4.8,1976,Russia,RUS,autumn
Nov,-14.6,1976,Russia,RUS,autumn
Dec,-21.9,1976,Russia,RUS,winter
Jan,-24.4,1977,Russia,RUS,winter
Feb,-23.0,1977,Russia,RUS,winter
Mar,-12.5,1977,Russia,RUS,spring
Apr,0.4,1977,Russia,RUS,spring
May,9.5,1977,Russia,RUS,spring
Jun,17.6,1977,Russia,RUS,summer
Jul,19.9,1977,Russia,RUS,summer
Aug,16.4,1977,Russia,RUS,summer
Sep,9.5,1977,Russia,RUS,autumn
Oct,-4.2,1977,Russia,RUS,autumn
Nov,-12.3,1977,Russia,RUS,autumn
Dec,-20.8,1977,Russia,RUS,winter
Jan,-21.9,1978,Russia,RUS,winter
Feb,-19.3,1978,Russia,RUS,winter
Mar,-10.2,1978,Russia,RUS,spring
Apr,-1.6,1978,Russia,RUS,spring
May,6.7,1978,Russia,RUS,spring
Jun,15.4,1978,Russia,RUS,summer
Jul,19.4,1978,Russia,RUS,summer
Aug,16.2,1978,Russia,RUS,summer
Sep,9.2,1978,Russia,RUS,autumn
Oct,-1.0,1978,Russia,RUS,autumn
Nov,-9.8,1978,Russia,RUS,autumn
Dec,-23.5,1978,Russia,RUS,winter
Jan,-25.7,1979,Russia,RUS,winter
Feb,-21.5,1979,Russia,RUS,winter
Mar,-12.0,1979,Russia,RUS,spring
Apr,-3.9,1979,Russia,RUS,spring
May,8.8,1979,Russia,RUS,spring
Jun,16.4,1979,Russia,RUS,summer
Jul,20.0,1979,Russia,RUS,summer
Aug,16.4,1979,Russia,RUS,summer
Sep,10.0,1979,Russia,RUS,autumn
Oct,-3.1,1979,Russia,RUS,autumn
Nov,-14.4,1979,Russia,RUS,autumn
Dec,-18.5,1979,Russia,RUS,winter
Jan,-23.2,1980,Russia,RUS,winter
Feb,-19.7,1980,Russia,RUS,winter
Mar,-12.9,1980,Russia,RUS,spring
Apr,-2.4,1980,Russia,RUS,spring
May,7.0,1980,Russia,RUS,spring
Jun,16.7,1980,Russia,RUS,summer
Jul,19.8,1980,Russia,RUS,summer
Aug,17.6,1980,Russia,RUS,summer
Sep,10.3,1980,Russia,RUS,autumn
Oct,-1.2,1980,Russia,RUS,autumn
Nov,-14.9,1980,Russia,RUS,autumn
Dec,-18.2,1980,Russia,RUS,winter
Jan,-18.4,1981,Russia,RUS,winter
Feb,-18.0,1981,Russia,RUS,winter
Mar,-11.3,1981,Russia,RUS,spring
Apr,-0.2,1981,Russia,RUS,spring
May,8.6,1981,Russia,RUS,spring
Jun,17.6,1981,Russia,RUS,summer
Jul,20.2,1981,Russia,RUS,summer
Aug,18.2,1981,Russia,RUS,summer
Sep,9.5,1981,Russia,RUS,autumn
Oct,-0.5,1981,Russia,RUS,autumn
Nov,-12.9,1981,Russia,RUS,autumn
Dec,-17.8,1981,Russia,RUS,winter
Jan,-24.2,1982,Russia,RUS,winter
Feb,-17.7,1982,Russia,RUS,winter
Mar,-12.8,1982,Russia,RUS,spring
Apr,0.8,1982,Russia,RUS,spring
May,7.8,1982,Russia,RUS,spring
Jun,15.8,1982,Russia,RUS,summer
Jul,20.4,1982,Russia,RUS,summer
Aug,17.0,1982,Russia,RUS,summer
Sep,9.9,1982,Russia,RUS,autumn
Oct,-3.7,1982,Russia,RUS,autumn
Nov,-14.6,1982,Russia,RUS,autumn
Dec,-17.9,1982,Russia,RUS,winter
Jan,-19.2,1983,Russia,RUS,winter
Feb,-18.5,1983,Russia,RUS,winter
Mar,-9.3,1983,Russia,RUS,spring
Apr,-1.8,1983,Russia,RUS,spring
May,7.5,1983,Russia,RUS,spring
Jun,16.5,1983,Russia,RUS,summer
Jul,20.0,1983,Russia,RUS,summer
Aug,17.8,1983,Russia,RUS,summer
Sep,10.6,1983,Russia,RUS,autumn
Oct,-1.1,1983,Russia,RUS,autumn
Nov,-11.0,1983,Russia,RUS,autumn
Dec,-16.9,1983,Russia,RUS,winter
Jan,-19.4,1984,Russia,RUS,winter
Feb,-20.4,1984,Russia,RUS,winter
Mar,-10.6,1984,Russia,RUS,spring
Apr,-3.1,1984,Russia,RUS,spring
May,9.9,1984,Russia,RUS,spring
Jun,16.8,1984,Russia,RUS,summer
Jul,20.5,1984,Russia,RUS,summer
Aug,16.6,1984,Russia,RUS,summer
Sep,10.0,1984,Russia,RUS,autumn
Oct,-2.2,1984,Russia,RUS,autumn
Nov,-15.8,1984,Russia,RUS,autumn
Dec,-21.8,1984,Russia,RUS,winter
Jan,-24.4,1985,Russia,RUS,winter
Feb,-22.0,1985,Russia,RUS,winter
Mar,-11.9,1985,Russia,RUS,spring
Apr,-1.5,1985,Russia,RUS,spring
May,7.0,1985,Russia,RUS,spring
Jun,16.7,1985,Russia,RUS,summer
Jul,19.1,1985,Russia,RUS,summer
Aug,17.1,1985,Russia,RUS,summer
Sep,10.2,1985,Russia,RUS,autumn
Oct,-1.3,1985,Russia,RUS,autumn
Nov,-12.3,1985,Russia,RUS,autumn
Dec,-20.5,1985,Russia,RUS,winter
Jan,-22.5,1986,Russia,RUS,winter
Feb,-18.6,1986,Russia,RUS,winter
Mar,-10.1,1986,Russia,RUS,spring
Apr,-0.6,1986,Russia,RUS,spring
May,7.2,1986,Russia,RUS,spring
Jun,16.9,1986,Russia,RUS,summer
Jul,20.0,1986,Russia,RUS,summer
Aug,16.7,1986,Russia,RUS,summer
Sep,9.3,1986,Russia,RUS,autumn
Oct,-0.5,1986,Russia,RUS,autumn
Nov,-11.8,1986,Russia,RUS,autumn
Dec,-21.9,1986,Russia,RUS,winter
Jan,-25.4,1987,Russia,RUS,winter
Feb,-19.8,1987,Russia,RUS,winter
Mar,-12.2,1987,Russia,RUS,spring
Apr,-3.0,1987,Russia,RUS,spring
May,7.8,1987,Russia,RUS,spring
Jun,15.3,1987,Russia,RUS,summer
Jul,20.0,1987,Russia,RUS,summer
Aug,17.2,1987,Russia,RUS,summer
Sep,9.2,1987,Russia,RUS,autumn
Oct,-1.7,1987,Russia,RUS,autumn
Nov,-17.9,1987,Russia,RUS,autumn
Dec,-21.6,1987,Russia,RUS,winter
Jan,-20.9,1988,Russia,RUS,winter
Feb,-20.2,1988,Russia,RUS,winter
Mar,-10.6,1988,Russia,RUS,spring
Apr,-1.3,1988,Russia,RUS,spring
May,8.3,1988,Russia,RUS,spring
Jun,16.9,1988,Russia,RUS,summer
Jul,21.2,1988,Russia,RUS,summer
Aug,17.2,1988,Russia,RUS,summer
Sep,11.1,1988,Russia,RUS,autumn
Oct,0.2,1988,Russia,RUS,autumn
Nov,-12.7,1988,Russia,RUS,autumn
Dec,-17.0,1988,Russia,RUS,winter
Jan,-22.0,1989,Russia,RUS,winter
Feb,-14.8,1989,Russia,RUS,winter
Mar,-7.1,1989,Russia,RUS,spring
Apr,-1.4,1989,Russia,RUS,spring
May,9.0,1989,Russia,RUS,spring
Jun,17.0,1989,Russia,RUS,summer
Jul,20.2,1989,Russia,RUS,summer
Aug,17.0,1989,Russia,RUS,summer
Sep,10.0,1989,Russia,RUS,autumn
Oct,-1.0,1989,Russia,RUS,autumn
Nov,-13.7,1989,Russia,RUS,autumn
Dec,-18.3,1989,Russia,RUS,winter
Jan,-24.3,1990,Russia,RUS,winter
Feb,-18.3,1990,Russia,RUS,winter
Mar,-6.0,1990,Russia,RUS,spring
Apr,1.4,1990,Russia,RUS,spring
May,9.8,1990,Russia,RUS,spring
Jun,17.4,1990,Russia,RUS,summer
Jul,20.6,1990,Russia,RUS,summer
Aug,17.8,1990,Russia,RUS,summer
Sep,9.2,1990,Russia,RUS,autumn
Oct,-0.4,1990,Russia,RUS,autumn
Nov,-13.9,1990,Russia,RUS,autumn
Dec,-18.9,1990,Russia,RUS,winter
Jan,-20.7,1991,Russia,RUS,winter
Feb,-20.0,1991,Russia,RUS,winter
Mar,-12.7,1991,Russia,RUS,spring
Apr,0.8,1991,Russia,RUS,spring
May,9.2,1991,Russia,RUS,spring
Jun,17.2,1991,Russia,RUS,summer
Jul,21.4,1991,Russia,RUS,summer
Aug,17.5,1991,Russia,RUS,summer
Sep,11.1,1991,Russia,RUS,autumn
Oct,0.3,1991,Russia,RUS,autumn
Nov,-11.5,1991,Russia,RUS,autumn
Dec,-20.9,1991,Russia,RUS,winter
Jan,-19.9,1992,Russia,RUS,winter
Feb,-17.5,1992,Russia,RUS,winter
Mar,-10.4,1992,Russia,RUS,spring
Apr,-2.8,1992,Russia,RUS,spring
May,9.3,1992,Russia,RUS,spring
Jun,15.6,1992,Russia,RUS,summer
Jul,19.8,1992,Russia,RUS,summer
Aug,16.9,1992,Russia,RUS,summer
Sep,8.7,1992,Russia,RUS,autumn
Oct,-2.0,1992,Russia,RUS,autumn
Nov,-15.7,1992,Russia,RUS,autumn
Dec,-18.4,1992,Russia,RUS,winter
Jan,-19.3,1993,Russia,RUS,winter
Feb,-16.2,1993,Russia,RUS,winter
Mar,-9.0,1993,Russia,RUS,spring
Apr,-1.4,1993,Russia,RUS,spring
May,8.1,1993,Russia,RUS,spring
Jun,16.6,1993,Russia,RUS,summer
Jul,20.7,1993,Russia,RUS,summer
Aug,16.7,1993,Russia,RUS,summer
Sep,8.6,1993,Russia,RUS,autumn
Oct,-1.5,1993,Russia,RUS,autumn
Nov,-14.8,1993,Russia,RUS,autumn
Dec,-21.0,1993,Russia,RUS,winter
Jan,-23.0,1994,Russia,RUS,winter
Feb,-20.9,1994,Russia,RUS,winter
Mar,-10.4,1994,Russia,RUS,spring
Apr,-0.6,1994,Russia,RUS,spring
May,7.7,1994,Russia,RUS,spring
Jun,17.1,1994,Russia,RUS,summer
Jul,20.2,1994,Russia,RUS,summer
Aug,16.9,1994,Russia,RUS,summer
Sep,10.6,1994,Russia,RUS,autumn
Oct,1.0,1994,Russia,RUS,autumn
Nov,-13.8,1994,Russia,RUS,autumn
Dec,-21.5,1994,Russia,RUS,winter
Jan,-19.2,1995,Russia,RUS,winter
Feb,-13.6,1995,Russia,RUS,winter
Mar,-9.2,1995,Russia,RUS,spring
Apr,1.2,1995,Russia,RUS,spring
May,8.6,1995,Russia,RUS,spring
Jun,16.8,1995,Russia,RUS,summer
Jul,20.4,1995,Russia,RUS,summer
Aug,18.6,1995,Russia,RUS,summer
Sep,10.6,1995,Russia,RUS,autumn
Oct,0.7,1995,Russia,RUS,autumn
Nov,-11.1,1995,Russia,RUS,autumn
Dec,-18.6,1995,Russia,RUS,winter
Jan,-21.7,1996,Russia,RUS,winter
Feb,-18.0,1996,Russia,RUS,winter
Mar,-9.4,1996,Russia,RUS,spring
Apr,-1.4,1996,Russia,RUS,spring
May,8.8,1996,Russia,RUS,spring
Jun,16.0,1996,Russia,RUS,summer
Jul,20.9,1996,Russia,RUS,summer
Aug,16.5,1996,Russia,RUS,summer
Sep,8.0,1996,Russia,RUS,autumn
Oct,-1.2,1996,Russia,RUS,autumn
Nov,-11.6,1996,Russia,RUS,autumn
Dec,-20.6,1996,Russia,RUS,winter
Jan,-22.1,1997,Russia,RUS,winter
Feb,-18.3,1997,Russia,RUS,winter
Mar,-8.8,1997,Russia,RUS,spring
Apr,2.7,1997,Russia,RUS,spring
May,8.8,1997,Russia,RUS,spring
Jun,16.8,1997,Russia,RUS,summer
Jul,19.6,1997,Russia,RUS,summer
Aug,17.4,1997,Russia,RUS,summer
Sep,10.4,1997,Russia,RUS,autumn
Oct,0.9,1997,Russia,RUS,autumn
Nov,-14.1,1997,Russia,RUS,autumn
Dec,-21.9,1997,Russia,RUS,winter
Jan,-22.7,1998,Russia,RUS,winter
Feb,-19.2,1998,Russia,RUS,winter
Mar,-9.7,1998,Russia,RUS,spring
Apr,-2.0,1998,Russia,RUS,spring
May,7.4,1998,Russia,RUS,spring
Jun,17.3,1998,Russia,RUS,summer
Jul,21.6,1998,Russia,RUS,summer
Aug,18.3,1998,Russia,RUS,summer
Sep,8.7,1998,Russia,RUS,autumn
Oct,-2.3,1998,Russia,RUS,autumn
Nov,-17.4,1998,Russia,RUS,autumn
Dec,-19.7,1998,Russia,RUS,winter
Jan,-22.6,1999,Russia,RUS,winter
Feb,-17.5,1999,Russia,RUS,winter
Mar,-14.5,1999,Russia,RUS,spring
Apr,-1.1,1999,Russia,RUS,spring
May,8.5,1999,Russia,RUS,spring
Jun,16.7,1999,Russia,RUS,summer
Jul,21.4,1999,Russia,RUS,summer
Aug,16.8,1999,Russia,RUS,summer
Sep,9.8,1999,Russia,RUS,autumn
Oct,-0.5,1999,Russia,RUS,autumn
Nov,-13.9,1999,Russia,RUS,autumn
Dec,-17.7,1999,Russia,RUS,winter
Jan,-23.4,2000,Russia,RUS,winter
Feb,-16.9,2000,Russia,RUS,winter
Mar,-9.4,2000,Russia,RUS,spring
Apr,1.8,2000,Russia,RUS,spring
May,9.0,2000,Russia,RUS,spring
Jun,17.7,2000,Russia,RUS,summer
Jul,20.5,2000,Russia,RUS,summer
Aug,18.0,2000,Russia,RUS,summer
Sep,10.0,2000,Russia,RUS,autumn
Oct,-2.0,2000,Russia,RUS,autumn
Nov,-15.3,2000,Russia,RUS,autumn
Dec,-22.3,2000,Russia,RUS,winter
Jan,-24.4,2001,Russia,RUS,winter
Feb,-20.6,2001,Russia,RUS,winter
Mar,-11.0,2001,Russia,RUS,spring
Apr,-0.3,2001,Russia,RUS,spring
May,9.7,2001,Russia,RUS,spring
Jun,17.7,2001,Russia,RUS,summer
Jul,21.5,2001,Russia,RUS,summer
Aug,18.2,2001,Russia,RUS,summer
Sep,9.6,2001,Russia,RUS,autumn
Oct,-1.6,2001,Russia,RUS,autumn
Nov,-10.3,2001,Russia,RUS,autumn
Dec,-20.4,2001,Russia,RUS,winter
Jan,-20.5,2002,Russia,RUS,winter
Feb,-16.5,2002,Russia,RUS,winter
Mar,-6.9,2002,Russia,RUS,spring
Apr,-0.3,2002,Russia,RUS,spring
May,9.0,2002,Russia,RUS,spring
Jun,17.8,2002,Russia,RUS,summer
Jul,21.2,2002,Russia,RUS,summer
Aug,17.8,2002,Russia,RUS,summer
Sep,10.0,2002,Russia,RUS,autumn
Oct,-1.7,2002,Russia,RUS,autumn
Nov,-13.2,2002,Russia,RUS,autumn
Dec,-23.3,2002,Russia,RUS,winter
Jan,-21.2,2003,Russia,RUS,winter
Feb,-19.0,2003,Russia,RUS,winter
Mar,-9.0,2003,Russia,RUS,spring
Apr,-0.3,2003,Russia,RUS,spring
May,9.3,2003,Russia,RUS,spring
Jun,16.8,2003,Russia,RUS,summer
Jul,21.0,2003,Russia,RUS,summer
Aug,18.5,2003,Russia,RUS,summer
Sep,11.4,2003,Russia,RUS,autumn
Oct,0.0,2003,Russia,RUS,autumn
Nov,-14.1,2003,Russia,RUS,autumn
Dec,-16.6,2003,Russia,RUS,winter
Jan,-20.8,2004,Russia,RUS,winter
Feb,-19.2,2004,Russia,RUS,winter
Mar,-10.8,2004,Russia,RUS,spring
Apr,-1.5,2004,Russia,RUS,spring
May,8.5,2004,Russia,RUS,spring
Jun,16.8,2004,Russia,RUS,summer
Jul,20.4,2004,Russia,RUS,summer
Aug,17.1,2004,Russia,RUS,summer
Sep,10.3,2004,Russia,RUS,autumn
Oct,-1.4,2004,Russia,RUS,autumn
Nov,-10.7,2004,Russia,RUS,autumn
Dec,-22.3,2004,Russia,RUS,winter
Jan,-19.9,2005,Russia,RUS,winter
Feb,-20.4,2005,Russia,RUS,winter
Mar,-10.6,2005,Russia,RUS,spring
Apr,0.2,2005,Russia,RUS,spring
May,10.3,2005,Russia,RUS,spring
Jun,17.6,2005,Russia,RUS,summer
Jul,21.3,2005,Russia,RUS,summer
Aug,17.6,2005,Russia,RUS,summer
Sep,12.1,2005,Russia,RUS,autumn
Oct,1.3,2005,Russia,RUS,autumn
Nov,-10.2,2005,Russia,RUS,autumn
Dec,-19.3,2005,Russia,RUS,winter
Jan,-25.8,2006,Russia,RUS,winter
Feb,-19.6,2006,Russia,RUS,winter
Mar,-10.6,2006,Russia,RUS,spring
Apr,-3.3,2006,Russia,RUS,spring
May,8.7,2006,Russia,RUS,spring
Jun,18.3,2006,Russia,RUS,summer
Jul,20.5,2006,Russia,RUS,summer
Aug,17.2,2006,Russia,RUS,summer
Sep,11.4,2006,Russia,RUS,autumn
Oct,-1.5,2006,Russia,RUS,autumn
Nov,-12.7,2006,Russia,RUS,autumn
Dec,-17.1,2006,Russia,RUS,winter
Jan,-16.6,2007,Russia,RUS,winter
Feb,-20.7,2007,Russia,RUS,winter
Mar,-8.8,2007,Russia,RUS,spring
Apr,2.8,2007,Russia,RUS,spring
May,9.3,2007,Russia,RUS,spring
Jun,16.7,2007,Russia,RUS,summer
Jul,20.9,2007,Russia,RUS,summer
Aug,18.6,2007,Russia,RUS,summer
Sep,11.2,2007,Russia,RUS,autumn
Oct,0.9,2007,Russia,RUS,autumn
Nov,-11.5,2007,Russia,RUS,autumn
Dec,-17.5,2007,Russia,RUS,winter
Jan,-21.4,2008,Russia,RUS,winter
Feb,-16.5,2008,Russia,RUS,winter
Mar,-6.9,2008,Russia,RUS,spring
Apr,-0.6,2008,Russia,RUS,spring
May,9.2,2008,Russia,RUS,spring
Jun,17.3,2008,Russia,RUS,summer
Jul,20.3,2008,Russia,RUS,summer
Aug,17.9,2008,Russia,RUS,summer
Sep,9.9,2008,Russia,RUS,autumn
Oct,1.3,2008,Russia,RUS,autumn
Nov,-11.2,2008,Russia,RUS,autumn
Dec,-18.5,2008,Russia,RUS,winter
Jan,-20.8,2009,Russia,RUS,winter
Feb,-22.0,2009,Russia,RUS,winter
Mar,-10.4,2009,Russia,RUS,spring
Apr,0.9,2009,Russia,RUS,spring
May,8.6,2009,Russia,RUS,spring
Jun,17.1,2009,Russia,RUS,summer
Jul,20.3,2009,Russia,RUS,summer
Aug,17.7,2009,Russia,RUS,summer
Sep,11.6,2009,Russia,RUS,autumn
Oct,0.2,2009,Russia,RUS,autumn
Nov,-14.4,2009,Russia,RUS,autumn
