month,tasmax,year,country,iso3,season
Jan,5.7,1960,Turkey,TUR,winter
Feb,6.0,1960,Turkey,TUR,winter
Mar,8.7,1960,Turkey,TUR,spring
Apr,14.2,1960,Turkey,TUR,spring
May,22.1,1960,Turkey,TUR,spring
Jun,25.0,1960,Turkey,TUR,summer
Jul,29.1,1960,Turkey,TUR,summer
Aug,28.5,1960,Turkey,TUR,summer
Sep,25.6,1960,Turkey,TUR,autumn
Oct,21.9,1960,Turkey,TUR,autumn
Nov,14.2,1960,Turkey,TUR,autumn
Dec,9.3,1960,Turkey,TUR,winter
Jan,4.0,1961,Turkey,TUR,winter
Feb,4.6,1961,Turkey,TUR,winter
Mar,9.3,1961,Turkey,TUR,spring
Apr,17.5,1961,Turkey,TUR,spring
May,22.3,1961,Turkey,TUR,spring
Jun,25.9,1961,Turkey,TUR,summer
Jul,29.4,1961,Turkey,TUR,summer
Aug,30.0,1961,Turkey,TUR,summer
Sep,23.5,1961,Turkey,TUR,autumn
Oct,19.2,1961,Turkey,TUR,autumn
Nov,13.1,1961,Turkey,TUR,autumn
Dec,7.2,1961,Turkey,TUR,winter
Jan,4.9,1962,Turkey,TUR,winter
Feb,5.2,1962,Turkey,TUR,winter
Mar,12.8,1962,Turkey,TUR,spring
Apr,15.4,1962,Turkey,TUR,spring
May,22.5,1962,Turkey,TUR,spring
Jun,26.6,1962,Turkey,TUR,summer
Jul,30.6,1962,Turkey,TUR,summer
Aug,31.2,1962,Turkey,TUR,summer
Sep,26.9,1962,Turkey,TUR,autumn
Oct,19.6,1962,Turkey,TUR,autumn
Nov,15.9,1962,Turkey,TUR,autumn
Dec,7.7,1962,Turkey,TUR,winter
Jan,5.7,1963,Turkey,TUR,winter
Feb,7.8,1963,Turkey,TUR,winter
Mar,8.1,1963,Turkey,TUR,spring
Apr,14.5,1963,Turkey,TUR,spring
May,18.4,1963,Turkey,TUR,spring
Jun,25.0,1963,Turkey,TUR,summer
Jul,28.9,1963,Turkey,TUR,summer
Aug,30.3,1963,Turkey,TUR,summer
Sep,26.1,1963,Turkey,TUR,autumn
Oct,19.7,1963,Turkey,TUR,autumn
Nov,13.6,1963,Turkey,TUR,autumn
Dec,6.1,1963,Turkey,TUR,winter
Jan,0.6,1964,Turkey,TUR,winter
Feb,3.7,1964,Turkey,TUR,winter
Mar,9.9,1964,Turkey,TUR,spring
Apr,15.1,1964,Turkey,TUR,spring
May,19.8,1964,Turkey,TUR,spring
Jun,25.1,1964,Turkey,TUR,summer
Jul,29.0,1964,Turkey,TUR,summer
Aug,28.3,1964,Turkey,TUR,summer
Sep,25.0,1964,Turkey,TUR,autumn
Oct,21.2,1964,Turkey,TUR,autumn
Nov,12.6,1964,Turkey,TUR,autumn
Dec,6.4,1964,Turkey,TUR,winter
Jan,3.6,1965,Turkey,TUR,winter
Feb,4.2,1965,Turkey,TUR,winter
Mar,10.2,1965,Turkey,TUR,spring
Apr,13.7,1965,Turkey,TUR,spring
May,20.3,1965,Turkey,TUR,spring
Jun,26.3,1965,Turkey,TUR,summer
Jul,29.2,1965,Turkey,TUR,summer
Aug,29.7,1965,Turkey,TUR,summer
Sep,26.6,1965,Turkey,TUR,autumn
Oct,15.8,1965,Turkey,TUR,autumn
Nov,12.0,1965,Turkey,TUR,autumn
Dec,7.2,1965,Turkey,TUR,winter
Jan,6.2,1966,Turkey,TUR,winter
Feb,9.6,1966,Turkey,TUR,winter
Mar,10.8,1966,Turkey,TUR,spring
Apr,16.8,1966,Turkey,TUR,spring
May,20.6,1966,Turkey,TUR,spring
Jun,26.0,1966,Turkey,TUR,summer
Jul,30.0,1966,Turkey,TUR,summer
Aug,30.5,1966,Turkey,TUR,summer
Sep,24.9,1966,Turkey,TUR,autumn
Oct,21.6,1966,Turkey,TUR,autumn
Nov,15.8,1966,Turkey,TUR,autumn
Dec,7.0,1966,Turkey,TUR,winter
Jan,3.2,1967,Turkey,TUR,winter
Feb,1.9,1967,Turkey,TUR,winter
Mar,7.8,1967,Turkey,TUR,spring
Apr,14.2,1967,Turkey,TUR,spring
May,19.8,1967,Turkey,TUR,spring
Jun,23.8,1967,Turkey,TUR,summer
Jul,27.8,1967,Turkey,TUR,summer
Aug,29.0,1967,Turkey,TUR,summer
Sep,24.7,1967,Turkey,TUR,autumn
Oct,19.1,1967,Turkey,TUR,autumn
Nov,10.6,1967,Turkey,TUR,autumn
Dec,6.5,1967,Turkey,TUR,winter
Jan,2.5,1968,Turkey,TUR,winter
Feb,4.8,1968,Turkey,TUR,winter
Mar,9.0,1968,Turkey,TUR,spring
Apr,18.0,1968,Turkey,TUR,spring
May,22.7,1968,Turkey,TUR,spring
Jun,24.4,1968,Turkey,TUR,summer
Jul,29.6,1968,Turkey,TUR,summer
Aug,27.7,1968,Turkey,TUR,summer
Sep,24.7,1968,Turkey,TUR,autumn
Oct,18.6,1968,Turkey,TUR,autumn
Nov,12.5,1968,Turkey,TUR,autumn
Dec,6.2,1968,Turkey,TUR,winter
Jan,2.7,1969,Turkey,TUR,winter
Feb,5.2,1969,Turkey,TUR,winter
Mar,9.4,1969,Turkey,TUR,spring
Apr,13.0,1969,Turkey,TUR,spring
May,21.8,1969,Turkey,TUR,spring
Jun,26.7,1969,Turkey,TUR,summer
Jul,27.4,1969,Turkey,TUR,summer
Aug,30.0,1969,Turkey,TUR,summer
Sep,25.9,1969,Turkey,TUR,autumn
Oct,18.2,1969,Turkey,TUR,autumn
Nov,12.9,1969,Turkey,TUR,autumn
Dec,7.6,1969,Turkey,TUR,winter
Jan,5.9,1970,Turkey,TUR,winter
Feb,8.1,1970,Turkey,TUR,winter
Mar,11.8,1970,Turkey,TUR,spring
Apr,19.2,1970,Turkey,TUR,spring
May,20.9,1970,Turkey,TUR,spring
Jun,26.1,1970,Turkey,TUR,summer
Jul,29.5,1970,Turkey,TUR,summer
Aug,28.8,1970,Turkey,TUR,summer
Sep,25.0,1970,Turkey,TUR,autumn
Oct,17.5,1970,Turkey,TUR,autumn
Nov,13.2,1970,Turkey,TUR,autumn
