quartil,tasmax,country,iso3
min,-0.0,Turkey,TUR
25%,8.5,Turkey,TUR
50%,17.8,Turkey,TUR
75%,25.7,Turkey,TUR
max,32.3,Turkey,TUR
min,-26.6,Russia,RUS
25%,-15.9,Russia,RUS
50%,-0.85,Russia,RUS
75%,13.35,Russia,RUS
max,21.8,Russia,RUS
min,26.6,Philippines,PHL
25%,29.3,Philippines,PHL
50%,29.8,Philippines,PHL
75%,30.5,Philippines,PHL
max,32.9,Philippines,PHL
min,23.0,India,IND
25%,27.6,India,IND
50%,30.7,India,IND
75%,33.25,India,IND
max,37.7,India,IND
min,1.3,United Kingdom,GBR
25%,7.8,United Kingdom,GBR
50%,12.1,United Kingdom,GBR
75%,16.8,United Kingdom,GBR
max,22.6,United Kingdom,GBR
min,1.4,France,FRA
25%,9.67,France,FRA
50%,15.45,France,FRA
75%,21.6,France,FRA
max,28.9,France,FRA
min,17.7,Egypt,EGY
25%,23.87,Egypt,EGY
50%,31.25,Egypt,EGY
75%,35.82,Egypt,EGY
max,39.2,Egypt,EGY
min,-4.1,Germany,DEU
25%,6.4,Germany,DEU
50%,13.3,Germany,DEU
75%,20.0,Germany,DEU
max,27.8,Germany,DEU
min,-4.34,China,CHN
25%,4.44,China,CHN
50%,14.26,China,CHN
75%,21.71,China,CHN
max,26.66,China,CHN
min,-25.8,Canada,CAN
25%,-14.6,Canada,CAN
50%,-2.25,Canada,CAN
75%,10.15,Canada,CAN
max,18.0,Canada,CAN
min,-3.2,United States,USA
25%,4.4,United States,USA
50%,13.6,United States,USA
75%,22.65,United States,USA
max,28.1,United States,USA
min,28.2,Brazil,BRA
25%,30.1,Brazil,BRA
50%,30.6,Brazil,BRA
75%,31.1,Brazil,BRA
max,33.0,Brazil,BRA
min,19.1,Australia,AUS
25%,24.0,Australia,AUS
50%,29.4,Australia,AUS
75%,33.2,Australia,AUS
max,37.6,Australia,AUS
min,29.3,Indonesia,IDN
25%,30.5,Indonesia,IDN
50%,30.8,Indonesia,IDN
75%,31.0,Indonesia,IDN
max,31.7,Indonesia,IDN
