quartil,autumn,spring,summer,winter,country,iso3
min,7.6,5.7,23.8,-0.0,Turkey,TUR
25%,13.55,11.75,26.6,3.75,Turkey,TUR
50%,19.5,15.5,28.9,5.3,Turkey,TUR
75%,25.05,20.35,30.0,6.55,Turkey,TUR
max,29.1,23.4,32.3,10.5,Turkey,TUR
min,-17.9,-14.5,15.3,-26.6,Russia,RUS
25%,-11.7,-8.9,16.95,-22.0,Russia,RUS
50%,-1.2,-0.3,17.8,-20.3,Russia,RUS
75%,9.55,7.55,20.2,-18.5,Russia,RUS
max,12.7,10.9,21.8,-13.6,Russia,RUS
min,28.2,28.7,28.7,26.6,Philippines,PHL
25%,29.5,30.5,29.6,28.6,Philippines,PHL
50%,29.8,31.1,29.9,28.9,Philippines,PHL
75%,30.0,31.6,30.35,29.3,Philippines,PHL
max,31.1,32.9,31.6,30.5,Philippines,PHL
min,26.5,29.7,29.6,23.0,India,IND
25%,28.55,32.2,30.5,24.4,India,IND
50%,30.6,35.0,31.2,25.1,India,IND
75%,31.0,36.3,34.0,26.4,India,IND
max,31.9,37.7,36.0,29.1,India,IND
min,6.1,5.2,14.7,1.3,United Kingdom,GBR
25%,9.5,9.2,17.5,5.35,United Kingdom,GBR
50%,13.0,11.1,18.2,6.4,United Kingdom,GBR
75%,15.7,13.85,19.4,7.3,United Kingdom,GBR
max,18.5,16.9,22.6,9.4,United Kingdom,GBR
min,7.4,7.7,19.2,1.4,France,FRA
25%,11.45,12.3,22.3,6.1,France,FRA
50%,16.2,14.5,23.6,7.5,France,FRA
75%,20.0,17.35,25.25,8.65,France,FRA
max,24.0,21.8,28.9,12.7,France,FRA
min,23.6,22.8,34.9,17.7,Egypt,EGY
25%,26.8,26.7,36.3,20.3,Egypt,EGY
50%,31.9,30.6,37.0,21.4,Egypt,EGY
75%,34.3,33.7,37.6,22.3,Egypt,EGY
max,37.7,36.4,39.2,25.4,Egypt,EGY
min,3.0,3.8,18.1,-4.1,Germany,DEU
25%,8.35,10.15,20.85,2.25,Germany,DEU
50%,13.4,13.2,22.2,3.5,Germany,DEU
75%,17.6,17.0,23.7,5.4,Germany,DEU
max,22.9,22.1,27.8,10.1,Germany,DEU
min,3.64,4.51,22.08,-4.34,China,CHN
25%,7.24,8.65,23.65,-0.97,China,CHN
50%,13.93,14.76,24.38,0.36,China,CHN
75%,19.91,19.52,25.05,1.56,China,CHN
max,21.59,21.33,26.66,5.3,China,CHN
min,-13.9,-17.6,10.6,-25.8,Canada,CAN
25%,-8.9,-11.7,12.8,-19.75,Canada,CAN
50%,-0.7,-4.5,14.4,-18.0,Canada,CAN
75%,7.1,3.95,15.9,-16.05,Canada,CAN
max,10.0,7.4,18.0,-12.4,Canada,CAN
min,4.0,3.8,22.4,-3.2,United States,USA
25%,7.05,7.55,24.65,-0.0,United States,USA
50%,14.3,12.9,25.6,1.2,United States,USA
75%,20.8,18.5,26.5,2.5,United States,USA
max,23.0,21.1,28.1,6.0,United States,USA
min,28.3,30.4,29.9,28.2,Brazil,BRA
25%,29.7,31.0,30.5,29.3,Brazil,BRA
50%,30.2,31.4,30.7,29.9,Brazil,BRA
75%,30.55,31.9,31.1,30.5,Brazil,BRA
max,31.4,33.0,31.8,32.1,Brazil,BRA
min,21.5,24.4,31.8,19.1,Australia,AUS
25%,25.25,27.6,33.7,21.15,Australia,AUS
50%,28.8,30.3,34.4,21.8,Australia,AUS
75%,31.6,32.2,35.1,22.9,Australia,AUS
max,34.3,34.9,37.6,25.4,Australia,AUS
min,30.3,30.1,29.9,29.3,Indonesia,IDN
25%,30.9,30.7,30.3,30.2,Indonesia,IDN
50%,31.1,30.9,30.6,30.4,Indonesia,IDN
75%,31.3,31.1,30.8,30.7,Indonesia,IDN
max,31.7,31.6,31.4,31.4,Indonesia,IDN
