month,tasmin,year,country,iso3,season
Jan,21.3,1960,Australia,AUS,summer
Feb,20.5,1960,Australia,AUS,summer
Mar,18.3,1960,Australia,AUS,autumn
Apr,14.8,1960,Australia,AUS,autumn
May,9.8,1960,Australia,AUS,autumn
Jun,7.2,1960,Australia,AUS,winter
Jul,7.4,1960,Australia,AUS,winter
Aug,6.9,1960,Australia,AUS,winter
Sep,10.9,1960,Australia,AUS,spring
Oct,14.7,1960,Australia,AUS,spring
Nov,16.4,1960,Australia,AUS,spring
Dec,19.5,1960,Australia,AUS,summer
Jan,20.7,1961,Australia,AUS,summer
Feb,20.3,1961,Australia,AUS,summer
Mar,18.3,1961,Australia,AUS,autumn
Apr,16.2,1961,Australia,AUS,autumn
May,10.2,1961,Australia,AUS,autumn
Jun,7.7,1961,Australia,AUS,winter
Jul,6.1,1961,Australia,AUS,winter
Aug,7.3,1961,Australia,AUS,winter
Sep,11.9,1961,Australia,AUS,spring
Oct,15.5,1961,Australia,AUS,spring
Nov,17.9,1961,Australia,AUS,spring
Dec,19.9,1961,Australia,AUS,summer
Jan,21.1,1962,Australia,AUS,summer
Feb,20.3,1962,Australia,AUS,summer
Mar,18.2,1962,Australia,AUS,autumn
Apr,14.4,1962,Australia,AUS,autumn
May,10.2,1962,Australia,AUS,autumn
Jun,9.9,1962,Australia,AUS,winter
Jul,7.7,1962,Australia,AUS,winter
Aug,7.9,1962,Australia,AUS,winter
Sep,11.0,1962,Australia,AUS,spring
Oct,14.7,1962,Australia,AUS,spring
Nov,18.0,1962,Australia,AUS,spring
Dec,19.7,1962,Australia,AUS,summer
Jan,20.6,1963,Australia,AUS,summer
Feb,20.5,1963,Australia,AUS,summer
Mar,19.5,1963,Australia,AUS,autumn
Apr,14.6,1963,Australia,AUS,autumn
May,12.2,1963,Australia,AUS,autumn
Jun,8.4,1963,Australia,AUS,winter
Jul,6.8,1963,Australia,AUS,winter
Aug,8.4,1963,Australia,AUS,winter
Sep,10.9,1963,Australia,AUS,spring
Oct,15.0,1963,Australia,AUS,spring
Nov,17.6,1963,Australia,AUS,spring
Dec,19.9,1963,Australia,AUS,summer
Jan,20.4,1964,Australia,AUS,summer
Feb,19.4,1964,Australia,AUS,summer
Mar,18.5,1964,Australia,AUS,autumn
Apr,15.5,1964,Australia,AUS,autumn
May,11.0,1964,Australia,AUS,autumn
Jun,8.7,1964,Australia,AUS,winter
Jul,7.7,1964,Australia,AUS,winter
Aug,8.3,1964,Australia,AUS,winter
Sep,12.4,1964,Australia,AUS,spring
Oct,13.9,1964,Australia,AUS,spring
Nov,17.4,1964,Australia,AUS,spring
Dec,18.3,1964,Australia,AUS,summer
Jan,20.2,1965,Australia,AUS,summer
Feb,20.8,1965,Australia,AUS,summer
Mar,18.5,1965,Australia,AUS,autumn
Apr,14.0,1965,Australia,AUS,autumn
May,11.4,1965,Australia,AUS,autumn
Jun,8.8,1965,Australia,AUS,winter
Jul,6.0,1965,Australia,AUS,winter
Aug,9.0,1965,Australia,AUS,winter
Sep,12.2,1965,Australia,AUS,spring
Oct,15.8,1965,Australia,AUS,spring
Nov,17.9,1965,Australia,AUS,spring
Dec,20.5,1965,Australia,AUS,summer
Jan,20.9,1966,Australia,AUS,summer
Feb,20.1,1966,Australia,AUS,summer
Mar,18.1,1966,Australia,AUS,autumn
Apr,15.2,1966,Australia,AUS,autumn
May,10.1,1966,Australia,AUS,autumn
Jun,8.6,1966,Australia,AUS,winter
Jul,6.8,1966,Australia,AUS,winter
Aug,8.1,1966,Australia,AUS,winter
Sep,10.9,1966,Australia,AUS,spring
Oct,13.8,1966,Australia,AUS,spring
Nov,17.5,1966,Australia,AUS,spring
Dec,18.8,1966,Australia,AUS,summer
Jan,20.8,1967,Australia,AUS,summer
Feb,20.3,1967,Australia,AUS,summer
Mar,17.4,1967,Australia,AUS,autumn
Apr,15.3,1967,Australia,AUS,autumn
May,11.4,1967,Australia,AUS,autumn
Jun,8.5,1967,Australia,AUS,winter
Jul,6.2,1967,Australia,AUS,winter
Aug,7.2,1967,Australia,AUS,winter
Sep,10.3,1967,Australia,AUS,spring
Oct,16.2,1967,Australia,AUS,spring
Nov,17.8,1967,Australia,AUS,spring
Dec,19.2,1967,Australia,AUS,summer
Jan,21.4,1968,Australia,AUS,summer
Feb,21.1,1968,Australia,AUS,summer
Mar,19.3,1968,Australia,AUS,autumn
Apr,15.7,1968,Australia,AUS,autumn
May,10.9,1968,Australia,AUS,autumn
Jun,9.2,1968,Australia,AUS,winter
Jul,7.0,1968,Australia,AUS,winter
Aug,7.5,1968,Australia,AUS,winter
Sep,10.7,1968,Australia,AUS,spring
Oct,14.3,1968,Australia,AUS,spring
Nov,17.2,1968,Australia,AUS,spring
Dec,18.6,1968,Australia,AUS,summer
Jan,21.5,1969,Australia,AUS,summer
Feb,21.0,1969,Australia,AUS,summer
Mar,18.7,1969,Australia,AUS,autumn
Apr,14.2,1969,Australia,AUS,autumn
May,11.4,1969,Australia,AUS,autumn
Jun,7.7,1969,Australia,AUS,winter
Jul,8.0,1969,Australia,AUS,winter
Aug,8.7,1969,Australia,AUS,winter
Sep,9.7,1969,Australia,AUS,spring
Oct,15.8,1969,Australia,AUS,spring
Nov,17.3,1969,Australia,AUS,spring
Dec,19.2,1969,Australia,AUS,summer
Jan,20.4,1970,Australia,AUS,summer
Feb,20.9,1970,Australia,AUS,summer
Mar,18.1,1970,Australia,AUS,autumn
Apr,14.9,1970,Australia,AUS,autumn
May,10.9,1970,Australia,AUS,autumn
Jun,8.7,1970,Australia,AUS,winter
Jul,6.0,1970,Australia,AUS,winter
Aug,7.7,1970,Australia,AUS,winter
Sep,10.9,1970,Australia,AUS,spring
Oct,15.2,1970,Australia,AUS,spring
Nov,17.5,1970,Australia,AUS,spring
Dec,19.8,1970,Australia,AUS,summer
Jan,21.1,1971,Australia,AUS,summer
Feb,20.9,1971,Australia,AUS,summer
Mar,19.8,1971,Australia,AUS,autumn
Apr,15.0,1971,Australia,AUS,autumn
May,10.2,1971,Australia,AUS,autumn
Jun,7.3,1971,Australia,AUS,winter
Jul,6.4,1971,Australia,AUS,winter
Aug,9.0,1971,Australia,AUS,winter
Sep,11.7,1971,Australia,AUS,spring
Oct,15.0,1971,Australia,AUS,spring
Nov,16.7,1971,Australia,AUS,spring
Dec,19.3,1971,Australia,AUS,summer
Jan,19.8,1972,Australia,AUS,summer
Feb,20.1,1972,Australia,AUS,summer
Mar,17.9,1972,Australia,AUS,autumn
Apr,14.2,1972,Australia,AUS,autumn
May,11.0,1972,Australia,AUS,autumn
Jun,8.4,1972,Australia,AUS,winter
Jul,6.5,1972,Australia,AUS,winter
Aug,9.3,1972,Australia,AUS,winter
Sep,11.9,1972,Australia,AUS,spring
Oct,15.0,1972,Australia,AUS,spring
Nov,18.3,1972,Australia,AUS,spring
Dec,21.0,1972,Australia,AUS,summer
Jan,22.1,1973,Australia,AUS,summer
Feb,21.0,1973,Australia,AUS,summer
Mar,19.3,1973,Australia,AUS,autumn
Apr,16.3,1973,Australia,AUS,autumn
May,12.7,1973,Australia,AUS,autumn
Jun,9.7,1973,Australia,AUS,winter
Jul,9.6,1973,Australia,AUS,winter
Aug,10.0,1973,Australia,AUS,winter
Sep,11.8,1973,Australia,AUS,spring
Oct,15.4,1973,Australia,AUS,spring
Nov,17.8,1973,Australia,AUS,spring
Dec,20.0,1973,Australia,AUS,summer
Jan,21.2,1974,Australia,AUS,summer
Feb,19.9,1974,Australia,AUS,summer
Mar,19.3,1974,Australia,AUS,autumn
Apr,15.5,1974,Australia,AUS,autumn
May,11.4,1974,Australia,AUS,autumn
Jun,7.4,1974,Australia,AUS,winter
Jul,7.3,1974,Australia,AUS,winter
Aug,8.7,1974,Australia,AUS,winter
Sep,11.3,1974,Australia,AUS,spring
Oct,14.5,1974,Australia,AUS,spring
Nov,16.2,1974,Australia,AUS,spring
Dec,18.9,1974,Australia,AUS,summer
Jan,19.6,1975,Australia,AUS,summer
Feb,20.6,1975,Australia,AUS,summer
Mar,18.2,1975,Australia,AUS,autumn
Apr,14.7,1975,Australia,AUS,autumn
May,10.8,1975,Australia,AUS,autumn
Jun,7.7,1975,Australia,AUS,winter
Jul,8.8,1975,Australia,AUS,winter
Aug,8.5,1975,Australia,AUS,winter
Sep,12.7,1975,Australia,AUS,spring
Oct,14.4,1975,Australia,AUS,spring
Nov,17.7,1975,Australia,AUS,spring
Dec,19.9,1975,Australia,AUS,summer
Jan,19.8,1976,Australia,AUS,summer
Feb,20.6,1976,Australia,AUS,summer
Mar,18.3,1976,Australia,AUS,autumn
Apr,14.2,1976,Australia,AUS,autumn
May,9.9,1976,Australia,AUS,autumn
Jun,7.1,1976,Australia,AUS,winter
Jul,6.6,1976,Australia,AUS,winter
Aug,7.2,1976,Australia,AUS,winter
Sep,10.5,1976,Australia,AUS,spring
Oct,14.3,1976,Australia,AUS,spring
Nov,16.6,1976,Australia,AUS,spring
Dec,19.9,1976,Australia,AUS,summer
Jan,20.6,1977,Australia,AUS,summer
Feb,21.3,1977,Australia,AUS,summer
Mar,18.4,1977,Australia,AUS,autumn
Apr,14.7,1977,Australia,AUS,autumn
May,11.2,1977,Australia,AUS,autumn
Jun,7.7,1977,Australia,AUS,winter
Jul,6.1,1977,Australia,AUS,winter
Aug,8.5,1977,Australia,AUS,winter
Sep,10.6,1977,Australia,AUS,spring
Oct,15.4,1977,Australia,AUS,spring
Nov,18.2,1977,Australia,AUS,spring
Dec,20.3,1977,Australia,AUS,summer
Jan,21.1,1978,Australia,AUS,summer
Feb,20.9,1978,Australia,AUS,summer
Mar,19.3,1978,Australia,AUS,autumn
Apr,14.5,1978,Australia,AUS,autumn
May,12.3,1978,Australia,AUS,autumn
Jun,8.6,1978,Australia,AUS,winter
Jul,7.6,1978,Australia,AUS,winter
Aug,8.9,1978,Australia,AUS,winter
Sep,10.7,1978,Australia,AUS,spring
Oct,14.5,1978,Australia,AUS,spring
Nov,17.5,1978,Australia,AUS,spring
Dec,19.0,1978,Australia,AUS,summer
Jan,22.0,1979,Australia,AUS,summer
Feb,20.7,1979,Australia,AUS,summer
Mar,19.1,1979,Australia,AUS,autumn
Apr,15.3,1979,Australia,AUS,autumn
May,11.1,1979,Australia,AUS,autumn
Jun,8.9,1979,Australia,AUS,winter
Jul,6.8,1979,Australia,AUS,winter
Aug,8.8,1979,Australia,AUS,winter
Sep,12.2,1979,Australia,AUS,spring
Oct,14.7,1979,Australia,AUS,spring
Nov,18.8,1979,Australia,AUS,spring
Dec,20.7,1979,Australia,AUS,summer
Jan,21.0,1980,Australia,AUS,summer
Feb,20.9,1980,Australia,AUS,summer
Mar,19.1,1980,Australia,AUS,autumn
Apr,15.9,1980,Australia,AUS,autumn
May,12.7,1980,Australia,AUS,autumn
Jun,9.0,1980,Australia,AUS,winter
Jul,7.7,1980,Australia,AUS,winter
Aug,9.1,1980,Australia,AUS,winter
Sep,12.0,1980,Australia,AUS,spring
Oct,15.4,1980,Australia,AUS,spring
Nov,18.7,1980,Australia,AUS,spring
Dec,20.3,1980,Australia,AUS,summer
Jan,22.0,1981,Australia,AUS,summer
Feb,21.1,1981,Australia,AUS,summer
Mar,17.7,1981,Australia,AUS,autumn
Apr,16.2,1981,Australia,AUS,autumn
May,12.0,1981,Australia,AUS,autumn
Jun,8.4,1981,Australia,AUS,winter
Jul,8.2,1981,Australia,AUS,winter
Aug,9.2,1981,Australia,AUS,winter
Sep,12.9,1981,Australia,AUS,spring
Oct,14.7,1981,Australia,AUS,spring
Nov,17.5,1981,Australia,AUS,spring
Dec,20.1,1981,Australia,AUS,summer
Jan,21.8,1982,Australia,AUS,summer
Feb,21.1,1982,Australia,AUS,summer
Mar,18.9,1982,Australia,AUS,autumn
Apr,15.1,1982,Australia,AUS,autumn
May,10.8,1982,Australia,AUS,autumn
Jun,6.5,1982,Australia,AUS,winter
Jul,5.5,1982,Australia,AUS,winter
Aug,9.5,1982,Australia,AUS,winter
Sep,11.5,1982,Australia,AUS,spring
Oct,13.9,1982,Australia,AUS,spring
Nov,18.7,1982,Australia,AUS,spring
Dec,20.6,1982,Australia,AUS,summer
Jan,20.7,1983,Australia,AUS,summer
Feb,22.2,1983,Australia,AUS,summer
Mar,20.0,1983,Australia,AUS,autumn
Apr,15.1,1983,Australia,AUS,autumn
May,12.2,1983,Australia,AUS,autumn
Jun,8.6,1983,Australia,AUS,winter
Jul,6.5,1983,Australia,AUS,winter
Aug,9.6,1983,Australia,AUS,winter
Sep,13.1,1983,Australia,AUS,spring
Oct,15.9,1983,Australia,AUS,spring
Nov,18.3,1983,Australia,AUS,spring
Dec,20.2,1983,Australia,AUS,summer
Jan,20.2,1984,Australia,AUS,summer
Feb,20.3,1984,Australia,AUS,summer
Mar,17.7,1984,Australia,AUS,autumn
Apr,15.0,1984,Australia,AUS,autumn
May,11.6,1984,Australia,AUS,autumn
Jun,8.0,1984,Australia,AUS,winter
Jul,7.3,1984,Australia,AUS,winter
Aug,8.7,1984,Australia,AUS,winter
Sep,10.5,1984,Australia,AUS,spring
Oct,15.2,1984,Australia,AUS,spring
Nov,18.0,1984,Australia,AUS,spring
Dec,19.8,1984,Australia,AUS,summer
Jan,20.8,1985,Australia,AUS,summer
Feb,21.3,1985,Australia,AUS,summer
Mar,19.8,1985,Australia,AUS,autumn
Apr,15.3,1985,Australia,AUS,autumn
May,11.5,1985,Australia,AUS,autumn
Jun,7.6,1985,Australia,AUS,winter
Jul,7.2,1985,Australia,AUS,winter
Aug,9.6,1985,Australia,AUS,winter
Sep,11.0,1985,Australia,AUS,spring
Oct,15.0,1985,Australia,AUS,spring
Nov,18.4,1985,Australia,AUS,spring
Dec,19.5,1985,Australia,AUS,summer
Jan,20.7,1986,Australia,AUS,summer
Feb,20.7,1986,Australia,AUS,summer
Mar,19.7,1986,Australia,AUS,autumn
Apr,15.5,1986,Australia,AUS,autumn
May,12.1,1986,Australia,AUS,autumn
Jun,9.2,1986,Australia,AUS,winter
Jul,8.1,1986,Australia,AUS,winter
Aug,8.2,1986,Australia,AUS,winter
Sep,12.3,1986,Australia,AUS,spring
Oct,14.5,1986,Australia,AUS,spring
Nov,17.5,1986,Australia,AUS,spring
Dec,19.4,1986,Australia,AUS,summer
Jan,21.0,1987,Australia,AUS,summer
Feb,20.7,1987,Australia,AUS,summer
Mar,17.9,1987,Australia,AUS,autumn
Apr,16.0,1987,Australia,AUS,autumn
May,11.6,1987,Australia,AUS,autumn
Jun,9.9,1987,Australia,AUS,winter
Jul,7.1,1987,Australia,AUS,winter
Aug,8.8,1987,Australia,AUS,winter
Sep,11.6,1987,Australia,AUS,spring
Oct,14.6,1987,Australia,AUS,spring
Nov,18.4,1987,Australia,AUS,spring
Dec,20.3,1987,Australia,AUS,summer
Jan,21.7,1988,Australia,AUS,summer
Feb,20.0,1988,Australia,AUS,summer
Mar,19.5,1988,Australia,AUS,autumn
Apr,16.3,1988,Australia,AUS,autumn
May,13.3,1988,Australia,AUS,autumn
Jun,9.1,1988,Australia,AUS,winter
Jul,8.4,1988,Australia,AUS,winter
Aug,9.5,1988,Australia,AUS,winter
Sep,12.5,1988,Australia,AUS,spring
Oct,16.6,1988,Australia,AUS,spring
Nov,17.7,1988,Australia,AUS,spring
Dec,20.3,1988,Australia,AUS,summer
Jan,20.6,1989,Australia,AUS,summer
Feb,20.7,1989,Australia,AUS,summer
Mar,19.6,1989,Australia,AUS,autumn
Apr,16.5,1989,Australia,AUS,autumn
May,13.1,1989,Australia,AUS,autumn
Jun,8.2,1989,Australia,AUS,winter
Jul,7.3,1989,Australia,AUS,winter
Aug,7.2,1989,Australia,AUS,winter
Sep,11.3,1989,Australia,AUS,spring
Oct,15.2,1989,Australia,AUS,spring
Nov,17.8,1989,Australia,AUS,spring
Dec,19.9,1989,Australia,AUS,summer
Jan,21.6,1990,Australia,AUS,summer
Feb,20.0,1990,Australia,AUS,summer
Mar,19.8,1990,Australia,AUS,autumn
Apr,15.8,1990,Australia,AUS,autumn
May,12.6,1990,Australia,AUS,autumn
Jun,8.5,1990,Australia,AUS,winter
Jul,8.2,1990,Australia,AUS,winter
Aug,8.5,1990,Australia,AUS,winter
Sep,11.5,1990,Australia,AUS,spring
Oct,15.4,1990,Australia,AUS,spring
Nov,18.9,1990,Australia,AUS,spring
Dec,20.9,1990,Australia,AUS,summer
Jan,21.7,1991,Australia,AUS,summer
Feb,21.3,1991,Australia,AUS,summer
Mar,18.7,1991,Australia,AUS,autumn
Apr,15.3,1991,Australia,AUS,autumn
May,11.7,1991,Australia,AUS,autumn
Jun,10.5,1991,Australia,AUS,winter
Jul,7.7,1991,Australia,AUS,winter
Aug,8.7,1991,Australia,AUS,winter
Sep,11.8,1991,Australia,AUS,spring
Oct,16.1,1991,Australia,AUS,spring
Nov,18.2,1991,Australia,AUS,spring
Dec,19.6,1991,Australia,AUS,summer
Jan,20.4,1992,Australia,AUS,summer
Feb,21.1,1992,Australia,AUS,summer
Mar,19.7,1992,Australia,AUS,autumn
Apr,16.7,1992,Australia,AUS,autumn
May,12.6,1992,Australia,AUS,autumn
Jun,8.9,1992,Australia,AUS,winter
Jul,7.5,1992,Australia,AUS,winter
Aug,9.2,1992,Australia,AUS,winter
Sep,11.8,1992,Australia,AUS,spring
Oct,14.8,1992,Australia,AUS,spring
Nov,16.6,1992,Australia,AUS,spring
Dec,19.4,1992,Australia,AUS,summer
Jan,21.6,1993,Australia,AUS,summer
Feb,20.7,1993,Australia,AUS,summer
Mar,18.7,1993,Australia,AUS,autumn
Apr,16.2,1993,Australia,AUS,autumn
May,12.6,1993,Australia,AUS,autumn
Jun,8.9,1993,Australia,AUS,winter
Jul,8.7,1993,Australia,AUS,winter
Aug,9.3,1993,Australia,AUS,winter
Sep,12.2,1993,Australia,AUS,spring
Oct,14.7,1993,Australia,AUS,spring
Nov,18.4,1993,Australia,AUS,spring
Dec,19.7,1993,Australia,AUS,summer
Jan,21.3,1994,Australia,AUS,summer
Feb,21.0,1994,Australia,AUS,summer
Mar,17.9,1994,Australia,AUS,autumn
Apr,14.6,1994,Australia,AUS,autumn
May,10.9,1994,Australia,AUS,autumn
Jun,8.1,1994,Australia,AUS,winter
Jul,6.9,1994,Australia,AUS,winter
Aug,7.7,1994,Australia,AUS,winter
Sep,11.2,1994,Australia,AUS,spring
Oct,15.3,1994,Australia,AUS,spring
Nov,18.0,1994,Australia,AUS,spring
Dec,20.6,1994,Australia,AUS,summer
Jan,21.5,1995,Australia,AUS,summer
Feb,20.6,1995,Australia,AUS,summer
Mar,18.2,1995,Australia,AUS,autumn
Apr,14.5,1995,Australia,AUS,autumn
May,11.7,1995,Australia,AUS,autumn
Jun,9.2,1995,Australia,AUS,winter
Jul,7.8,1995,Australia,AUS,winter
Aug,9.5,1995,Australia,AUS,winter
Sep,12.8,1995,Australia,AUS,spring
Oct,15.1,1995,Australia,AUS,spring
Nov,18.5,1995,Australia,AUS,spring
Dec,19.5,1995,Australia,AUS,summer
Jan,20.9,1996,Australia,AUS,summer
Feb,20.3,1996,Australia,AUS,summer
