month,tasmin,year,country,iso3,season
Jan,20.8,1960,Brazil,BRA,summer
Feb,20.8,1960,Brazil,BRA,summer
Mar,20.5,1960,Brazil,BRA,autumn
Apr,19.9,1960,Brazil,BRA,autumn
May,18.2,1960,Brazil,BRA,autumn
Jun,17.6,1960,Brazil,BRA,winter
Jul,17.0,1960,Brazil,BRA,winter
Aug,17.8,1960,Brazil,BRA,winter
Sep,19.3,1960,Brazil,BRA,spring
Oct,20.3,1960,Brazil,BRA,spring
Nov,20.2,1960,Brazil,BRA,spring
Dec,20.7,1960,Brazil,BRA,summer
Jan,20.9,1961,Brazil,BRA,summer
Feb,20.7,1961,Brazil,BRA,summer
Mar,20.7,1961,Brazil,BRA,autumn
Apr,20.4,1961,Brazil,BRA,autumn
May,19.3,1961,Brazil,BRA,autumn
Jun,17.7,1961,Brazil,BRA,winter
Jul,17.4,1961,Brazil,BRA,winter
Aug,18.7,1961,Brazil,BRA,winter
Sep,20.3,1961,Brazil,BRA,spring
Oct,20.5,1961,Brazil,BRA,spring
Nov,20.9,1961,Brazil,BRA,spring
Dec,20.5,1961,Brazil,BRA,summer
Jan,20.7,1962,Brazil,BRA,summer
Feb,20.8,1962,Brazil,BRA,summer
Mar,20.8,1962,Brazil,BRA,autumn
Apr,20.0,1962,Brazil,BRA,autumn
May,18.7,1962,Brazil,BRA,autumn
Jun,17.2,1962,Brazil,BRA,winter
Jul,16.5,1962,Brazil,BRA,winter
Aug,18.0,1962,Brazil,BRA,winter
Sep,19.8,1962,Brazil,BRA,spring
Oct,19.6,1962,Brazil,BRA,spring
Nov,20.8,1962,Brazil,BRA,spring
Dec,20.8,1962,Brazil,BRA,summer
Jan,21.0,1963,Brazil,BRA,summer
Feb,20.6,1963,Brazil,BRA,summer
Mar,20.8,1963,Brazil,BRA,autumn
Apr,20.2,1963,Brazil,BRA,autumn
May,18.7,1963,Brazil,BRA,autumn
Jun,17.4,1963,Brazil,BRA,winter
Jul,17.4,1963,Brazil,BRA,winter
Aug,18.5,1963,Brazil,BRA,winter
Sep,20.2,1963,Brazil,BRA,spring
Oct,21.3,1963,Brazil,BRA,spring
Nov,21.1,1963,Brazil,BRA,spring
Dec,21.0,1963,Brazil,BRA,summer
