month,tasmin,year,country,iso3,season
Jan,-28.7,1960,Canada,CAN,winter
Feb,-25.9,1960,Canada,CAN,winter
Mar,-26.8,1960,Canada,CAN,spring
Apr,-15.6,1960,Canada,CAN,spring
May,-4.0,1960,Canada,CAN,spring
Jun,3.0,1960,Canada,CAN,summer
Jul,6.4,1960,Canada,CAN,summer
Aug,5.4,1960,Canada,CAN,summer
Sep,-0.0,1960,Canada,CAN,autumn
Oct,-7.3,1960,Canada,CAN,autumn
Nov,-18.8,1960,Canada,CAN,autumn
Dec,-24.1,1960,Canada,CAN,winter
Jan,-29.0,1961,Canada,CAN,winter
Feb,-27.9,1961,Canada,CAN,winter
Mar,-25.6,1961,Canada,CAN,spring
Apr,-15.5,1961,Canada,CAN,spring
May,-6.4,1961,Canada,CAN,spring
Jun,2.9,1961,Canada,CAN,summer
Jul,6.4,1961,Canada,CAN,summer
Aug,5.0,1961,Canada,CAN,summer
Sep,-2.0,1961,Canada,CAN,autumn
Oct,-9.7,1961,Canada,CAN,autumn
Nov,-18.7,1961,Canada,CAN,autumn
Dec,-27.1,1961,Canada,CAN,winter
Jan,-30.5,1962,Canada,CAN,winter
Feb,-31.7,1962,Canada,CAN,winter
Mar,-23.4,1962,Canada,CAN,spring
Apr,-15.9,1962,Canada,CAN,spring
May,-6.7,1962,Canada,CAN,spring
Jun,2.5,1962,Canada,CAN,summer
Jul,5.8,1962,Canada,CAN,summer
Aug,5.2,1962,Canada,CAN,summer
Sep,-0.6,1962,Canada,CAN,autumn
Oct,-7.0,1962,Canada,CAN,autumn
Nov,-17.5,1962,Canada,CAN,autumn
Dec,-24.4,1962,Canada,CAN,winter
Jan,-30.2,1963,Canada,CAN,winter
Feb,-27.4,1963,Canada,CAN,winter
Mar,-26.4,1963,Canada,CAN,spring
Apr,-13.9,1963,Canada,CAN,spring
May,-6.4,1963,Canada,CAN,spring
Jun,1.9,1963,Canada,CAN,summer
Jul,6.3,1963,Canada,CAN,summer
Aug,5.0,1963,Canada,CAN,summer
Sep,-0.6,1963,Canada,CAN,autumn
Oct,-6.8,1963,Canada,CAN,autumn
Nov,-17.4,1963,Canada,CAN,autumn
Dec,-25.3,1963,Canada,CAN,winter
Jan,-28.7,1964,Canada,CAN,winter
Feb,-26.2,1964,Canada,CAN,winter
Mar,-29.2,1964,Canada,CAN,spring
Apr,-17.0,1964,Canada,CAN,spring
May,-5.4,1964,Canada,CAN,spring
Jun,1.7,1964,Canada,CAN,summer
Jul,5.9,1964,Canada,CAN,summer
Aug,4.5,1964,Canada,CAN,summer
Sep,-1.1,1964,Canada,CAN,autumn
Oct,-8.3,1964,Canada,CAN,autumn
Nov,-18.4,1964,Canada,CAN,autumn
Dec,-28.6,1964,Canada,CAN,winter
Jan,-30.6,1965,Canada,CAN,winter
Feb,-31.3,1965,Canada,CAN,winter
Mar,-24.8,1965,Canada,CAN,spring
Apr,-15.2,1965,Canada,CAN,spring
May,-5.0,1965,Canada,CAN,spring
Jun,1.4,1965,Canada,CAN,summer
Jul,5.4,1965,Canada,CAN,summer
Aug,4.3,1965,Canada,CAN,summer
Sep,-2.6,1965,Canada,CAN,autumn
Oct,-8.9,1965,Canada,CAN,autumn
Nov,-19.1,1965,Canada,CAN,autumn
Dec,-25.0,1965,Canada,CAN,winter
Jan,-33.2,1966,Canada,CAN,winter
Feb,-28.1,1966,Canada,CAN,winter
Mar,-23.3,1966,Canada,CAN,spring
Apr,-16.7,1966,Canada,CAN,spring
May,-5.3,1966,Canada,CAN,spring
Jun,2.1,1966,Canada,CAN,summer
Jul,6.2,1966,Canada,CAN,summer
Aug,5.1,1966,Canada,CAN,summer
Sep,0.4,1966,Canada,CAN,autumn
Oct,-8.7,1966,Canada,CAN,autumn
Nov,-21.7,1966,Canada,CAN,autumn
Dec,-24.9,1966,Canada,CAN,winter
Jan,-29.4,1967,Canada,CAN,winter
Feb,-31.4,1967,Canada,CAN,winter
Mar,-27.4,1967,Canada,CAN,spring
Apr,-17.9,1967,Canada,CAN,spring
May,-5.7,1967,Canada,CAN,spring
Jun,1.5,1967,Canada,CAN,summer
Jul,5.6,1967,Canada,CAN,summer
Aug,4.7,1967,Canada,CAN,summer
Sep,-0.2,1967,Canada,CAN,autumn
Oct,-7.5,1967,Canada,CAN,autumn
Nov,-18.6,1967,Canada,CAN,autumn
Dec,-23.8,1967,Canada,CAN,winter
Jan,-30.6,1968,Canada,CAN,winter
Feb,-28.4,1968,Canada,CAN,winter
Mar,-21.9,1968,Canada,CAN,spring
Apr,-15.2,1968,Canada,CAN,spring
May,-5.9,1968,Canada,CAN,spring
Jun,1.8,1968,Canada,CAN,summer
Jul,5.1,1968,Canada,CAN,summer
Aug,3.7,1968,Canada,CAN,summer
Sep,0.5,1968,Canada,CAN,autumn
Oct,-6.0,1968,Canada,CAN,autumn
Nov,-17.3,1968,Canada,CAN,autumn
Dec,-26.7,1968,Canada,CAN,winter
Jan,-31.5,1969,Canada,CAN,winter
Feb,-26.5,1969,Canada,CAN,winter
Mar,-24.9,1969,Canada,CAN,spring
Apr,-14.5,1969,Canada,CAN,spring
May,-5.9,1969,Canada,CAN,spring
Jun,1.1,1969,Canada,CAN,summer
Jul,5.5,1969,Canada,CAN,summer
Aug,5.2,1969,Canada,CAN,summer
Sep,-0.7,1969,Canada,CAN,autumn
Oct,-8.0,1969,Canada,CAN,autumn
Nov,-17.7,1969,Canada,CAN,autumn
Dec,-21.3,1969,Canada,CAN,winter
Jan,-29.8,1970,Canada,CAN,winter
Feb,-28.2,1970,Canada,CAN,winter
Mar,-23.5,1970,Canada,CAN,spring
Apr,-15.7,1970,Canada,CAN,spring
May,-6.7,1970,Canada,CAN,spring
Jun,2.6,1970,Canada,CAN,summer
Jul,6.3,1970,Canada,CAN,summer
Aug,5.2,1970,Canada,CAN,summer
Sep,-0.8,1970,Canada,CAN,autumn
Oct,-8.0,1970,Canada,CAN,autumn
Nov,-18.3,1970,Canada,CAN,autumn
Dec,-28.7,1970,Canada,CAN,winter
Jan,-31.1,1971,Canada,CAN,winter
Feb,-27.6,1971,Canada,CAN,winter
Mar,-23.9,1971,Canada,CAN,spring
Apr,-14.5,1971,Canada,CAN,spring
May,-5.0,1971,Canada,CAN,spring
Jun,2.9,1971,Canada,CAN,summer
Jul,6.0,1971,Canada,CAN,summer
Aug,5.0,1971,Canada,CAN,summer
Sep,-0.2,1971,Canada,CAN,autumn
Oct,-7.2,1971,Canada,CAN,autumn
Nov,-18.9,1971,Canada,CAN,autumn
Dec,-29.0,1971,Canada,CAN,winter
Jan,-33.3,1972,Canada,CAN,winter
Feb,-32.6,1972,Canada,CAN,winter
Mar,-25.3,1972,Canada,CAN,spring
Apr,-17.5,1972,Canada,CAN,spring
May,-6.4,1972,Canada,CAN,spring
Jun,1.5,1972,Canada,CAN,summer
Jul,4.8,1972,Canada,CAN,summer
Aug,4.6,1972,Canada,CAN,summer
Sep,-2.8,1972,Canada,CAN,autumn
Oct,-11.0,1972,Canada,CAN,autumn
Nov,-19.1,1972,Canada,CAN,autumn
Dec,-29.6,1972,Canada,CAN,winter
Jan,-28.4,1973,Canada,CAN,winter
Feb,-29.9,1973,Canada,CAN,winter
Mar,-22.9,1973,Canada,CAN,spring
Apr,-15.4,1973,Canada,CAN,spring
May,-4.3,1973,Canada,CAN,spring
Jun,3.2,1973,Canada,CAN,summer
Jul,6.5,1973,Canada,CAN,summer
Aug,5.8,1973,Canada,CAN,summer
Sep,-0.1,1973,Canada,CAN,autumn
Oct,-6.3,1973,Canada,CAN,autumn
Nov,-19.1,1973,Canada,CAN,autumn
Dec,-25.0,1973,Canada,CAN,winter
Jan,-32.3,1974,Canada,CAN,winter
Feb,-29.4,1974,Canada,CAN,winter
Mar,-27.4,1974,Canada,CAN,spring
Apr,-16.9,1974,Canada,CAN,spring
May,-6.1,1974,Canada,CAN,spring
Jun,2.1,1974,Canada,CAN,summer
Jul,6.1,1974,Canada,CAN,summer
Aug,4.3,1974,Canada,CAN,summer
Sep,-2.1,1974,Canada,CAN,autumn
Oct,-10.1,1974,Canada,CAN,autumn
Nov,-17.2,1974,Canada,CAN,autumn
Dec,-24.0,1974,Canada,CAN,winter
Jan,-31.3,1975,Canada,CAN,winter
Feb,-28.9,1975,Canada,CAN,winter
Mar,-25.9,1975,Canada,CAN,spring
Apr,-15.3,1975,Canada,CAN,spring
May,-4.1,1975,Canada,CAN,spring
Jun,3.5,1975,Canada,CAN,summer
Jul,7.0,1975,Canada,CAN,summer
Aug,4.7,1975,Canada,CAN,summer
Sep,-0.9,1975,Canada,CAN,autumn
Oct,-8.1,1975,Canada,CAN,autumn
Nov,-19.1,1975,Canada,CAN,autumn
Dec,-27.6,1975,Canada,CAN,winter
Jan,-29.1,1976,Canada,CAN,winter
Feb,-29.0,1976,Canada,CAN,winter
Mar,-26.0,1976,Canada,CAN,spring
Apr,-12.9,1976,Canada,CAN,spring
May,-5.0,1976,Canada,CAN,spring
Jun,2.1,1976,Canada,CAN,summer
Jul,5.9,1976,Canada,CAN,summer
Aug,4.8,1976,Canada,CAN,summer
Sep,-0.1,1976,Canada,CAN,autumn
Oct,-9.3,1976,Canada,CAN,autumn
Nov,-17.7,1976,Canada,CAN,autumn
Dec,-27.3,1976,Canada,CAN,winter
Jan,-26.5,1977,Canada,CAN,winter
Feb,-24.6,1977,Canada,CAN,winter
Mar,-21.8,1977,Canada,CAN,spring
Apr,-13.9,1977,Canada,CAN,spring
May,-3.7,1977,Canada,CAN,spring
Jun,2.9,1977,Canada,CAN,summer
Jul,5.8,1977,Canada,CAN,summer
Aug,4.4,1977,Canada,CAN,summer
Sep,-0.3,1977,Canada,CAN,autumn
Oct,-7.3,1977,Canada,CAN,autumn
Nov,-18.2,1977,Canada,CAN,autumn
Dec,-28.0,1977,Canada,CAN,winter
Jan,-29.4,1978,Canada,CAN,winter
Feb,-26.0,1978,Canada,CAN,winter
Mar,-25.3,1978,Canada,CAN,spring
Apr,-15.8,1978,Canada,CAN,spring
May,-5.8,1978,Canada,CAN,spring
Jun,1.3,1978,Canada,CAN,summer
Jul,5.3,1978,Canada,CAN,summer
Aug,4.0,1978,Canada,CAN,summer
Sep,-0.6,1978,Canada,CAN,autumn
Oct,-10.4,1978,Canada,CAN,autumn
Nov,-21.1,1978,Canada,CAN,autumn
Dec,-25.2,1978,Canada,CAN,winter
