month,tasmin,year,country,iso3,season
Jan,-15.9,1960,China,CHN,winter
Feb,-10.7,1960,China,CHN,winter
Mar,-5.5,1960,China,CHN,spring
Apr,-0.0,1960,China,CHN,spring
May,5.7,1960,China,CHN,spring
Jun,11.3,1960,China,CHN,summer
Jul,14.0,1960,China,CHN,summer
Aug,12.9,1960,China,CHN,summer
Sep,8.4,1960,China,CHN,autumn
Oct,0.3,1960,China,CHN,autumn
Nov,-7.3,1960,China,CHN,autumn
Dec,-13.9,1960,China,CHN,winter
Jan,-15.7,1961,China,CHN,winter
Feb,-12.7,1961,China,CHN,winter
Mar,-5.8,1961,China,CHN,spring
Apr,1.4,1961,China,CHN,spring
May,5.9,1961,China,CHN,spring
Jun,11.3,1961,China,CHN,summer
Jul,14.1,1961,China,CHN,summer
Aug,13.0,1961,China,CHN,summer
Sep,7.8,1961,China,CHN,autumn
Oct,1.1,1961,China,CHN,autumn
Nov,-6.1,1961,China,CHN,autumn
Dec,-13.4,1961,China,CHN,winter
Jan,-16.0,1962,China,CHN,winter
Feb,-12.3,1962,China,CHN,winter
Mar,-7.2,1962,China,CHN,spring
Apr,-0.0,1962,China,CHN,spring
May,6.4,1962,China,CHN,spring
Jun,10.7,1962,China,CHN,summer
Jul,14.1,1962,China,CHN,summer
Aug,12.7,1962,China,CHN,summer
Sep,8.3,1962,China,CHN,autumn
Oct,0.6,1962,China,CHN,autumn
Nov,-7.8,1962,China,CHN,autumn
Dec,-13.0,1962,China,CHN,winter
Jan,-16.7,1963,China,CHN,winter
Feb,-12.8,1963,China,CHN,winter
Mar,-5.4,1963,China,CHN,spring
Apr,0.4,1963,China,CHN,spring
May,6.9,1963,China,CHN,spring
Jun,10.6,1963,China,CHN,summer
Jul,13.8,1963,China,CHN,summer
Aug,13.3,1963,China,CHN,summer
Sep,8.4,1963,China,CHN,autumn
Oct,0.6,1963,China,CHN,autumn
Nov,-6.2,1963,China,CHN,autumn
Dec,-13.1,1963,China,CHN,winter
Jan,-14.7,1964,China,CHN,winter
Feb,-14.9,1964,China,CHN,winter
Mar,-5.9,1964,China,CHN,spring
Apr,2.4,1964,China,CHN,spring
May,6.7,1964,China,CHN,spring
Jun,10.6,1964,China,CHN,summer
Jul,13.6,1964,China,CHN,summer
Aug,12.8,1964,China,CHN,summer
Sep,8.1,1964,China,CHN,autumn
Oct,1.2,1964,China,CHN,autumn
Nov,-7.0,1964,China,CHN,autumn
Dec,-13.2,1964,China,CHN,winter
Jan,-14.7,1965,China,CHN,winter
Feb,-12.5,1965,China,CHN,winter
Mar,-7.2,1965,China,CHN,spring
Apr,0.5,1965,China,CHN,spring
May,6.5,1965,China,CHN,spring
Jun,11.0,1965,China,CHN,summer
Jul,13.5,1965,China,CHN,summer
Aug,11.8,1965,China,CHN,summer
Sep,7.2,1965,China,CHN,autumn
Oct,1.3,1965,China,CHN,autumn
Nov,-6.5,1965,China,CHN,autumn
Dec,-14.1,1965,China,CHN,winter
Jan,-14.8,1966,China,CHN,winter
Feb,-11.4,1966,China,CHN,winter
Mar,-5.7,1966,China,CHN,spring
Apr,0.5,1966,China,CHN,spring
May,6.1,1966,China,CHN,spring
