month,tasmin,year,country,iso3,season
Jan,-2.9,1960,Germany,DEU,winter
Feb,-2.7,1960,Germany,DEU,winter
Mar,0.9,1960,Germany,DEU,spring
Apr,2.9,1960,Germany,DEU,spring
May,7.6,1960,Germany,DEU,spring
Jun,11.1,1960,Germany,DEU,summer
Jul,11.0,1960,Germany,DEU,summer
Aug,12.0,1960,Germany,DEU,summer
Sep,8.4,1960,Germany,DEU,autumn
Oct,6.1,1960,Germany,DEU,autumn
Nov,3.3,1960,Germany,DEU,autumn
Dec,-0.7,1960,Germany,DEU,winter
Jan,-3.4,1961,Germany,DEU,winter
Feb,1.1,1961,Germany,DEU,winter
Mar,2.0,1961,Germany,DEU,spring
Apr,6.1,1961,Germany,DEU,spring
May,6.4,1961,Germany,DEU,spring
Jun,11.1,1961,Germany,DEU,summer
Jul,10.9,1961,Germany,DEU,summer
Aug,11.6,1961,Germany,DEU,summer
Sep,11.5,1961,Germany,DEU,autumn
Oct,6.8,1961,Germany,DEU,autumn
Nov,1.2,1961,Germany,DEU,autumn
Dec,-3.7,1961,Germany,DEU,winter
Jan,-0.9,1962,Germany,DEU,winter
Feb,-2.3,1962,Germany,DEU,winter
Mar,-3.1,1962,Germany,DEU,spring
Apr,3.8,1962,Germany,DEU,spring
May,5.8,1962,Germany,DEU,spring
Jun,9.0,1962,Germany,DEU,summer
Jul,10.7,1962,Germany,DEU,summer
Aug,11.5,1962,Germany,DEU,summer
Sep,8.0,1962,Germany,DEU,autumn
Oct,5.0,1962,Germany,DEU,autumn
Nov,0.3,1962,Germany,DEU,autumn
Dec,-5.9,1962,Germany,DEU,winter
Jan,-10.4,1963,Germany,DEU,winter
Feb,-9.0,1963,Germany,DEU,winter
Mar,-1.4,1963,Germany,DEU,spring
Apr,4.0,1963,Germany,DEU,spring
May,7.3,1963,Germany,DEU,spring
Jun,10.8,1963,Germany,DEU,summer
Jul,12.6,1963,Germany,DEU,summer
Aug,11.9,1963,Germany,DEU,summer
Sep,9.7,1963,Germany,DEU,autumn
Oct,4.6,1963,Germany,DEU,autumn
Nov,4.5,1963,Germany,DEU,autumn
Dec,-5.5,1963,Germany,DEU,winter
Jan,-4.9,1964,Germany,DEU,winter
Feb,-2.5,1964,Germany,DEU,winter
Mar,-2.3,1964,Germany,DEU,spring
Apr,4.4,1964,Germany,DEU,spring
May,8.3,1964,Germany,DEU,spring
Jun,11.5,1964,Germany,DEU,summer
Jul,12.5,1964,Germany,DEU,summer
Aug,11.3,1964,Germany,DEU,summer
Sep,9.1,1964,Germany,DEU,autumn
Oct,3.8,1964,Germany,DEU,autumn
Nov,2.8,1964,Germany,DEU,autumn
Dec,-1.7,1964,Germany,DEU,winter
Jan,-1.0,1965,Germany,DEU,winter
Feb,-4.4,1965,Germany,DEU,winter
Mar,-1.3,1965,Germany,DEU,spring
Apr,2.9,1965,Germany,DEU,spring
May,6.8,1965,Germany,DEU,spring
Jun,10.9,1965,Germany,DEU,summer
Jul,11.1,1965,Germany,DEU,summer
Aug,10.4,1965,Germany,DEU,summer
Sep,8.7,1965,Germany,DEU,autumn
Oct,4.0,1965,Germany,DEU,autumn
Nov,-1.3,1965,Germany,DEU,autumn
Dec,0.0,1965,Germany,DEU,winter
Jan,-5.4,1966,Germany,DEU,winter
Feb,0.2,1966,Germany,DEU,winter
Mar,0.2,1966,Germany,DEU,spring
Apr,4.4,1966,Germany,DEU,spring
May,7.9,1966,Germany,DEU,spring
Jun,11.9,1966,Germany,DEU,summer
Jul,11.5,1966,Germany,DEU,summer
Aug,11.4,1966,Germany,DEU,summer
Sep,9.3,1966,Germany,DEU,autumn
Oct,8.0,1966,Germany,DEU,autumn
Nov,0.1,1966,Germany,DEU,autumn
Dec,-0.4,1966,Germany,DEU,winter
Jan,-1.9,1967,Germany,DEU,winter
Feb,-0.5,1967,Germany,DEU,winter
Mar,2.2,1967,Germany,DEU,spring
Apr,2.2,1967,Germany,DEU,spring
May,7.5,1967,Germany,DEU,spring
Jun,9.9,1967,Germany,DEU,summer
Jul,13.4,1967,Germany,DEU,summer
Aug,12.0,1967,Germany,DEU,summer
Sep,10.1,1967,Germany,DEU,autumn
Oct,7.6,1967,Germany,DEU,autumn
Nov,1.4,1967,Germany,DEU,autumn
Dec,-2.0,1967,Germany,DEU,winter
Jan,-3.9,1968,Germany,DEU,winter
Feb,-1.9,1968,Germany,DEU,winter
Mar,0.7,1968,Germany,DEU,spring
Apr,3.8,1968,Germany,DEU,spring
May,6.4,1968,Germany,DEU,spring
Jun,11.1,1968,Germany,DEU,summer
Jul,11.5,1968,Germany,DEU,summer
Aug,12.2,1968,Germany,DEU,summer
Sep,9.9,1968,Germany,DEU,autumn
Oct,7.2,1968,Germany,DEU,autumn
Nov,1.9,1968,Germany,DEU,autumn
Dec,-4.0,1968,Germany,DEU,winter
Jan,-2.0,1969,Germany,DEU,winter
Feb,-4.9,1969,Germany,DEU,winter
Mar,-2.2,1969,Germany,DEU,spring
Apr,2.7,1969,Germany,DEU,spring
May,8.2,1969,Germany,DEU,spring
Jun,10.1,1969,Germany,DEU,summer
Jul,13.4,1969,Germany,DEU,summer
Aug,12.1,1969,Germany,DEU,summer
Sep,9.4,1969,Germany,DEU,autumn
Oct,6.2,1969,Germany,DEU,autumn
Nov,2.2,1969,Germany,DEU,autumn
Dec,-6.8,1969,Germany,DEU,winter
Jan,-4.9,1970,Germany,DEU,winter
Feb,-3.9,1970,Germany,DEU,winter
Mar,-1.7,1970,Germany,DEU,spring
Apr,2.2,1970,Germany,DEU,spring
May,6.8,1970,Germany,DEU,spring
Jun,11.6,1970,Germany,DEU,summer
Jul,11.7,1970,Germany,DEU,summer
Aug,12.2,1970,Germany,DEU,summer
Sep,8.9,1970,Germany,DEU,autumn
Oct,5.9,1970,Germany,DEU,autumn
Nov,3.2,1970,Germany,DEU,autumn
Dec,-1.6,1970,Germany,DEU,winter
Jan,-4.1,1971,Germany,DEU,winter
Feb,-1.2,1971,Germany,DEU,winter
Mar,-2.5,1971,Germany,DEU,spring
Apr,3.2,1971,Germany,DEU,spring
