month,tasmin,year,country,iso3,season
Jan,6.2,1960,Egypt,EGY,winter
Feb,7.6,1960,Egypt,EGY,winter
Mar,10.5,1960,Egypt,EGY,spring
Apr,15.0,1960,Egypt,EGY,spring
May,18.8,1960,Egypt,EGY,spring
Jun,20.0,1960,Egypt,EGY,summer
Jul,21.7,1960,Egypt,EGY,summer
Aug,22.0,1960,Egypt,EGY,summer
Sep,20.5,1960,Egypt,EGY,autumn
Oct,19.3,1960,Egypt,EGY,autumn
Nov,13.1,1960,Egypt,EGY,autumn
Dec,11.4,1960,Egypt,EGY,winter
Jan,6.8,1961,Egypt,EGY,winter
Feb,5.7,1961,Egypt,EGY,winter
Mar,8.2,1961,Egypt,EGY,spring
Apr,14.3,1961,Egypt,EGY,spring
May,18.2,1961,Egypt,EGY,spring
Jun,22.5,1961,Egypt,EGY,summer
Jul,21.7,1961,Egypt,EGY,summer
Aug,22.0,1961,Egypt,EGY,summer
Sep,18.4,1961,Egypt,EGY,autumn
Oct,15.8,1961,Egypt,EGY,autumn
Nov,11.4,1961,Egypt,EGY,autumn
Dec,7.1,1961,Egypt,EGY,winter
Jan,6.7,1962,Egypt,EGY,winter
Feb,6.5,1962,Egypt,EGY,winter
Mar,12.3,1962,Egypt,EGY,spring
Apr,14.0,1962,Egypt,EGY,spring
May,18.1,1962,Egypt,EGY,spring
Jun,21.4,1962,Egypt,EGY,summer
Jul,22.1,1962,Egypt,EGY,summer
Aug,23.1,1962,Egypt,EGY,summer
Sep,20.5,1962,Egypt,EGY,autumn
Oct,17.8,1962,Egypt,EGY,autumn
Nov,15.0,1962,Egypt,EGY,autumn
Dec,7.4,1962,Egypt,EGY,winter
Jan,7.5,1963,Egypt,EGY,winter
Feb,8.6,1963,Egypt,EGY,winter
Mar,9.4,1963,Egypt,EGY,spring
Apr,15.1,1963,Egypt,EGY,spring
May,18.3,1963,Egypt,EGY,spring
Jun,21.4,1963,Egypt,EGY,summer
Jul,22.3,1963,Egypt,EGY,summer
Aug,22.8,1963,Egypt,EGY,summer
Sep,21.1,1963,Egypt,EGY,autumn
Oct,18.6,1963,Egypt,EGY,autumn
Nov,12.2,1963,Egypt,EGY,autumn
Dec,7.8,1963,Egypt,EGY,winter
Jan,4.5,1964,Egypt,EGY,winter
Feb,6.2,1964,Egypt,EGY,winter
Mar,10.7,1964,Egypt,EGY,spring
Apr,14.2,1964,Egypt,EGY,spring
May,16.6,1964,Egypt,EGY,spring
Jun,20.3,1964,Egypt,EGY,summer
Jul,21.1,1964,Egypt,EGY,summer
Aug,21.5,1964,Egypt,EGY,summer
Sep,18.5,1964,Egypt,EGY,autumn
Oct,16.7,1964,Egypt,EGY,autumn
Nov,11.5,1964,Egypt,EGY,autumn
Dec,7.7,1964,Egypt,EGY,winter
Jan,6.3,1965,Egypt,EGY,winter
Feb,7.6,1965,Egypt,EGY,winter
Mar,10.7,1965,Egypt,EGY,spring
Apr,13.2,1965,Egypt,EGY,spring
May,16.9,1965,Egypt,EGY,spring
Jun,21.3,1965,Egypt,EGY,summer
Jul,22.3,1965,Egypt,EGY,summer
Aug,22.1,1965,Egypt,EGY,summer
Sep,20.1,1965,Egypt,EGY,autumn
Oct,15.8,1965,Egypt,EGY,autumn
Nov,10.9,1965,Egypt,EGY,autumn
Dec,7.0,1965,Egypt,EGY,winter
Jan,6.3,1966,Egypt,EGY,winter
Feb,7.2,1966,Egypt,EGY,winter
Mar,9.8,1966,Egypt,EGY,spring
Apr,14.8,1966,Egypt,EGY,spring
May,18.4,1966,Egypt,EGY,spring
Jun,21.2,1966,Egypt,EGY,summer
Jul,21.8,1966,Egypt,EGY,summer
Aug,22.2,1966,Egypt,EGY,summer
Sep,20.6,1966,Egypt,EGY,autumn
Oct,18.5,1966,Egypt,EGY,autumn
Nov,14.8,1966,Egypt,EGY,autumn
Dec,7.6,1966,Egypt,EGY,winter
Jan,4.7,1967,Egypt,EGY,winter
Feb,6.5,1967,Egypt,EGY,winter
Mar,7.7,1967,Egypt,EGY,spring
Apr,14.0,1967,Egypt,EGY,spring
May,17.2,1967,Egypt,EGY,spring
Jun,20.6,1967,Egypt,EGY,summer
Jul,21.0,1967,Egypt,EGY,summer
Aug,21.9,1967,Egypt,EGY,summer
Sep,19.8,1967,Egypt,EGY,autumn
Oct,16.4,1967,Egypt,EGY,autumn
Nov,11.0,1967,Egypt,EGY,autumn
Dec,8.0,1967,Egypt,EGY,winter
Jan,5.0,1968,Egypt,EGY,winter
Feb,6.8,1968,Egypt,EGY,winter
Mar,9.3,1968,Egypt,EGY,spring
Apr,14.2,1968,Egypt,EGY,spring
May,19.5,1968,Egypt,EGY,spring
Jun,22.6,1968,Egypt,EGY,summer
Jul,22.6,1968,Egypt,EGY,summer
Aug,22.6,1968,Egypt,EGY,summer
Sep,20.7,1968,Egypt,EGY,autumn
Oct,16.6,1968,Egypt,EGY,autumn
Nov,12.3,1968,Egypt,EGY,autumn
Dec,7.8,1968,Egypt,EGY,winter
Jan,5.3,1969,Egypt,EGY,winter
Feb,9.3,1969,Egypt,EGY,winter
Mar,13.2,1969,Egypt,EGY,spring
Apr,13.2,1969,Egypt,EGY,spring
May,18.1,1969,Egypt,EGY,spring
Jun,22.1,1969,Egypt,EGY,summer
Jul,20.4,1969,Egypt,EGY,summer
Aug,21.6,1969,Egypt,EGY,summer
Sep,21.7,1969,Egypt,EGY,autumn
Oct,17.9,1969,Egypt,EGY,autumn
Nov,12.4,1969,Egypt,EGY,autumn
Dec,7.8,1969,Egypt,EGY,winter
Jan,7.2,1970,Egypt,EGY,winter
Feb,7.7,1970,Egypt,EGY,winter
Mar,10.6,1970,Egypt,EGY,spring
Apr,14.7,1970,Egypt,EGY,spring
May,18.1,1970,Egypt,EGY,spring
Jun,19.3,1970,Egypt,EGY,summer
Jul,21.5,1970,Egypt,EGY,summer
Aug,21.4,1970,Egypt,EGY,summer
Sep,19.9,1970,Egypt,EGY,autumn
Oct,15.7,1970,Egypt,EGY,autumn
Nov,11.6,1970,Egypt,EGY,autumn
Dec,6.0,1970,Egypt,EGY,winter
Jan,7.6,1971,Egypt,EGY,winter
Feb,7.0,1971,Egypt,EGY,winter
Mar,10.8,1971,Egypt,EGY,spring
Apr,13.0,1971,Egypt,EGY,spring
May,18.9,1971,Egypt,EGY,spring
Jun,20.6,1971,Egypt,EGY,summer
Jul,20.7,1971,Egypt,EGY,summer
Aug,22.1,1971,Egypt,EGY,summer
Sep,20.0,1971,Egypt,EGY,autumn
Oct,15.5,1971,Egypt,EGY,autumn
Nov,10.7,1971,Egypt,EGY,autumn
Dec,7.0,1971,Egypt,EGY,winter
Jan,5.6,1972,Egypt,EGY,winter
Feb,6.5,1972,Egypt,EGY,winter
Mar,9.8,1972,Egypt,EGY,spring
Apr,15.4,1972,Egypt,EGY,spring
May,18.2,1972,Egypt,EGY,spring
Jun,20.7,1972,Egypt,EGY,summer
Jul,21.7,1972,Egypt,EGY,summer
Aug,22.5,1972,Egypt,EGY,summer
Sep,21.1,1972,Egypt,EGY,autumn
Oct,17.5,1972,Egypt,EGY,autumn
Nov,11.4,1972,Egypt,EGY,autumn
Dec,6.4,1972,Egypt,EGY,winter
Jan,5.4,1973,Egypt,EGY,winter
Feb,8.4,1973,Egypt,EGY,winter
Mar,9.1,1973,Egypt,EGY,spring
Apr,13.6,1973,Egypt,EGY,spring
May,17.8,1973,Egypt,EGY,spring
Jun,20.4,1973,Egypt,EGY,summer
Jul,22.5,1973,Egypt,EGY,summer
Aug,20.9,1973,Egypt,EGY,summer
Sep,20.1,1973,Egypt,EGY,autumn
Oct,17.3,1973,Egypt,EGY,autumn
Nov,10.0,1973,Egypt,EGY,autumn
Dec,7.7,1973,Egypt,EGY,winter
Jan,4.7,1974,Egypt,EGY,winter
Feb,6.7,1974,Egypt,EGY,winter
Mar,11.1,1974,Egypt,EGY,spring
Apr,15.4,1974,Egypt,EGY,spring
May,17.5,1974,Egypt,EGY,spring
Jun,20.6,1974,Egypt,EGY,summer
Jul,22.0,1974,Egypt,EGY,summer
Aug,21.7,1974,Egypt,EGY,summer
Sep,20.3,1974,Egypt,EGY,autumn
Oct,18.1,1974,Egypt,EGY,autumn
Nov,11.8,1974,Egypt,EGY,autumn
Dec,6.4,1974,Egypt,EGY,winter
Jan,5.2,1975,Egypt,EGY,winter
Feb,7.1,1975,Egypt,EGY,winter
Mar,10.3,1975,Egypt,EGY,spring
Apr,15.9,1975,Egypt,EGY,spring
May,18.0,1975,Egypt,EGY,spring
Jun,20.7,1975,Egypt,EGY,summer
Jul,21.7,1975,Egypt,EGY,summer
Aug,21.2,1975,Egypt,EGY,summer
Sep,19.8,1975,Egypt,EGY,autumn
Oct,16.5,1975,Egypt,EGY,autumn
Nov,11.8,1975,Egypt,EGY,autumn
Dec,7.3,1975,Egypt,EGY,winter
Jan,5.5,1976,Egypt,EGY,winter
Feb,6.0,1976,Egypt,EGY,winter
Mar,10.3,1976,Egypt,EGY,spring
Apr,14.5,1976,Egypt,EGY,spring
May,18.9,1976,Egypt,EGY,spring
Jun,20.2,1976,Egypt,EGY,summer
Jul,21.5,1976,Egypt,EGY,summer
Aug,20.6,1976,Egypt,EGY,summer
Sep,20.3,1976,Egypt,EGY,autumn
Oct,18.4,1976,Egypt,EGY,autumn
Nov,12.6,1976,Egypt,EGY,autumn
Dec,8.1,1976,Egypt,EGY,winter
Jan,6.1,1977,Egypt,EGY,winter
Feb,8.8,1977,Egypt,EGY,winter
Mar,9.1,1977,Egypt,EGY,spring
Apr,13.6,1977,Egypt,EGY,spring
May,18.9,1977,Egypt,EGY,spring
Jun,21.6,1977,Egypt,EGY,summer
Jul,22.5,1977,Egypt,EGY,summer
Aug,22.7,1977,Egypt,EGY,summer
Sep,20.3,1977,Egypt,EGY,autumn
Oct,15.4,1977,Egypt,EGY,autumn
Nov,11.7,1977,Egypt,EGY,autumn
Dec,6.1,1977,Egypt,EGY,winter
Jan,5.5,1978,Egypt,EGY,winter
Feb,8.0,1978,Egypt,EGY,winter
Mar,10.3,1978,Egypt,EGY,spring
Apr,14.8,1978,Egypt,EGY,spring
May,19.8,1978,Egypt,EGY,spring
Jun,21.0,1978,Egypt,EGY,summer
Jul,22.7,1978,Egypt,EGY,summer
Aug,20.7,1978,Egypt,EGY,summer
Sep,20.1,1978,Egypt,EGY,autumn
Oct,18.1,1978,Egypt,EGY,autumn
Nov,10.0,1978,Egypt,EGY,autumn
Dec,7.7,1978,Egypt,EGY,winter
Jan,6.1,1979,Egypt,EGY,winter
Feb,9.2,1979,Egypt,EGY,winter
Mar,11.7,1979,Egypt,EGY,spring
Apr,15.9,1979,Egypt,EGY,spring
May,18.8,1979,Egypt,EGY,spring
Jun,22.2,1979,Egypt,EGY,summer
Jul,22.1,1979,Egypt,EGY,summer
Aug,22.6,1979,Egypt,EGY,summer
Sep,20.1,1979,Egypt,EGY,autumn
Oct,18.0,1979,Egypt,EGY,autumn
Nov,13.1,1979,Egypt,EGY,autumn
Dec,6.4,1979,Egypt,EGY,winter
Jan,5.8,1980,Egypt,EGY,winter
Feb,6.7,1980,Egypt,EGY,winter
Mar,10.8,1980,Egypt,EGY,spring
Apr,14.6,1980,Egypt,EGY,spring
May,19.0,1980,Egypt,EGY,spring
Jun,20.9,1980,Egypt,EGY,summer
Jul,22.6,1980,Egypt,EGY,summer
Aug,22.5,1980,Egypt,EGY,summer
Sep,19.7,1980,Egypt,EGY,autumn
Oct,17.4,1980,Egypt,EGY,autumn
Nov,13.1,1980,Egypt,EGY,autumn
Dec,7.7,1980,Egypt,EGY,winter
Jan,4.4,1981,Egypt,EGY,winter
Feb,6.7,1981,Egypt,EGY,winter
Mar,11.1,1981,Egypt,EGY,spring
Apr,15.7,1981,Egypt,EGY,spring
May,18.0,1981,Egypt,EGY,spring
Jun,21.6,1981,Egypt,EGY,summer
Jul,22.4,1981,Egypt,EGY,summer
Aug,22.3,1981,Egypt,EGY,summer
Sep,19.8,1981,Egypt,EGY,autumn
Oct,18.4,1981,Egypt,EGY,autumn
Nov,10.2,1981,Egypt,EGY,autumn
Dec,7.9,1981,Egypt,EGY,winter
Jan,7.1,1982,Egypt,EGY,winter
Feb,6.0,1982,Egypt,EGY,winter
Mar,8.8,1982,Egypt,EGY,spring
Apr,15.2,1982,Egypt,EGY,spring
May,17.0,1982,Egypt,EGY,spring
Jun,20.6,1982,Egypt,EGY,summer
Jul,21.3,1982,Egypt,EGY,summer
Aug,22.3,1982,Egypt,EGY,summer
Sep,20.4,1982,Egypt,EGY,autumn
Oct,18.4,1982,Egypt,EGY,autumn
Nov,10.1,1982,Egypt,EGY,autumn
Dec,6.3,1982,Egypt,EGY,winter
Jan,4.1,1983,Egypt,EGY,winter
Feb,5.7,1983,Egypt,EGY,winter
Mar,8.1,1983,Egypt,EGY,spring
Apr,13.1,1983,Egypt,EGY,spring
May,18.6,1983,Egypt,EGY,spring
Jun,20.9,1983,Egypt,EGY,summer
Jul,22.2,1983,Egypt,EGY,summer
Aug,21.6,1983,Egypt,EGY,summer
Sep,19.9,1983,Egypt,EGY,autumn
Oct,15.4,1983,Egypt,EGY,autumn
Nov,12.4,1983,Egypt,EGY,autumn
Dec,7.7,1983,Egypt,EGY,winter
Jan,5.8,1984,Egypt,EGY,winter
Feb,7.5,1984,Egypt,EGY,winter
Mar,10.8,1984,Egypt,EGY,spring
Apr,13.9,1984,Egypt,EGY,spring
May,20.0,1984,Egypt,EGY,spring
Jun,19.9,1984,Egypt,EGY,summer
Jul,21.3,1984,Egypt,EGY,summer
Aug,20.9,1984,Egypt,EGY,summer
Sep,20.9,1984,Egypt,EGY,autumn
Oct,17.7,1984,Egypt,EGY,autumn
Nov,11.5,1984,Egypt,EGY,autumn
Dec,7.5,1984,Egypt,EGY,winter
Jan,8.1,1985,Egypt,EGY,winter
Feb,6.6,1985,Egypt,EGY,winter
Mar,11.0,1985,Egypt,EGY,spring
Apr,14.6,1985,Egypt,EGY,spring
May,19.6,1985,Egypt,EGY,spring
Jun,21.6,1985,Egypt,EGY,summer
Jul,21.4,1985,Egypt,EGY,summer
Aug,22.5,1985,Egypt,EGY,summer
Sep,19.9,1985,Egypt,EGY,autumn
Oct,15.3,1985,Egypt,EGY,autumn
Nov,12.9,1985,Egypt,EGY,autumn
Dec,8.7,1985,Egypt,EGY,winter
Jan,6.5,1986,Egypt,EGY,winter
Feb,8.5,1986,Egypt,EGY,winter
Mar,11.4,1986,Egypt,EGY,spring
Apr,15.1,1986,Egypt,EGY,spring
May,16.2,1986,Egypt,EGY,spring
Jun,21.3,1986,Egypt,EGY,summer
Jul,22.3,1986,Egypt,EGY,summer
Aug,22.8,1986,Egypt,EGY,summer
Sep,21.6,1986,Egypt,EGY,autumn
Oct,16.8,1986,Egypt,EGY,autumn
Nov,11.3,1986,Egypt,EGY,autumn
Dec,6.2,1986,Egypt,EGY,winter
Jan,6.7,1987,Egypt,EGY,winter
Feb,8.6,1987,Egypt,EGY,winter
Mar,9.7,1987,Egypt,EGY,spring
Apr,12.6,1987,Egypt,EGY,spring
May,18.7,1987,Egypt,EGY,spring
Jun,20.8,1987,Egypt,EGY,summer
