month,tasmin,year,country,iso3,season
Jan,-0.2,1960,France,FRA,winter
Feb,1.0,1960,France,FRA,winter
Mar,4.1,1960,France,FRA,spring
Apr,4.7,1960,France,FRA,spring
May,9.0,1960,France,FRA,spring
Jun,12.2,1960,France,FRA,summer
Jul,12.1,1960,France,FRA,summer
Aug,12.5,1960,France,FRA,summer
Sep,9.8,1960,France,FRA,autumn
Oct,7.5,1960,France,FRA,autumn
Nov,5.0,1960,France,FRA,autumn
Dec,0.6,1960,France,FRA,winter
Jan,0.3,1961,France,FRA,winter
Feb,3.4,1961,France,FRA,winter
Mar,2.5,1961,France,FRA,spring
Apr,7.2,1961,France,FRA,spring
May,7.4,1961,France,FRA,spring
Jun,11.4,1961,France,FRA,summer
Jul,12.4,1961,France,FRA,summer
Aug,12.2,1961,France,FRA,summer
Sep,13.1,1961,France,FRA,autumn
Oct,8.3,1961,France,FRA,autumn
Nov,3.3,1961,France,FRA,autumn
Dec,1.2,1961,France,FRA,winter
Jan,1.9,1962,France,FRA,winter
Feb,-0.1,1962,France,FRA,winter
Mar,0.0,1962,France,FRA,spring
Apr,4.6,1962,France,FRA,spring
May,7.0,1962,France,FRA,spring
Jun,10.0,1962,France,FRA,summer
Jul,12.2,1962,France,FRA,summer
Aug,12.9,1962,France,FRA,summer
Sep,10.1,1962,France,FRA,autumn
Oct,7.3,1962,France,FRA,autumn
Nov,2.0,1962,France,FRA,autumn
Dec,-2.5,1962,France,FRA,winter
Jan,-4.7,1963,France,FRA,winter
Feb,-4.3,1963,France,FRA,winter
Mar,2.2,1963,France,FRA,spring
Apr,5.3,1963,France,FRA,spring
May,7.3,1963,France,FRA,spring
Jun,11.2,1963,France,FRA,summer
Jul,13.2,1963,France,FRA,summer
Aug,12.2,1963,France,FRA,summer
Sep,11.0,1963,France,FRA,autumn
Oct,6.9,1963,France,FRA,autumn
Nov,5.8,1963,France,FRA,autumn
Dec,-2.0,1963,France,FRA,winter
Jan,-2.1,1964,France,FRA,winter
Feb,1.7,1964,France,FRA,winter
Mar,2.0,1964,France,FRA,spring
Apr,5.1,1964,France,FRA,spring
May,9.4,1964,France,FRA,spring
Jun,11.6,1964,France,FRA,summer
Jul,13.6,1964,France,FRA,summer
Aug,12.7,1964,France,FRA,summer
Sep,11.5,1964,France,FRA,autumn
Oct,5.7,1964,France,FRA,autumn
Nov,4.1,1964,France,FRA,autumn
Dec,-0.1,1964,France,FRA,winter
Jan,0.6,1965,France,FRA,winter
Feb,-2.1,1965,France,FRA,winter
Mar,2.3,1965,France,FRA,spring
Apr,4.5,1965,France,FRA,spring
May,8.1,1965,France,FRA,spring
Jun,11.1,1965,France,FRA,summer
Jul,11.9,1965,France,FRA,summer
Aug,12.1,1965,France,FRA,summer
Sep,9.3,1965,France,FRA,autumn
Oct,7.6,1965,France,FRA,autumn
Nov,3.1,1965,France,FRA,autumn
Dec,2.6,1965,France,FRA,winter
Jan,-0.7,1966,France,FRA,winter
Feb,4.5,1966,France,FRA,winter
Mar,1.6,1966,France,FRA,spring
Apr,6.1,1966,France,FRA,spring
May,8.2,1966,France,FRA,spring
Jun,11.9,1966,France,FRA,summer
Jul,12.0,1966,France,FRA,summer
Aug,12.1,1966,France,FRA,summer
Sep,11.1,1966,France,FRA,autumn
Oct,9.4,1966,France,FRA,autumn
Nov,1.8,1966,France,FRA,autumn
Dec,2.4,1966,France,FRA,winter
Jan,0.2,1967,France,FRA,winter
Feb,1.6,1967,France,FRA,winter
Mar,3.5,1967,France,FRA,spring
Apr,3.8,1967,France,FRA,spring
May,7.5,1967,France,FRA,spring
Jun,10.1,1967,France,FRA,summer
Jul,14.0,1967,France,FRA,summer
Aug,12.8,1967,France,FRA,summer
Sep,10.7,1967,France,FRA,autumn
Oct,9.1,1967,France,FRA,autumn
Nov,3.7,1967,France,FRA,autumn
Dec,-0.3,1967,France,FRA,winter
Jan,-0.2,1968,France,FRA,winter
Feb,1.0,1968,France,FRA,winter
Mar,2.4,1968,France,FRA,spring
Apr,4.7,1968,France,FRA,spring
May,7.1,1968,France,FRA,spring
Jun,10.8,1968,France,FRA,summer
Jul,12.5,1968,France,FRA,summer
Aug,12.6,1968,France,FRA,summer
Sep,10.6,1968,France,FRA,autumn
Oct,9.2,1968,France,FRA,autumn
Nov,3.5,1968,France,FRA,autumn
Dec,0.5,1968,France,FRA,winter
Jan,1.4,1969,France,FRA,winter
Feb,-1.5,1969,France,FRA,winter
Mar,2.6,1969,France,FRA,spring
Apr,4.8,1969,France,FRA,spring
May,8.3,1969,France,FRA,spring
Jun,10.0,1969,France,FRA,summer
Jul,13.5,1969,France,FRA,summer
Aug,13.0,1969,France,FRA,summer
Sep,11.1,1969,France,FRA,autumn
Oct,7.6,1969,France,FRA,autumn
Nov,3.4,1969,France,FRA,autumn
Dec,-1.7,1969,France,FRA,winter
Jan,1.0,1970,France,FRA,winter
Feb,1.2,1970,France,FRA,winter
Mar,0.6,1970,France,FRA,spring
Apr,3.5,1970,France,FRA,spring
May,7.8,1970,France,FRA,spring
Jun,12.6,1970,France,FRA,summer
Jul,12.5,1970,France,FRA,summer
Aug,13.3,1970,France,FRA,summer
Sep,11.1,1970,France,FRA,autumn
Oct,6.7,1970,France,FRA,autumn
Nov,4.7,1970,France,FRA,autumn
Dec,-0.6,1970,France,FRA,winter
Jan,-0.6,1971,France,FRA,winter
Feb,0.3,1971,France,FRA,winter
Mar,-0.5,1971,France,FRA,spring
Apr,5.4,1971,France,FRA,spring
May,9.0,1971,France,FRA,spring
Jun,10.3,1971,France,FRA,summer
Jul,13.8,1971,France,FRA,summer
Aug,13.7,1971,France,FRA,summer
Sep,10.1,1971,France,FRA,autumn
Oct,6.7,1971,France,FRA,autumn
Nov,1.8,1971,France,FRA,autumn
Dec,1.6,1971,France,FRA,winter
Jan,0.5,1972,France,FRA,winter
Feb,2.3,1972,France,FRA,winter
Mar,3.0,1972,France,FRA,spring
Apr,4.9,1972,France,FRA,spring
May,7.3,1972,France,FRA,spring
Jun,9.4,1972,France,FRA,summer
Jul,12.7,1972,France,FRA,summer
Aug,12.1,1972,France,FRA,summer
Sep,8.2,1972,France,FRA,autumn
Oct,5.9,1972,France,FRA,autumn
Nov,3.9,1972,France,FRA,autumn
Dec,0.9,1972,France,FRA,winter
Jan,-0.0,1973,France,FRA,winter
Feb,-0.0,1973,France,FRA,winter
Mar,0.5,1973,France,FRA,spring
Apr,2.8,1973,France,FRA,spring
May,8.7,1973,France,FRA,spring
Jun,11.7,1973,France,FRA,summer
Jul,13.3,1973,France,FRA,summer
Aug,14.5,1973,France,FRA,summer
Sep,11.4,1973,France,FRA,autumn
Oct,5.9,1973,France,FRA,autumn
Nov,2.6,1973,France,FRA,autumn
Dec,0.5,1973,France,FRA,winter
Jan,3.0,1974,France,FRA,winter
Feb,2.2,1974,France,FRA,winter
Mar,3.6,1974,France,FRA,spring
Apr,4.4,1974,France,FRA,spring
May,7.4,1974,France,FRA,spring
Jun,10.5,1974,France,FRA,summer
Jul,12.2,1974,France,FRA,summer
Aug,12.9,1974,France,FRA,summer
Sep,10.2,1974,France,FRA,autumn
Oct,4.4,1974,France,FRA,autumn
Nov,4.2,1974,France,FRA,autumn
Dec,3.7,1974,France,FRA,winter
Jan,3.0,1975,France,FRA,winter
Feb,1.1,1975,France,FRA,winter
Mar,1.9,1975,France,FRA,spring
Apr,4.4,1975,France,FRA,spring
May,7.5,1975,France,FRA,spring
Jun,10.7,1975,France,FRA,summer
Jul,13.4,1975,France,FRA,summer
Aug,14.3,1975,France,FRA,summer
Sep,11.5,1975,France,FRA,autumn
Oct,6.1,1975,France,FRA,autumn
Nov,3.4,1975,France,FRA,autumn
Dec,-0.0,1975,France,FRA,winter
Jan,0.9,1976,France,FRA,winter
Feb,1.2,1976,France,FRA,winter
Mar,1.1,1976,France,FRA,spring
Apr,3.8,1976,France,FRA,spring
May,8.3,1976,France,FRA,spring
Jun,13.6,1976,France,FRA,summer
Jul,14.5,1976,France,FRA,summer
Aug,12.8,1976,France,FRA,summer
Sep,10.1,1976,France,FRA,autumn
Oct,8.1,1976,France,FRA,autumn
Nov,3.3,1976,France,FRA,autumn
Dec,0.4,1976,France,FRA,winter
Jan,1.1,1977,France,FRA,winter
Feb,3.5,1977,France,FRA,winter
Mar,4.0,1977,France,FRA,spring
Apr,3.9,1977,France,FRA,spring
May,7.7,1977,France,FRA,spring
Jun,10.5,1977,France,FRA,summer
Jul,12.9,1977,France,FRA,summer
Aug,12.0,1977,France,FRA,summer
Sep,9.3,1977,France,FRA,autumn
Oct,8.9,1977,France,FRA,autumn
Nov,3.6,1977,France,FRA,autumn
Dec,2.0,1977,France,FRA,winter
Jan,0.3,1978,France,FRA,winter
Feb,0.8,1978,France,FRA,winter
Mar,3.3,1978,France,FRA,spring
Apr,3.7,1978,France,FRA,spring
May,7.9,1978,France,FRA,spring
Jun,10.4,1978,France,FRA,summer
Jul,12.3,1978,France,FRA,summer
Aug,11.8,1978,France,FRA,summer
Sep,10.1,1978,France,FRA,autumn
Oct,6.7,1978,France,FRA,autumn
Nov,2.2,1978,France,FRA,autumn
Dec,2.2,1978,France,FRA,winter
Jan,-1.6,1979,France,FRA,winter
Feb,1.0,1979,France,FRA,winter
Mar,3.2,1979,France,FRA,spring
Apr,4.1,1979,France,FRA,spring
May,7.5,1979,France,FRA,spring
Jun,11.8,1979,France,FRA,summer
Jul,13.1,1979,France,FRA,summer
Aug,12.2,1979,France,FRA,summer
Sep,10.4,1979,France,FRA,autumn
Oct,8.6,1979,France,FRA,autumn
Nov,2.9,1979,France,FRA,autumn
Dec,2.4,1979,France,FRA,winter
Jan,-0.7,1980,France,FRA,winter
Feb,2.8,1980,France,FRA,winter
Mar,2.5,1980,France,FRA,spring
Apr,3.9,1980,France,FRA,spring
May,7.0,1980,France,FRA,spring
Jun,10.4,1980,France,FRA,summer
Jul,11.6,1980,France,FRA,summer
Aug,13.7,1980,France,FRA,summer
Sep,11.4,1980,France,FRA,autumn
Oct,6.5,1980,France,FRA,autumn
Nov,2.2,1980,France,FRA,autumn
Dec,-0.6,1980,France,FRA,winter
Jan,-0.1,1981,France,FRA,winter
Feb,-1.1,1981,France,FRA,winter
Mar,5.4,1981,France,FRA,spring
Apr,5.6,1981,France,FRA,spring
May,8.2,1981,France,FRA,spring
Jun,11.1,1981,France,FRA,summer
Jul,12.6,1981,France,FRA,summer
Aug,13.3,1981,France,FRA,summer
Sep,11.5,1981,France,FRA,autumn
Oct,7.6,1981,France,FRA,autumn
Nov,3.3,1981,France,FRA,autumn
Dec,1.1,1981,France,FRA,winter
Jan,1.7,1982,France,FRA,winter
Feb,1.4,1982,France,FRA,winter
Mar,2.0,1982,France,FRA,spring
Apr,4.1,1982,France,FRA,spring
May,8.0,1982,France,FRA,spring
Jun,12.6,1982,France,FRA,summer
Jul,14.7,1982,France,FRA,summer
Aug,13.1,1982,France,FRA,summer
Sep,12.2,1982,France,FRA,autumn
Oct,7.8,1982,France,FRA,autumn
Nov,5.2,1982,France,FRA,autumn
Dec,2.2,1982,France,FRA,winter
Jan,1.8,1983,France,FRA,winter
Feb,-0.9,1983,France,FRA,winter
Mar,2.9,1983,France,FRA,spring
Apr,4.7,1983,France,FRA,spring
May,7.3,1983,France,FRA,spring
Jun,12.1,1983,France,FRA,summer
Jul,16.2,1983,France,FRA,summer
Aug,14.2,1983,France,FRA,summer
Sep,11.4,1983,France,FRA,autumn
Oct,7.3,1983,France,FRA,autumn
Nov,3.9,1983,France,FRA,autumn
Dec,0.8,1983,France,FRA,winter
Jan,1.1,1984,France,FRA,winter
Feb,0.1,1984,France,FRA,winter
Mar,0.8,1984,France,FRA,spring
Apr,3.9,1984,France,FRA,spring
May,6.4,1984,France,FRA,spring
Jun,10.6,1984,France,FRA,summer
Jul,12.9,1984,France,FRA,summer
Aug,13.1,1984,France,FRA,summer
Sep,10.4,1984,France,FRA,autumn
Oct,8.0,1984,France,FRA,autumn
Nov,5.8,1984,France,FRA,autumn
Dec,1.3,1984,France,FRA,winter
Jan,-4.5,1985,France,FRA,winter
Feb,-0.2,1985,France,FRA,winter
Mar,1.2,1985,France,FRA,spring
Apr,5.2,1985,France,FRA,spring
May,8.1,1985,France,FRA,spring
Jun,10.5,1985,France,FRA,summer
Jul,14.0,1985,France,FRA,summer
Aug,12.2,1985,France,FRA,summer
Sep,11.3,1985,France,FRA,autumn
Oct,7.2,1985,France,FRA,autumn
Nov,0.9,1985,France,FRA,autumn
Dec,2.3,1985,France,FRA,winter
Jan,0.9,1986,France,FRA,winter
Feb,-3.6,1986,France,FRA,winter
Mar,1.7,1986,France,FRA,spring
Apr,3.1,1986,France,FRA,spring
May,9.1,1986,France,FRA,spring
Jun,11.8,1986,France,FRA,summer
Jul,13.4,1986,France,FRA,summer
Aug,12.5,1986,France,FRA,summer
Sep,10.0,1986,France,FRA,autumn
Oct,9.0,1986,France,FRA,autumn
Nov,4.1,1986,France,FRA,autumn
Dec,1.6,1986,France,FRA,winter
Jan,-3.9,1987,France,FRA,winter
Feb,0.8,1987,France,FRA,winter
Mar,0.9,1987,France,FRA,spring
Apr,5.8,1987,France,FRA,spring
May,6.4,1987,France,FRA,spring
Jun,10.4,1987,France,FRA,summer
Jul,13.8,1987,France,FRA,summer
Aug,13.3,1987,France,FRA,summer
Sep,12.8,1987,France,FRA,autumn
Oct,8.8,1987,France,FRA,autumn
Nov,4.0,1987,France,FRA,autumn
Dec,2.1,1987,France,FRA,winter
Jan,3.6,1988,France,FRA,winter
Feb,1.1,1988,France,FRA,winter
Mar,3.0,1988,France,FRA,spring
Apr,5.5,1988,France,FRA,spring
May,9.6,1988,France,FRA,spring
Jun,11.3,1988,France,FRA,summer
Jul,12.7,1988,France,FRA,summer
Aug,13.2,1988,France,FRA,summer
Sep,10.9,1988,France,FRA,autumn
Oct,8.9,1988,France,FRA,autumn
Nov,2.2,1988,France,FRA,autumn
Dec,3.0,1988,France,FRA,winter
Jan,0.5,1989,France,FRA,winter
Feb,1.5,1989,France,FRA,winter
Mar,4.5,1989,France,FRA,spring
Apr,4.3,1989,France,FRA,spring
May,9.8,1989,France,FRA,spring
Jun,11.3,1989,France,FRA,summer
Jul,14.7,1989,France,FRA,summer
Aug,13.9,1989,France,FRA,summer
Sep,11.1,1989,France,FRA,autumn
Oct,8.3,1989,France,FRA,autumn
Nov,3.1,1989,France,FRA,autumn
Dec,2.3,1989,France,FRA,winter
Jan,1.2,1990,France,FRA,winter
Feb,4.7,1990,France,FRA,winter
Mar,3.5,1990,France,FRA,spring
Apr,4.4,1990,France,FRA,spring
May,9.9,1990,France,FRA,spring
Jun,11.3,1990,France,FRA,summer
Jul,13.7,1990,France,FRA,summer
Aug,14.6,1990,France,FRA,summer
Sep,10.4,1990,France,FRA,autumn
Oct,9.3,1990,France,FRA,autumn
Nov,4.4,1990,France,FRA,autumn
Dec,-0.0,1990,France,FRA,winter
Jan,0.9,1991,France,FRA,winter
Feb,-2.1,1991,France,FRA,winter
Mar,5.3,1991,France,FRA,spring
Apr,3.7,1991,France,FRA,spring
May,6.8,1991,France,FRA,spring
Jun,10.4,1991,France,FRA,summer
Jul,14.3,1991,France,FRA,summer
Aug,14.9,1991,France,FRA,summer
Sep,12.9,1991,France,FRA,autumn
Oct,6.9,1991,France,FRA,autumn
Nov,3.6,1991,France,FRA,autumn
Dec,0.2,1991,France,FRA,winter
Jan,-0.5,1992,France,FRA,winter
Feb,0.6,1992,France,FRA,winter
Mar,3.6,1992,France,FRA,spring
Apr,4.8,1992,France,FRA,spring
May,9.8,1992,France,FRA,spring
Jun,11.3,1992,France,FRA,summer
Jul,14.1,1992,France,FRA,summer
Aug,15.0,1992,France,FRA,summer
Sep,10.7,1992,France,FRA,autumn
Oct,6.3,1992,France,FRA,autumn
Nov,5.6,1992,France,FRA,autumn
Dec,2.3,1992,France,FRA,winter
Jan,2.3,1993,France,FRA,winter
Feb,-0.1,1993,France,FRA,winter
Mar,2.0,1993,France,FRA,spring
Apr,6.0,1993,France,FRA,spring
May,9.4,1993,France,FRA,spring
Jun,12.4,1993,France,FRA,summer
Jul,12.7,1993,France,FRA,summer
Aug,13.0,1993,France,FRA,summer
Sep,10.4,1993,France,FRA,autumn
Oct,7.3,1993,France,FRA,autumn
Nov,1.4,1993,France,FRA,autumn
Dec,3.2,1993,France,FRA,winter
Jan,2.2,1994,France,FRA,winter
Feb,1.6,1994,France,FRA,winter
Mar,5.2,1994,France,FRA,spring
Apr,4.5,1994,France,FRA,spring
May,9.0,1994,France,FRA,spring
Jun,11.9,1994,France,FRA,summer
Jul,15.9,1994,France,FRA,summer
Aug,15.0,1994,France,FRA,summer
Sep,11.0,1994,France,FRA,autumn
Oct,7.9,1994,France,FRA,autumn
Nov,7.4,1994,France,FRA,autumn
Dec,3.6,1994,France,FRA,winter
Jan,1.0,1995,France,FRA,winter
Feb,4.0,1995,France,FRA,winter
