month,tasmin,year,country,iso3,season
Jan,21.1,1960,Indonesia,IDN,winter
Feb,21.0,1960,Indonesia,IDN,winter
Mar,20.9,1960,Indonesia,IDN,spring
Apr,21.3,1960,Indonesia,IDN,spring
May,21.2,1960,Indonesia,IDN,spring
Jun,20.7,1960,Indonesia,IDN,summer
Jul,20.4,1960,Indonesia,IDN,summer
Aug,20.5,1960,Indonesia,IDN,summer
Sep,20.6,1960,Indonesia,IDN,autumn
Oct,21.0,1960,Indonesia,IDN,autumn
Nov,21.2,1960,Indonesia,IDN,autumn
Dec,21.3,1960,Indonesia,IDN,winter
Jan,20.9,1961,Indonesia,IDN,winter
Feb,21.2,1961,Indonesia,IDN,winter
Mar,21.3,1961,Indonesia,IDN,spring
Apr,21.3,1961,Indonesia,IDN,spring
May,21.2,1961,Indonesia,IDN,spring
Jun,20.4,1961,Indonesia,IDN,summer
Jul,20.0,1961,Indonesia,IDN,summer
Aug,19.9,1961,Indonesia,IDN,summer
Sep,20.0,1961,Indonesia,IDN,autumn
Oct,20.6,1961,Indonesia,IDN,autumn
Nov,21.0,1961,Indonesia,IDN,autumn
Dec,21.3,1961,Indonesia,IDN,winter
Jan,21.0,1962,Indonesia,IDN,winter
Feb,20.8,1962,Indonesia,IDN,winter
Mar,20.9,1962,Indonesia,IDN,spring
Apr,21.1,1962,Indonesia,IDN,spring
May,21.1,1962,Indonesia,IDN,spring
Jun,20.6,1962,Indonesia,IDN,summer
Jul,20.5,1962,Indonesia,IDN,summer
Aug,20.1,1962,Indonesia,IDN,summer
Sep,20.5,1962,Indonesia,IDN,autumn
Oct,21.1,1962,Indonesia,IDN,autumn
Nov,21.3,1962,Indonesia,IDN,autumn
Dec,21.2,1962,Indonesia,IDN,winter
Jan,20.8,1963,Indonesia,IDN,winter
Feb,20.8,1963,Indonesia,IDN,winter
Mar,21.0,1963,Indonesia,IDN,spring
Apr,21.1,1963,Indonesia,IDN,spring
May,21.3,1963,Indonesia,IDN,spring
Jun,20.8,1963,Indonesia,IDN,summer
Jul,20.1,1963,Indonesia,IDN,summer
Aug,20.0,1963,Indonesia,IDN,summer
Sep,20.5,1963,Indonesia,IDN,autumn
Oct,20.9,1963,Indonesia,IDN,autumn
Nov,21.3,1963,Indonesia,IDN,autumn
Dec,21.3,1963,Indonesia,IDN,winter
Jan,21.4,1964,Indonesia,IDN,winter
Feb,21.4,1964,Indonesia,IDN,winter
Mar,21.2,1964,Indonesia,IDN,spring
Apr,21.5,1964,Indonesia,IDN,spring
May,21.4,1964,Indonesia,IDN,spring
Jun,20.6,1964,Indonesia,IDN,summer
Jul,20.3,1964,Indonesia,IDN,summer
Aug,20.1,1964,Indonesia,IDN,summer
Sep,20.7,1964,Indonesia,IDN,autumn
Oct,20.6,1964,Indonesia,IDN,autumn
Nov,20.8,1964,Indonesia,IDN,autumn
Dec,20.7,1964,Indonesia,IDN,winter
Jan,20.5,1965,Indonesia,IDN,winter
Feb,20.8,1965,Indonesia,IDN,winter
Mar,20.9,1965,Indonesia,IDN,spring
Apr,20.7,1965,Indonesia,IDN,spring
May,21.0,1965,Indonesia,IDN,spring
Jun,20.6,1965,Indonesia,IDN,summer
Jul,20.0,1965,Indonesia,IDN,summer
Aug,20.0,1965,Indonesia,IDN,summer
Sep,20.3,1965,Indonesia,IDN,autumn
Oct,20.8,1965,Indonesia,IDN,autumn
Nov,21.4,1965,Indonesia,IDN,autumn
Dec,21.2,1965,Indonesia,IDN,winter
Jan,21.1,1966,Indonesia,IDN,winter
Feb,21.1,1966,Indonesia,IDN,winter
Mar,21.2,1966,Indonesia,IDN,spring
Apr,21.4,1966,Indonesia,IDN,spring
May,21.3,1966,Indonesia,IDN,spring
Jun,20.6,1966,Indonesia,IDN,summer
Jul,20.1,1966,Indonesia,IDN,summer
Aug,20.4,1966,Indonesia,IDN,summer
Sep,20.8,1966,Indonesia,IDN,autumn
Oct,20.9,1966,Indonesia,IDN,autumn
Nov,21.1,1966,Indonesia,IDN,autumn
Dec,21.0,1966,Indonesia,IDN,winter
Jan,21.0,1967,Indonesia,IDN,winter
Feb,20.8,1967,Indonesia,IDN,winter
Mar,20.9,1967,Indonesia,IDN,spring
Apr,20.8,1967,Indonesia,IDN,spring
May,21.0,1967,Indonesia,IDN,spring
Jun,20.5,1967,Indonesia,IDN,summer
Jul,20.1,1967,Indonesia,IDN,summer
Aug,20.3,1967,Indonesia,IDN,summer
Sep,20.3,1967,Indonesia,IDN,autumn
Oct,20.8,1967,Indonesia,IDN,autumn
Nov,21.1,1967,Indonesia,IDN,autumn
Dec,21.1,1967,Indonesia,IDN,winter
Jan,20.9,1968,Indonesia,IDN,winter
Feb,20.5,1968,Indonesia,IDN,winter
Mar,21.0,1968,Indonesia,IDN,spring
Apr,20.9,1968,Indonesia,IDN,spring
May,21.1,1968,Indonesia,IDN,spring
Jun,20.9,1968,Indonesia,IDN,summer
Jul,20.5,1968,Indonesia,IDN,summer
Aug,20.3,1968,Indonesia,IDN,summer
Sep,20.6,1968,Indonesia,IDN,autumn
Oct,20.8,1968,Indonesia,IDN,autumn
Nov,21.0,1968,Indonesia,IDN,autumn
Dec,21.2,1968,Indonesia,IDN,winter
Jan,21.1,1969,Indonesia,IDN,winter
Feb,21.1,1969,Indonesia,IDN,winter
Mar,21.4,1969,Indonesia,IDN,spring
Apr,21.4,1969,Indonesia,IDN,spring
May,21.5,1969,Indonesia,IDN,spring
Jun,21.0,1969,Indonesia,IDN,summer
Jul,20.5,1969,Indonesia,IDN,summer
Aug,20.3,1969,Indonesia,IDN,summer
Sep,20.6,1969,Indonesia,IDN,autumn
Oct,20.9,1969,Indonesia,IDN,autumn
Nov,21.2,1969,Indonesia,IDN,autumn
Dec,21.2,1969,Indonesia,IDN,winter
Jan,21.3,1970,Indonesia,IDN,winter
Feb,21.1,1970,Indonesia,IDN,winter
Mar,21.3,1970,Indonesia,IDN,spring
Apr,21.5,1970,Indonesia,IDN,spring
May,21.3,1970,Indonesia,IDN,spring
Jun,21.0,1970,Indonesia,IDN,summer
Jul,20.3,1970,Indonesia,IDN,summer
Aug,20.2,1970,Indonesia,IDN,summer
Sep,20.6,1970,Indonesia,IDN,autumn
Oct,21.0,1970,Indonesia,IDN,autumn
Nov,21.1,1970,Indonesia,IDN,autumn
Dec,21.0,1970,Indonesia,IDN,winter
Jan,20.8,1971,Indonesia,IDN,winter
Feb,20.8,1971,Indonesia,IDN,winter
Mar,20.9,1971,Indonesia,IDN,spring
Apr,21.2,1971,Indonesia,IDN,spring
May,21.1,1971,Indonesia,IDN,spring
Jun,20.6,1971,Indonesia,IDN,summer
Jul,20.2,1971,Indonesia,IDN,summer
Aug,20.2,1971,Indonesia,IDN,summer
Sep,20.7,1971,Indonesia,IDN,autumn
Oct,20.8,1971,Indonesia,IDN,autumn
Nov,20.7,1971,Indonesia,IDN,autumn
Dec,21.1,1971,Indonesia,IDN,winter
Jan,20.5,1972,Indonesia,IDN,winter
Feb,20.9,1972,Indonesia,IDN,winter
Mar,20.7,1972,Indonesia,IDN,spring
Apr,20.9,1972,Indonesia,IDN,spring
