month,tasmin,year,country,iso3,season
Jan,9.8,1960,India,IND,winter
Feb,13.0,1960,India,IND,winter
Mar,15.8,1960,India,IND,spring
Apr,20.3,1960,India,IND,spring
May,23.5,1960,India,IND,spring
Jun,24.3,1960,India,IND,summer
Jul,23.2,1960,India,IND,summer
Aug,23.0,1960,India,IND,summer
Sep,22.1,1960,India,IND,autumn
Oct,18.6,1960,India,IND,autumn
Nov,13.3,1960,India,IND,autumn
Dec,11.1,1960,India,IND,winter
Jan,10.8,1961,India,IND,winter
Feb,11.2,1961,India,IND,winter
Mar,17.3,1961,India,IND,spring
Apr,20.6,1961,India,IND,spring
May,23.4,1961,India,IND,spring
Jun,23.6,1961,India,IND,summer
Jul,22.9,1961,India,IND,summer
Aug,22.9,1961,India,IND,summer
Sep,21.8,1961,India,IND,autumn
Oct,18.4,1961,India,IND,autumn
Nov,13.6,1961,India,IND,autumn
Dec,9.4,1961,India,IND,winter
Jan,8.8,1962,India,IND,winter
Feb,12.2,1962,India,IND,winter
Mar,15.9,1962,India,IND,spring
Apr,20.6,1962,India,IND,spring
May,23.1,1962,India,IND,spring
Jun,24.1,1962,India,IND,summer
Jul,23.4,1962,India,IND,summer
Aug,22.7,1962,India,IND,summer
Sep,21.6,1962,India,IND,autumn
Oct,17.9,1962,India,IND,autumn
Nov,13.7,1962,India,IND,autumn
Dec,10.7,1962,India,IND,winter
Jan,9.2,1963,India,IND,winter
Feb,12.5,1963,India,IND,winter
Mar,15.9,1963,India,IND,spring
Apr,19.8,1963,India,IND,spring
May,22.6,1963,India,IND,spring
Jun,23.8,1963,India,IND,summer
Jul,23.4,1963,India,IND,summer
Aug,22.7,1963,India,IND,summer
Sep,21.6,1963,India,IND,autumn
Oct,19.1,1963,India,IND,autumn
Nov,15.2,1963,India,IND,autumn
Dec,10.8,1963,India,IND,winter
Jan,9.3,1964,India,IND,winter
Feb,12.2,1964,India,IND,winter
Mar,17.3,1964,India,IND,spring
Apr,21.4,1964,India,IND,spring
May,22.9,1964,India,IND,spring
Jun,23.9,1964,India,IND,summer
Jul,22.7,1964,India,IND,summer
Aug,22.6,1964,India,IND,summer
Sep,21.6,1964,India,IND,autumn
Oct,18.8,1964,India,IND,autumn
Nov,13.3,1964,India,IND,autumn
Dec,10.3,1964,India,IND,winter
Jan,10.8,1965,India,IND,winter
Feb,12.1,1965,India,IND,winter
Mar,15.5,1965,India,IND,spring
Apr,19.7,1965,India,IND,spring
May,23.1,1965,India,IND,spring
Jun,24.4,1965,India,IND,summer
Jul,23.0,1965,India,IND,summer
Aug,22.6,1965,India,IND,summer
Sep,21.5,1965,India,IND,autumn
Oct,19.1,1965,India,IND,autumn
Nov,14.5,1965,India,IND,autumn
Dec,10.6,1965,India,IND,winter
Jan,10.4,1966,India,IND,winter
Feb,13.5,1966,India,IND,winter
Mar,16.1,1966,India,IND,spring
Apr,20.6,1966,India,IND,spring
May,23.3,1966,India,IND,spring
Jun,24.0,1966,India,IND,summer
Jul,23.6,1966,India,IND,summer
Aug,22.9,1966,India,IND,summer
Sep,21.5,1966,India,IND,autumn
Oct,18.7,1966,India,IND,autumn
Nov,15.0,1966,India,IND,autumn
Dec,10.1,1966,India,IND,winter
Jan,9.5,1967,India,IND,winter
Feb,12.6,1967,India,IND,winter
Mar,15.7,1967,India,IND,spring
Apr,19.8,1967,India,IND,spring
May,23.1,1967,India,IND,spring
Jun,24.1,1967,India,IND,summer
Jul,23.2,1967,India,IND,summer
Aug,22.5,1967,India,IND,summer
Sep,21.4,1967,India,IND,autumn
Oct,18.2,1967,India,IND,autumn
Nov,13.7,1967,India,IND,autumn
Dec,11.4,1967,India,IND,winter
Jan,9.6,1968,India,IND,winter
Feb,11.1,1968,India,IND,winter
Mar,15.9,1968,India,IND,spring
Apr,19.8,1968,India,IND,spring
May,22.7,1968,India,IND,spring
Jun,24.0,1968,India,IND,summer
Jul,23.1,1968,India,IND,summer
Aug,22.7,1968,India,IND,summer
Sep,21.9,1968,India,IND,autumn
Oct,18.2,1968,India,IND,autumn
Nov,13.9,1968,India,IND,autumn
Dec,10.8,1968,India,IND,winter
Jan,10.0,1969,India,IND,winter
Feb,12.7,1969,India,IND,winter
Mar,17.7,1969,India,IND,spring
Apr,21.0,1969,India,IND,spring
May,23.0,1969,India,IND,spring
Jun,24.4,1969,India,IND,summer
Jul,23.0,1969,India,IND,summer
Aug,22.5,1969,India,IND,summer
Sep,21.7,1969,India,IND,autumn
Oct,19.1,1969,India,IND,autumn
Nov,15.2,1969,India,IND,autumn
Dec,10.9,1969,India,IND,winter
Jan,10.5,1970,India,IND,winter
Feb,12.4,1970,India,IND,winter
Mar,16.4,1970,India,IND,spring
Apr,21.4,1970,India,IND,spring
May,24.0,1970,India,IND,spring
Jun,23.2,1970,India,IND,summer
Jul,23.1,1970,India,IND,summer
Aug,22.7,1970,India,IND,summer
Sep,21.8,1970,India,IND,autumn
Oct,18.9,1970,India,IND,autumn
Nov,13.2,1970,India,IND,autumn
Dec,9.7,1970,India,IND,winter
Jan,9.8,1971,India,IND,winter
Feb,11.7,1971,India,IND,winter
Mar,15.7,1971,India,IND,spring
Apr,20.8,1971,India,IND,spring
May,22.5,1971,India,IND,spring
Jun,22.9,1971,India,IND,summer
Jul,22.7,1971,India,IND,summer
Aug,22.3,1971,India,IND,summer
Sep,21.5,1971,India,IND,autumn
Oct,18.5,1971,India,IND,autumn
Nov,13.4,1971,India,IND,autumn
Dec,10.0,1971,India,IND,winter
Jan,9.8,1972,India,IND,winter
