month,tasmin,year,country,iso3,season
Jan,20.1,1960,Philippines,PHL,winter
Feb,20.0,1960,Philippines,PHL,winter
Mar,20.4,1960,Philippines,PHL,spring
Apr,21.3,1960,Philippines,PHL,spring
May,21.8,1960,Philippines,PHL,spring
Jun,21.7,1960,Philippines,PHL,summer
Jul,21.7,1960,Philippines,PHL,summer
Aug,21.8,1960,Philippines,PHL,summer
Sep,21.3,1960,Philippines,PHL,autumn
Oct,21.0,1960,Philippines,PHL,autumn
Nov,20.6,1960,Philippines,PHL,autumn
Dec,20.0,1960,Philippines,PHL,winter
Jan,19.0,1961,Philippines,PHL,winter
Feb,19.9,1961,Philippines,PHL,winter
Mar,20.6,1961,Philippines,PHL,spring
Apr,21.3,1961,Philippines,PHL,spring
May,21.9,1961,Philippines,PHL,spring
Jun,21.5,1961,Philippines,PHL,summer
Jul,21.2,1961,Philippines,PHL,summer
Aug,21.3,1961,Philippines,PHL,summer
Sep,21.2,1961,Philippines,PHL,autumn
Oct,20.7,1961,Philippines,PHL,autumn
Nov,20.2,1961,Philippines,PHL,autumn
Dec,20.2,1961,Philippines,PHL,winter
Jan,19.5,1962,Philippines,PHL,winter
Feb,19.1,1962,Philippines,PHL,winter
Mar,20.4,1962,Philippines,PHL,spring
Apr,21.0,1962,Philippines,PHL,spring
May,21.6,1962,Philippines,PHL,spring
Jun,21.4,1962,Philippines,PHL,summer
Jul,21.4,1962,Philippines,PHL,summer
Aug,21.2,1962,Philippines,PHL,summer
Sep,21.1,1962,Philippines,PHL,autumn
Oct,21.2,1962,Philippines,PHL,autumn
Nov,20.5,1962,Philippines,PHL,autumn
Dec,19.8,1962,Philippines,PHL,winter
Jan,18.9,1963,Philippines,PHL,winter
Feb,18.7,1963,Philippines,PHL,winter
Mar,19.2,1963,Philippines,PHL,spring
Apr,19.9,1963,Philippines,PHL,spring
May,21.5,1963,Philippines,PHL,spring
Jun,21.6,1963,Philippines,PHL,summer
Jul,21.3,1963,Philippines,PHL,summer
Aug,21.5,1963,Philippines,PHL,summer
Sep,21.6,1963,Philippines,PHL,autumn
Oct,20.9,1963,Philippines,PHL,autumn
Nov,20.6,1963,Philippines,PHL,autumn
Dec,20.4,1963,Philippines,PHL,winter
Jan,20.1,1964,Philippines,PHL,winter
Feb,19.7,1964,Philippines,PHL,winter
Mar,20.1,1964,Philippines,PHL,spring
Apr,21.2,1964,Philippines,PHL,spring
May,21.8,1964,Philippines,PHL,spring
Jun,21.4,1964,Philippines,PHL,summer
Jul,21.2,1964,Philippines,PHL,summer
Aug,21.4,1964,Philippines,PHL,summer
Sep,21.4,1964,Philippines,PHL,autumn
Oct,21.3,1964,Philippines,PHL,autumn
Nov,20.9,1964,Philippines,PHL,autumn
Dec,20.2,1964,Philippines,PHL,winter
Jan,19.4,1965,Philippines,PHL,winter
Feb,19.5,1965,Philippines,PHL,winter
Mar,20.0,1965,Philippines,PHL,spring
Apr,20.9,1965,Philippines,PHL,spring
May,21.4,1965,Philippines,PHL,spring
Jun,21.3,1965,Philippines,PHL,summer
Jul,21.1,1965,Philippines,PHL,summer
Aug,21.2,1965,Philippines,PHL,summer
Sep,21.3,1965,Philippines,PHL,autumn
Oct,20.9,1965,Philippines,PHL,autumn
Nov,21.0,1965,Philippines,PHL,autumn
Dec,20.4,1965,Philippines,PHL,winter
Jan,19.8,1966,Philippines,PHL,winter
Feb,20.0,1966,Philippines,PHL,winter
Mar,20.5,1966,Philippines,PHL,spring
Apr,21.5,1966,Philippines,PHL,spring
May,21.8,1966,Philippines,PHL,spring
Jun,21.8,1966,Philippines,PHL,summer
Jul,21.6,1966,Philippines,PHL,summer
Aug,21.8,1966,Philippines,PHL,summer
Sep,21.4,1966,Philippines,PHL,autumn
Oct,21.1,1966,Philippines,PHL,autumn
Nov,21.1,1966,Philippines,PHL,autumn
Dec,21.0,1966,Philippines,PHL,winter
Jan,19.6,1967,Philippines,PHL,winter
Feb,19.2,1967,Philippines,PHL,winter
Mar,19.7,1967,Philippines,PHL,spring
Apr,20.8,1967,Philippines,PHL,spring
May,21.7,1967,Philippines,PHL,spring
Jun,21.6,1967,Philippines,PHL,summer
Jul,21.5,1967,Philippines,PHL,summer
Aug,21.5,1967,Philippines,PHL,summer
Sep,21.2,1967,Philippines,PHL,autumn
Oct,20.9,1967,Philippines,PHL,autumn
Nov,20.3,1967,Philippines,PHL,autumn
Dec,19.2,1967,Philippines,PHL,winter
Jan,19.4,1968,Philippines,PHL,winter
Feb,18.6,1968,Philippines,PHL,winter
Mar,20.0,1968,Philippines,PHL,spring
Apr,20.4,1968,Philippines,PHL,spring
May,21.7,1968,Philippines,PHL,spring
Jun,21.7,1968,Philippines,PHL,summer
Jul,22.0,1968,Philippines,PHL,summer
Aug,21.7,1968,Philippines,PHL,summer
Sep,21.5,1968,Philippines,PHL,autumn
Oct,20.5,1968,Philippines,PHL,autumn
Nov,19.3,1968,Philippines,PHL,autumn
Dec,19.9,1968,Philippines,PHL,winter
Jan,19.6,1969,Philippines,PHL,winter
Feb,19.0,1969,Philippines,PHL,winter
Mar,20.1,1969,Philippines,PHL,spring
Apr,21.1,1969,Philippines,PHL,spring
May,22.2,1969,Philippines,PHL,spring
Jun,22.0,1969,Philippines,PHL,summer
Jul,21.6,1969,Philippines,PHL,summer
Aug,21.4,1969,Philippines,PHL,summer
