month,tasmin,year,country,iso3,season
Jan,-33.0,1960,Russia,RUS,winter
Feb,-30.5,1960,Russia,RUS,winter
Mar,-26.1,1960,Russia,RUS,spring
Apr,-13.4,1960,Russia,RUS,spring
May,-3.4,1960,Russia,RUS,spring
Jun,5.8,1960,Russia,RUS,summer
Jul,9.1,1960,Russia,RUS,summer
Aug,6.1,1960,Russia,RUS,summer
Sep,1.1,1960,Russia,RUS,autumn
Oct,-11.0,1960,Russia,RUS,autumn
Nov,-24.0,1960,Russia,RUS,autumn
Dec,-26.4,1960,Russia,RUS,winter
Jan,-31.4,1961,Russia,RUS,winter
Feb,-27.6,1961,Russia,RUS,winter
Mar,-21.1,1961,Russia,RUS,spring
Apr,-13.1,1961,Russia,RUS,spring
May,-2.8,1961,Russia,RUS,spring
Jun,5.1,1961,Russia,RUS,summer
Jul,9.0,1961,Russia,RUS,summer
Aug,6.6,1961,Russia,RUS,summer
Sep,1.2,1961,Russia,RUS,autumn
Oct,-9.8,1961,Russia,RUS,autumn
Nov,-21.5,1961,Russia,RUS,autumn
Dec,-28.9,1961,Russia,RUS,winter
Jan,-27.7,1962,Russia,RUS,winter
Feb,-26.1,1962,Russia,RUS,winter
Mar,-22.3,1962,Russia,RUS,spring
Apr,-11.1,1962,Russia,RUS,spring
May,-1.7,1962,Russia,RUS,spring
Jun,4.7,1962,Russia,RUS,summer
Jul,9.4,1962,Russia,RUS,summer
Aug,6.3,1962,Russia,RUS,summer
Sep,0.8,1962,Russia,RUS,autumn
Oct,-9.9,1962,Russia,RUS,autumn
Nov,-21.9,1962,Russia,RUS,autumn
Dec,-28.7,1962,Russia,RUS,winter
Jan,-30.0,1963,Russia,RUS,winter
Feb,-27.4,1963,Russia,RUS,winter
Mar,-25.3,1963,Russia,RUS,spring
Apr,-14.4,1963,Russia,RUS,spring
May,-3.3,1963,Russia,RUS,spring
Jun,4.5,1963,Russia,RUS,summer
Jul,8.8,1963,Russia,RUS,summer
Aug,6.8,1963,Russia,RUS,summer
Sep,0.7,1963,Russia,RUS,autumn
Oct,-8.1,1963,Russia,RUS,autumn
Nov,-20.4,1963,Russia,RUS,autumn
Dec,-28.9,1963,Russia,RUS,winter
Jan,-31.5,1964,Russia,RUS,winter
Feb,-30.0,1964,Russia,RUS,winter
Mar,-26.1,1964,Russia,RUS,spring
Apr,-15.6,1964,Russia,RUS,spring
May,-3.4,1964,Russia,RUS,spring
Jun,5.1,1964,Russia,RUS,summer
Jul,9.0,1964,Russia,RUS,summer
Aug,6.4,1964,Russia,RUS,summer
Sep,0.4,1964,Russia,RUS,autumn
Oct,-10.0,1964,Russia,RUS,autumn
Nov,-22.7,1964,Russia,RUS,autumn
Dec,-27.9,1964,Russia,RUS,winter
Jan,-32.2,1965,Russia,RUS,winter
Feb,-31.9,1965,Russia,RUS,winter
Mar,-22.3,1965,Russia,RUS,spring
Apr,-13.6,1965,Russia,RUS,spring
May,-3.6,1965,Russia,RUS,spring
Jun,4.6,1965,Russia,RUS,summer
Jul,9.0,1965,Russia,RUS,summer
Aug,6.3,1965,Russia,RUS,summer
Sep,1.0,1965,Russia,RUS,autumn
Oct,-9.2,1965,Russia,RUS,autumn
Nov,-24.8,1965,Russia,RUS,autumn
Dec,-29.9,1965,Russia,RUS,winter
Jan,-33.4,1966,Russia,RUS,winter
Feb,-35.1,1966,Russia,RUS,winter
Mar,-25.3,1966,Russia,RUS,spring
Apr,-14.8,1966,Russia,RUS,spring
May,-2.6,1966,Russia,RUS,spring
Jun,4.9,1966,Russia,RUS,summer
Jul,8.4,1966,Russia,RUS,summer
Aug,6.7,1966,Russia,RUS,summer
Sep,1.0,1966,Russia,RUS,autumn
Oct,-10.6,1966,Russia,RUS,autumn
Nov,-22.2,1966,Russia,RUS,autumn
Dec,-29.5,1966,Russia,RUS,winter
Jan,-32.5,1967,Russia,RUS,winter
Feb,-30.7,1967,Russia,RUS,winter
Mar,-20.3,1967,Russia,RUS,spring
Apr,-11.4,1967,Russia,RUS,spring
May,-1.6,1967,Russia,RUS,spring
Jun,5.3,1967,Russia,RUS,summer
Jul,9.5,1967,Russia,RUS,summer
Aug,6.3,1967,Russia,RUS,summer
Sep,0.3,1967,Russia,RUS,autumn
Oct,-5.7,1967,Russia,RUS,autumn
Nov,-19.7,1967,Russia,RUS,autumn
Dec,-26.8,1967,Russia,RUS,winter
Jan,-32.0,1968,Russia,RUS,winter
Feb,-27.8,1968,Russia,RUS,winter
Mar,-18.6,1968,Russia,RUS,spring
Apr,-11.6,1968,Russia,RUS,spring
May,-2.3,1968,Russia,RUS,spring
Jun,4.4,1968,Russia,RUS,summer
Jul,8.4,1968,Russia,RUS,summer
Aug,6.3,1968,Russia,RUS,summer
Sep,-0.1,1968,Russia,RUS,autumn
Oct,-10.5,1968,Russia,RUS,autumn
Nov,-26.2,1968,Russia,RUS,autumn
Dec,-33.0,1968,Russia,RUS,winter
Jan,-34.8,1969,Russia,RUS,winter
Feb,-36.2,1969,Russia,RUS,winter
Mar,-26.2,1969,Russia,RUS,spring
Apr,-14.1,1969,Russia,RUS,spring
May,-3.8,1969,Russia,RUS,spring
Jun,4.6,1969,Russia,RUS,summer
Jul,9.5,1969,Russia,RUS,summer
Aug,6.6,1969,Russia,RUS,summer
Sep,0.4,1969,Russia,RUS,autumn
Oct,-9.8,1969,Russia,RUS,autumn
Nov,-20.1,1969,Russia,RUS,autumn
Dec,-28.7,1969,Russia,RUS,winter
Jan,-31.9,1970,Russia,RUS,winter
Feb,-30.0,1970,Russia,RUS,winter
Mar,-23.1,1970,Russia,RUS,spring
Apr,-12.9,1970,Russia,RUS,spring
May,-3.6,1970,Russia,RUS,spring
Jun,4.7,1970,Russia,RUS,summer
Jul,9.5,1970,Russia,RUS,summer
Aug,5.7,1970,Russia,RUS,summer
Sep,1.7,1970,Russia,RUS,autumn
Oct,-10.2,1970,Russia,RUS,autumn
Nov,-22.1,1970,Russia,RUS,autumn
