month,tasmin,year,country,iso3,season
Jan,-2.8,1960,Turkey,TUR,winter
Feb,-3.4,1960,Turkey,TUR,winter
Mar,-0.2,1960,Turkey,TUR,spring
Apr,4.7,1960,Turkey,TUR,spring
May,9.3,1960,Turkey,TUR,spring
Jun,11.3,1960,Turkey,TUR,summer
Jul,14.5,1960,Turkey,TUR,summer
Aug,13.7,1960,Turkey,TUR,summer
Sep,11.4,1960,Turkey,TUR,autumn
Oct,7.8,1960,Turkey,TUR,autumn
Nov,3.8,1960,Turkey,TUR,autumn
Dec,0.4,1960,Turkey,TUR,winter
Jan,-4.7,1961,Turkey,TUR,winter
Feb,-3.5,1961,Turkey,TUR,winter
Mar,-1.8,1961,Turkey,TUR,spring
Apr,5.0,1961,Turkey,TUR,spring
May,8.9,1961,Turkey,TUR,spring
Jun,12.4,1961,Turkey,TUR,summer
Jul,14.8,1961,Turkey,TUR,summer
Aug,15.0,1961,Turkey,TUR,summer
Sep,9.1,1961,Turkey,TUR,autumn
Oct,6.2,1961,Turkey,TUR,autumn
Nov,2.4,1961,Turkey,TUR,autumn
Dec,-0.3,1961,Turkey,TUR,winter
Jan,-3.8,1962,Turkey,TUR,winter
Feb,-3.1,1962,Turkey,TUR,winter
Mar,1.5,1962,Turkey,TUR,spring
Apr,4.2,1962,Turkey,TUR,spring
May,8.9,1962,Turkey,TUR,spring
Jun,12.1,1962,Turkey,TUR,summer
Jul,15.5,1962,Turkey,TUR,summer
Aug,15.7,1962,Turkey,TUR,summer
Sep,11.0,1962,Turkey,TUR,autumn
Oct,7.5,1962,Turkey,TUR,autumn
Nov,4.6,1962,Turkey,TUR,autumn
Dec,0.4,1962,Turkey,TUR,winter
Jan,-1.5,1963,Turkey,TUR,winter
Feb,-0.4,1963,Turkey,TUR,winter
Mar,-2.2,1963,Turkey,TUR,spring
Apr,4.1,1963,Turkey,TUR,spring
May,7.8,1963,Turkey,TUR,spring
Jun,11.5,1963,Turkey,TUR,summer
Jul,15.0,1963,Turkey,TUR,summer
Aug,14.9,1963,Turkey,TUR,summer
Sep,11.6,1963,Turkey,TUR,autumn
Oct,7.6,1963,Turkey,TUR,autumn
Nov,1.9,1963,Turkey,TUR,autumn
Dec,-2.0,1963,Turkey,TUR,winter
Jan,-10.3,1964,Turkey,TUR,winter
Feb,-4.4,1964,Turkey,TUR,winter
Mar,0.7,1964,Turkey,TUR,spring
Apr,3.2,1964,Turkey,TUR,spring
May,7.2,1964,Turkey,TUR,spring
