quartil,autumn,spring,summer,winter,country,iso3
min,-1.5,-3.8,10.5,-10.3,Turkey,TUR
25%,2.9,1.2,12.7,-4.4,Turkey,TUR
50%,7.2,4.4,14.4,-3.0,Turkey,TUR
75%,10.55,8.05,15.4,-1.6,Turkey,TUR
max,14.3,11.0,17.0,1.5,Turkey,TUR
min,-26.2,-26.6,4.4,-36.2,Russia,RUS
25%,-18.9,-20.3,6.3,-30.6,Russia,RUS
50%,-8.5,-11.8,7.2,-28.8,Russia,RUS
75%,0.7,-2.7,9.05,-27.2,Russia,RUS
max,3.1,0.4,10.7,-22.8,Russia,RUS
min,19.3,19.2,20.8,18.6,Philippines,PHL
25%,21.1,20.95,21.6,19.8,Philippines,PHL
50%,21.5,21.6,21.8,20.4,Philippines,PHL
75%,21.8,22.1,22.2,21.0,Philippines,PHL
max,22.7,23.7,23.4,22.2,Philippines,PHL
min,12.9,15.5,22.1,8.8,India,IND
25%,15.25,17.3,22.9,10.6,India,IND
50%,19.1,20.9,23.4,11.2,India,IND
75%,21.7,23.1,23.9,12.25,India,IND
max,22.8,24.6,25.5,14.6,India,IND
min,-0.0,-1.9,6.9,-4.1,United Kingdom,GBR
25%,4.0,2.3,9.2,0.2,United Kingdom,GBR
50%,6.3,3.4,10.2,1.2,United Kingdom,GBR
75%,8.55,5.3,10.8,2.1,United Kingdom,GBR
max,11.1,7.5,12.7,4.6,United Kingdom,GBR
min,0.9,-0.5,9.4,-4.7,France,FRA
25%,5.05,3.6,12.1,-0.0,France,FRA
50%,8.0,5.2,13.0,1.1,France,FRA
75%,10.4,7.6,14.1,2.3,France,FRA
max,13.6,10.8,16.7,4.7,France,FRA
min,9.7,7.7,19.3,4.1,Egypt,EGY
25%,13.1,11.35,21.4,6.3,Egypt,EGY
50%,17.7,14.8,22.3,7.2,Egypt,EGY
75%,20.1,18.1,23.0,8.1,Egypt,EGY
max,23.2,21.3,24.6,11.4,Egypt,EGY
min,-1.4,-3.8,9.0,-10.4,Germany,DEU
25%,2.95,1.8,11.15,-3.15,Germany,DEU
50%,5.9,3.7,12.1,-1.5,Germany,DEU
75%,8.9,6.9,13.1,0.0,Germany,DEU
max,12.4,10.4,15.7,3.9,Germany,DEU
min,-8.4,-8.4,10.3,-16.7,China,CHN
25%,-5.55,-4.6,12.0,-13.9,China,CHN
50%,1.3,1.5,13.0,-12.6,China,CHN
75%,7.8,6.6,13.8,-11.5,China,CHN
max,9.5,8.2,15.3,-8.5,China,CHN
min,-22.3,-29.2,1.1,-35.1,Canada,CAN
25%,-16.75,-22.25,3.2,-29.0,Canada,CAN
50%,-7.9,-14.9,5.1,-27.4,Canada,CAN
75%,-0.6,-5.8,6.1,-25.3,Canada,CAN
max,1.4,-2.7,7.7,-20.5,Canada,CAN
min,-6.8,-9.2,9.7,-14.4,United States,USA
25%,-4.4,-5.1,11.4,-11.2,United States,USA
50%,1.7,-0.2,12.6,-10.0,United States,USA
75%,7.7,5.5,13.4,-9.0,United States,USA
max,10.7,8.3,14.8,-5.9,United States,USA
min,17.8,18.6,20.1,16.2,Brazil,BRA
25%,19.6,19.75,20.75,17.5,Brazil,BRA
50%,20.4,20.4,21.0,18.0,Brazil,BRA
75%,20.9,20.85,21.4,18.3,Brazil,BRA
max,21.9,21.9,22.3,19.6,Brazil,BRA
min,9.8,9.7,18.3,5.5,Australia,AUS
25%,12.15,12.35,20.1,7.5,Australia,AUS
50%,15.3,15.2,20.7,8.2,Australia,AUS
75%,18.25,17.5,21.2,8.85,Australia,AUS
max,20.6,19.5,22.7,10.7,Australia,AUS
min,20.0,20.7,19.9,20.3,Indonesia,IDN
25%,20.8,21.2,20.5,21.0,Indonesia,IDN
50%,21.1,21.5,20.8,21.3,Indonesia,IDN
75%,21.4,21.7,21.1,21.55,Indonesia,IDN
max,21.9,22.3,21.8,22.1,Indonesia,IDN
