Rainfall - (MM), Year, Statistics, Country, ISO3
232.9, 1901, Jan Average, Brazil, BRA
222.1, 1901, Feb Average, Brazil, BRA
240.0, 1901, Mar Average, Brazil, BRA
176.9, 1901, Apr Average, Brazil, BRA
124.7, 1901, May Average, Brazil, BRA
77.3, 1901, Jun Average, Brazil, BRA
69.6, 1901, Jul Average, Brazil, BRA
58.5, 1901, Aug Average, Brazil, BRA
76.5, 1901, Sep Average, Brazil, BRA
117.9, 1901, Oct Average, Brazil, BRA
151.9, 1901, Nov Average, Brazil, BRA
209.4, 1901, Dec Average, Brazil, BRA
216.5, 1902, Jan Average, Brazil, BRA
214.6, 1902, Feb Average, Brazil, BRA
240.3, 1902, Mar Average, Brazil, BRA
174.9, 1902, Apr Average, Brazil, BRA
123.9, 1902, May Average, Brazil, BRA
78.2, 1902, Jun Average, Brazil, BRA
61.7, 1902, Jul Average, Brazil, BRA
65.7, 1902, Aug Average, Brazil, BRA
76.4, 1902, Sep Average, Brazil, BRA
126.4, 1902, Oct Average, Brazil, BRA
161.6, 1902, Nov Average, Brazil, BRA
207.5, 1902, Dec Average, Brazil, BRA
225.4, 1903, Jan Average, Brazil, BRA
214.4, 1903, Feb Average, Brazil, BRA
226.5, 1903, Mar Average, Brazil, BRA
172.1, 1903, Apr Average, Brazil, BRA
126.5, 1903, May Average, Brazil, BRA
77.0, 1903, Jun Average, Brazil, BRA
61.4, 1903, Jul Average, Brazil, BRA
56.1, 1903, Aug Average, Brazil, BRA
75.1, 1903, Sep Average, Brazil, BRA
126.7, 1903, Oct Average, Brazil, BRA
153.3, 1903, Nov Average, Brazil, BRA
204.4, 1903, Dec Average, Brazil, BRA
229.8, 1904, Jan Average, Brazil, BRA
212.9, 1904, Feb Average, Brazil, BRA
223.1, 1904, Mar Average, Brazil, BRA
173.4, 1904, Apr Average, Brazil, BRA
125.5, 1904, May Average, Brazil, BRA
77.9, 1904, Jun Average, Brazil, BRA
63.5, 1904, Jul Average, Brazil, BRA
58.5, 1904, Aug Average, Brazil, BRA
76.7, 1904, Sep Average, Brazil, BRA
133.9, 1904, Oct Average, Brazil, BRA
148.6, 1904, Nov Average, Brazil, BRA
195.5, 1904, Dec Average, Brazil, BRA
224.9, 1905, Jan Average, Brazil, BRA
215.9, 1905, Feb Average, Brazil, BRA
239.6, 1905, Mar Average, Brazil, BRA
173.4, 1905, Apr Average, Brazil, BRA
133.6, 1905, May Average, Brazil, BRA
77.4, 1905, Jun Average, Brazil, BRA
65.4, 1905, Jul Average, Brazil, BRA
60.6, 1905, Aug Average, Brazil, BRA
78.8, 1905, Sep Average, Brazil, BRA
124.8, 1905, Oct Average, Brazil, BRA
153.8, 1905, Nov Average, Brazil, BRA
203.9, 1905, Dec Average, Brazil, BRA
226.1, 1906, Jan Average, Brazil, BRA
213.8, 1906, Feb Average, Brazil, BRA
229.0, 1906, Mar Average, Brazil, BRA
179.4, 1906, Apr Average, Brazil, BRA
126.3, 1906, May Average, Brazil, BRA
78.3, 1906, Jun Average, Brazil, BRA
59.8, 1906, Jul Average, Brazil, BRA
54.7, 1906, Aug Average, Brazil, BRA
73.2, 1906, Sep Average, Brazil, BRA
116.5, 1906, Oct Average, Brazil, BRA
146.0, 1906, Nov Average, Brazil, BRA
198.7, 1906, Dec Average, Brazil, BRA
214.1, 1907, Jan Average, Brazil, BRA
209.3, 1907, Feb Average, Brazil, BRA
222.9, 1907, Mar Average, Brazil, BRA
182.0, 1907, Apr Average, Brazil, BRA
126.6, 1907, May Average, Brazil, BRA
77.8, 1907, Jun Average, Brazil, BRA
64.3, 1907, Jul Average, Brazil, BRA
61.1, 1907, Aug Average, Brazil, BRA
