Rainfall - (MM), Year, Statistics, Country, ISO3
27.5, 1901, Jan Average, Canada, CAN
23.1, 1901, Feb Average, Canada, CAN
26.1, 1901, Mar Average, Canada, CAN
24.5, 1901, Apr Average, Canada, CAN
32.0, 1901, May Average, Canada, CAN
50.4, 1901, Jun Average, Canada, CAN
57.5, 1901, Jul Average, Canada, CAN
48.9, 1901, Aug Average, Canada, CAN
48.9, 1901, Sep Average, Canada, CAN
38.2, 1901, Oct Average, Canada, CAN
37.8, 1901, Nov Average, Canada, CAN
31.0, 1901, Dec Average, Canada, CAN
25.2, 1902, Jan Average, Canada, CAN
25.8, 1902, Feb Average, Canada, CAN
27.4, 1902, Mar Average, Canada, CAN
23.1, 1902, Apr Average, Canada, CAN
37.4, 1902, May Average, Canada, CAN
51.0, 1902, Jun Average, Canada, CAN
57.5, 1902, Jul Average, Canada, CAN
56.7, 1902, Aug Average, Canada, CAN
45.6, 1902, Sep Average, Canada, CAN
36.6, 1902, Oct Average, Canada, CAN
36.0, 1902, Nov Average, Canada, CAN
31.6, 1902, Dec Average, Canada, CAN
27.2, 1903, Jan Average, Canada, CAN
21.3, 1903, Feb Average, Canada, CAN
26.4, 1903, Mar Average, Canada, CAN
24.3, 1903, Apr Average, Canada, CAN
33.0, 1903, May Average, Canada, CAN
44.4, 1903, Jun Average, Canada, CAN
59.8, 1903, Jul Average, Canada, CAN
58.8, 1903, Aug Average, Canada, CAN
49.4, 1903, Sep Average, Canada, CAN
38.2, 1903, Oct Average, Canada, CAN
35.0, 1903, Nov Average, Canada, CAN
28.2, 1903, Dec Average, Canada, CAN
27.5, 1904, Jan Average, Canada, CAN
25.8, 1904, Feb Average, Canada, CAN
28.5, 1904, Mar Average, Canada, CAN
22.1, 1904, Apr Average, Canada, CAN
30.3, 1904, May Average, Canada, CAN
48.1, 1904, Jun Average, Canada, CAN
56.8, 1904, Jul Average, Canada, CAN
51.6, 1904, Aug Average, Canada, CAN
49.0, 1904, Sep Average, Canada, CAN
38.4, 1904, Oct Average, Canada, CAN
32.8, 1904, Nov Average, Canada, CAN
29.3, 1904, Dec Average, Canada, CAN
26.0, 1905, Jan Average, Canada, CAN
21.0, 1905, Feb Average, Canada, CAN
23.2, 1905, Mar Average, Canada, CAN
21.3, 1905, Apr Average, Canada, CAN
34.6, 1905, May Average, Canada, CAN
49.6, 1905, Jun Average, Canada, CAN
55.0, 1905, Jul Average, Canada, CAN
55.9, 1905, Aug Average, Canada, CAN
49.1, 1905, Sep Average, Canada, CAN
39.3, 1905, Oct Average, Canada, CAN
35.4, 1905, Nov Average, Canada, CAN
28.8, 1905, Dec Average, Canada, CAN
27.1, 1906, Jan Average, Canada, CAN
20.5, 1906, Feb Average, Canada, CAN
22.5, 1906, Mar Average, Canada, CAN
22.0, 1906, Apr Average, Canada, CAN
33.3, 1906, May Average, Canada, CAN
53.2, 1906, Jun Average, Canada, CAN
51.0, 1906, Jul Average, Canada, CAN
51.6, 1906, Aug Average, Canada, CAN
47.2, 1906, Sep Average, Canada, CAN
43.3, 1906, Oct Average, Canada, CAN
39.5, 1906, Nov Average, Canada, CAN
33.4, 1906, Dec Average, Canada, CAN
26.9, 1907, Jan Average, Canada, CAN
22.1, 1907, Feb Average, Canada, CAN
25.8, 1907, Mar Average, Canada, CAN
23.8, 1907, Apr Average, Canada, CAN
28.2, 1907, May Average, Canada, CAN
46.5, 1907, Jun Average, Canada, CAN
55.9, 1907, Jul Average, Canada, CAN
59.8, 1907, Aug Average, Canada, CAN
48.9, 1907, Sep Average, Canada, CAN
35.3, 1907, Oct Average, Canada, CAN
32.8, 1907, Nov Average, Canada, CAN
28.4, 1907, Dec Average, Canada, CAN
24.7, 1908, Jan Average, Canada, CAN
27.6, 1908, Feb Average, Canada, CAN
27.6, 1908, Mar Average, Canada, CAN
23.6, 1908, Apr Average, Canada, CAN
33.9, 1908, May Average, Canada, CAN
49.6, 1908, Jun Average, Canada, CAN
54.1, 1908, Jul Average, Canada, CAN
53.8, 1908, Aug Average, Canada, CAN
42.0, 1908, Sep Average, Canada, CAN
38.9, 1908, Oct Average, Canada, CAN
33.3, 1908, Nov Average, Canada, CAN
27.5, 1908, Dec Average, Canada, CAN
27.8, 1909, Jan Average, Canada, CAN
25.3, 1909, Feb Average, Canada, CAN
25.7, 1909, Mar Average, Canada, CAN
23.3, 1909, Apr Average, Canada, CAN
32.7, 1909, May Average, Canada, CAN
43.6, 1909, Jun Average, Canada, CAN
61.7, 1909, Jul Average, Canada, CAN
53.2, 1909, Aug Average, Canada, CAN
45.9, 1909, Sep Average, Canada, CAN
38.9, 1909, Oct Average, Canada, CAN
37.8, 1909, Nov Average, Canada, CAN
30.1, 1909, Dec Average, Canada, CAN
25.6, 1910, Jan Average, Canada, CAN
25.0, 1910, Feb Average, Canada, CAN
23.4, 1910, Mar Average, Canada, CAN
22.6, 1910, Apr Average, Canada, CAN
31.7, 1910, May Average, Canada, CAN
46.3, 1910, Jun Average, Canada, CAN
56.3, 1910, Jul Average, Canada, CAN
55.1, 1910, Aug Average, Canada, CAN
44.6, 1910, Sep Average, Canada, CAN
41.5, 1910, Oct Average, Canada, CAN
36.8, 1910, Nov Average, Canada, CAN
29.4, 1910, Dec Average, Canada, CAN
28.1, 1911, Jan Average, Canada, CAN
21.2, 1911, Feb Average, Canada, CAN
22.8, 1911, Mar Average, Canada, CAN
22.9, 1911, Apr Average, Canada, CAN
33.1, 1911, May Average, Canada, CAN
50.8, 1911, Jun Average, Canada, CAN
56.2, 1911, Jul Average, Canada, CAN
57.3, 1911, Aug Average, Canada, CAN
46.3, 1911, Sep Average, Canada, CAN
35.6, 1911, Oct Average, Canada, CAN
38.6, 1911, Nov Average, Canada, CAN
28.4, 1911, Dec Average, Canada, CAN
23.7, 1912, Jan Average, Canada, CAN
19.9, 1912, Feb Average, Canada, CAN
20.2, 1912, Mar Average, Canada, CAN
23.7, 1912, Apr Average, Canada, CAN
32.7, 1912, May Average, Canada, CAN
43.6, 1912, Jun Average, Canada, CAN
59.0, 1912, Jul Average, Canada, CAN
59.1, 1912, Aug Average, Canada, CAN
46.0, 1912, Sep Average, Canada, CAN
38.7, 1912, Oct Average, Canada, CAN
34.4, 1912, Nov Average, Canada, CAN
29.7, 1912, Dec Average, Canada, CAN
30.1, 1913, Jan Average, Canada, CAN
20.8, 1913, Feb Average, Canada, CAN
27.6, 1913, Mar Average, Canada, CAN
23.0, 1913, Apr Average, Canada, CAN
29.7, 1913, May Average, Canada, CAN
44.8, 1913, Jun Average, Canada, CAN
58.3, 1913, Jul Average, Canada, CAN
57.3, 1913, Aug Average, Canada, CAN
46.8, 1913, Sep Average, Canada, CAN
42.8, 1913, Oct Average, Canada, CAN
33.6, 1913, Nov Average, Canada, CAN
25.1, 1913, Dec Average, Canada, CAN
29.1, 1914, Jan Average, Canada, CAN
21.8, 1914, Feb Average, Canada, CAN
23.4, 1914, Mar Average, Canada, CAN
23.7, 1914, Apr Average, Canada, CAN
29.5, 1914, May Average, Canada, CAN
46.0, 1914, Jun Average, Canada, CAN
53.3, 1914, Jul Average, Canada, CAN
49.0, 1914, Aug Average, Canada, CAN
46.7, 1914, Sep Average, Canada, CAN
39.2, 1914, Oct Average, Canada, CAN
37.7, 1914, Nov Average, Canada, CAN
23.2, 1914, Dec Average, Canada, CAN
23.0, 1915, Jan Average, Canada, CAN
22.0, 1915, Feb Average, Canada, CAN
18.4, 1915, Mar Average, Canada, CAN
22.0, 1915, Apr Average, Canada, CAN
33.5, 1915, May Average, Canada, CAN
48.2, 1915, Jun Average, Canada, CAN
55.8, 1915, Jul Average, Canada, CAN
47.4, 1915, Aug Average, Canada, CAN
48.2, 1915, Sep Average, Canada, CAN
40.5, 1915, Oct Average, Canada, CAN
33.8, 1915, Nov Average, Canada, CAN
30.1, 1915, Dec Average, Canada, CAN
26.4, 1916, Jan Average, Canada, CAN
23.2, 1916, Feb Average, Canada, CAN
26.4, 1916, Mar Average, Canada, CAN
21.4, 1916, Apr Average, Canada, CAN
33.4, 1916, May Average, Canada, CAN
45.9, 1916, Jun Average, Canada, CAN
60.3, 1916, Jul Average, Canada, CAN
50.8, 1916, Aug Average, Canada, CAN
46.5, 1916, Sep Average, Canada, CAN
39.8, 1916, Oct Average, Canada, CAN
30.5, 1916, Nov Average, Canada, CAN
29.2, 1916, Dec Average, Canada, CAN
27.4, 1917, Jan Average, Canada, CAN
21.6, 1917, Feb Average, Canada, CAN
23.9, 1917, Mar Average, Canada, CAN
24.0, 1917, Apr Average, Canada, CAN
27.0, 1917, May Average, Canada, CAN
46.6, 1917, Jun Average, Canada, CAN
54.8, 1917, Jul Average, Canada, CAN
52.6, 1917, Aug Average, Canada, CAN
39.3, 1917, Sep Average, Canada, CAN
45.4, 1917, Oct Average, Canada, CAN
30.4, 1917, Nov Average, Canada, CAN
32.6, 1917, Dec Average, Canada, CAN
30.8, 1918, Jan Average, Canada, CAN
24.4, 1918, Feb Average, Canada, CAN
22.7, 1918, Mar Average, Canada, CAN
19.9, 1918, Apr Average, Canada, CAN
30.6, 1918, May Average, Canada, CAN
44.9, 1918, Jun Average, Canada, CAN
55.1, 1918, Jul Average, Canada, CAN
57.6, 1918, Aug Average, Canada, CAN
42.3, 1918, Sep Average, Canada, CAN
42.8, 1918, Oct Average, Canada, CAN
32.9, 1918, Nov Average, Canada, CAN
29.5, 1918, Dec Average, Canada, CAN
26.3, 1919, Jan Average, Canada, CAN
20.8, 1919, Feb Average, Canada, CAN
25.1, 1919, Mar Average, Canada, CAN
24.5, 1919, Apr Average, Canada, CAN
30.5, 1919, May Average, Canada, CAN
44.1, 1919, Jun Average, Canada, CAN
54.6, 1919, Jul Average, Canada, CAN
52.9, 1919, Aug Average, Canada, CAN
45.0, 1919, Sep Average, Canada, CAN
40.5, 1919, Oct Average, Canada, CAN
38.3, 1919, Nov Average, Canada, CAN
26.3, 1919, Dec Average, Canada, CAN
29.1, 1920, Jan Average, Canada, CAN
19.6, 1920, Feb Average, Canada, CAN
25.7, 1920, Mar Average, Canada, CAN
25.3, 1920, Apr Average, Canada, CAN
26.3, 1920, May Average, Canada, CAN
44.0, 1920, Jun Average, Canada, CAN
53.3, 1920, Jul Average, Canada, CAN
52.8, 1920, Aug Average, Canada, CAN
48.1, 1920, Sep Average, Canada, CAN
40.7, 1920, Oct Average, Canada, CAN
30.3, 1920, Nov Average, Canada, CAN
30.8, 1920, Dec Average, Canada, CAN
25.4, 1921, Jan Average, Canada, CAN
23.2, 1921, Feb Average, Canada, CAN
25.7, 1921, Mar Average, Canada, CAN
24.9, 1921, Apr Average, Canada, CAN
28.7, 1921, May Average, Canada, CAN
44.1, 1921, Jun Average, Canada, CAN
55.3, 1921, Jul Average, Canada, CAN
54.9, 1921, Aug Average, Canada, CAN
52.3, 1921, Sep Average, Canada, CAN
38.1, 1921, Oct Average, Canada, CAN
34.7, 1921, Nov Average, Canada, CAN
26.2, 1921, Dec Average, Canada, CAN
23.1, 1922, Jan Average, Canada, CAN
21.7, 1922, Feb Average, Canada, CAN
22.3, 1922, Mar Average, Canada, CAN
24.3, 1922, Apr Average, Canada, CAN
31.8, 1922, May Average, Canada, CAN
43.0, 1922, Jun Average, Canada, CAN
52.4, 1922, Jul Average, Canada, CAN
51.9, 1922, Aug Average, Canada, CAN
43.9, 1922, Sep Average, Canada, CAN
37.4, 1922, Oct Average, Canada, CAN
31.9, 1922, Nov Average, Canada, CAN
28.4, 1922, Dec Average, Canada, CAN
26.9, 1923, Jan Average, Canada, CAN
21.0, 1923, Feb Average, Canada, CAN
25.6, 1923, Mar Average, Canada, CAN
22.4, 1923, Apr Average, Canada, CAN
29.8, 1923, May Average, Canada, CAN
48.1, 1923, Jun Average, Canada, CAN
58.9, 1923, Jul Average, Canada, CAN
53.1, 1923, Aug Average, Canada, CAN
40.8, 1923, Sep Average, Canada, CAN
34.6, 1923, Oct Average, Canada, CAN
31.3, 1923, Nov Average, Canada, CAN
30.7, 1923, Dec Average, Canada, CAN
28.4, 1924, Jan Average, Canada, CAN
23.0, 1924, Feb Average, Canada, CAN
19.5, 1924, Mar Average, Canada, CAN
25.3, 1924, Apr Average, Canada, CAN
26.9, 1924, May Average, Canada, CAN
40.5, 1924, Jun Average, Canada, CAN
52.7, 1924, Jul Average, Canada, CAN
59.1, 1924, Aug Average, Canada, CAN
46.7, 1924, Sep Average, Canada, CAN
37.3, 1924, Oct Average, Canada, CAN
32.9, 1924, Nov Average, Canada, CAN
29.2, 1924, Dec Average, Canada, CAN
25.9, 1925, Jan Average, Canada, CAN
24.1, 1925, Feb Average, Canada, CAN
26.7, 1925, Mar Average, Canada, CAN
22.8, 1925, Apr Average, Canada, CAN
25.5, 1925, May Average, Canada, CAN
47.8, 1925, Jun Average, Canada, CAN
54.1, 1925, Jul Average, Canada, CAN
52.6, 1925, Aug Average, Canada, CAN
47.6, 1925, Sep Average, Canada, CAN
38.6, 1925, Oct Average, Canada, CAN
32.1, 1925, Nov Average, Canada, CAN
30.0, 1925, Dec Average, Canada, CAN
23.8, 1926, Jan Average, Canada, CAN
22.8, 1926, Feb Average, Canada, CAN
21.0, 1926, Mar Average, Canada, CAN
21.4, 1926, Apr Average, Canada, CAN
29.0, 1926, May Average, Canada, CAN
45.6, 1926, Jun Average, Canada, CAN
51.9, 1926, Jul Average, Canada, CAN
53.2, 1926, Aug Average, Canada, CAN
46.3, 1926, Sep Average, Canada, CAN
43.3, 1926, Oct Average, Canada, CAN
37.3, 1926, Nov Average, Canada, CAN
29.8, 1926, Dec Average, Canada, CAN
23.0, 1927, Jan Average, Canada, CAN
20.6, 1927, Feb Average, Canada, CAN
22.1, 1927, Mar Average, Canada, CAN
23.1, 1927, Apr Average, Canada, CAN
35.4, 1927, May Average, Canada, CAN
44.1, 1927, Jun Average, Canada, CAN
57.4, 1927, Jul Average, Canada, CAN
51.7, 1927, Aug Average, Canada, CAN
49.2, 1927, Sep Average, Canada, CAN
42.0, 1927, Oct Average, Canada, CAN
39.5, 1927, Nov Average, Canada, CAN
30.4, 1927, Dec Average, Canada, CAN
27.1, 1928, Jan Average, Canada, CAN
17.4, 1928, Feb Average, Canada, CAN
24.9, 1928, Mar Average, Canada, CAN
24.0, 1928, Apr Average, Canada, CAN
28.1, 1928, May Average, Canada, CAN
48.1, 1928, Jun Average, Canada, CAN
54.2, 1928, Jul Average, Canada, CAN
51.1, 1928, Aug Average, Canada, CAN
39.8, 1928, Sep Average, Canada, CAN
38.5, 1928, Oct Average, Canada, CAN
27.6, 1928, Nov Average, Canada, CAN
25.2, 1928, Dec Average, Canada, CAN
26.9, 1929, Jan Average, Canada, CAN
17.3, 1929, Feb Average, Canada, CAN
25.9, 1929, Mar Average, Canada, CAN
25.1, 1929, Apr Average, Canada, CAN
29.4, 1929, May Average, Canada, CAN
43.2, 1929, Jun Average, Canada, CAN
51.6, 1929, Jul Average, Canada, CAN
47.6, 1929, Aug Average, Canada, CAN
42.1, 1929, Sep Average, Canada, CAN
38.1, 1929, Oct Average, Canada, CAN
34.1, 1929, Nov Average, Canada, CAN
30.6, 1929, Dec Average, Canada, CAN
21.7, 1930, Jan Average, Canada, CAN
25.8, 1930, Feb Average, Canada, CAN
23.9, 1930, Mar Average, Canada, CAN
23.3, 1930, Apr Average, Canada, CAN
30.8, 1930, May Average, Canada, CAN
50.5, 1930, Jun Average, Canada, CAN
56.7, 1930, Jul Average, Canada, CAN
47.8, 1930, Aug Average, Canada, CAN
49.8, 1930, Sep Average, Canada, CAN
37.8, 1930, Oct Average, Canada, CAN
32.4, 1930, Nov Average, Canada, CAN
26.2, 1930, Dec Average, Canada, CAN
25.9, 1931, Jan Average, Canada, CAN
18.2, 1931, Feb Average, Canada, CAN
26.1, 1931, Mar Average, Canada, CAN
21.9, 1931, Apr Average, Canada, CAN
29.7, 1931, May Average, Canada, CAN
47.1, 1931, Jun Average, Canada, CAN
54.9, 1931, Jul Average, Canada, CAN
50.0, 1931, Aug Average, Canada, CAN
52.9, 1931, Sep Average, Canada, CAN
38.9, 1931, Oct Average, Canada, CAN
