Rainfall - (MM), Year, Statistics, Country, ISO3
11.0, 1901, Jan Average, China, CHN
8.5, 1901, Feb Average, China, CHN
20.5, 1901, Mar Average, China, CHN
45.5, 1901, Apr Average, China, CHN
55.0, 1901, May Average, China, CHN
83.9, 1901, Jun Average, China, CHN
117.3, 1901, Jul Average, China, CHN
90.2, 1901, Aug Average, China, CHN
49.9, 1901, Sep Average, China, CHN
32.4, 1901, Oct Average, China, CHN
13.4, 1901, Nov Average, China, CHN
7.6, 1901, Dec Average, China, CHN
8.3, 1902, Jan Average, China, CHN
9.2, 1902, Feb Average, China, CHN
21.9, 1902, Mar Average, China, CHN
36.9, 1902, Apr Average, China, CHN
68.7, 1902, May Average, China, CHN
78.0, 1902, Jun Average, China, CHN
101.1, 1902, Jul Average, China, CHN
85.0, 1902, Aug Average, China, CHN
51.5, 1902, Sep Average, China, CHN
31.3, 1902, Oct Average, China, CHN
16.2, 1902, Nov Average, China, CHN
16.6, 1902, Dec Average, China, CHN
10.3, 1903, Jan Average, China, CHN
14.8, 1903, Feb Average, China, CHN
30.9, 1903, Mar Average, China, CHN
39.2, 1903, Apr Average, China, CHN
65.2, 1903, May Average, China, CHN
90.5, 1903, Jun Average, China, CHN
105.4, 1903, Jul Average, China, CHN
111.9, 1903, Aug Average, China, CHN
65.8, 1903, Sep Average, China, CHN
32.2, 1903, Oct Average, China, CHN
13.9, 1903, Nov Average, China, CHN
5.8, 1903, Dec Average, China, CHN
7.0, 1904, Jan Average, China, CHN
10.6, 1904, Feb Average, China, CHN
28.9, 1904, Mar Average, China, CHN
52.4, 1904, Apr Average, China, CHN
57.4, 1904, May Average, China, CHN
80.1, 1904, Jun Average, China, CHN
103.3, 1904, Jul Average, China, CHN
100.2, 1904, Aug Average, China, CHN
63.0, 1904, Sep Average, China, CHN
37.9, 1904, Oct Average, China, CHN
13.4, 1904, Nov Average, China, CHN
9.5, 1904, Dec Average, China, CHN
12.5, 1905, Jan Average, China, CHN
13.7, 1905, Feb Average, China, CHN
36.2, 1905, Mar Average, China, CHN
42.0, 1905, Apr Average, China, CHN
58.0, 1905, May Average, China, CHN
85.1, 1905, Jun Average, China, CHN
102.8, 1905, Jul Average, China, CHN
96.6, 1905, Aug Average, China, CHN
67.5, 1905, Sep Average, China, CHN
34.1, 1905, Oct Average, China, CHN
14.5, 1905, Nov Average, China, CHN
16.8, 1905, Dec Average, China, CHN
12.6, 1906, Jan Average, China, CHN
21.4, 1906, Feb Average, China, CHN
26.0, 1906, Mar Average, China, CHN
42.6, 1906, Apr Average, China, CHN
63.2, 1906, May Average, China, CHN
85.1, 1906, Jun Average, China, CHN
108.1, 1906, Jul Average, China, CHN
96.0, 1906, Aug Average, China, CHN
60.3, 1906, Sep Average, China, CHN
29.7, 1906, Oct Average, China, CHN
13.0, 1906, Nov Average, China, CHN
7.9, 1906, Dec Average, China, CHN
14.5, 1907, Jan Average, China, CHN
12.6, 1907, Feb Average, China, CHN
22.6, 1907, Mar Average, China, CHN
41.6, 1907, Apr Average, China, CHN
62.7, 1907, May Average, China, CHN
80.7, 1907, Jun Average, China, CHN
102.9, 1907, Jul Average, China, CHN
98.1, 1907, Aug Average, China, CHN
66.2, 1907, Sep Average, China, CHN
53.2, 1907, Oct Average, China, CHN
21.2, 1907, Nov Average, China, CHN
9.5, 1907, Dec Average, China, CHN
15.5, 1908, Jan Average, China, CHN
15.6, 1908, Feb Average, China, CHN
19.1, 1908, Mar Average, China, CHN
45.2, 1908, Apr Average, China, CHN
50.2, 1908, May Average, China, CHN
92.0, 1908, Jun Average, China, CHN
111.8, 1908, Jul Average, China, CHN
88.7, 1908, Aug Average, China, CHN
70.5, 1908, Sep Average, China, CHN
36.5, 1908, Oct Average, China, CHN
21.8, 1908, Nov Average, China, CHN
10.9, 1908, Dec Average, China, CHN
12.8, 1909, Jan Average, China, CHN
12.7, 1909, Feb Average, China, CHN
25.2, 1909, Mar Average, China, CHN
36.6, 1909, Apr Average, China, CHN
55.4, 1909, May Average, China, CHN
106.0, 1909, Jun Average, China, CHN
105.8, 1909, Jul Average, China, CHN
92.0, 1909, Aug Average, China, CHN
62.3, 1909, Sep Average, China, CHN
46.4, 1909, Oct Average, China, CHN
17.1, 1909, Nov Average, China, CHN
7.1, 1909, Dec Average, China, CHN
13.7, 1910, Jan Average, China, CHN
12.5, 1910, Feb Average, China, CHN
22.7, 1910, Mar Average, China, CHN
40.1, 1910, Apr Average, China, CHN
50.1, 1910, May Average, China, CHN
96.3, 1910, Jun Average, China, CHN
110.4, 1910, Jul Average, China, CHN
101.2, 1910, Aug Average, China, CHN
57.1, 1910, Sep Average, China, CHN
33.3, 1910, Oct Average, China, CHN
20.6, 1910, Nov Average, China, CHN
8.2, 1910, Dec Average, China, CHN
10.8, 1911, Jan Average, China, CHN
12.3, 1911, Feb Average, China, CHN
33.1, 1911, Mar Average, China, CHN
40.0, 1911, Apr Average, China, CHN
69.9, 1911, May Average, China, CHN
98.3, 1911, Jun Average, China, CHN
113.9, 1911, Jul Average, China, CHN
114.2, 1911, Aug Average, China, CHN
63.4, 1911, Sep Average, China, CHN
37.9, 1911, Oct Average, China, CHN
24.9, 1911, Nov Average, China, CHN
11.5, 1911, Dec Average, China, CHN
12.9, 1912, Jan Average, China, CHN
17.6, 1912, Feb Average, China, CHN
31.1, 1912, Mar Average, China, CHN
37.2, 1912, Apr Average, China, CHN
59.9, 1912, May Average, China, CHN
96.3, 1912, Jun Average, China, CHN
100.4, 1912, Jul Average, China, CHN
93.5, 1912, Aug Average, China, CHN
54.6, 1912, Sep Average, China, CHN
28.0, 1912, Oct Average, China, CHN
18.6, 1912, Nov Average, China, CHN
13.6, 1912, Dec Average, China, CHN
