Rainfall - (MM), Year, Statistics, Country, ISO3
41.1, 1901, Jan Average, France, FRA
36.0, 1901, Feb Average, France, FRA
90.8, 1901, Mar Average, France, FRA
83.5, 1901, Apr Average, France, FRA
42.6, 1901, May Average, France, FRA
50.0, 1901, Jun Average, France, FRA
82.1, 1901, Jul Average, France, FRA
51.1, 1901, Aug Average, France, FRA
108.8, 1901, Sep Average, France, FRA
97.9, 1901, Oct Average, France, FRA
25.6, 1901, Nov Average, France, FRA
97.6, 1901, Dec Average, France, FRA
43.9, 1902, Jan Average, France, FRA
69.6, 1902, Feb Average, France, FRA
64.0, 1902, Mar Average, France, FRA
75.5, 1902, Apr Average, France, FRA
69.1, 1902, May Average, France, FRA
69.2, 1902, Jun Average, France, FRA
45.7, 1902, Jul Average, France, FRA
83.6, 1902, Aug Average, France, FRA
52.9, 1902, Sep Average, France, FRA
70.0, 1902, Oct Average, France, FRA
67.1, 1902, Nov Average, France, FRA
52.8, 1902, Dec Average, France, FRA
50.0, 1903, Jan Average, France, FRA
23.1, 1903, Feb Average, France, FRA
56.4, 1903, Mar Average, France, FRA
72.7, 1903, Apr Average, France, FRA
70.4, 1903, May Average, France, FRA
88.4, 1903, Jun Average, France, FRA
74.8, 1903, Jul Average, France, FRA
66.0, 1903, Aug Average, France, FRA
49.0, 1903, Sep Average, France, FRA
113.6, 1903, Oct Average, France, FRA
56.4, 1903, Nov Average, France, FRA
77.5, 1903, Dec Average, France, FRA
57.0, 1904, Jan Average, France, FRA
102.8, 1904, Feb Average, France, FRA
47.5, 1904, Mar Average, France, FRA
42.7, 1904, Apr Average, France, FRA
60.1, 1904, May Average, France, FRA
77.5, 1904, Jun Average, France, FRA
35.7, 1904, Jul Average, France, FRA
49.1, 1904, Aug Average, France, FRA
71.8, 1904, Sep Average, France, FRA
37.0, 1904, Oct Average, France, FRA
32.7, 1904, Nov Average, France, FRA
64.3, 1904, Dec Average, France, FRA
51.5, 1905, Jan Average, France, FRA
28.6, 1905, Feb Average, France, FRA
78.5, 1905, Mar Average, France, FRA
47.4, 1905, Apr Average, France, FRA
67.5, 1905, May Average, France, FRA
75.0, 1905, Jun Average, France, FRA
34.9, 1905, Jul Average, France, FRA
102.5, 1905, Aug Average, France, FRA
99.2, 1905, Sep Average, France, FRA
47.8, 1905, Oct Average, France, FRA
120.9, 1905, Nov Average, France, FRA
33.5, 1905, Dec Average, France, FRA
81.7, 1906, Jan Average, France, FRA
73.6, 1906, Feb Average, France, FRA
55.1, 1906, Mar Average, France, FRA
64.2, 1906, Apr Average, France, FRA
