Rainfall - (MM), Year, Statistics, Country, ISO3
77.0, 1901, Jan Average, United Kingdom, GBR
59.0, 1901, Feb Average, United Kingdom, GBR
81.8, 1901, Mar Average, United Kingdom, GBR
81.0, 1901, Apr Average, United Kingdom, GBR
43.6, 1901, May Average, United Kingdom, GBR
69.9, 1901, Jun Average, United Kingdom, GBR
72.3, 1901, Jul Average, United Kingdom, GBR
91.0, 1901, Aug Average, United Kingdom, GBR
68.0, 1901, Sep Average, United Kingdom, GBR
106.0, 1901, Oct Average, United Kingdom, GBR
102.8, 1901, Nov Average, United Kingdom, GBR
156.7, 1901, Dec Average, United Kingdom, GBR
72.9, 1902, Jan Average, United Kingdom, GBR
53.7, 1902, Feb Average, United Kingdom, GBR
75.4, 1902, Mar Average, United Kingdom, GBR
55.0, 1902, Apr Average, United Kingdom, GBR
84.3, 1902, May Average, United Kingdom, GBR
70.8, 1902, Jun Average, United Kingdom, GBR
75.0, 1902, Jul Average, United Kingdom, GBR
92.9, 1902, Aug Average, United Kingdom, GBR
70.0, 1902, Sep Average, United Kingdom, GBR
94.3, 1902, Oct Average, United Kingdom, GBR
83.4, 1902, Nov Average, United Kingdom, GBR
107.5, 1902, Dec Average, United Kingdom, GBR
143.3, 1903, Jan Average, United Kingdom, GBR
114.6, 1903, Feb Average, United Kingdom, GBR
151.6, 1903, Mar Average, United Kingdom, GBR
61.9, 1903, Apr Average, United Kingdom, GBR
82.6, 1903, May Average, United Kingdom, GBR
70.5, 1903, Jun Average, United Kingdom, GBR
116.0, 1903, Jul Average, United Kingdom, GBR
145.2, 1903, Aug Average, United Kingdom, GBR
108.6, 1903, Sep Average, United Kingdom, GBR
232.1, 1903, Oct Average, United Kingdom, GBR
93.7, 1903, Nov Average, United Kingdom, GBR
84.9, 1903, Dec Average, United Kingdom, GBR
111.6, 1904, Jan Average, United Kingdom, GBR
117.0, 1904, Feb Average, United Kingdom, GBR
64.8, 1904, Mar Average, United Kingdom, GBR
79.3, 1904, Apr Average, United Kingdom, GBR
80.7, 1904, May Average, United Kingdom, GBR
48.3, 1904, Jun Average, United Kingdom, GBR
76.7, 1904, Jul Average, United Kingdom, GBR
111.6, 1904, Aug Average, United Kingdom, GBR
77.3, 1904, Sep Average, United Kingdom, GBR
59.0, 1904, Oct Average, United Kingdom, GBR
79.9, 1904, Nov Average, United Kingdom, GBR
97.6, 1904, Dec Average, United Kingdom, GBR
60.7, 1905, Jan Average, United Kingdom, GBR
65.8, 1905, Feb Average, United Kingdom, GBR
129.9, 1905, Mar Average, United Kingdom, GBR
78.5, 1905, Apr Average, United Kingdom, GBR
38.3, 1905, May Average, United Kingdom, GBR
64.2, 1905, Jun Average, United Kingdom, GBR
57.8, 1905, Jul Average, United Kingdom, GBR
122.1, 1905, Aug Average, United Kingdom, GBR
76.2, 1905, Sep Average, United Kingdom, GBR
95.5, 1905, Oct Average, United Kingdom, GBR
143.5, 1905, Nov Average, United Kingdom, GBR
53.9, 1905, Dec Average, United Kingdom, GBR
149.1, 1906, Jan Average, United Kingdom, GBR
96.2, 1906, Feb Average, United Kingdom, GBR
80.1, 1906, Mar Average, United Kingdom, GBR
44.5, 1906, Apr Average, United Kingdom, GBR
106.7, 1906, May Average, United Kingdom, GBR
53.9, 1906, Jun Average, United Kingdom, GBR
55.2, 1906, Jul Average, United Kingdom, GBR
99.7, 1906, Aug Average, United Kingdom, GBR
43.5, 1906, Sep Average, United Kingdom, GBR
168.9, 1906, Oct Average, United Kingdom, GBR
140.0, 1906, Nov Average, United Kingdom, GBR
111.1, 1906, Dec Average, United Kingdom, GBR
63.9, 1907, Jan Average, United Kingdom, GBR
75.2, 1907, Feb Average, United Kingdom, GBR
77.3, 1907, Mar Average, United Kingdom, GBR
78.6, 1907, Apr Average, United Kingdom, GBR
105.0, 1907, May Average, United Kingdom, GBR
116.5, 1907, Jun Average, United Kingdom, GBR
74.8, 1907, Jul Average, United Kingdom, GBR
103.3, 1907, Aug Average, United Kingdom, GBR
32.4, 1907, Sep Average, United Kingdom, GBR
181.6, 1907, Oct Average, United Kingdom, GBR
95.8, 1907, Nov Average, United Kingdom, GBR
136.5, 1907, Dec Average, United Kingdom, GBR
88.9, 1908, Jan Average, United Kingdom, GBR
83.6, 1908, Feb Average, United Kingdom, GBR
128.7, 1908, Mar Average, United Kingdom, GBR
79.1, 1908, Apr Average, United Kingdom, GBR
68.1, 1908, May Average, United Kingdom, GBR
54.8, 1908, Jun Average, United Kingdom, GBR
87.4, 1908, Jul Average, United Kingdom, GBR
101.8, 1908, Aug Average, United Kingdom, GBR
115.5, 1908, Sep Average, United Kingdom, GBR
61.0, 1908, Oct Average, United Kingdom, GBR
76.7, 1908, Nov Average, United Kingdom, GBR
101.5, 1908, Dec Average, United Kingdom, GBR
86.2, 1909, Jan Average, United Kingdom, GBR
48.1, 1909, Feb Average, United Kingdom, GBR
124.8, 1909, Mar Average, United Kingdom, GBR
87.4, 1909, Apr Average, United Kingdom, GBR
60.1, 1909, May Average, United Kingdom, GBR
79.1, 1909, Jun Average, United Kingdom, GBR
108.3, 1909, Jul Average, United Kingdom, GBR
85.9, 1909, Aug Average, United Kingdom, GBR
79.7, 1909, Sep Average, United Kingdom, GBR
167.5, 1909, Oct Average, United Kingdom, GBR
58.7, 1909, Nov Average, United Kingdom, GBR
155.9, 1909, Dec Average, United Kingdom, GBR
119.7, 1910, Jan Average, United Kingdom, GBR
125.8, 1910, Feb Average, United Kingdom, GBR
49.5, 1910, Mar Average, United Kingdom, GBR
94.5, 1910, Apr Average, United Kingdom, GBR
69.8, 1910, May Average, United Kingdom, GBR
68.3, 1910, Jun Average, United Kingdom, GBR
97.2, 1910, Jul Average, United Kingdom, GBR
138.4, 1910, Aug Average, United Kingdom, GBR
28.2, 1910, Sep Average, United Kingdom, GBR
97.0, 1910, Oct Average, United Kingdom, GBR
149.9, 1910, Nov Average, United Kingdom, GBR
141.4, 1910, Dec Average, United Kingdom, GBR
58.0, 1911, Jan Average, United Kingdom, GBR
105.5, 1911, Feb Average, United Kingdom, GBR
63.5, 1911, Mar Average, United Kingdom, GBR
68.8, 1911, Apr Average, United Kingdom, GBR
52.2, 1911, May Average, United Kingdom, GBR
82.3, 1911, Jun Average, United Kingdom, GBR
45.4, 1911, Jul Average, United Kingdom, GBR
67.1, 1911, Aug Average, United Kingdom, GBR
71.8, 1911, Sep Average, United Kingdom, GBR
106.2, 1911, Oct Average, United Kingdom, GBR
151.7, 1911, Nov Average, United Kingdom, GBR
194.4, 1911, Dec Average, United Kingdom, GBR
121.2, 1912, Jan Average, United Kingdom, GBR
85.3, 1912, Feb Average, United Kingdom, GBR
128.4, 1912, Mar Average, United Kingdom, GBR
31.6, 1912, Apr Average, United Kingdom, GBR
62.7, 1912, May Average, United Kingdom, GBR
127.3, 1912, Jun Average, United Kingdom, GBR
93.5, 1912, Jul Average, United Kingdom, GBR
167.3, 1912, Aug Average, United Kingdom, GBR
61.5, 1912, Sep Average, United Kingdom, GBR
123.6, 1912, Oct Average, United Kingdom, GBR
109.0, 1912, Nov Average, United Kingdom, GBR
152.3, 1912, Dec Average, United Kingdom, GBR
131.4, 1913, Jan Average, United Kingdom, GBR
55.1, 1913, Feb Average, United Kingdom, GBR
139.2, 1913, Mar Average, United Kingdom, GBR
99.4, 1913, Apr Average, United Kingdom, GBR
83.2, 1913, May Average, United Kingdom, GBR
60.2, 1913, Jun Average, United Kingdom, GBR
32.2, 1913, Jul Average, United Kingdom, GBR
46.3, 1913, Aug Average, United Kingdom, GBR
83.2, 1913, Sep Average, United Kingdom, GBR
105.3, 1913, Oct Average, United Kingdom, GBR
119.0, 1913, Nov Average, United Kingdom, GBR
90.7, 1913, Dec Average, United Kingdom, GBR
83.2, 1914, Jan Average, United Kingdom, GBR
108.5, 1914, Feb Average, United Kingdom, GBR
135.0, 1914, Mar Average, United Kingdom, GBR
51.9, 1914, Apr Average, United Kingdom, GBR
61.7, 1914, May Average, United Kingdom, GBR
55.0, 1914, Jun Average, United Kingdom, GBR
99.0, 1914, Jul Average, United Kingdom, GBR
82.7, 1914, Aug Average, United Kingdom, GBR
61.8, 1914, Sep Average, United Kingdom, GBR
71.0, 1914, Oct Average, United Kingdom, GBR
146.9, 1914, Nov Average, United Kingdom, GBR
212.8, 1914, Dec Average, United Kingdom, GBR
126.9, 1915, Jan Average, United Kingdom, GBR
142.3, 1915, Feb Average, United Kingdom, GBR
61.9, 1915, Mar Average, United Kingdom, GBR
62.3, 1915, Apr Average, United Kingdom, GBR
56.9, 1915, May Average, United Kingdom, GBR
40.2, 1915, Jun Average, United Kingdom, GBR
130.0, 1915, Jul Average, United Kingdom, GBR
84.1, 1915, Aug Average, United Kingdom, GBR
68.2, 1915, Sep Average, United Kingdom, GBR
81.8, 1915, Oct Average, United Kingdom, GBR
89.3, 1915, Nov Average, United Kingdom, GBR
211.1, 1915, Dec Average, United Kingdom, GBR
105.5, 1916, Jan Average, United Kingdom, GBR
149.6, 1916, Feb Average, United Kingdom, GBR
105.3, 1916, Mar Average, United Kingdom, GBR
70.1, 1916, Apr Average, United Kingdom, GBR
98.3, 1916, May Average, United Kingdom, GBR
84.1, 1916, Jun Average, United Kingdom, GBR
76.6, 1916, Jul Average, United Kingdom, GBR
95.1, 1916, Aug Average, United Kingdom, GBR
57.9, 1916, Sep Average, United Kingdom, GBR
180.5, 1916, Oct Average, United Kingdom, GBR
134.7, 1916, Nov Average, United Kingdom, GBR
123.8, 1916, Dec Average, United Kingdom, GBR
85.2, 1917, Jan Average, United Kingdom, GBR
39.3, 1917, Feb Average, United Kingdom, GBR
82.6, 1917, Mar Average, United Kingdom, GBR
64.1, 1917, Apr Average, United Kingdom, GBR
73.5, 1917, May Average, United Kingdom, GBR
74.2, 1917, Jun Average, United Kingdom, GBR
63.3, 1917, Jul Average, United Kingdom, GBR
165.1, 1917, Aug Average, United Kingdom, GBR
73.2, 1917, Sep Average, United Kingdom, GBR
174.8, 1917, Oct Average, United Kingdom, GBR
125.8, 1917, Nov Average, United Kingdom, GBR
69.5, 1917, Dec Average, United Kingdom, GBR
115.2, 1918, Jan Average, United Kingdom, GBR
108.0, 1918, Feb Average, United Kingdom, GBR
46.3, 1918, Mar Average, United Kingdom, GBR
52.2, 1918, Apr Average, United Kingdom, GBR
72.1, 1918, May Average, United Kingdom, GBR
44.2, 1918, Jun Average, United Kingdom, GBR
129.0, 1918, Jul Average, United Kingdom, GBR
85.0, 1918, Aug Average, United Kingdom, GBR
198.8, 1918, Sep Average, United Kingdom, GBR
108.3, 1918, Oct Average, United Kingdom, GBR
93.6, 1918, Nov Average, United Kingdom, GBR
145.7, 1918, Dec Average, United Kingdom, GBR
136.6, 1919, Jan Average, United Kingdom, GBR
68.2, 1919, Feb Average, United Kingdom, GBR
128.3, 1919, Mar Average, United Kingdom, GBR
83.8, 1919, Apr Average, United Kingdom, GBR
31.5, 1919, May Average, United Kingdom, GBR
65.8, 1919, Jun Average, United Kingdom, GBR
51.9, 1919, Jul Average, United Kingdom, GBR
90.6, 1919, Aug Average, United Kingdom, GBR
83.8, 1919, Sep Average, United Kingdom, GBR
86.1, 1919, Oct Average, United Kingdom, GBR
118.5, 1919, Nov Average, United Kingdom, GBR
177.5, 1919, Dec Average, United Kingdom, GBR
143.7, 1920, Jan Average, United Kingdom, GBR
97.0, 1920, Feb Average, United Kingdom, GBR
115.7, 1920, Mar Average, United Kingdom, GBR
106.4, 1920, Apr Average, United Kingdom, GBR
99.8, 1920, May Average, United Kingdom, GBR
66.7, 1920, Jun Average, United Kingdom, GBR
127.4, 1920, Jul Average, United Kingdom, GBR
76.4, 1920, Aug Average, United Kingdom, GBR
80.9, 1920, Sep Average, United Kingdom, GBR
83.5, 1920, Oct Average, United Kingdom, GBR
85.4, 1920, Nov Average, United Kingdom, GBR
115.1, 1920, Dec Average, United Kingdom, GBR
155.0, 1921, Jan Average, United Kingdom, GBR
25.1, 1921, Feb Average, United Kingdom, GBR
104.1, 1921, Mar Average, United Kingdom, GBR
38.3, 1921, Apr Average, United Kingdom, GBR
64.4, 1921, May Average, United Kingdom, GBR
19.3, 1921, Jun Average, United Kingdom, GBR
58.3, 1921, Jul Average, United Kingdom, GBR
113.6, 1921, Aug Average, United Kingdom, GBR
58.6, 1921, Sep Average, United Kingdom, GBR
89.5, 1921, Oct Average, United Kingdom, GBR
80.4, 1921, Nov Average, United Kingdom, GBR
129.2, 1921, Dec Average, United Kingdom, GBR
136.5, 1922, Jan Average, United Kingdom, GBR
117.6, 1922, Feb Average, United Kingdom, GBR
77.0, 1922, Mar Average, United Kingdom, GBR
90.6, 1922, Apr Average, United Kingdom, GBR
60.0, 1922, May Average, United Kingdom, GBR
54.1, 1922, Jun Average, United Kingdom, GBR
122.0, 1922, Jul Average, United Kingdom, GBR
104.7, 1922, Aug Average, United Kingdom, GBR
89.8, 1922, Sep Average, United Kingdom, GBR
50.0, 1922, Oct Average, United Kingdom, GBR
68.0, 1922, Nov Average, United Kingdom, GBR
134.0, 1922, Dec Average, United Kingdom, GBR
103.3, 1923, Jan Average, United Kingdom, GBR
164.9, 1923, Feb Average, United Kingdom, GBR
55.0, 1923, Mar Average, United Kingdom, GBR
80.7, 1923, Apr Average, United Kingdom, GBR
84.4, 1923, May Average, United Kingdom, GBR
33.6, 1923, Jun Average, United Kingdom, GBR
97.1, 1923, Jul Average, United Kingdom, GBR
134.3, 1923, Aug Average, United Kingdom, GBR
