Rainfall - (MM), Year, Statistics, Country, ISO3
278.7, 1901, Jan Average, Indonesia, IDN
248.8, 1901, Feb Average, Indonesia, IDN
280.7, 1901, Mar Average, Indonesia, IDN
268.0, 1901, Apr Average, Indonesia, IDN
234.2, 1901, May Average, Indonesia, IDN
206.6, 1901, Jun Average, Indonesia, IDN
186.9, 1901, Jul Average, Indonesia, IDN
158.5, 1901, Aug Average, Indonesia, IDN
166.6, 1901, Sep Average, Indonesia, IDN
209.8, 1901, Oct Average, Indonesia, IDN
261.5, 1901, Nov Average, Indonesia, IDN
279.4, 1901, Dec Average, Indonesia, IDN
277.4, 1902, Jan Average, Indonesia, IDN
266.0, 1902, Feb Average, Indonesia, IDN
275.9, 1902, Mar Average, Indonesia, IDN
255.4, 1902, Apr Average, Indonesia, IDN
237.5, 1902, May Average, Indonesia, IDN
168.5, 1902, Jun Average, Indonesia, IDN
143.7, 1902, Jul Average, Indonesia, IDN
168.0, 1902, Aug Average, Indonesia, IDN
148.3, 1902, Sep Average, Indonesia, IDN
179.5, 1902, Oct Average, Indonesia, IDN
224.5, 1902, Nov Average, Indonesia, IDN
276.4, 1902, Dec Average, Indonesia, IDN
287.8, 1903, Jan Average, Indonesia, IDN
266.6, 1903, Feb Average, Indonesia, IDN
291.5, 1903, Mar Average, Indonesia, IDN
267.1, 1903, Apr Average, Indonesia, IDN
247.2, 1903, May Average, Indonesia, IDN
191.7, 1903, Jun Average, Indonesia, IDN
185.9, 1903, Jul Average, Indonesia, IDN
189.1, 1903, Aug Average, Indonesia, IDN
180.8, 1903, Sep Average, Indonesia, IDN
208.7, 1903, Oct Average, Indonesia, IDN
253.3, 1903, Nov Average, Indonesia, IDN
294.0, 1903, Dec Average, Indonesia, IDN
292.8, 1904, Jan Average, Indonesia, IDN
242.1, 1904, Feb Average, Indonesia, IDN
268.5, 1904, Mar Average, Indonesia, IDN
275.3, 1904, Apr Average, Indonesia, IDN
242.3, 1904, May Average, Indonesia, IDN
190.2, 1904, Jun Average, Indonesia, IDN
187.1, 1904, Jul Average, Indonesia, IDN
164.5, 1904, Aug Average, Indonesia, IDN
186.4, 1904, Sep Average, Indonesia, IDN
241.1, 1904, Oct Average, Indonesia, IDN
252.3, 1904, Nov Average, Indonesia, IDN
303.4, 1904, Dec Average, Indonesia, IDN
288.6, 1905, Jan Average, Indonesia, IDN
269.0, 1905, Feb Average, Indonesia, IDN
281.5, 1905, Mar Average, Indonesia, IDN
284.6, 1905, Apr Average, Indonesia, IDN
263.5, 1905, May Average, Indonesia, IDN
174.1, 1905, Jun Average, Indonesia, IDN
162.9, 1905, Jul Average, Indonesia, IDN
161.7, 1905, Aug Average, Indonesia, IDN
175.1, 1905, Sep Average, Indonesia, IDN
207.1, 1905, Oct Average, Indonesia, IDN
250.7, 1905, Nov Average, Indonesia, IDN
246.5, 1905, Dec Average, Indonesia, IDN
317.2, 1906, Jan Average, Indonesia, IDN
234.6, 1906, Feb Average, Indonesia, IDN
288.6, 1906, Mar Average, Indonesia, IDN
276.5, 1906, Apr Average, Indonesia, IDN
239.3, 1906, May Average, Indonesia, IDN
215.9, 1906, Jun Average, Indonesia, IDN
171.8, 1906, Jul Average, Indonesia, IDN
211.2, 1906, Aug Average, Indonesia, IDN
185.1, 1906, Sep Average, Indonesia, IDN
234.7, 1906, Oct Average, Indonesia, IDN
250.7, 1906, Nov Average, Indonesia, IDN
310.2, 1906, Dec Average, Indonesia, IDN
262.2, 1907, Jan Average, Indonesia, IDN
261.1, 1907, Feb Average, Indonesia, IDN
287.6, 1907, Mar Average, Indonesia, IDN
256.5, 1907, Apr Average, Indonesia, IDN
243.6, 1907, May Average, Indonesia, IDN
200.2, 1907, Jun Average, Indonesia, IDN
184.6, 1907, Jul Average, Indonesia, IDN
156.0, 1907, Aug Average, Indonesia, IDN
180.7, 1907, Sep Average, Indonesia, IDN
210.6, 1907, Oct Average, Indonesia, IDN
264.5, 1907, Nov Average, Indonesia, IDN
307.1, 1907, Dec Average, Indonesia, IDN
264.5, 1908, Jan Average, Indonesia, IDN
257.2, 1908, Feb Average, Indonesia, IDN
260.8, 1908, Mar Average, Indonesia, IDN
