Rainfall - (MM), Year, Statistics, Country, ISO3
27.7, 1901, Jan Average, India, IND
20.8, 1901, Feb Average, India, IND
20.6, 1901, Mar Average, India, IND
24.7, 1901, Apr Average, India, IND
52.9, 1901, May Average, India, IND
107.1, 1901, Jun Average, India, IND
229.5, 1901, Jul Average, India, IND
244.5, 1901, Aug Average, India, IND
117.4, 1901, Sep Average, India, IND
56.0, 1901, Oct Average, India, IND
37.8, 1901, Nov Average, India, IND
9.2, 1901, Dec Average, India, IND
6.7, 1902, Jan Average, India, IND
3.4, 1902, Feb Average, India, IND
14.6, 1902, Mar Average, India, IND
34.2, 1902, Apr Average, India, IND
45.8, 1902, May Average, India, IND
125.3, 1902, Jun Average, India, IND
248.6, 1902, Jul Average, India, IND
202.7, 1902, Aug Average, India, IND
203.1, 1902, Sep Average, India, IND
64.4, 1902, Oct Average, India, IND
25.4, 1902, Nov Average, India, IND
19.3, 1902, Dec Average, India, IND
9.9, 1903, Jan Average, India, IND
7.0, 1903, Feb Average, India, IND
11.8, 1903, Mar Average, India, IND
14.1, 1903, Apr Average, India, IND
56.6, 1903, May Average, India, IND
149.6, 1903, Jun Average, India, IND
276.1, 1903, Jul Average, India, IND
258.7, 1903, Aug Average, India, IND
182.3, 1903, Sep Average, India, IND
90.6, 1903, Oct Average, India, IND
38.7, 1903, Nov Average, India, IND
15.7, 1903, Dec Average, India, IND
8.9, 1904, Jan Average, India, IND
8.0, 1904, Feb Average, India, IND
23.9, 1904, Mar Average, India, IND
24.3, 1904, Apr Average, India, IND
67.1, 1904, May Average, India, IND
139.5, 1904, Jun Average, India, IND
242.6, 1904, Jul Average, India, IND
213.1, 1904, Aug Average, India, IND
125.1, 1904, Sep Average, India, IND
63.3, 1904, Oct Average, India, IND
9.2, 1904, Nov Average, India, IND
9.1, 1904, Dec Average, India, IND
16.2, 1905, Jan Average, India, IND
16.2, 1905, Feb Average, India, IND
24.0, 1905, Mar Average, India, IND
32.2, 1905, Apr Average, India, IND
48.4, 1905, May Average, India, IND
80.3, 1905, Jun Average, India, IND
232.9, 1905, Jul Average, India, IND
211.4, 1905, Aug Average, India, IND
186.9, 1905, Sep Average, India, IND
49.8, 1905, Oct Average, India, IND
9.8, 1905, Nov Average, India, IND
5.0, 1905, Dec Average, India, IND
11.0, 1906, Jan Average, India, IND
32.6, 1906, Feb Average, India, IND
23.0, 1906, Mar Average, India, IND
12.6, 1906, Apr Average, India, IND
35.5, 1906, May Average, India, IND
191.7, 1906, Jun Average, India, IND
262.0, 1906, Jul Average, India, IND
249.5, 1906, Aug Average, India, IND
153.0, 1906, Sep Average, India, IND
51.4, 1906, Oct Average, India, IND
18.1, 1906, Nov Average, India, IND
18.8, 1906, Dec Average, India, IND
9.1, 1907, Jan Average, India, IND
30.3, 1907, Feb Average, India, IND
29.1, 1907, Mar Average, India, IND
55.1, 1907, Apr Average, India, IND
32.0, 1907, May Average, India, IND
166.6, 1907, Jun Average, India, IND
211.6, 1907, Jul Average, India, IND
274.8, 1907, Aug Average, India, IND
95.3, 1907, Sep Average, India, IND
21.2, 1907, Oct Average, India, IND
22.4, 1907, Nov Average, India, IND
9.2, 1907, Dec Average, India, IND
15.4, 1908, Jan Average, India, IND
15.6, 1908, Feb Average, India, IND
8.9, 1908, Mar Average, India, IND
22.2, 1908, Apr Average, India, IND
43.9, 1908, May Average, India, IND
155.9, 1908, Jun Average, India, IND
287.4, 1908, Jul Average, India, IND
311.4, 1908, Aug Average, India, IND
158.7, 1908, Sep Average, India, IND
36.3, 1908, Oct Average, India, IND
5.1, 1908, Nov Average, India, IND
3.7, 1908, Dec Average, India, IND
15.6, 1909, Jan Average, India, IND
10.2, 1909, Feb Average, India, IND
4.5, 1909, Mar Average, India, IND
58.2, 1909, Apr Average, India, IND
50.7, 1909, May Average, India, IND
217.3, 1909, Jun Average, India, IND
298.5, 1909, Jul Average, India, IND
223.7, 1909, Aug Average, India, IND
153.2, 1909, Sep Average, India, IND
34.1, 1909, Oct Average, India, IND
9.0, 1909, Nov Average, India, IND
19.3, 1909, Dec Average, India, IND
10.3, 1910, Jan Average, India, IND
9.3, 1910, Feb Average, India, IND
10.7, 1910, Mar Average, India, IND
24.6, 1910, Apr Average, India, IND
39.1, 1910, May Average, India, IND
207.2, 1910, Jun Average, India, IND
271.7, 1910, Jul Average, India, IND
274.0, 1910, Aug Average, India, IND
181.5, 1910, Sep Average, India, IND
91.7, 1910, Oct Average, India, IND
37.7, 1910, Nov Average, India, IND
2.8, 1910, Dec Average, India, IND
18.4, 1911, Jan Average, India, IND
3.3, 1911, Feb Average, India, IND
27.6, 1911, Mar Average, India, IND
22.3, 1911, Apr Average, India, IND
49.4, 1911, May Average, India, IND
192.6, 1911, Jun Average, India, IND
164.9, 1911, Jul Average, India, IND
213.7, 1911, Aug Average, India, IND
168.1, 1911, Sep Average, India, IND
64.2, 1911, Oct Average, India, IND
37.6, 1911, Nov Average, India, IND
10.7, 1911, Dec Average, India, IND
10.8, 1912, Jan Average, India, IND
16.1, 1912, Feb Average, India, IND
14.2, 1912, Mar Average, India, IND
30.9, 1912, Apr Average, India, IND
41.3, 1912, May Average, India, IND
111.5, 1912, Jun Average, India, IND
