Rainfall - (MM), Year, Statistics, Country, ISO3
98.7, 1901, Jan Average, Philippines, PHL
102.4, 1901, Feb Average, Philippines, PHL
94.0, 1901, Mar Average, Philippines, PHL
82.5, 1901, Apr Average, Philippines, PHL
161.3, 1901, May Average, Philippines, PHL
216.1, 1901, Jun Average, Philippines, PHL
259.7, 1901, Jul Average, Philippines, PHL
291.6, 1901, Aug Average, Philippines, PHL
218.0, 1901, Sep Average, Philippines, PHL
368.9, 1901, Oct Average, Philippines, PHL
355.6, 1901, Nov Average, Philippines, PHL
199.5, 1901, Dec Average, Philippines, PHL
200.9, 1902, Jan Average, Philippines, PHL
71.1, 1902, Feb Average, Philippines, PHL
83.5, 1902, Mar Average, Philippines, PHL
103.8, 1902, Apr Average, Philippines, PHL
171.4, 1902, May Average, Philippines, PHL
240.8, 1902, Jun Average, Philippines, PHL
369.7, 1902, Jul Average, Philippines, PHL
337.1, 1902, Aug Average, Philippines, PHL
303.7, 1902, Sep Average, Philippines, PHL
172.8, 1902, Oct Average, Philippines, PHL
157.8, 1902, Nov Average, Philippines, PHL
145.0, 1902, Dec Average, Philippines, PHL
104.7, 1903, Jan Average, Philippines, PHL
76.0, 1903, Feb Average, Philippines, PHL
29.1, 1903, Mar Average, Philippines, PHL
65.4, 1903, Apr Average, Philippines, PHL
159.8, 1903, May Average, Philippines, PHL
215.2, 1903, Jun Average, Philippines, PHL
294.1, 1903, Jul Average, Philippines, PHL
188.6, 1903, Aug Average, Philippines, PHL
230.5, 1903, Sep Average, Philippines, PHL
323.0, 1903, Oct Average, Philippines, PHL
266.3, 1903, Nov Average, Philippines, PHL
244.1, 1903, Dec Average, Philippines, PHL
213.4, 1904, Jan Average, Philippines, PHL
148.1, 1904, Feb Average, Philippines, PHL
74.4, 1904, Mar Average, Philippines, PHL
167.7, 1904, Apr Average, Philippines, PHL
176.6, 1904, May Average, Philippines, PHL
315.7, 1904, Jun Average, Philippines, PHL
323.2, 1904, Jul Average, Philippines, PHL
316.5, 1904, Aug Average, Philippines, PHL
237.8, 1904, Sep Average, Philippines, PHL
274.6, 1904, Oct Average, Philippines, PHL
245.4, 1904, Nov Average, Philippines, PHL
100.5, 1904, Dec Average, Philippines, PHL
43.4, 1905, Jan Average, Philippines, PHL
42.9, 1905, Feb Average, Philippines, PHL
70.0, 1905, Mar Average, Philippines, PHL
70.2, 1905, Apr Average, Philippines, PHL
154.7, 1905, May Average, Philippines, PHL
259.2, 1905, Jun Average, Philippines, PHL
365.8, 1905, Jul Average, Philippines, PHL
302.2, 1905, Aug Average, Philippines, PHL
318.5, 1905, Sep Average, Philippines, PHL
213.0, 1905, Oct Average, Philippines, PHL
119.2, 1905, Nov Average, Philippines, PHL
137.7, 1905, Dec Average, Philippines, PHL
121.8, 1906, Jan Average, Philippines, PHL
50.1, 1906, Feb Average, Philippines, PHL
87.5, 1906, Mar Average, Philippines, PHL
82.3, 1906, Apr Average, Philippines, PHL
292.4, 1906, May Average, Philippines, PHL
253.1, 1906, Jun Average, Philippines, PHL
221.8, 1906, Jul Average, Philippines, PHL
304.9, 1906, Aug Average, Philippines, PHL
376.2, 1906, Sep Average, Philippines, PHL
299.2, 1906, Oct Average, Philippines, PHL
339.8, 1906, Nov Average, Philippines, PHL
142.6, 1906, Dec Average, Philippines, PHL
147.6, 1907, Jan Average, Philippines, PHL
140.4, 1907, Feb Average, Philippines, PHL
90.2, 1907, Mar Average, Philippines, PHL
74.6, 1907, Apr Average, Philippines, PHL
117.0, 1907, May Average, Philippines, PHL
197.0, 1907, Jun Average, Philippines, PHL
308.6, 1907, Jul Average, Philippines, PHL
318.5, 1907, Aug Average, Philippines, PHL
241.1, 1907, Sep Average, Philippines, PHL
