Rainfall - (MM), Year, Statistics, Country, ISO3
56.2, 1901, Jan Average, Turkey, TUR
43.8, 1901, Feb Average, Turkey, TUR
44.3, 1901, Mar Average, Turkey, TUR
39.9, 1901, Apr Average, Turkey, TUR
76.1, 1901, May Average, Turkey, TUR
50.5, 1901, Jun Average, Turkey, TUR
14.3, 1901, Jul Average, Turkey, TUR
11.9, 1901, Aug Average, Turkey, TUR
23.6, 1901, Sep Average, Turkey, TUR
43.6, 1901, Oct Average, Turkey, TUR
72.1, 1901, Nov Average, Turkey, TUR
67.0, 1901, Dec Average, Turkey, TUR
72.7, 1902, Jan Average, Turkey, TUR
53.0, 1902, Feb Average, Turkey, TUR
56.5, 1902, Mar Average, Turkey, TUR
55.0, 1902, Apr Average, Turkey, TUR
54.4, 1902, May Average, Turkey, TUR
22.3, 1902, Jun Average, Turkey, TUR
18.1, 1902, Jul Average, Turkey, TUR
9.7, 1902, Aug Average, Turkey, TUR
14.4, 1902, Sep Average, Turkey, TUR
46.3, 1902, Oct Average, Turkey, TUR
83.8, 1902, Nov Average, Turkey, TUR
83.1, 1902, Dec Average, Turkey, TUR
61.4, 1903, Jan Average, Turkey, TUR
61.6, 1903, Feb Average, Turkey, TUR
47.3, 1903, Mar Average, Turkey, TUR
47.0, 1903, Apr Average, Turkey, TUR
51.9, 1903, May Average, Turkey, TUR
35.3, 1903, Jun Average, Turkey, TUR
17.0, 1903, Jul Average, Turkey, TUR
16.3, 1903, Aug Average, Turkey, TUR
15.3, 1903, Sep Average, Turkey, TUR
33.1, 1903, Oct Average, Turkey, TUR
54.9, 1903, Nov Average, Turkey, TUR
72.1, 1903, Dec Average, Turkey, TUR
62.8, 1904, Jan Average, Turkey, TUR
50.2, 1904, Feb Average, Turkey, TUR
74.0, 1904, Mar Average, Turkey, TUR
57.5, 1904, Apr Average, Turkey, TUR
73.6, 1904, May Average, Turkey, TUR
33.7, 1904, Jun Average, Turkey, TUR
14.0, 1904, Jul Average, Turkey, TUR
9.3, 1904, Aug Average, Turkey, TUR
24.0, 1904, Sep Average, Turkey, TUR
42.1, 1904, Oct Average, Turkey, TUR
86.6, 1904, Nov Average, Turkey, TUR
87.1, 1904, Dec Average, Turkey, TUR
77.7, 1905, Jan Average, Turkey, TUR
54.4, 1905, Feb Average, Turkey, TUR
59.7, 1905, Mar Average, Turkey, TUR
54.9, 1905, Apr Average, Turkey, TUR
43.0, 1905, May Average, Turkey, TUR
30.0, 1905, Jun Average, Turkey, TUR
11.1, 1905, Jul Average, Turkey, TUR
10.6, 1905, Aug Average, Turkey, TUR
13.2, 1905, Sep Average, Turkey, TUR
48.9, 1905, Oct Average, Turkey, TUR
50.5, 1905, Nov Average, Turkey, TUR
62.4, 1905, Dec Average, Turkey, TUR
67.3, 1906, Jan Average, Turkey, TUR
65.9, 1906, Feb Average, Turkey, TUR
59.2, 1906, Mar Average, Turkey, TUR
53.8, 1906, Apr Average, Turkey, TUR
67.5, 1906, May Average, Turkey, TUR
32.3, 1906, Jun Average, Turkey, TUR
17.0, 1906, Jul Average, Turkey, TUR
11.8, 1906, Aug Average, Turkey, TUR
15.6, 1906, Sep Average, Turkey, TUR
46.3, 1906, Oct Average, Turkey, TUR
62.3, 1906, Nov Average, Turkey, TUR
96.9, 1906, Dec Average, Turkey, TUR
70.4, 1907, Jan Average, Turkey, TUR
60.7, 1907, Feb Average, Turkey, TUR
74.7, 1907, Mar Average, Turkey, TUR
61.4, 1907, Apr Average, Turkey, TUR
41.4, 1907, May Average, Turkey, TUR
30.0, 1907, Jun Average, Turkey, TUR
16.3, 1907, Jul Average, Turkey, TUR
11.9, 1907, Aug Average, Turkey, TUR
19.3, 1907, Sep Average, Turkey, TUR
33.4, 1907, Oct Average, Turkey, TUR
63.0, 1907, Nov Average, Turkey, TUR
76.3, 1907, Dec Average, Turkey, TUR
64.3, 1908, Jan Average, Turkey, TUR
55.8, 1908, Feb Average, Turkey, TUR
69.1, 1908, Mar Average, Turkey, TUR
55.8, 1908, Apr Average, Turkey, TUR
49.7, 1908, May Average, Turkey, TUR
46.4, 1908, Jun Average, Turkey, TUR
11.6, 1908, Jul Average, Turkey, TUR
10.0, 1908, Aug Average, Turkey, TUR
18.1, 1908, Sep Average, Turkey, TUR
32.9, 1908, Oct Average, Turkey, TUR
69.5, 1908, Nov Average, Turkey, TUR
75.9, 1908, Dec Average, Turkey, TUR
62.9, 1909, Jan Average, Turkey, TUR
65.9, 1909, Feb Average, Turkey, TUR
64.7, 1909, Mar Average, Turkey, TUR
53.7, 1909, Apr Average, Turkey, TUR
43.2, 1909, May Average, Turkey, TUR
36.9, 1909, Jun Average, Turkey, TUR
10.0, 1909, Jul Average, Turkey, TUR
14.1, 1909, Aug Average, Turkey, TUR
22.7, 1909, Sep Average, Turkey, TUR
56.5, 1909, Oct Average, Turkey, TUR
70.7, 1909, Nov Average, Turkey, TUR
62.0, 1909, Dec Average, Turkey, TUR
71.8, 1910, Jan Average, Turkey, TUR
55.8, 1910, Feb Average, Turkey, TUR
59.2, 1910, Mar Average, Turkey, TUR
57.1, 1910, Apr Average, Turkey, TUR
74.3, 1910, May Average, Turkey, TUR
34.1, 1910, Jun Average, Turkey, TUR
22.1, 1910, Jul Average, Turkey, TUR
12.5, 1910, Aug Average, Turkey, TUR
17.3, 1910, Sep Average, Turkey, TUR
39.6, 1910, Oct Average, Turkey, TUR
53.1, 1910, Nov Average, Turkey, TUR
66.2, 1910, Dec Average, Turkey, TUR
76.9, 1911, Jan Average, Turkey, TUR
61.9, 1911, Feb Average, Turkey, TUR
60.1, 1911, Mar Average, Turkey, TUR
64.0, 1911, Apr Average, Turkey, TUR
61.7, 1911, May Average, Turkey, TUR
31.5, 1911, Jun Average, Turkey, TUR
13.2, 1911, Jul Average, Turkey, TUR
11.8, 1911, Aug Average, Turkey, TUR
19.4, 1911, Sep Average, Turkey, TUR
36.5, 1911, Oct Average, Turkey, TUR
53.1, 1911, Nov Average, Turkey, TUR
90.0, 1911, Dec Average, Turkey, TUR
72.2, 1912, Jan Average, Turkey, TUR
62.2, 1912, Feb Average, Turkey, TUR
56.7, 1912, Mar Average, Turkey, TUR
63.6, 1912, Apr Average, Turkey, TUR
58.6, 1912, May Average, Turkey, TUR
31.7, 1912, Jun Average, Turkey, TUR
17.7, 1912, Jul Average, Turkey, TUR
11.8, 1912, Aug Average, Turkey, TUR
15.8, 1912, Sep Average, Turkey, TUR
53.3, 1912, Oct Average, Turkey, TUR
59.3, 1912, Nov Average, Turkey, TUR
81.5, 1912, Dec Average, Turkey, TUR
75.2, 1913, Jan Average, Turkey, TUR
67.5, 1913, Feb Average, Turkey, TUR
54.8, 1913, Mar Average, Turkey, TUR
57.2, 1913, Apr Average, Turkey, TUR
61.8, 1913, May Average, Turkey, TUR
26.9, 1913, Jun Average, Turkey, TUR
14.5, 1913, Jul Average, Turkey, TUR
9.7, 1913, Aug Average, Turkey, TUR
20.2, 1913, Sep Average, Turkey, TUR
48.6, 1913, Oct Average, Turkey, TUR
56.0, 1913, Nov Average, Turkey, TUR
83.4, 1913, Dec Average, Turkey, TUR
75.5, 1914, Jan Average, Turkey, TUR
47.8, 1914, Feb Average, Turkey, TUR
58.4, 1914, Mar Average, Turkey, TUR
68.7, 1914, Apr Average, Turkey, TUR
58.5, 1914, May Average, Turkey, TUR
37.3, 1914, Jun Average, Turkey, TUR
17.0, 1914, Jul Average, Turkey, TUR
12.7, 1914, Aug Average, Turkey, TUR
18.6, 1914, Sep Average, Turkey, TUR
47.6, 1914, Oct Average, Turkey, TUR
66.0, 1914, Nov Average, Turkey, TUR
79.2, 1914, Dec Average, Turkey, TUR
67.0, 1915, Jan Average, Turkey, TUR
56.7, 1915, Feb Average, Turkey, TUR
65.5, 1915, Mar Average, Turkey, TUR
71.4, 1915, Apr Average, Turkey, TUR
54.7, 1915, May Average, Turkey, TUR
37.4, 1915, Jun Average, Turkey, TUR
18.1, 1915, Jul Average, Turkey, TUR
13.2, 1915, Aug Average, Turkey, TUR
17.7, 1915, Sep Average, Turkey, TUR
42.4, 1915, Oct Average, Turkey, TUR
56.1, 1915, Nov Average, Turkey, TUR
67.9, 1915, Dec Average, Turkey, TUR
70.4, 1916, Jan Average, Turkey, TUR
61.1, 1916, Feb Average, Turkey, TUR
53.9, 1916, Mar Average, Turkey, TUR
64.9, 1916, Apr Average, Turkey, TUR
58.3, 1916, May Average, Turkey, TUR
28.1, 1916, Jun Average, Turkey, TUR
13.0, 1916, Jul Average, Turkey, TUR
10.8, 1916, Aug Average, Turkey, TUR
21.7, 1916, Sep Average, Turkey, TUR
34.0, 1916, Oct Average, Turkey, TUR
47.8, 1916, Nov Average, Turkey, TUR
84.0, 1916, Dec Average, Turkey, TUR
74.3, 1917, Jan Average, Turkey, TUR
63.6, 1917, Feb Average, Turkey, TUR
58.9, 1917, Mar Average, Turkey, TUR
58.3, 1917, Apr Average, Turkey, TUR
58.9, 1917, May Average, Turkey, TUR
31.8, 1917, Jun Average, Turkey, TUR
12.1, 1917, Jul Average, Turkey, TUR
12.1, 1917, Aug Average, Turkey, TUR
17.1, 1917, Sep Average, Turkey, TUR
38.8, 1917, Oct Average, Turkey, TUR
57.5, 1917, Nov Average, Turkey, TUR
78.8, 1917, Dec Average, Turkey, TUR
64.8, 1918, Jan Average, Turkey, TUR
62.6, 1918, Feb Average, Turkey, TUR
55.6, 1918, Mar Average, Turkey, TUR
57.4, 1918, Apr Average, Turkey, TUR
57.2, 1918, May Average, Turkey, TUR
34.1, 1918, Jun Average, Turkey, TUR
13.3, 1918, Jul Average, Turkey, TUR
13.3, 1918, Aug Average, Turkey, TUR
21.9, 1918, Sep Average, Turkey, TUR
50.1, 1918, Oct Average, Turkey, TUR
59.8, 1918, Nov Average, Turkey, TUR
89.8, 1918, Dec Average, Turkey, TUR
72.2, 1919, Jan Average, Turkey, TUR
67.8, 1919, Feb Average, Turkey, TUR
60.6, 1919, Mar Average, Turkey, TUR
60.2, 1919, Apr Average, Turkey, TUR
64.1, 1919, May Average, Turkey, TUR
36.4, 1919, Jun Average, Turkey, TUR
14.9, 1919, Jul Average, Turkey, TUR
11.4, 1919, Aug Average, Turkey, TUR
17.1, 1919, Sep Average, Turkey, TUR
45.6, 1919, Oct Average, Turkey, TUR
58.9, 1919, Nov Average, Turkey, TUR
84.0, 1919, Dec Average, Turkey, TUR
72.0, 1920, Jan Average, Turkey, TUR
61.8, 1920, Feb Average, Turkey, TUR
66.0, 1920, Mar Average, Turkey, TUR
61.4, 1920, Apr Average, Turkey, TUR
72.1, 1920, May Average, Turkey, TUR
38.2, 1920, Jun Average, Turkey, TUR
16.3, 1920, Jul Average, Turkey, TUR
14.4, 1920, Aug Average, Turkey, TUR
22.9, 1920, Sep Average, Turkey, TUR
54.5, 1920, Oct Average, Turkey, TUR
60.1, 1920, Nov Average, Turkey, TUR
72.1, 1920, Dec Average, Turkey, TUR
67.1, 1921, Jan Average, Turkey, TUR
60.6, 1921, Feb Average, Turkey, TUR
57.0, 1921, Mar Average, Turkey, TUR
72.7, 1921, Apr Average, Turkey, TUR
52.5, 1921, May Average, Turkey, TUR
48.5, 1921, Jun Average, Turkey, TUR
18.2, 1921, Jul Average, Turkey, TUR
11.7, 1921, Aug Average, Turkey, TUR
18.8, 1921, Sep Average, Turkey, TUR
39.1, 1921, Oct Average, Turkey, TUR
68.2, 1921, Nov Average, Turkey, TUR
86.3, 1921, Dec Average, Turkey, TUR
80.6, 1922, Jan Average, Turkey, TUR
62.6, 1922, Feb Average, Turkey, TUR
51.3, 1922, Mar Average, Turkey, TUR
60.6, 1922, Apr Average, Turkey, TUR
51.7, 1922, May Average, Turkey, TUR
35.0, 1922, Jun Average, Turkey, TUR
22.0, 1922, Jul Average, Turkey, TUR
16.1, 1922, Aug Average, Turkey, TUR
18.4, 1922, Sep Average, Turkey, TUR
45.1, 1922, Oct Average, Turkey, TUR
68.9, 1922, Nov Average, Turkey, TUR
74.6, 1922, Dec Average, Turkey, TUR
76.8, 1923, Jan Average, Turkey, TUR
61.7, 1923, Feb Average, Turkey, TUR
58.9, 1923, Mar Average, Turkey, TUR
66.0, 1923, Apr Average, Turkey, TUR
62.0, 1923, May Average, Turkey, TUR
33.9, 1923, Jun Average, Turkey, TUR
15.4, 1923, Jul Average, Turkey, TUR
13.2, 1923, Aug Average, Turkey, TUR
16.5, 1923, Sep Average, Turkey, TUR
40.3, 1923, Oct Average, Turkey, TUR
47.9, 1923, Nov Average, Turkey, TUR
80.4, 1923, Dec Average, Turkey, TUR
79.2, 1924, Jan Average, Turkey, TUR
63.1, 1924, Feb Average, Turkey, TUR
56.9, 1924, Mar Average, Turkey, TUR
58.7, 1924, Apr Average, Turkey, TUR
54.3, 1924, May Average, Turkey, TUR
36.5, 1924, Jun Average, Turkey, TUR
13.6, 1924, Jul Average, Turkey, TUR
12.7, 1924, Aug Average, Turkey, TUR
18.1, 1924, Sep Average, Turkey, TUR
51.0, 1924, Oct Average, Turkey, TUR
62.5, 1924, Nov Average, Turkey, TUR
75.0, 1924, Dec Average, Turkey, TUR
67.3, 1925, Jan Average, Turkey, TUR
48.5, 1925, Feb Average, Turkey, TUR
57.8, 1925, Mar Average, Turkey, TUR
60.5, 1925, Apr Average, Turkey, TUR
51.7, 1925, May Average, Turkey, TUR
38.5, 1925, Jun Average, Turkey, TUR
13.1, 1925, Jul Average, Turkey, TUR
10.8, 1925, Aug Average, Turkey, TUR
16.9, 1925, Sep Average, Turkey, TUR
47.1, 1925, Oct Average, Turkey, TUR
57.3, 1925, Nov Average, Turkey, TUR
81.8, 1925, Dec Average, Turkey, TUR
77.8, 1926, Jan Average, Turkey, TUR
60.3, 1926, Feb Average, Turkey, TUR
76.1, 1926, Mar Average, Turkey, TUR
51.7, 1926, Apr Average, Turkey, TUR
52.3, 1926, May Average, Turkey, TUR
25.9, 1926, Jun Average, Turkey, TUR
17.7, 1926, Jul Average, Turkey, TUR
8.0, 1926, Aug Average, Turkey, TUR
13.5, 1926, Sep Average, Turkey, TUR
28.5, 1926, Oct Average, Turkey, TUR
28.9, 1926, Nov Average, Turkey, TUR
85.8, 1926, Dec Average, Turkey, TUR
58.4, 1927, Jan Average, Turkey, TUR
61.9, 1927, Feb Average, Turkey, TUR
40.6, 1927, Mar Average, Turkey, TUR
69.1, 1927, Apr Average, Turkey, TUR
42.0, 1927, May Average, Turkey, TUR
24.6, 1927, Jun Average, Turkey, TUR
20.6, 1927, Jul Average, Turkey, TUR
8.9, 1927, Aug Average, Turkey, TUR
