Temperature - (Celsius), Year, Statistics, Country, ISO3
27.6, 1901, Jan Average, Australia, AUS
27.3, 1901, Feb Average, Australia, AUS
24.8, 1901, Mar Average, Australia, AUS
21.4, 1901, Apr Average, Australia, AUS
17.9, 1901, May Average, Australia, AUS
13.9, 1901, Jun Average, Australia, AUS
12.8, 1901, Jul Average, Australia, AUS
15.1, 1901, Aug Average, Australia, AUS
19.5, 1901, Sep Average, Australia, AUS
22.1, 1901, Oct Average, Australia, AUS
26.8, 1901, Nov Average, Australia, AUS
28.1, 1901, Dec Average, Australia, AUS
27.6, 1902, Jan Average, Australia, AUS
27.0, 1902, Feb Average, Australia, AUS
25.4, 1902, Mar Average, Australia, AUS
21.8, 1902, Apr Average, Australia, AUS
17.8, 1902, May Average, Australia, AUS
14.5, 1902, Jun Average, Australia, AUS
13.7, 1902, Jul Average, Australia, AUS
15.2, 1902, Aug Average, Australia, AUS
19.1, 1902, Sep Average, Australia, AUS
22.6, 1902, Oct Average, Australia, AUS
25.9, 1902, Nov Average, Australia, AUS
26.4, 1902, Dec Average, Australia, AUS
27.8, 1903, Jan Average, Australia, AUS
27.1, 1903, Feb Average, Australia, AUS
25.6, 1903, Mar Average, Australia, AUS
21.4, 1903, Apr Average, Australia, AUS
17.2, 1903, May Average, Australia, AUS
14.3, 1903, Jun Average, Australia, AUS
13.3, 1903, Jul Average, Australia, AUS
15.4, 1903, Aug Average, Australia, AUS
18.5, 1903, Sep Average, Australia, AUS
21.8, 1903, Oct Average, Australia, AUS
24.8, 1903, Nov Average, Australia, AUS
25.7, 1903, Dec Average, Australia, AUS
26.6, 1904, Jan Average, Australia, AUS
26.0, 1904, Feb Average, Australia, AUS
24.3, 1904, Mar Average, Australia, AUS
21.6, 1904, Apr Average, Australia, AUS
17.6, 1904, May Average, Australia, AUS
14.0, 1904, Jun Average, Australia, AUS
13.6, 1904, Jul Average, Australia, AUS
15.3, 1904, Aug Average, Australia, AUS
18.2, 1904, Sep Average, Australia, AUS
21.7, 1904, Oct Average, Australia, AUS
25.2, 1904, Nov Average, Australia, AUS
27.5, 1904, Dec Average, Australia, AUS
28.0, 1905, Jan Average, Australia, AUS
26.3, 1905, Feb Average, Australia, AUS
25.2, 1905, Mar Average, Australia, AUS
21.9, 1905, Apr Average, Australia, AUS
18.2, 1905, May Average, Australia, AUS
14.4, 1905, Jun Average, Australia, AUS
13.4, 1905, Jul Average, Australia, AUS
14.8, 1905, Aug Average, Australia, AUS
17.2, 1905, Sep Average, Australia, AUS
20.6, 1905, Oct Average, Australia, AUS
25.0, 1905, Nov Average, Australia, AUS
27.7, 1905, Dec Average, Australia, AUS
29.1, 1906, Jan Average, Australia, AUS
28.5, 1906, Feb Average, Australia, AUS
24.7, 1906, Mar Average, Australia, AUS
22.9, 1906, Apr Average, Australia, AUS
18.6, 1906, May Average, Australia, AUS
15.9, 1906, Jun Average, Australia, AUS
14.5, 1906, Jul Average, Australia, AUS
15.7, 1906, Aug Average, Australia, AUS
18.3, 1906, Sep Average, Australia, AUS
22.3, 1906, Oct Average, Australia, AUS
23.9, 1906, Nov Average, Australia, AUS
26.7, 1906, Dec Average, Australia, AUS
26.9, 1907, Jan Average, Australia, AUS
26.8, 1907, Feb Average, Australia, AUS
24.4, 1907, Mar Average, Australia, AUS
20.9, 1907, Apr Average, Australia, AUS
17.6, 1907, May Average, Australia, AUS
14.7, 1907, Jun Average, Australia, AUS
13.8, 1907, Jul Average, Australia, AUS
15.7, 1907, Aug Average, Australia, AUS
18.8, 1907, Sep Average, Australia, AUS
22.7, 1907, Oct Average, Australia, AUS
24.4, 1907, Nov Average, Australia, AUS
26.3, 1907, Dec Average, Australia, AUS
28.1, 1908, Jan Average, Australia, AUS
26.5, 1908, Feb Average, Australia, AUS
24.1, 1908, Mar Average, Australia, AUS
21.3, 1908, Apr Average, Australia, AUS
17.2, 1908, May Average, Australia, AUS
12.8, 1908, Jun Average, Australia, AUS
13.1, 1908, Jul Average, Australia, AUS
14.6, 1908, Aug Average, Australia, AUS
17.3, 1908, Sep Average, Australia, AUS
21.1, 1908, Oct Average, Australia, AUS
25.3, 1908, Nov Average, Australia, AUS
27.2, 1908, Dec Average, Australia, AUS
26.8, 1909, Jan Average, Australia, AUS
26.4, 1909, Feb Average, Australia, AUS
25.1, 1909, Mar Average, Australia, AUS
20.4, 1909, Apr Average, Australia, AUS
17.1, 1909, May Average, Australia, AUS
14.9, 1909, Jun Average, Australia, AUS
12.8, 1909, Jul Average, Australia, AUS
15.6, 1909, Aug Average, Australia, AUS
18.2, 1909, Sep Average, Australia, AUS
22.5, 1909, Oct Average, Australia, AUS
24.6, 1909, Nov Average, Australia, AUS
25.8, 1909, Dec Average, Australia, AUS
27.6, 1910, Jan Average, Australia, AUS
27.2, 1910, Feb Average, Australia, AUS
24.3, 1910, Mar Average, Australia, AUS
22.0, 1910, Apr Average, Australia, AUS
18.3, 1910, May Average, Australia, AUS
15.0, 1910, Jun Average, Australia, AUS
14.0, 1910, Jul Average, Australia, AUS
16.2, 1910, Aug Average, Australia, AUS
