Temperature - (Celsius), Year, Statistics, Country, ISO3
16.4, 1901, Jan Average, India, IND
18.3, 1901, Feb Average, India, IND
23.5, 1901, Mar Average, India, IND
27.5, 1901, Apr Average, India, IND
29.8, 1901, May Average, India, IND
30.2, 1901, Jun Average, India, IND
27.6, 1901, Jul Average, India, IND
26.2, 1901, Aug Average, India, IND
26.4, 1901, Sep Average, India, IND
25.3, 1901, Oct Average, India, IND
20.8, 1901, Nov Average, India, IND
17.7, 1901, Dec Average, India, IND
18.0, 1902, Jan Average, India, IND
19.6, 1902, Feb Average, India, IND
24.9, 1902, Mar Average, India, IND
27.9, 1902, Apr Average, India, IND
30.2, 1902, May Average, India, IND
29.8, 1902, Jun Average, India, IND
27.4, 1902, Jul Average, India, IND
27.1, 1902, Aug Average, India, IND
25.9, 1902, Sep Average, India, IND
24.5, 1902, Oct Average, India, IND
20.2, 1902, Nov Average, India, IND
17.1, 1902, Dec Average, India, IND
17.1, 1903, Jan Average, India, IND
18.5, 1903, Feb Average, India, IND
22.7, 1903, Mar Average, India, IND
27.1, 1903, Apr Average, India, IND
29.4, 1903, May Average, India, IND
30.1, 1903, Jun Average, India, IND
27.7, 1903, Jul Average, India, IND
26.3, 1903, Aug Average, India, IND
26.2, 1903, Sep Average, India, IND
24.3, 1903, Oct Average, India, IND
19.7, 1903, Nov Average, India, IND
16.8, 1903, Dec Average, India, IND
16.9, 1904, Jan Average, India, IND
19.1, 1904, Feb Average, India, IND
23.1, 1904, Mar Average, India, IND
28.1, 1904, Apr Average, India, IND
29.5, 1904, May Average, India, IND
28.9, 1904, Jun Average, India, IND
26.6, 1904, Jul Average, India, IND
26.3, 1904, Aug Average, India, IND
26.0, 1904, Sep Average, India, IND
24.6, 1904, Oct Average, India, IND
20.1, 1904, Nov Average, India, IND
17.4, 1904, Dec Average, India, IND
16.0, 1905, Jan Average, India, IND
17.3, 1905, Feb Average, India, IND
21.7, 1905, Mar Average, India, IND
25.7, 1905, Apr Average, India, IND
30.2, 1905, May Average, India, IND
30.4, 1905, Jun Average, India, IND
27.3, 1905, Jul Average, India, IND
26.7, 1905, Aug Average, India, IND
26.2, 1905, Sep Average, India, IND
24.7, 1905, Oct Average, India, IND
21.2, 1905, Nov Average, India, IND
17.2, 1905, Dec Average, India, IND
