tasmax, Year, Statistics, Country, ISO3
30.3, 1901, Jan Average, Brazil, BRA
30.5, 1901, Feb Average, Brazil, BRA
30.2, 1901, Mar Average, Brazil, BRA
29.6, 1901, Apr Average, Brazil, BRA
29.5, 1901, May Average, Brazil, BRA
29.2, 1901, Jun Average, Brazil, BRA
29.9, 1901, Jul Average, Brazil, BRA
30.8, 1901, Aug Average, Brazil, BRA
31.3, 1901, Sep Average, Brazil, BRA
31.6, 1901, Oct Average, Brazil, BRA
30.7, 1901, Nov Average, Brazil, BRA
30.4, 1901, Dec Average, Brazil, BRA
30.3, 1902, Jan Average, Brazil, BRA
30.7, 1902, Feb Average, Brazil, BRA
30.3, 1902, Mar Average, Brazil, BRA
30.1, 1902, Apr Average, Brazil, BRA
29.9, 1902, May Average, Brazil, BRA
29.8, 1902, Jun Average, Brazil, BRA
30.0, 1902, Jul Average, Brazil, BRA
30.1, 1902, Aug Average, Brazil, BRA
31.3, 1902, Sep Average, Brazil, BRA
31.3, 1902, Oct Average, Brazil, BRA
31.2, 1902, Nov Average, Brazil, BRA
30.8, 1902, Dec Average, Brazil, BRA
30.2, 1903, Jan Average, Brazil, BRA
30.6, 1903, Feb Average, Brazil, BRA
30.5, 1903, Mar Average, Brazil, BRA
29.9, 1903, Apr Average, Brazil, BRA
29.2, 1903, May Average, Brazil, BRA
29.5, 1903, Jun Average, Brazil, BRA
29.7, 1903, Jul Average, Brazil, BRA
30.4, 1903, Aug Average, Brazil, BRA
31.2, 1903, Sep Average, Brazil, BRA
31.1, 1903, Oct Average, Brazil, BRA
30.7, 1903, Nov Average, Brazil, BRA
30.6, 1903, Dec Average, Brazil, BRA
30.0, 1904, Jan Average, Brazil, BRA
30.2, 1904, Feb Average, Brazil, BRA
30.1, 1904, Mar Average, Brazil, BRA
29.8, 1904, Apr Average, Brazil, BRA
28.9, 1904, May Average, Brazil, BRA
28.7, 1904, Jun Average, Brazil, BRA
29.6, 1904, Jul Average, Brazil, BRA
30.2, 1904, Aug Average, Brazil, BRA
31.0, 1904, Sep Average, Brazil, BRA
30.9, 1904, Oct Average, Brazil, BRA
30.7, 1904, Nov Average, Brazil, BRA
30.3, 1904, Dec Average, Brazil, BRA
30.1, 1905, Jan Average, Brazil, BRA
30.3, 1905, Feb Average, Brazil, BRA
29.9, 1905, Mar Average, Brazil, BRA
29.6, 1905, Apr Average, Brazil, BRA
29.7, 1905, May Average, Brazil, BRA
29.4, 1905, Jun Average, Brazil, BRA
29.5, 1905, Jul Average, Brazil, BRA
30.5, 1905, Aug Average, Brazil, BRA
31.1, 1905, Sep Average, Brazil, BRA
31.9, 1905, Oct Average, Brazil, BRA
30.9, 1905, Nov Average, Brazil, BRA
30.7, 1905, Dec Average, Brazil, BRA
30.2, 1906, Jan Average, Brazil, BRA
30.3, 1906, Feb Average, Brazil, BRA
30.2, 1906, Mar Average, Brazil, BRA
29.8, 1906, Apr Average, Brazil, BRA
29.7, 1906, May Average, Brazil, BRA
28.8, 1906, Jun Average, Brazil, BRA
29.6, 1906, Jul Average, Brazil, BRA
30.8, 1906, Aug Average, Brazil, BRA
30.9, 1906, Sep Average, Brazil, BRA
31.4, 1906, Oct Average, Brazil, BRA
31.0, 1906, Nov Average, Brazil, BRA
30.6, 1906, Dec Average, Brazil, BRA
30.1, 1907, Jan Average, Brazil, BRA
30.3, 1907, Feb Average, Brazil, BRA
30.4, 1907, Mar Average, Brazil, BRA
29.9, 1907, Apr Average, Brazil, BRA
29.0, 1907, May Average, Brazil, BRA
29.1, 1907, Jun Average, Brazil, BRA
29.0, 1907, Jul Average, Brazil, BRA
30.2, 1907, Aug Average, Brazil, BRA
31.2, 1907, Sep Average, Brazil, BRA
31.2, 1907, Oct Average, Brazil, BRA
30.9, 1907, Nov Average, Brazil, BRA
