tasmax, Year, Statistics, Country, ISO3
-20.6, 1901, Jan Average, Canada, CAN
-19.6, 1901, Feb Average, Canada, CAN
-13.7, 1901, Mar Average, Canada, CAN
-4.8, 1901, Apr Average, Canada, CAN
4.9, 1901, May Average, Canada, CAN
11.1, 1901, Jun Average, Canada, CAN
15.7, 1901, Jul Average, Canada, CAN
14.2, 1901, Aug Average, Canada, CAN
6.7, 1901, Sep Average, Canada, CAN
0.3, 1901, Oct Average, Canada, CAN
-11.0, 1901, Nov Average, Canada, CAN
-16.0, 1901, Dec Average, Canada, CAN
-19.1, 1902, Jan Average, Canada, CAN
-17.7, 1902, Feb Average, Canada, CAN
-14.5, 1902, Mar Average, Canada, CAN
-5.5, 1902, Apr Average, Canada, CAN
3.8, 1902, May Average, Canada, CAN
10.0, 1902, Jun Average, Canada, CAN
15.2, 1902, Jul Average, Canada, CAN
13.6, 1902, Aug Average, Canada, CAN
7.0, 1902, Sep Average, Canada, CAN
-0.2, 1902, Oct Average, Canada, CAN
-11.5, 1902, Nov Average, Canada, CAN
-19.0, 1902, Dec Average, Canada, CAN
-19.7, 1903, Jan Average, Canada, CAN
-18.6, 1903, Feb Average, Canada, CAN
-15.2, 1903, Mar Average, Canada, CAN
-5.8, 1903, Apr Average, Canada, CAN
3.3, 1903, May Average, Canada, CAN
11.8, 1903, Jun Average, Canada, CAN
15.2, 1903, Jul Average, Canada, CAN
13.0, 1903, Aug Average, Canada, CAN
6.3, 1903, Sep Average, Canada, CAN
-0.7, 1903, Oct Average, Canada, CAN
-11.4, 1903, Nov Average, Canada, CAN
-16.1, 1903, Dec Average, Canada, CAN
-20.9, 1904, Jan Average, Canada, CAN
-23.9, 1904, Feb Average, Canada, CAN
-16.6, 1904, Mar Average, Canada, CAN
-4.3, 1904, Apr Average, Canada, CAN
4.1, 1904, May Average, Canada, CAN
11.2, 1904, Jun Average, Canada, CAN
15.7, 1904, Jul Average, Canada, CAN
13.5, 1904, Aug Average, Canada, CAN
6.4, 1904, Sep Average, Canada, CAN
-0.4, 1904, Oct Average, Canada, CAN
-8.5, 1904, Nov Average, Canada, CAN
-17.0, 1904, Dec Average, Canada, CAN
-20.9, 1905, Jan Average, Canada, CAN
-19.2, 1905, Feb Average, Canada, CAN
-12.2, 1905, Mar Average, Canada, CAN
-4.1, 1905, Apr Average, Canada, CAN
4.4, 1905, May Average, Canada, CAN
11.1, 1905, Jun Average, Canada, CAN
15.9, 1905, Jul Average, Canada, CAN
14.2, 1905, Aug Average, Canada, CAN
7.3, 1905, Sep Average, Canada, CAN
-2.1, 1905, Oct Average, Canada, CAN
-9.2, 1905, Nov Average, Canada, CAN
-16.2, 1905, Dec Average, Canada, CAN
-20.2, 1906, Jan Average, Canada, CAN
-18.8, 1906, Feb Average, Canada, CAN
-14.1, 1906, Mar Average, Canada, CAN
-3.5, 1906, Apr Average, Canada, CAN
