tasmax, Year, Statistics, Country, ISO3
-0.97, 1901, Jan Average, China, CHN
1.30, 1901, Feb Average, China, CHN
7.76, 1901, Mar Average, China, CHN
13.81, 1901, Apr Average, China, CHN
19.27, 1901, May Average, China, CHN
22.82, 1901, Jun Average, China, CHN
24.55, 1901, Jul Average, China, CHN
23.77, 1901, Aug Average, China, CHN
20.00, 1901, Sep Average, China, CHN
13.89, 1901, Oct Average, China, CHN
6.37, 1901, Nov Average, China, CHN
0.39, 1901, Dec Average, China, CHN
-1.46, 1902, Jan Average, China, CHN
1.37, 1902, Feb Average, China, CHN
6.99, 1902, Mar Average, China, CHN
14.07, 1902, Apr Average, China, CHN
19.12, 1902, May Average, China, CHN
22.80, 1902, Jun Average, China, CHN
24.76, 1902, Jul Average, China, CHN
23.95, 1902, Aug Average, China, CHN
20.10, 1902, Sep Average, China, CHN
13.61, 1902, Oct Average, China, CHN
5.66, 1902, Nov Average, China, CHN
-0.24, 1902, Dec Average, China, CHN
-2.02, 1903, Jan Average, China, CHN
1.38, 1903, Feb Average, China, CHN
6.68, 1903, Mar Average, China, CHN
13.94, 1903, Apr Average, China, CHN
19.27, 1903, May Average, China, CHN
23.13, 1903, Jun Average, China, CHN
24.64, 1903, Jul Average, China, CHN
24.11, 1903, Aug Average, China, CHN
19.97, 1903, Sep Average, China, CHN
13.36, 1903, Oct Average, China, CHN
6.17, 1903, Nov Average, China, CHN
0.28, 1903, Dec Average, China, CHN
-0.63, 1904, Jan Average, China, CHN
-0.17, 1904, Feb Average, China, CHN
5.70, 1904, Mar Average, China, CHN
12.82, 1904, Apr Average, China, CHN
19.17, 1904, May Average, China, CHN
23.33, 1904, Jun Average, China, CHN
24.93, 1904, Jul Average, China, CHN
23.82, 1904, Aug Average, China, CHN
19.97, 1904, Sep Average, China, CHN
13.92, 1904, Oct Average, China, CHN
6.07, 1904, Nov Average, China, CHN
0.27, 1904, Dec Average, China, CHN
-2.05, 1905, Jan Average, China, CHN
-0.27, 1905, Feb Average, China, CHN
6.84, 1905, Mar Average, China, CHN
14.24, 1905, Apr Average, China, CHN
19.47, 1905, May Average, China, CHN
23.15, 1905, Jun Average, China, CHN
24.97, 1905, Jul Average, China, CHN
24.06, 1905, Aug Average, China, CHN
20.00, 1905, Sep Average, China, CHN
13.98, 1905, Oct Average, China, CHN
5.14, 1905, Nov Average, China, CHN
0.94, 1905, Dec Average, China, CHN
-0.72, 1906, Jan Average, China, CHN
0.10, 1906, Feb Average, China, CHN
6.54, 1906, Mar Average, China, CHN
14.05, 1906, Apr Average, China, CHN
19.36, 1906, May Average, China, CHN
22.70, 1906, Jun Average, China, CHN
24.48, 1906, Jul Average, China, CHN
24.49, 1906, Aug Average, China, CHN
19.94, 1906, Sep Average, China, CHN
13.98, 1906, Oct Average, China, CHN
5.58, 1906, Nov Average, China, CHN
-0.01, 1906, Dec Average, China, CHN
-1.76, 1907, Jan Average, China, CHN
0.45, 1907, Feb Average, China, CHN
6.53, 1907, Mar Average, China, CHN
13.91, 1907, Apr Average, China, CHN
19.41, 1907, May Average, China, CHN
23.25, 1907, Jun Average, China, CHN
24.84, 1907, Jul Average, China, CHN
24.38, 1907, Aug Average, China, CHN
20.04, 1907, Sep Average, China, CHN
13.85, 1907, Oct Average, China, CHN
5.80, 1907, Nov Average, China, CHN
0.82, 1907, Dec Average, China, CHN
-2.03, 1908, Jan Average, China, CHN
1.09, 1908, Feb Average, China, CHN
6.28, 1908, Mar Average, China, CHN
14.02, 1908, Apr Average, China, CHN
19.50, 1908, May Average, China, CHN
22.64, 1908, Jun Average, China, CHN
24.97, 1908, Jul Average, China, CHN
24.63, 1908, Aug Average, China, CHN
20.27, 1908, Sep Average, China, CHN
13.66, 1908, Oct Average, China, CHN
6.91, 1908, Nov Average, China, CHN
-0.08, 1908, Dec Average, China, CHN
-1.96, 1909, Jan Average, China, CHN
0.69, 1909, Feb Average, China, CHN
6.28, 1909, Mar Average, China, CHN
13.46, 1909, Apr Average, China, CHN
19.45, 1909, May Average, China, CHN
22.76, 1909, Jun Average, China, CHN
24.96, 1909, Jul Average, China, CHN
24.26, 1909, Aug Average, China, CHN
19.74, 1909, Sep Average, China, CHN
13.96, 1909, Oct Average, China, CHN
5.48, 1909, Nov Average, China, CHN
-1.10, 1909, Dec Average, China, CHN
-1.81, 1910, Jan Average, China, CHN
0.78, 1910, Feb Average, China, CHN
6.18, 1910, Mar Average, China, CHN
13.95, 1910, Apr Average, China, CHN
19.26, 1910, May Average, China, CHN
22.85, 1910, Jun Average, China, CHN
24.64, 1910, Jul Average, China, CHN
23.97, 1910, Aug Average, China, CHN
20.17, 1910, Sep Average, China, CHN
13.43, 1910, Oct Average, China, CHN
5.96, 1910, Nov Average, China, CHN
-0.65, 1910, Dec Average, China, CHN
-1.39, 1911, Jan Average, China, CHN
2.32, 1911, Feb Average, China, CHN
6.60, 1911, Mar Average, China, CHN
14.36, 1911, Apr Average, China, CHN
19.46, 1911, May Average, China, CHN
23.32, 1911, Jun Average, China, CHN
25.00, 1911, Jul Average, China, CHN
24.00, 1911, Aug Average, China, CHN
19.23, 1911, Sep Average, China, CHN
13.14, 1911, Oct Average, China, CHN
4.77, 1911, Nov Average, China, CHN
-0.91, 1911, Dec Average, China, CHN
-1.79, 1912, Jan Average, China, CHN
0.91, 1912, Feb Average, China, CHN
6.33, 1912, Mar Average, China, CHN
13.64, 1912, Apr Average, China, CHN
19.22, 1912, May Average, China, CHN
22.73, 1912, Jun Average, China, CHN
24.62, 1912, Jul Average, China, CHN
24.26, 1912, Aug Average, China, CHN
19.91, 1912, Sep Average, China, CHN
14.06, 1912, Oct Average, China, CHN
5.88, 1912, Nov Average, China, CHN
-0.08, 1912, Dec Average, China, CHN
0.03, 1913, Jan Average, China, CHN
1.85, 1913, Feb Average, China, CHN
