tasmax, Year, Statistics, Country, ISO3
-0.4, 1901, Jan Average, Germany, DEU
-0.4, 1901, Feb Average, Germany, DEU
5.9, 1901, Mar Average, Germany, DEU
12.9, 1901, Apr Average, Germany, DEU
18.5, 1901, May Average, Germany, DEU
20.9, 1901, Jun Average, Germany, DEU
24.0, 1901, Jul Average, Germany, DEU
21.6, 1901, Aug Average, Germany, DEU
18.3, 1901, Sep Average, Germany, DEU
13.0, 1901, Oct Average, Germany, DEU
5.6, 1901, Nov Average, Germany, DEU
3.1, 1901, Dec Average, Germany, DEU
4.7, 1902, Jan Average, Germany, DEU
2.1, 1902, Feb Average, Germany, DEU
7.5, 1902, Mar Average, Germany, DEU
12.8, 1902, Apr Average, Germany, DEU
13.3, 1902, May Average, Germany, DEU
20.5, 1902, Jun Average, Germany, DEU
21.0, 1902, Jul Average, Germany, DEU
19.8, 1902, Aug Average, Germany, DEU
17.2, 1902, Sep Average, Germany, DEU
10.7, 1902, Oct Average, Germany, DEU
4.9, 1902, Nov Average, Germany, DEU
0.8, 1902, Dec Average, Germany, DEU
2.9, 1903, Jan Average, Germany, DEU
7.0, 1903, Feb Average, Germany, DEU
10.6, 1903, Mar Average, Germany, DEU
9.0, 1903, Apr Average, Germany, DEU
18.1, 1903, May Average, Germany, DEU
20.0, 1903, Jun Average, Germany, DEU
21.3, 1903, Jul Average, Germany, DEU
20.4, 1903, Aug Average, Germany, DEU
18.6, 1903, Sep Average, Germany, DEU
13.2, 1903, Oct Average, Germany, DEU
6.5, 1903, Nov Average, Germany, DEU
1.1, 1903, Dec Average, Germany, DEU
1.2, 1904, Jan Average, Germany, DEU
3.4, 1904, Feb Average, Germany, DEU
7.1, 1904, Mar Average, Germany, DEU
13.8, 1904, Apr Average, Germany, DEU
17.6, 1904, May Average, Germany, DEU
20.7, 1904, Jun Average, Germany, DEU
24.9, 1904, Jul Average, Germany, DEU
22.6, 1904, Aug Average, Germany, DEU
16.6, 1904, Sep Average, Germany, DEU
11.9, 1904, Oct Average, Germany, DEU
5.8, 1904, Nov Average, Germany, DEU
4.5, 1904, Dec Average, Germany, DEU
0.9, 1905, Jan Average, Germany, DEU
3.9, 1905, Feb Average, Germany, DEU
8.4, 1905, Mar Average, Germany, DEU
10.2, 1905, Apr Average, Germany, DEU
17.5, 1905, May Average, Germany, DEU
22.7, 1905, Jun Average, Germany, DEU
23.9, 1905, Jul Average, Germany, DEU
21.6, 1905, Aug Average, Germany, DEU
17.1, 1905, Sep Average, Germany, DEU
8.2, 1905, Oct Average, Germany, DEU
5.8, 1905, Nov Average, Germany, DEU
3.0, 1905, Dec Average, Germany, DEU
3.3, 1906, Jan Average, Germany, DEU
3.0, 1906, Feb Average, Germany, DEU
6.5, 1906, Mar Average, Germany, DEU
13.5, 1906, Apr Average, Germany, DEU
18.1, 1906, May Average, Germany, DEU
19.7, 1906, Jun Average, Germany, DEU
22.2, 1906, Jul Average, Germany, DEU
21.9, 1906, Aug Average, Germany, DEU
17.5, 1906, Sep Average, Germany, DEU
14.2, 1906, Oct Average, Germany, DEU
9.0, 1906, Nov Average, Germany, DEU
0.3, 1906, Dec Average, Germany, DEU
1.8, 1907, Jan Average, Germany, DEU
1.1, 1907, Feb Average, Germany, DEU
6.9, 1907, Mar Average, Germany, DEU
10.9, 1907, Apr Average, Germany, DEU
18.5, 1907, May Average, Germany, DEU
19.6, 1907, Jun Average, Germany, DEU
19.2, 1907, Jul Average, Germany, DEU
21.0, 1907, Aug Average, Germany, DEU
18.7, 1907, Sep Average, Germany, DEU
15.3, 1907, Oct Average, Germany, DEU
6.7, 1907, Nov Average, Germany, DEU
3.7, 1907, Dec Average, Germany, DEU
0.9, 1908, Jan Average, Germany, DEU
3.8, 1908, Feb Average, Germany, DEU
6.4, 1908, Mar Average, Germany, DEU
9.7, 1908, Apr Average, Germany, DEU
18.0, 1908, May Average, Germany, DEU
22.3, 1908, Jun Average, Germany, DEU
22.2, 1908, Jul Average, Germany, DEU
19.4, 1908, Aug Average, Germany, DEU
17.2, 1908, Sep Average, Germany, DEU
13.3, 1908, Oct Average, Germany, DEU
4.9, 1908, Nov Average, Germany, DEU
1.6, 1908, Dec Average, Germany, DEU
0.9, 1909, Jan Average, Germany, DEU
0.8, 1909, Feb Average, Germany, DEU
5.5, 1909, Mar Average, Germany, DEU
13.1, 1909, Apr Average, Germany, DEU
16.5, 1909, May Average, Germany, DEU
19.0, 1909, Jun Average, Germany, DEU
19.4, 1909, Jul Average, Germany, DEU
21.2, 1909, Aug Average, Germany, DEU
17.1, 1909, Sep Average, Germany, DEU
14.3, 1909, Oct Average, Germany, DEU
4.5, 1909, Nov Average, Germany, DEU
4.1, 1909, Dec Average, Germany, DEU
3.4, 1910, Jan Average, Germany, DEU
5.1, 1910, Feb Average, Germany, DEU
