tasmax, Year, Statistics, Country, ISO3
30.0, 1901, Jan Average, Indonesia, IDN
30.0, 1901, Feb Average, Indonesia, IDN
30.5, 1901, Mar Average, Indonesia, IDN
30.7, 1901, Apr Average, Indonesia, IDN
30.9, 1901, May Average, Indonesia, IDN
30.2, 1901, Jun Average, Indonesia, IDN
30.3, 1901, Jul Average, Indonesia, IDN
30.2, 1901, Aug Average, Indonesia, IDN
30.5, 1901, Sep Average, Indonesia, IDN
31.0, 1901, Oct Average, Indonesia, IDN
30.9, 1901, Nov Average, Indonesia, IDN
30.2, 1901, Dec Average, Indonesia, IDN
29.9, 1902, Jan Average, Indonesia, IDN
30.0, 1902, Feb Average, Indonesia, IDN
30.3, 1902, Mar Average, Indonesia, IDN
30.6, 1902, Apr Average, Indonesia, IDN
30.9, 1902, May Average, Indonesia, IDN
30.2, 1902, Jun Average, Indonesia, IDN
30.0, 1902, Jul Average, Indonesia, IDN
30.3, 1902, Aug Average, Indonesia, IDN
30.5, 1902, Sep Average, Indonesia, IDN
31.0, 1902, Oct Average, Indonesia, IDN
30.9, 1902, Nov Average, Indonesia, IDN
30.4, 1902, Dec Average, Indonesia, IDN
30.2, 1903, Jan Average, Indonesia, IDN
30.1, 1903, Feb Average, Indonesia, IDN
30.4, 1903, Mar Average, Indonesia, IDN
30.6, 1903, Apr Average, Indonesia, IDN
30.9, 1903, May Average, Indonesia, IDN
30.2, 1903, Jun Average, Indonesia, IDN
30.0, 1903, Jul Average, Indonesia, IDN
30.3, 1903, Aug Average, Indonesia, IDN
30.5, 1903, Sep Average, Indonesia, IDN
30.8, 1903, Oct Average, Indonesia, IDN
30.9, 1903, Nov Average, Indonesia, IDN
30.1, 1903, Dec Average, Indonesia, IDN
29.8, 1904, Jan Average, Indonesia, IDN
29.9, 1904, Feb Average, Indonesia, IDN
30.5, 1904, Mar Average, Indonesia, IDN
30.5, 1904, Apr Average, Indonesia, IDN
30.9, 1904, May Average, Indonesia, IDN
30.4, 1904, Jun Average, Indonesia, IDN
30.2, 1904, Jul Average, Indonesia, IDN
30.2, 1904, Aug Average, Indonesia, IDN
30.7, 1904, Sep Average, Indonesia, IDN
30.7, 1904, Oct Average, Indonesia, IDN
30.9, 1904, Nov Average, Indonesia, IDN
30.2, 1904, Dec Average, Indonesia, IDN
30.0, 1905, Jan Average, Indonesia, IDN
30.1, 1905, Feb Average, Indonesia, IDN
30.4, 1905, Mar Average, Indonesia, IDN
30.6, 1905, Apr Average, Indonesia, IDN
30.9, 1905, May Average, Indonesia, IDN
30.4, 1905, Jun Average, Indonesia, IDN
30.1, 1905, Jul Average, Indonesia, IDN
30.3, 1905, Aug Average, Indonesia, IDN
30.5, 1905, Sep Average, Indonesia, IDN
31.0, 1905, Oct Average, Indonesia, IDN
30.9, 1905, Nov Average, Indonesia, IDN
30.4, 1905, Dec Average, Indonesia, IDN
30.1, 1906, Jan Average, Indonesia, IDN
30.4, 1906, Feb Average, Indonesia, IDN
30.4, 1906, Mar Average, Indonesia, IDN
30.7, 1906, Apr Average, Indonesia, IDN
30.9, 1906, May Average, Indonesia, IDN
30.3, 1906, Jun Average, Indonesia, IDN
30.1, 1906, Jul Average, Indonesia, IDN
30.3, 1906, Aug Average, Indonesia, IDN
30.5, 1906, Sep Average, Indonesia, IDN
30.8, 1906, Oct Average, Indonesia, IDN
30.9, 1906, Nov Average, Indonesia, IDN
30.2, 1906, Dec Average, Indonesia, IDN
29.9, 1907, Jan Average, Indonesia, IDN
30.0, 1907, Feb Average, Indonesia, IDN
30.2, 1907, Mar Average, Indonesia, IDN
30.5, 1907, Apr Average, Indonesia, IDN
30.9, 1907, May Average, Indonesia, IDN
30.2, 1907, Jun Average, Indonesia, IDN
30.0, 1907, Jul Average, Indonesia, IDN
30.2, 1907, Aug Average, Indonesia, IDN
30.7, 1907, Sep Average, Indonesia, IDN
30.8, 1907, Oct Average, Indonesia, IDN
30.9, 1907, Nov Average, Indonesia, IDN
30.2, 1907, Dec Average, Indonesia, IDN
30.0, 1908, Jan Average, Indonesia, IDN
30.2, 1908, Feb Average, Indonesia, IDN
30.4, 1908, Mar Average, Indonesia, IDN
30.7, 1908, Apr Average, Indonesia, IDN
30.9, 1908, May Average, Indonesia, IDN
30.2, 1908, Jun Average, Indonesia, IDN
30.2, 1908, Jul Average, Indonesia, IDN
30.3, 1908, Aug Average, Indonesia, IDN
30.8, 1908, Sep Average, Indonesia, IDN
30.8, 1908, Oct Average, Indonesia, IDN
30.9, 1908, Nov Average, Indonesia, IDN
30.3, 1908, Dec Average, Indonesia, IDN
30.1, 1909, Jan Average, Indonesia, IDN
30.2, 1909, Feb Average, Indonesia, IDN
30.3, 1909, Mar Average, Indonesia, IDN
30.6, 1909, Apr Average, Indonesia, IDN
30.9, 1909, May Average, Indonesia, IDN
30.5, 1909, Jun Average, Indonesia, IDN
30.0, 1909, Jul Average, Indonesia, IDN
30.4, 1909, Aug Average, Indonesia, IDN
30.5, 1909, Sep Average, Indonesia, IDN
30.8, 1909, Oct Average, Indonesia, IDN
30.9, 1909, Nov Average, Indonesia, IDN
30.2, 1909, Dec Average, Indonesia, IDN
30.0, 1910, Jan Average, Indonesia, IDN
30.2, 1910, Feb Average, Indonesia, IDN
30.3, 1910, Mar Average, Indonesia, IDN
30.5, 1910, Apr Average, Indonesia, IDN
30.9, 1910, May Average, Indonesia, IDN
30.2, 1910, Jun Average, Indonesia, IDN
30.1, 1910, Jul Average, Indonesia, IDN
30.3, 1910, Aug Average, Indonesia, IDN
30.8, 1910, Sep Average, Indonesia, IDN
30.7, 1910, Oct Average, Indonesia, IDN
30.9, 1910, Nov Average, Indonesia, IDN
30.2, 1910, Dec Average, Indonesia, IDN
30.1, 1911, Jan Average, Indonesia, IDN
30.3, 1911, Feb Average, Indonesia, IDN
30.6, 1911, Mar Average, Indonesia, IDN
30.8, 1911, Apr Average, Indonesia, IDN
30.9, 1911, May Average, Indonesia, IDN
30.4, 1911, Jun Average, Indonesia, IDN
30.2, 1911, Jul Average, Indonesia, IDN
30.3, 1911, Aug Average, Indonesia, IDN
30.7, 1911, Sep Average, Indonesia, IDN
31.0, 1911, Oct Average, Indonesia, IDN
31.2, 1911, Nov Average, Indonesia, IDN
30.6, 1911, Dec Average, Indonesia, IDN
30.3, 1912, Jan Average, Indonesia, IDN
30.5, 1912, Feb Average, Indonesia, IDN
