tasmax, Year, Statistics, Country, ISO3
29.5, 1901, Jan Average, Philippines, PHL
28.6, 1901, Feb Average, Philippines, PHL
30.0, 1901, Mar Average, Philippines, PHL
31.6, 1901, Apr Average, Philippines, PHL
31.6, 1901, May Average, Philippines, PHL
30.5, 1901, Jun Average, Philippines, PHL
29.8, 1901, Jul Average, Philippines, PHL
29.3, 1901, Aug Average, Philippines, PHL
29.8, 1901, Sep Average, Philippines, PHL
29.7, 1901, Oct Average, Philippines, PHL
29.4, 1901, Nov Average, Philippines, PHL
28.7, 1901, Dec Average, Philippines, PHL
29.2, 1902, Jan Average, Philippines, PHL
27.9, 1902, Feb Average, Philippines, PHL
30.5, 1902, Mar Average, Philippines, PHL
31.4, 1902, Apr Average, Philippines, PHL
31.7, 1902, May Average, Philippines, PHL
30.4, 1902, Jun Average, Philippines, PHL
29.6, 1902, Jul Average, Philippines, PHL
29.5, 1902, Aug Average, Philippines, PHL
29.3, 1902, Sep Average, Philippines, PHL
29.6, 1902, Oct Average, Philippines, PHL
29.6, 1902, Nov Average, Philippines, PHL
29.4, 1902, Dec Average, Philippines, PHL
28.6, 1903, Jan Average, Philippines, PHL
27.8, 1903, Feb Average, Philippines, PHL
29.8, 1903, Mar Average, Philippines, PHL
30.7, 1903, Apr Average, Philippines, PHL
30.8, 1903, May Average, Philippines, PHL
30.7, 1903, Jun Average, Philippines, PHL
29.6, 1903, Jul Average, Philippines, PHL
29.7, 1903, Aug Average, Philippines, PHL
29.5, 1903, Sep Average, Philippines, PHL
29.0, 1903, Oct Average, Philippines, PHL
28.6, 1903, Nov Average, Philippines, PHL
27.5, 1903, Dec Average, Philippines, PHL
27.7, 1904, Jan Average, Philippines, PHL
27.6, 1904, Feb Average, Philippines, PHL
29.4, 1904, Mar Average, Philippines, PHL
30.0, 1904, Apr Average, Philippines, PHL
30.2, 1904, May Average, Philippines, PHL
29.4, 1904, Jun Average, Philippines, PHL
28.4, 1904, Jul Average, Philippines, PHL
28.6, 1904, Aug Average, Philippines, PHL
28.8, 1904, Sep Average, Philippines, PHL
29.0, 1904, Oct Average, Philippines, PHL
28.3, 1904, Nov Average, Philippines, PHL
27.7, 1904, Dec Average, Philippines, PHL
29.2, 1905, Jan Average, Philippines, PHL
28.8, 1905, Feb Average, Philippines, PHL
29.9, 1905, Mar Average, Philippines, PHL
30.7, 1905, Apr Average, Philippines, PHL
31.0, 1905, May Average, Philippines, PHL
29.5, 1905, Jun Average, Philippines, PHL
28.5, 1905, Jul Average, Philippines, PHL
29.1, 1905, Aug Average, Philippines, PHL
28.5, 1905, Sep Average, Philippines, PHL
28.9, 1905, Oct Average, Philippines, PHL
28.7, 1905, Nov Average, Philippines, PHL
29.4, 1905, Dec Average, Philippines, PHL
28.8, 1906, Jan Average, Philippines, PHL
29.7, 1906, Feb Average, Philippines, PHL
30.2, 1906, Mar Average, Philippines, PHL
32.0, 1906, Apr Average, Philippines, PHL
31.3, 1906, May Average, Philippines, PHL
30.0, 1906, Jun Average, Philippines, PHL
29.6, 1906, Jul Average, Philippines, PHL
29.5, 1906, Aug Average, Philippines, PHL
28.6, 1906, Sep Average, Philippines, PHL
28.4, 1906, Oct Average, Philippines, PHL
28.3, 1906, Nov Average, Philippines, PHL
28.7, 1906, Dec Average, Philippines, PHL
28.2, 1907, Jan Average, Philippines, PHL
28.1, 1907, Feb Average, Philippines, PHL
29.5, 1907, Mar Average, Philippines, PHL
30.3, 1907, Apr Average, Philippines, PHL
30.9, 1907, May Average, Philippines, PHL
30.0, 1907, Jun Average, Philippines, PHL
29.0, 1907, Jul Average, Philippines, PHL
28.7, 1907, Aug Average, Philippines, PHL
28.8, 1907, Sep Average, Philippines, PHL
30.0, 1907, Oct Average, Philippines, PHL
29.6, 1907, Nov Average, Philippines, PHL
28.3, 1907, Dec Average, Philippines, PHL
28.2, 1908, Jan Average, Philippines, PHL
28.2, 1908, Feb Average, Philippines, PHL
29.0, 1908, Mar Average, Philippines, PHL
30.9, 1908, Apr Average, Philippines, PHL
30.3, 1908, May Average, Philippines, PHL
29.7, 1908, Jun Average, Philippines, PHL
29.1, 1908, Jul Average, Philippines, PHL
29.1, 1908, Aug Average, Philippines, PHL
29.3, 1908, Sep Average, Philippines, PHL
29.5, 1908, Oct Average, Philippines, PHL
28.3, 1908, Nov Average, Philippines, PHL
28.7, 1908, Dec Average, Philippines, PHL
28.9, 1909, Jan Average, Philippines, PHL
29.2, 1909, Feb Average, Philippines, PHL
30.0, 1909, Mar Average, Philippines, PHL
30.9, 1909, Apr Average, Philippines, PHL
31.1, 1909, May Average, Philippines, PHL
30.5, 1909, Jun Average, Philippines, PHL
28.6, 1909, Jul Average, Philippines, PHL
29.9, 1909, Aug Average, Philippines, PHL
28.8, 1909, Sep Average, Philippines, PHL
29.5, 1909, Oct Average, Philippines, PHL
28.5, 1909, Nov Average, Philippines, PHL
27.7, 1909, Dec Average, Philippines, PHL
28.4, 1910, Jan Average, Philippines, PHL
28.4, 1910, Feb Average, Philippines, PHL
29.3, 1910, Mar Average, Philippines, PHL
30.1, 1910, Apr Average, Philippines, PHL
30.3, 1910, May Average, Philippines, PHL
30.1, 1910, Jun Average, Philippines, PHL
29.4, 1910, Jul Average, Philippines, PHL
29.3, 1910, Aug Average, Philippines, PHL
28.6, 1910, Sep Average, Philippines, PHL
28.7, 1910, Oct Average, Philippines, PHL
28.7, 1910, Nov Average, Philippines, PHL
28.6, 1910, Dec Average, Philippines, PHL
28.9, 1911, Jan Average, Philippines, PHL
28.1, 1911, Feb Average, Philippines, PHL
29.8, 1911, Mar Average, Philippines, PHL
30.3, 1911, Apr Average, Philippines, PHL
30.4, 1911, May Average, Philippines, PHL
30.4, 1911, Jun Average, Philippines, PHL
28.8, 1911, Jul Average, Philippines, PHL
28.9, 1911, Aug Average, Philippines, PHL
29.2, 1911, Sep Average, Philippines, PHL
29.6, 1911, Oct Average, Philippines, PHL
29.2, 1911, Nov Average, Philippines, PHL
29.5, 1911, Dec Average, Philippines, PHL
28.5, 1912, Jan Average, Philippines, PHL
29.5, 1912, Feb Average, Philippines, PHL
30.8, 1912, Mar Average, Philippines, PHL
31.8, 1912, Apr Average, Philippines, PHL
32.0, 1912, May Average, Philippines, PHL
31.3, 1912, Jun Average, Philippines, PHL
29.6, 1912, Jul Average, Philippines, PHL
28.9, 1912, Aug Average, Philippines, PHL
29.1, 1912, Sep Average, Philippines, PHL
29.2, 1912, Oct Average, Philippines, PHL
29.2, 1912, Nov Average, Philippines, PHL
28.9, 1912, Dec Average, Philippines, PHL
29.1, 1913, Jan Average, Philippines, PHL
29.1, 1913, Feb Average, Philippines, PHL
30.0, 1913, Mar Average, Philippines, PHL
30.8, 1913, Apr Average, Philippines, PHL
30.6, 1913, May Average, Philippines, PHL
30.7, 1913, Jun Average, Philippines, PHL
29.0, 1913, Jul Average, Philippines, PHL
28.7, 1913, Aug Average, Philippines, PHL
28.9, 1913, Sep Average, Philippines, PHL
28.9, 1913, Oct Average, Philippines, PHL
29.1, 1913, Nov Average, Philippines, PHL
28.7, 1913, Dec Average, Philippines, PHL
28.4, 1914, Jan Average, Philippines, PHL
28.3, 1914, Feb Average, Philippines, PHL
30.7, 1914, Mar Average, Philippines, PHL
31.4, 1914, Apr Average, Philippines, PHL
31.6, 1914, May Average, Philippines, PHL
29.8, 1914, Jun Average, Philippines, PHL
29.1, 1914, Jul Average, Philippines, PHL
28.9, 1914, Aug Average, Philippines, PHL
28.6, 1914, Sep Average, Philippines, PHL
29.7, 1914, Oct Average, Philippines, PHL
29.9, 1914, Nov Average, Philippines, PHL
29.6, 1914, Dec Average, Philippines, PHL
29.2, 1915, Jan Average, Philippines, PHL
30.3, 1915, Feb Average, Philippines, PHL
30.5, 1915, Mar Average, Philippines, PHL
32.1, 1915, Apr Average, Philippines, PHL
31.3, 1915, May Average, Philippines, PHL
31.0, 1915, Jun Average, Philippines, PHL
30.1, 1915, Jul Average, Philippines, PHL
29.4, 1915, Aug Average, Philippines, PHL
29.4, 1915, Sep Average, Philippines, PHL
29.6, 1915, Oct Average, Philippines, PHL
29.8, 1915, Nov Average, Philippines, PHL
28.5, 1915, Dec Average, Philippines, PHL
28.2, 1916, Jan Average, Philippines, PHL
28.8, 1916, Feb Average, Philippines, PHL
29.2, 1916, Mar Average, Philippines, PHL
30.5, 1916, Apr Average, Philippines, PHL
30.2, 1916, May Average, Philippines, PHL
29.5, 1916, Jun Average, Philippines, PHL
29.5, 1916, Jul Average, Philippines, PHL
29.4, 1916, Aug Average, Philippines, PHL
28.8, 1916, Sep Average, Philippines, PHL
29.1, 1916, Oct Average, Philippines, PHL
28.9, 1916, Nov Average, Philippines, PHL
28.6, 1916, Dec Average, Philippines, PHL
28.0, 1917, Jan Average, Philippines, PHL
27.8, 1917, Feb Average, Philippines, PHL
29.3, 1917, Mar Average, Philippines, PHL
30.8, 1917, Apr Average, Philippines, PHL
30.2, 1917, May Average, Philippines, PHL
30.0, 1917, Jun Average, Philippines, PHL
28.4, 1917, Jul Average, Philippines, PHL
29.2, 1917, Aug Average, Philippines, PHL
29.0, 1917, Sep Average, Philippines, PHL
28.8, 1917, Oct Average, Philippines, PHL
28.4, 1917, Nov Average, Philippines, PHL
28.0, 1917, Dec Average, Philippines, PHL
26.3, 1918, Jan Average, Philippines, PHL
27.2, 1918, Feb Average, Philippines, PHL
28.7, 1918, Mar Average, Philippines, PHL
30.1, 1918, Apr Average, Philippines, PHL
30.9, 1918, May Average, Philippines, PHL
29.7, 1918, Jun Average, Philippines, PHL
28.8, 1918, Jul Average, Philippines, PHL
28.5, 1918, Aug Average, Philippines, PHL
29.1, 1918, Sep Average, Philippines, PHL
28.8, 1918, Oct Average, Philippines, PHL
29.3, 1918, Nov Average, Philippines, PHL
28.6, 1918, Dec Average, Philippines, PHL
29.2, 1919, Jan Average, Philippines, PHL
29.3, 1919, Feb Average, Philippines, PHL
30.7, 1919, Mar Average, Philippines, PHL
31.7, 1919, Apr Average, Philippines, PHL
31.5, 1919, May Average, Philippines, PHL
