tasmin, Year, Statistics, Country, ISO3
-14.8, 1901, Jan Average, China, CHN
-13.0, 1901, Feb Average, China, CHN
-5.9, 1901, Mar Average, China, CHN
1.0, 1901, Apr Average, China, CHN
6.3, 1901, May Average, China, CHN
10.7, 1901, Jun Average, China, CHN
13.6, 1901, Jul Average, China, CHN
12.7, 1901, Aug Average, China, CHN
7.8, 1901, Sep Average, China, CHN
0.8, 1901, Oct Average, China, CHN
-6.4, 1901, Nov Average, China, CHN
-13.3, 1901, Dec Average, China, CHN
-14.5, 1902, Jan Average, China, CHN
-12.2, 1902, Feb Average, China, CHN
-5.7, 1902, Mar Average, China, CHN
0.5, 1902, Apr Average, China, CHN
6.2, 1902, May Average, China, CHN
10.7, 1902, Jun Average, China, CHN
13.2, 1902, Jul Average, China, CHN
12.2, 1902, Aug Average, China, CHN
7.9, 1902, Sep Average, China, CHN
1.1, 1902, Oct Average, China, CHN
-6.4, 1902, Nov Average, China, CHN
-12.6, 1902, Dec Average, China, CHN
-14.8, 1903, Jan Average, China, CHN
-12.0, 1903, Feb Average, China, CHN
-6.3, 1903, Mar Average, China, CHN
0.8, 1903, Apr Average, China, CHN
6.1, 1903, May Average, China, CHN
10.7, 1903, Jun Average, China, CHN
13.5, 1903, Jul Average, China, CHN
12.5, 1903, Aug Average, China, CHN
7.9, 1903, Sep Average, China, CHN
0.8, 1903, Oct Average, China, CHN
-7.1, 1903, Nov Average, China, CHN
-13.5, 1903, Dec Average, China, CHN
-15.4, 1904, Jan Average, China, CHN
-12.2, 1904, Feb Average, China, CHN
-6.7, 1904, Mar Average, China, CHN
0.7, 1904, Apr Average, China, CHN
6.2, 1904, May Average, China, CHN
11.0, 1904, Jun Average, China, CHN
13.4, 1904, Jul Average, China, CHN
12.6, 1904, Aug Average, China, CHN
7.8, 1904, Sep Average, China, CHN
0.5, 1904, Oct Average, China, CHN
-6.7, 1904, Nov Average, China, CHN
-12.8, 1904, Dec Average, China, CHN
-13.9, 1905, Jan Average, China, CHN
-13.4, 1905, Feb Average, China, CHN
-7.4, 1905, Mar Average, China, CHN
-0.3, 1905, Apr Average, China, CHN
6.0, 1905, May Average, China, CHN
10.9, 1905, Jun Average, China, CHN
13.5, 1905, Jul Average, China, CHN
12.4, 1905, Aug Average, China, CHN
7.8, 1905, Sep Average, China, CHN
1.0, 1905, Oct Average, China, CHN
-6.9, 1905, Nov Average, China, CHN
-12.5, 1905, Dec Average, China, CHN
-15.5, 1906, Jan Average, China, CHN
-13.7, 1906, Feb Average, China, CHN
-6.6, 1906, Mar Average, China, CHN
0.8, 1906, Apr Average, China, CHN
6.3, 1906, May Average, China, CHN
10.9, 1906, Jun Average, China, CHN
13.5, 1906, Jul Average, China, CHN
12.5, 1906, Aug Average, China, CHN
7.9, 1906, Sep Average, China, CHN
1.0, 1906, Oct Average, China, CHN
