tasmin, Year, Statistics, Country, ISO3
5.1, 1901, Jan Average, Egypt, EGY
9.0, 1901, Feb Average, Egypt, EGY
11.5, 1901, Mar Average, Egypt, EGY
14.4, 1901, Apr Average, Egypt, EGY
16.8, 1901, May Average, Egypt, EGY
20.3, 1901, Jun Average, Egypt, EGY
21.2, 1901, Jul Average, Egypt, EGY
21.4, 1901, Aug Average, Egypt, EGY
19.5, 1901, Sep Average, Egypt, EGY
16.8, 1901, Oct Average, Egypt, EGY
11.1, 1901, Nov Average, Egypt, EGY
7.8, 1901, Dec Average, Egypt, EGY
5.4, 1902, Jan Average, Egypt, EGY
8.4, 1902, Feb Average, Egypt, EGY
9.5, 1902, Mar Average, Egypt, EGY
13.8, 1902, Apr Average, Egypt, EGY
17.9, 1902, May Average, Egypt, EGY
19.3, 1902, Jun Average, Egypt, EGY
20.9, 1902, Jul Average, Egypt, EGY
21.3, 1902, Aug Average, Egypt, EGY
20.2, 1902, Sep Average, Egypt, EGY
17.2, 1902, Oct Average, Egypt, EGY
10.8, 1902, Nov Average, Egypt, EGY
6.5, 1902, Dec Average, Egypt, EGY
4.6, 1903, Jan Average, Egypt, EGY
5.5, 1903, Feb Average, Egypt, EGY
8.9, 1903, Mar Average, Egypt, EGY
14.1, 1903, Apr Average, Egypt, EGY
17.7, 1903, May Average, Egypt, EGY
19.5, 1903, Jun Average, Egypt, EGY
20.3, 1903, Jul Average, Egypt, EGY
21.3, 1903, Aug Average, Egypt, EGY
18.4, 1903, Sep Average, Egypt, EGY
16.0, 1903, Oct Average, Egypt, EGY
10.4, 1903, Nov Average, Egypt, EGY
7.5, 1903, Dec Average, Egypt, EGY
5.5, 1904, Jan Average, Egypt, EGY
7.6, 1904, Feb Average, Egypt, EGY
10.0, 1904, Mar Average, Egypt, EGY
12.9, 1904, Apr Average, Egypt, EGY
17.0, 1904, May Average, Egypt, EGY
19.4, 1904, Jun Average, Egypt, EGY
20.5, 1904, Jul Average, Egypt, EGY
21.0, 1904, Aug Average, Egypt, EGY
19.0, 1904, Sep Average, Egypt, EGY
17.5, 1904, Oct Average, Egypt, EGY
10.2, 1904, Nov Average, Egypt, EGY
5.5, 1904, Dec Average, Egypt, EGY
4.2, 1905, Jan Average, Egypt, EGY
4.7, 1905, Feb Average, Egypt, EGY
8.3, 1905, Mar Average, Egypt, EGY
13.7, 1905, Apr Average, Egypt, EGY
18.0, 1905, May Average, Egypt, EGY
20.3, 1905, Jun Average, Egypt, EGY
21.8, 1905, Jul Average, Egypt, EGY
21.9, 1905, Aug Average, Egypt, EGY
20.5, 1905, Sep Average, Egypt, EGY
18.2, 1905, Oct Average, Egypt, EGY
13.3, 1905, Nov Average, Egypt, EGY
6.4, 1905, Dec Average, Egypt, EGY
5.5, 1906, Jan Average, Egypt, EGY
7.3, 1906, Feb Average, Egypt, EGY
10.3, 1906, Mar Average, Egypt, EGY
13.7, 1906, Apr Average, Egypt, EGY
17.7, 1906, May Average, Egypt, EGY
21.1, 1906, Jun Average, Egypt, EGY
21.7, 1906, Jul Average, Egypt, EGY
21.9, 1906, Aug Average, Egypt, EGY
18.9, 1906, Sep Average, Egypt, EGY
17.1, 1906, Oct Average, Egypt, EGY
12.3, 1906, Nov Average, Egypt, EGY
8.5, 1906, Dec Average, Egypt, EGY
6.0, 1907, Jan Average, Egypt, EGY
7.2, 1907, Feb Average, Egypt, EGY
7.8, 1907, Mar Average, Egypt, EGY
13.0, 1907, Apr Average, Egypt, EGY
17.4, 1907, May Average, Egypt, EGY
20.4, 1907, Jun Average, Egypt, EGY
21.4, 1907, Jul Average, Egypt, EGY
21.8, 1907, Aug Average, Egypt, EGY
18.9, 1907, Sep Average, Egypt, EGY
16.6, 1907, Oct Average, Egypt, EGY
10.7, 1907, Nov Average, Egypt, EGY
7.7, 1907, Dec Average, Egypt, EGY
5.8, 1908, Jan Average, Egypt, EGY
7.2, 1908, Feb Average, Egypt, EGY
10.4, 1908, Mar Average, Egypt, EGY
14.3, 1908, Apr Average, Egypt, EGY
18.5, 1908, May Average, Egypt, EGY
20.4, 1908, Jun Average, Egypt, EGY
21.0, 1908, Jul Average, Egypt, EGY
21.2, 1908, Aug Average, Egypt, EGY
19.5, 1908, Sep Average, Egypt, EGY
17.1, 1908, Oct Average, Egypt, EGY
10.6, 1908, Nov Average, Egypt, EGY
6.2, 1908, Dec Average, Egypt, EGY
5.5, 1909, Jan Average, Egypt, EGY
7.1, 1909, Feb Average, Egypt, EGY
12.1, 1909, Mar Average, Egypt, EGY
12.5, 1909, Apr Average, Egypt, EGY
20.0, 1909, May Average, Egypt, EGY
21.3, 1909, Jun Average, Egypt, EGY
22.6, 1909, Jul Average, Egypt, EGY
22.4, 1909, Aug Average, Egypt, EGY
20.6, 1909, Sep Average, Egypt, EGY
17.5, 1909, Oct Average, Egypt, EGY
12.7, 1909, Nov Average, Egypt, EGY
8.9, 1909, Dec Average, Egypt, EGY
5.4, 1910, Jan Average, Egypt, EGY
7.5, 1910, Feb Average, Egypt, EGY
7.3, 1910, Mar Average, Egypt, EGY
15.1, 1910, Apr Average, Egypt, EGY
18.2, 1910, May Average, Egypt, EGY
20.2, 1910, Jun Average, Egypt, EGY
22.1, 1910, Jul Average, Egypt, EGY
22.2, 1910, Aug Average, Egypt, EGY
20.1, 1910, Sep Average, Egypt, EGY
15.8, 1910, Oct Average, Egypt, EGY
11.1, 1910, Nov Average, Egypt, EGY
6.5, 1910, Dec Average, Egypt, EGY
5.6, 1911, Jan Average, Egypt, EGY
5.2, 1911, Feb Average, Egypt, EGY
9.0, 1911, Mar Average, Egypt, EGY
13.6, 1911, Apr Average, Egypt, EGY
18.0, 1911, May Average, Egypt, EGY
20.1, 1911, Jun Average, Egypt, EGY
21.2, 1911, Jul Average, Egypt, EGY
21.1, 1911, Aug Average, Egypt, EGY
19.4, 1911, Sep Average, Egypt, EGY
17.0, 1911, Oct Average, Egypt, EGY
12.2, 1911, Nov Average, Egypt, EGY
7.4, 1911, Dec Average, Egypt, EGY
5.3, 1912, Jan Average, Egypt, EGY
7.9, 1912, Feb Average, Egypt, EGY
10.2, 1912, Mar Average, Egypt, EGY
13.6, 1912, Apr Average, Egypt, EGY
16.9, 1912, May Average, Egypt, EGY
20.0, 1912, Jun Average, Egypt, EGY
20.8, 1912, Jul Average, Egypt, EGY
21.3, 1912, Aug Average, Egypt, EGY
19.8, 1912, Sep Average, Egypt, EGY
16.6, 1912, Oct Average, Egypt, EGY
11.9, 1912, Nov Average, Egypt, EGY
6.8, 1912, Dec Average, Egypt, EGY
5.9, 1913, Jan Average, Egypt, EGY
6.3, 1913, Feb Average, Egypt, EGY
8.7, 1913, Mar Average, Egypt, EGY
14.1, 1913, Apr Average, Egypt, EGY
17.0, 1913, May Average, Egypt, EGY
19.5, 1913, Jun Average, Egypt, EGY
21.5, 1913, Jul Average, Egypt, EGY
21.3, 1913, Aug Average, Egypt, EGY
20.2, 1913, Sep Average, Egypt, EGY
17.1, 1913, Oct Average, Egypt, EGY
10.8, 1913, Nov Average, Egypt, EGY
6.4, 1913, Dec Average, Egypt, EGY
6.0, 1914, Jan Average, Egypt, EGY
7.0, 1914, Feb Average, Egypt, EGY
11.3, 1914, Mar Average, Egypt, EGY
11.9, 1914, Apr Average, Egypt, EGY
18.4, 1914, May Average, Egypt, EGY
20.6, 1914, Jun Average, Egypt, EGY
21.4, 1914, Jul Average, Egypt, EGY
22.3, 1914, Aug Average, Egypt, EGY
19.8, 1914, Sep Average, Egypt, EGY
16.7, 1914, Oct Average, Egypt, EGY
12.5, 1914, Nov Average, Egypt, EGY
8.0, 1914, Dec Average, Egypt, EGY
8.1, 1915, Jan Average, Egypt, EGY
8.9, 1915, Feb Average, Egypt, EGY
11.0, 1915, Mar Average, Egypt, EGY
14.0, 1915, Apr Average, Egypt, EGY
17.8, 1915, May Average, Egypt, EGY
21.5, 1915, Jun Average, Egypt, EGY
22.6, 1915, Jul Average, Egypt, EGY
22.6, 1915, Aug Average, Egypt, EGY
20.1, 1915, Sep Average, Egypt, EGY
18.0, 1915, Oct Average, Egypt, EGY
13.0, 1915, Nov Average, Egypt, EGY
9.2, 1915, Dec Average, Egypt, EGY
5.1, 1916, Jan Average, Egypt, EGY
8.1, 1916, Feb Average, Egypt, EGY
12.3, 1916, Mar Average, Egypt, EGY
14.9, 1916, Apr Average, Egypt, EGY
19.1, 1916, May Average, Egypt, EGY
23.0, 1916, Jun Average, Egypt, EGY
23.1, 1916, Jul Average, Egypt, EGY
21.9, 1916, Aug Average, Egypt, EGY
19.6, 1916, Sep Average, Egypt, EGY
16.2, 1916, Oct Average, Egypt, EGY
14.0, 1916, Nov Average, Egypt, EGY
9.3, 1916, Dec Average, Egypt, EGY
7.1, 1917, Jan Average, Egypt, EGY
7.6, 1917, Feb Average, Egypt, EGY
11.5, 1917, Mar Average, Egypt, EGY
15.2, 1917, Apr Average, Egypt, EGY
16.4, 1917, May Average, Egypt, EGY
19.8, 1917, Jun Average, Egypt, EGY
21.6, 1917, Jul Average, Egypt, EGY
22.3, 1917, Aug Average, Egypt, EGY
19.6, 1917, Sep Average, Egypt, EGY
16.3, 1917, Oct Average, Egypt, EGY
14.7, 1917, Nov Average, Egypt, EGY
7.4, 1917, Dec Average, Egypt, EGY
5.4, 1918, Jan Average, Egypt, EGY
6.6, 1918, Feb Average, Egypt, EGY
9.9, 1918, Mar Average, Egypt, EGY
14.2, 1918, Apr Average, Egypt, EGY
17.6, 1918, May Average, Egypt, EGY
20.4, 1918, Jun Average, Egypt, EGY
22.6, 1918, Jul Average, Egypt, EGY
21.4, 1918, Aug Average, Egypt, EGY
20.8, 1918, Sep Average, Egypt, EGY
19.1, 1918, Oct Average, Egypt, EGY
13.8, 1918, Nov Average, Egypt, EGY
7.8, 1918, Dec Average, Egypt, EGY
8.0, 1919, Jan Average, Egypt, EGY
9.3, 1919, Feb Average, Egypt, EGY
12.5, 1919, Mar Average, Egypt, EGY
14.2, 1919, Apr Average, Egypt, EGY
16.6, 1919, May Average, Egypt, EGY
19.5, 1919, Jun Average, Egypt, EGY
22.4, 1919, Jul Average, Egypt, EGY
21.1, 1919, Aug Average, Egypt, EGY
20.4, 1919, Sep Average, Egypt, EGY
18.6, 1919, Oct Average, Egypt, EGY
13.7, 1919, Nov Average, Egypt, EGY
7.3, 1919, Dec Average, Egypt, EGY
5.9, 1920, Jan Average, Egypt, EGY
4.7, 1920, Feb Average, Egypt, EGY
9.4, 1920, Mar Average, Egypt, EGY
15.1, 1920, Apr Average, Egypt, EGY
17.6, 1920, May Average, Egypt, EGY
20.6, 1920, Jun Average, Egypt, EGY
21.8, 1920, Jul Average, Egypt, EGY
23.2, 1920, Aug Average, Egypt, EGY
20.0, 1920, Sep Average, Egypt, EGY
17.5, 1920, Oct Average, Egypt, EGY
11.2, 1920, Nov Average, Egypt, EGY
7.0, 1920, Dec Average, Egypt, EGY
6.0, 1921, Jan Average, Egypt, EGY
6.0, 1921, Feb Average, Egypt, EGY
8.0, 1921, Mar Average, Egypt, EGY
14.8, 1921, Apr Average, Egypt, EGY
17.3, 1921, May Average, Egypt, EGY
20.5, 1921, Jun Average, Egypt, EGY
22.0, 1921, Jul Average, Egypt, EGY
22.9, 1921, Aug Average, Egypt, EGY
19.4, 1921, Sep Average, Egypt, EGY
16.8, 1921, Oct Average, Egypt, EGY
11.8, 1921, Nov Average, Egypt, EGY
7.8, 1921, Dec Average, Egypt, EGY
6.2, 1922, Jan Average, Egypt, EGY
7.3, 1922, Feb Average, Egypt, EGY
10.4, 1922, Mar Average, Egypt, EGY
14.8, 1922, Apr Average, Egypt, EGY
17.4, 1922, May Average, Egypt, EGY
20.3, 1922, Jun Average, Egypt, EGY
22.2, 1922, Jul Average, Egypt, EGY
22.1, 1922, Aug Average, Egypt, EGY
20.9, 1922, Sep Average, Egypt, EGY
18.4, 1922, Oct Average, Egypt, EGY
14.0, 1922, Nov Average, Egypt, EGY
6.8, 1922, Dec Average, Egypt, EGY
7.3, 1923, Jan Average, Egypt, EGY
7.3, 1923, Feb Average, Egypt, EGY
9.9, 1923, Mar Average, Egypt, EGY
13.3, 1923, Apr Average, Egypt, EGY
18.4, 1923, May Average, Egypt, EGY
22.4, 1923, Jun Average, Egypt, EGY
21.4, 1923, Jul Average, Egypt, EGY
21.7, 1923, Aug Average, Egypt, EGY
20.4, 1923, Sep Average, Egypt, EGY
17.2, 1923, Oct Average, Egypt, EGY
13.2, 1923, Nov Average, Egypt, EGY
8.2, 1923, Dec Average, Egypt, EGY
5.8, 1924, Jan Average, Egypt, EGY
8.5, 1924, Feb Average, Egypt, EGY
11.0, 1924, Mar Average, Egypt, EGY
15.5, 1924, Apr Average, Egypt, EGY
17.4, 1924, May Average, Egypt, EGY
21.3, 1924, Jun Average, Egypt, EGY
22.4, 1924, Jul Average, Egypt, EGY
22.4, 1924, Aug Average, Egypt, EGY
20.8, 1924, Sep Average, Egypt, EGY
17.1, 1924, Oct Average, Egypt, EGY
