tasmin, Year, Statistics, Country, ISO3
-33.1, 1901, Jan Average, Russia, RUS
-27.9, 1901, Feb Average, Russia, RUS
-21.8, 1901, Mar Average, Russia, RUS
-12.1, 1901, Apr Average, Russia, RUS
-2.8, 1901, May Average, Russia, RUS
5.5, 1901, Jun Average, Russia, RUS
8.7, 1901, Jul Average, Russia, RUS
6.7, 1901, Aug Average, Russia, RUS
0.2, 1901, Sep Average, Russia, RUS
-10.2, 1901, Oct Average, Russia, RUS
-21.5, 1901, Nov Average, Russia, RUS
-30.8, 1901, Dec Average, Russia, RUS
-32.9, 1902, Jan Average, Russia, RUS
-29.6, 1902, Feb Average, Russia, RUS
-25.2, 1902, Mar Average, Russia, RUS
-15.2, 1902, Apr Average, Russia, RUS
-4.6, 1902, May Average, Russia, RUS
4.4, 1902, Jun Average, Russia, RUS
9.1, 1902, Jul Average, Russia, RUS
6.2, 1902, Aug Average, Russia, RUS
0.5, 1902, Sep Average, Russia, RUS
-11.8, 1902, Oct Average, Russia, RUS
-25.4, 1902, Nov Average, Russia, RUS
-31.4, 1902, Dec Average, Russia, RUS
-31.5, 1903, Jan Average, Russia, RUS
-26.1, 1903, Feb Average, Russia, RUS
-22.6, 1903, Mar Average, Russia, RUS
-13.3, 1903, Apr Average, Russia, RUS
-3.2, 1903, May Average, Russia, RUS
4.5, 1903, Jun Average, Russia, RUS
9.1, 1903, Jul Average, Russia, RUS
6.4, 1903, Aug Average, Russia, RUS
0.7, 1903, Sep Average, Russia, RUS
-10.2, 1903, Oct Average, Russia, RUS
-20.6, 1903, Nov Average, Russia, RUS
-30.7, 1903, Dec Average, Russia, RUS
-31.1, 1904, Jan Average, Russia, RUS
-30.2, 1904, Feb Average, Russia, RUS
-22.6, 1904, Mar Average, Russia, RUS
-13.2, 1904, Apr Average, Russia, RUS
-3.1, 1904, May Average, Russia, RUS
4.6, 1904, Jun Average, Russia, RUS
8.1, 1904, Jul Average, Russia, RUS
6.8, 1904, Aug Average, Russia, RUS
0.0, 1904, Sep Average, Russia, RUS
-9.1, 1904, Oct Average, Russia, RUS
-19.7, 1904, Nov Average, Russia, RUS
-28.7, 1904, Dec Average, Russia, RUS
-29.9, 1905, Jan Average, Russia, RUS
-29.4, 1905, Feb Average, Russia, RUS
-23.8, 1905, Mar Average, Russia, RUS
-14.1, 1905, Apr Average, Russia, RUS
-3.4, 1905, May Average, Russia, RUS
4.1, 1905, Jun Average, Russia, RUS
8.7, 1905, Jul Average, Russia, RUS
6.3, 1905, Aug Average, Russia, RUS
1.1, 1905, Sep Average, Russia, RUS
-9.2, 1905, Oct Average, Russia, RUS
-22.0, 1905, Nov Average, Russia, RUS
-28.5, 1905, Dec Average, Russia, RUS
-33.4, 1906, Jan Average, Russia, RUS
-31.4, 1906, Feb Average, Russia, RUS
-21.9, 1906, Mar Average, Russia, RUS
-11.1, 1906, Apr Average, Russia, RUS
-2.6, 1906, May Average, Russia, RUS
6.1, 1906, Jun Average, Russia, RUS
8.7, 1906, Jul Average, Russia, RUS
7.7, 1906, Aug Average, Russia, RUS
0.9, 1906, Sep Average, Russia, RUS
-8.5, 1906, Oct Average, Russia, RUS
-23.4, 1906, Nov Average, Russia, RUS
-26.0, 1906, Dec Average, Russia, RUS
-34.0, 1907, Jan Average, Russia, RUS
-30.0, 1907, Feb Average, Russia, RUS
-22.8, 1907, Mar Average, Russia, RUS
-12.0, 1907, Apr Average, Russia, RUS
-3.3, 1907, May Average, Russia, RUS
4.6, 1907, Jun Average, Russia, RUS
9.0, 1907, Jul Average, Russia, RUS
7.0, 1907, Aug Average, Russia, RUS
1.2, 1907, Sep Average, Russia, RUS
-8.7, 1907, Oct Average, Russia, RUS
-23.6, 1907, Nov Average, Russia, RUS
-32.7, 1907, Dec Average, Russia, RUS
-34.4, 1908, Jan Average, Russia, RUS
-29.0, 1908, Feb Average, Russia, RUS
-25.6, 1908, Mar Average, Russia, RUS
-13.7, 1908, Apr Average, Russia, RUS
-2.6, 1908, May Average, Russia, RUS
5.6, 1908, Jun Average, Russia, RUS
9.2, 1908, Jul Average, Russia, RUS
6.7, 1908, Aug Average, Russia, RUS
1.6, 1908, Sep Average, Russia, RUS
-8.8, 1908, Oct Average, Russia, RUS
-23.4, 1908, Nov Average, Russia, RUS
-30.9, 1908, Dec Average, Russia, RUS
-33.4, 1909, Jan Average, Russia, RUS
-29.8, 1909, Feb Average, Russia, RUS
-26.2, 1909, Mar Average, Russia, RUS
-13.5, 1909, Apr Average, Russia, RUS
-3.8, 1909, May Average, Russia, RUS
4.8, 1909, Jun Average, Russia, RUS
9.5, 1909, Jul Average, Russia, RUS
7.2, 1909, Aug Average, Russia, RUS
1.1, 1909, Sep Average, Russia, RUS
-8.3, 1909, Oct Average, Russia, RUS
-21.3, 1909, Nov Average, Russia, RUS
-28.6, 1909, Dec Average, Russia, RUS
-32.1, 1910, Jan Average, Russia, RUS
-27.8, 1910, Feb Average, Russia, RUS
-25.1, 1910, Mar Average, Russia, RUS
-13.3, 1910, Apr Average, Russia, RUS
-2.8, 1910, May Average, Russia, RUS
4.8, 1910, Jun Average, Russia, RUS
9.6, 1910, Jul Average, Russia, RUS
7.2, 1910, Aug Average, Russia, RUS
1.1, 1910, Sep Average, Russia, RUS
-9.5, 1910, Oct Average, Russia, RUS
-23.9, 1910, Nov Average, Russia, RUS
-30.5, 1910, Dec Average, Russia, RUS
-32.5, 1911, Jan Average, Russia, RUS
-30.7, 1911, Feb Average, Russia, RUS
-25.5, 1911, Mar Average, Russia, RUS
-12.7, 1911, Apr Average, Russia, RUS
-3.8, 1911, May Average, Russia, RUS
5.1, 1911, Jun Average, Russia, RUS
9.4, 1911, Jul Average, Russia, RUS
6.7, 1911, Aug Average, Russia, RUS
0.2, 1911, Sep Average, Russia, RUS
-8.9, 1911, Oct Average, Russia, RUS
-20.0, 1911, Nov Average, Russia, RUS
-29.3, 1911, Dec Average, Russia, RUS
-31.2, 1912, Jan Average, Russia, RUS
-32.0, 1912, Feb Average, Russia, RUS
-26.0, 1912, Mar Average, Russia, RUS
-13.1, 1912, Apr Average, Russia, RUS
-2.8, 1912, May Average, Russia, RUS
5.7, 1912, Jun Average, Russia, RUS
7.9, 1912, Jul Average, Russia, RUS
5.7, 1912, Aug Average, Russia, RUS
0.4, 1912, Sep Average, Russia, RUS
-12.6, 1912, Oct Average, Russia, RUS
-22.7, 1912, Nov Average, Russia, RUS
-30.9, 1912, Dec Average, Russia, RUS
-32.8, 1913, Jan Average, Russia, RUS
-31.8, 1913, Feb Average, Russia, RUS
-21.9, 1913, Mar Average, Russia, RUS
-13.7, 1913, Apr Average, Russia, RUS
-3.4, 1913, May Average, Russia, RUS
4.9, 1913, Jun Average, Russia, RUS
8.5, 1913, Jul Average, Russia, RUS
6.9, 1913, Aug Average, Russia, RUS
0.8, 1913, Sep Average, Russia, RUS
-9.8, 1913, Oct Average, Russia, RUS
-21.8, 1913, Nov Average, Russia, RUS
-26.3, 1913, Dec Average, Russia, RUS
-30.5, 1914, Jan Average, Russia, RUS
-27.0, 1914, Feb Average, Russia, RUS
-25.0, 1914, Mar Average, Russia, RUS
-13.8, 1914, Apr Average, Russia, RUS
-2.6, 1914, May Average, Russia, RUS
5.2, 1914, Jun Average, Russia, RUS
8.6, 1914, Jul Average, Russia, RUS
7.2, 1914, Aug Average, Russia, RUS
1.1, 1914, Sep Average, Russia, RUS
-9.6, 1914, Oct Average, Russia, RUS
-23.5, 1914, Nov Average, Russia, RUS
-27.3, 1914, Dec Average, Russia, RUS
-33.9, 1915, Jan Average, Russia, RUS
-30.3, 1915, Feb Average, Russia, RUS
-24.8, 1915, Mar Average, Russia, RUS
-13.2, 1915, Apr Average, Russia, RUS
-1.7, 1915, May Average, Russia, RUS
5.8, 1915, Jun Average, Russia, RUS
9.8, 1915, Jul Average, Russia, RUS
6.3, 1915, Aug Average, Russia, RUS
0.5, 1915, Sep Average, Russia, RUS
-11.4, 1915, Oct Average, Russia, RUS
-22.5, 1915, Nov Average, Russia, RUS
-31.9, 1915, Dec Average, Russia, RUS
-30.5, 1916, Jan Average, Russia, RUS
-29.0, 1916, Feb Average, Russia, RUS
-24.8, 1916, Mar Average, Russia, RUS
-14.2, 1916, Apr Average, Russia, RUS
-4.0, 1916, May Average, Russia, RUS
4.8, 1916, Jun Average, Russia, RUS
8.9, 1916, Jul Average, Russia, RUS
6.6, 1916, Aug Average, Russia, RUS
0.6, 1916, Sep Average, Russia, RUS
-8.5, 1916, Oct Average, Russia, RUS
-21.9, 1916, Nov Average, Russia, RUS
-32.4, 1916, Dec Average, Russia, RUS
-32.3, 1917, Jan Average, Russia, RUS
-31.1, 1917, Feb Average, Russia, RUS
-25.0, 1917, Mar Average, Russia, RUS
-12.2, 1917, Apr Average, Russia, RUS
-2.0, 1917, May Average, Russia, RUS
5.5, 1917, Jun Average, Russia, RUS
9.2, 1917, Jul Average, Russia, RUS
6.3, 1917, Aug Average, Russia, RUS
1.3, 1917, Sep Average, Russia, RUS
-9.4, 1917, Oct Average, Russia, RUS
-21.8, 1917, Nov Average, Russia, RUS
-28.1, 1917, Dec Average, Russia, RUS
-30.5, 1918, Jan Average, Russia, RUS
-29.8, 1918, Feb Average, Russia, RUS
-23.0, 1918, Mar Average, Russia, RUS
-12.8, 1918, Apr Average, Russia, RUS
