tasmin, Year, Statistics, Country, ISO3
-6.4, 1901, Jan Average, Turkey, TUR
-2.5, 1901, Feb Average, Turkey, TUR
1.3, 1901, Mar Average, Turkey, TUR
4.1, 1901, Apr Average, Turkey, TUR
7.5, 1901, May Average, Turkey, TUR
12.1, 1901, Jun Average, Turkey, TUR
15.0, 1901, Jul Average, Turkey, TUR
14.8, 1901, Aug Average, Turkey, TUR
9.7, 1901, Sep Average, Turkey, TUR
5.5, 1901, Oct Average, Turkey, TUR
0.4, 1901, Nov Average, Turkey, TUR
-0.3, 1901, Dec Average, Turkey, TUR
-3.9, 1902, Jan Average, Turkey, TUR
-1.8, 1902, Feb Average, Turkey, TUR
-1.0, 1902, Mar Average, Turkey, TUR
2.6, 1902, Apr Average, Turkey, TUR
6.9, 1902, May Average, Turkey, TUR
11.9, 1902, Jun Average, Turkey, TUR
12.9, 1902, Jul Average, Turkey, TUR
13.9, 1902, Aug Average, Turkey, TUR
9.6, 1902, Sep Average, Turkey, TUR
6.2, 1902, Oct Average, Turkey, TUR
-1.5, 1902, Nov Average, Turkey, TUR
-4.1, 1902, Dec Average, Turkey, TUR
-5.2, 1903, Jan Average, Turkey, TUR
-3.4, 1903, Feb Average, Turkey, TUR
-0.9, 1903, Mar Average, Turkey, TUR
5.0, 1903, Apr Average, Turkey, TUR
8.4, 1903, May Average, Turkey, TUR
11.6, 1903, Jun Average, Turkey, TUR
14.3, 1903, Jul Average, Turkey, TUR
14.2, 1903, Aug Average, Turkey, TUR
9.8, 1903, Sep Average, Turkey, TUR
6.7, 1903, Oct Average, Turkey, TUR
1.5, 1903, Nov Average, Turkey, TUR
-1.9, 1903, Dec Average, Turkey, TUR
-7.1, 1904, Jan Average, Turkey, TUR
-1.4, 1904, Feb Average, Turkey, TUR
-0.9, 1904, Mar Average, Turkey, TUR
2.6, 1904, Apr Average, Turkey, TUR
7.1, 1904, May Average, Turkey, TUR
10.8, 1904, Jun Average, Turkey, TUR
14.4, 1904, Jul Average, Turkey, TUR
14.4, 1904, Aug Average, Turkey, TUR
10.6, 1904, Sep Average, Turkey, TUR
7.4, 1904, Oct Average, Turkey, TUR
1.2, 1904, Nov Average, Turkey, TUR
-2.9, 1904, Dec Average, Turkey, TUR
-6.7, 1905, Jan Average, Turkey, TUR
-5.1, 1905, Feb Average, Turkey, TUR
-0.8, 1905, Mar Average, Turkey, TUR
3.5, 1905, Apr Average, Turkey, TUR
7.8, 1905, May Average, Turkey, TUR
11.6, 1905, Jun Average, Turkey, TUR
15.1, 1905, Jul Average, Turkey, TUR
15.2, 1905, Aug Average, Turkey, TUR
11.5, 1905, Sep Average, Turkey, TUR
