Years,AUS,BRA,CAN,EGY,IND,IDN,PHL,RUS,TUR,GBR,USA,DEU,FRA,HKG,MAC,TWN,CHN
1961,0.0,138890.0,10.0,41480.0,246460.0,0.0,16860.0,0.0,62190.0,282630.0,11490.0,285390.0,48800.0,6050.0,5.0,19410.0,283000.0
1962,0.0,160950.0,20.0,60270.0,262213.0,0.0,22740.0,0.0,50650.0,291561.0,8280.0,314840.0,50950.0,7820.0,20.0,19220.0,268000.0
1963,0.0,164000.0,0.0,72270.0,303301.0,0.0,27265.0,0.0,57820.0,289730.0,9310.0,201720.0,53370.0,5850.0,120.0,27770.0,419000.0
1964,0.0,209560.0,0.0,70090.0,447432.0,0.0,23640.0,0.0,6130.0,288580.0,5704.0,220140.0,51870.0,7010.0,50.0,23620.0,424000.0
1965,0.0,135900.0,0.0,89780.0,480440.0,0.0,28638.0,0.0,26210.0,320522.0,1631.0,196970.0,52500.0,6490.0,30.0,27870.0,455000.0
1966,0.0,169891.0,0.0,98454.0,609293.0,0.0,27193.0,0.0,17222.0,302044.0,2786.0,215639.0,57400.0,7799.0,13.0,21025.0,466000.0
1967,0.0,180767.0,0.0,126580.0,549425.0,0.0,33631.0,0.0,1954.0,287031.0,844.0,233179.0,51609.0,9570.0,21.0,21883.0,339000.0
1968,0.0,182615.0,0.0,95269.0,367996.0,0.0,31346.0,0.0,1.0,282757.0,1094.0,220441.0,37403.0,11485.0,2.0,32210.0,334000.0
1969,0.0,161963.0,0.0,73460.0,257261.0,0.0,40180.0,0.0,26730.0,317542.0,2590.0,312809.0,45421.0,9298.0,25.0,45994.0,247000.0
1970,0.0,128660.0,0.0,47336.0,265917.0,1718.0,36225.0,0.0,70786.0,345502.0,2321.0,318372.0,35820.0,8573.0,28.0,38862.0,371000.0
1971,0.0,124450.0,0.0,134674.0,156471.0,15700.0,42972.0,0.0,46921.0,335894.0,648.0,321726.0,17243.0,9518.0,36.0,36103.0,227000.0
1972,0.0,141185.0,0.0,96154.0,28316.0,42700.0,51000.0,0.0,6480.0,310143.0,211.0,415160.0,21882.0,9247.0,13.0,50175.0,351000.0
1973,0.0,376850.0,9.0,138471.0,295798.0,54739.0,58792.0,0.0,1938.0,414550.0,488.0,461940.0,53837.0,14844.0,14.0,64756.0,655000.0
1974,0.0,522344.0,0.0,600000.0,711243.0,71227.0,92244.0,0.0,239094.0,579083.0,14973.0,478331.0,47761.0,29739.0,2.0,166304.0,1157000.0
1975,0.0,356951.0,0.0,590000.0,1404336.0,66964.0,105117.0,0.0,102714.0,660867.0,5016.0,450993.0,106845.0,22045.0,1.0,106952.0,667000.0
1976,0.0,547515.0,0.0,465000.0,1182508.0,74528.0,124964.0,0.0,1339.0,592229.0,3254.0,601453.0,60389.0,25637.0,3.0,102835.0,340000.0
1977,0.0,295327.0,0.0,455000.0,164721.0,39627.0,89446.0,0.0,779.0,588151.0,3230.0,392823.0,36637.0,21350.0,5.0,75280.0,1175800.0
1978,0.0,601231.0,0.0,511000.0,87639.0,77679.0,97373.0,0.0,0.0,554360.0,120.0,367453.0,118921.0,19985.0,2.0,96003.0,1343000.0
1979,0.0,630481.0,0.0,505000.0,89213.0,91056.0,124745.0,0.0,0.0,544344.0,965.0,422905.0,107960.0,25507.0,8.0,115327.0,1742000.0
1980,0.0,1051315.0,0.0,839000.0,107793.0,161955.0,149576.0,0.0,0.0,541042.0,1468.0,404603.0,180768.0,26514.0,4.0,146242.0,2436000.0
1981,0.0,962201.0,0.0,969000.0,154821.0,151165.0,179099.0,0.0,47461.0,422201.0,235.0,459754.0,175012.0,26926.0,4.0,132792.0,2822600.0
1982,0.0,851985.0,0.0,940950.0,364013.0,151041.0,182549.0,0.0,91624.0,318505.0,6476.0,463866.0,240724.0,26046.0,2.0,142495.0,2882227.0
1983,0.0,804889.0,0.0,931000.0,641060.0,333645.0,148555.0,0.0,1998.0,264839.0,5838.0,491184.0,115522.0,25963.0,1.0,131316.0,2070840.0
1984,0.0,840885.0,0.0,892000.0,251202.0,276055.0,146172.0,0.0,144400.0,227402.0,15133.0,541950.0,87679.0,24114.0,1.0,125486.0,1712380.0
1985,0.0,660612.0,0.0,814000.0,39000.0,258565.0,118751.0,0.0,119877.0,297498.0,37071.0,671351.0,56829.0,22238.0,0.0,133427.0,885977.0
1986,0.0,280628.0,0.0,584000.0,41128.0,272411.0,149208.0,0.0,97897.0,347245.0,27411.0,519836.0,82980.0,20531.0,0.0,121172.0,815157.0
1987,0.0,293231.0,0.0,594000.0,6926.0,244030.0,93991.0,0.0,32637.0,366280.0,40316.0,482702.0,52881.0,17952.0,0.0,121945.0,1362381.0
1988,1.0,111049.0,8.0,822000.0,298828.0,225387.0,161202.0,0.0,2895.0,393693.0,64247.0,478059.0,46312.0,18994.0,0.0,160403.0,1731038.0
1989,19.0,236276.0,53.0,1082000.0,9887.0,286904.0,229664.0,0.0,373945.0,202026.0,58780.0,504534.0,73757.0,25542.0,0.0,176632.0,2581207.0
1990,0.0,330794.0,52.0,853000.0,12472.0,281883.0,260441.0,0.0,386900.0,193823.0,84123.0,450047.0,56697.0,23337.0,0.0,162589.0,2156528.0
1991,0.0,549990.0,2601.0,620000.0,0.0,366361.0,206087.0,3860000.0,22151.0,170044.0,69619.0,296405.0,35828.0,21210.0,1.0,140484.0,1459542.0
1992,52.0,617553.0,3235.0,710000.0,269825.0,403853.0,271826.0,2563317.0,9016.0,311583.0,200107.0,271069.0,40363.0,28107.0,1.0,159493.0,1503726.0
1993,39.0,831335.0,3911.0,500000.0,40208.0,442005.0,297757.0,907000.0,178893.0,364532.0,226664.0,319412.0,83651.0,17132.0,0.0,173639.0,834076.0
1994,76.0,861000.0,2562.0,763795.0,123.0,579681.0,368859.0,210498.0,75945.0,245054.0,300536.0,255292.0,100383.0,20115.0,0.0,217341.0,960577.0
1995,44.0,1030617.0,4068.0,875680.0,3221.0,803409.0,409586.0,211085.0,243678.0,200108.0,250749.0,255749.0,63496.0,17885.0,0.0,226677.0,2026390.0
1996,462.0,1291330.0,16222.0,1232024.0,113053.0,1050364.0,430309.0,388227.0,485099.0,155382.0,255890.0,276476.0,92963.0,9655.0,0.0,245751.0,1890396.0
1997,311.0,974490.0,13219.0,821048.0,267025.0,776521.0,422677.0,343261.0,457344.0,222716.0,376238.0,156745.0,89586.0,4905.0,1.0,203143.0,368285.0
1998,331.0,813919.0,10842.0,816170.0,279595.0,630422.0,286922.0,123390.0,232102.0,236614.0,297904.0,153589.0,80433.0,3859.0,0.0,186824.0,278570.0
1999,385.0,832136.0,2919.0,605810.0,180046.0,404381.0,402842.0,320328.0,185897.0,207928.0,290425.0,168549.0,54166.0,2676.0,2.0,173312.0,85654.0
2000,46.0,981191.0,3509.0,713210.0,640.0,502406.0,390987.0,277731.0,126143.0,192267.0,244768.0,167411.0,70129.0,3067.0,23.0,193560.0,147368.0
2001,9.0,872341.0,13414.0,666668.0,187.0,399522.0,427483.0,102348.0,49621.0,209281.0,300060.0,129082.0,80844.0,2164.0,0.0,197907.0,121355.0
2002,58.0,878167.0,4237.0,815563.0,6000.0,625000.0,486728.0,24157.0,148010.0,209725.0,266209.0,185755.0,72881.0,1903.0,0.0,196863.0,102673.0
2003,33563.0,1009719.0,6131.0,606533.0,5300.0,579925.0,468097.0,69375.0,276233.0,191379.0,143992.0,245157.0,46162.0,2170.0,2.0,225087.0,76567.0
2004,39.0,838770.0,2981.0,727651.0,16000.0,841000.0,382426.0,210735.0,221868.0,170830.0,167248.0,190444.0,48942.0,1799.0,0.0,233068.0,1640418.0
2005,22.0,649019.0,3287.0,924381.0,6000.0,799003.0,377228.0,67741.0,25031.0,245072.0,178756.0,221621.0,35955.0,2140.0,36.0,273909.0,762135.0
2006,10.0,1132517.0,4373.0,1368343.0,1291789.0,816121.0,541373.0,156444.0,52624.0,243535.0,330033.0,277919.0,38133.0,1533.0,1.0,225145.0,107753.0
2007,21.0,1391955.0,6811.0,2160350.0,961342.0,1181313.0,436865.0,73467.0,570391.0,413421.0,517843.0,592575.0,99940.0,1955.0,1.0,382617.0,20650.0
2008,125.0,1873593.0,11424.0,2461716.0,3.0,1975481.0,724366.0,61782.0,1483190.0,593735.0,1099796.0,910089.0,140024.0,3550.0,2.0,471186.0,7330.0
2009,50.0,1208681.0,16593.0,2200000.0,47933.0,1316112.0,825273.0,21738.0,901707.0,401616.0,723367.0,851975.0,114668.0,1085.0,4.0,367930.0,204572.0
2010,108.0,1702319.0,12316.0,2598263.0,55971.0,1424275.0,448551.0,12050.0,655044.0,309972.0,584382.0,896209.0,185899.0,1622.0,0.0,343314.0,309103.0
2011,905.0,1832283.0,22004.0,3199207.0,7.0,2193987.0,955282.0,29338.0,1623089.0,363742.0,661564.0,1394659.0,183444.0,1350.0,3.0,584536.0,417965.0
2012,921.0,1757056.0,33235.0,3689027.0,541.0,2253850.0,974331.0,85857.0,1125977.0,640059.0,832759.0,1080675.0,98376.0,3561.0,0.0,497392.0,1101459.0
2013,1283.0,2414821.0,19660.0,2715936.0,4781.0,2439987.0,868932.0,234510.0,1289235.0,1031146.0,1082865.0,1199057.0,113659.0,3593.0,0.0,489898.0,1865854.0
2014,866.0,1812451.0,32200.0,3157355.0,6574.0,2387262.0,922529.0,97020.0,1545853.0,567753.0,1007958.0,1147650.0,159104.0,2657.0,0.0,457177.0,962472.0
2015,740.0,1216466.0,37507.0,2415467.0,135033.0,2082768.0,982107.0,74461.0,1103420.0,390578.0,728078.0,1002694.0,179675.0,2886.0,1.0,399254.0,886307.0
2016,504.0,1335389.0,33072.0,2115785.0,412573.0,2408210.0,1040762.0,89011.0,892409.0,324885.0,491073.0,920435.0,197952.0,2140.0,0.0,334212.0,801026.0
2017,916.0,1149306.0,27496.0,2624361.0,1223459.0,3627763.0,1303522.0,39709.0,1043327.0,436214.0,705555.0,853524.0,173076.0,2834.0,0.0,392232.0,1031376.0
2018,876.0,1502383.0,28098.0,2636468.0,18377.0,2570952.0,1682640.0,60466.0,1289386.0,535367.0,799371.0,860392.0,107287.0,1892.0,0.0,359751.0,780899.0
2019,129920.0,1491220.0,42395.0,3024161.0,589.0,2799261.0,1847093.0,48620.0,2302225.0,312207.0,432372.0,726863.0,89906.0,2004.0,6.0,367154.0,901034.0
