Years,AUS,BRA,CAN,CHN,EGY,IND,IDN,PHL,RUS,TUR,GBR,USA
1960,7450,350,14108,20960,1499,10320,0,0,0,7000,0,36877
1961,6727,250,7713,14250,1436,10995,0,0,0,6336,0,33557
1962,8353,256,15392,16665,1593,12076,0,0,0,6804,0,29719
1963,8925,100,19690,18475,1493,10779,0,0,0,7892,0,31216
1964,10037,226,16349,20840,1500,9854,0,0,0,7000,0,34917
1965,7067,222,17674,25220,1272,12258,0,0,0,7430,0,34917
1966,12699,299,22516,25280,1465,10394,0,0,0,8200,0,35788
1967,7547,365,16137,28485,1299,11393,0,0,0,9000,0,41014
1968,14804,694,17689,27455,1526,16540,0,0,0,8400,0,42375
1969,10546,1146,18267,27285,1277,18651,0,0,0,8300,0,39272
1970,7890,1735,9024,29185,1519,20093,0,0,0,8000,0,36795
1971,8606,2034,14412,32575,1729,23832,0,0,0,10700,0,44052
1972,6590,694,14514,35985,1616,26410,0,0,0,9500,0,42081
1973,11987,2031,16159,35225,1837,24735,0,0,0,8000,0,46560
1974,11357,2858,13295,40865,1883,21778,0,0,0,8300,0,48496
1975,11982,1788,17078,45310,2033,24104,0,0,0,11500,0,57885
1976,11800,3216,23587,50385,1960,28846,0,0,0,13000,0,58480
1977,9370,2066,19862,41075,1697,29010,0,0,0,13500,0,55670
1978,18090,2691,21145,53840,1933,31749,0,0,0,13300,0,48322
1979,16188,2879,17185,62730,1856,35508,0,0,0,13000,0,58080
1980,10856,2676,19291,55210,1796,31830,0,0,0,13000,0,64798
1981,16360,2217,24802,59640,1938,36313,0,0,0,13200,0,75805
1982,8876,1849,26715,68470,2017,37452,0,0,0,13800,0,75250
1983,22016,2100,26465,81390,1996,42794,0,0,0,13300,0,65857
1984,18666,2030,21188,87815,1815,45476,0,0,0,13300,0,70618
1985,16167,4300,24252,85810,1873,44069,0,0,0,12700,0,65974
1986,16119,5600,31359,90040,1929,47052,0,0,0,14000,0,56896
1987,12369,6100,25945,87764,2443,44323,0,0,36868,13000,0,57362
1988,14060,5800,15913,85432,2839,46169,0,0,39864,16000,0,49320
1989,14214,5550,24796,90807,3183,54110,0,0,44004,12500,0,55428
1990,15066,3300,32098,98229,4286,49850,0,0,49596,16000,0,74292
1991,10557,3078,31946,96000,4482,55134,0,0,38900,16500,0,53891
1992,16184,2739,29871,101590,4617,55690,0,0,46170,15500,0,67135
1993,16479,2107,27226,106390,4780,57210,0,0,43500,16500,0,65220
1994,8903,2138,22920,99300,4100,59840,0,0,32100,14700,0,63167
1995,16504,1526,24989,102215,5700,65470,0,0,30100,15500,0,59404
1996,22925,3195,29801,110570,5735,62097,0,0,34900,16000,0,61980
1997,19224,2380,24280,123289,5850,69350,0,0,44250,16000,0,67534
1998,21465,2188,24082,109726,6104,66350,0,0,27012,18000,0,69327
1999,24757,2403,26941,113880,6350,71288,0,0,30995,16500,0,62475
2000,22108,1660,26536,99640,6350,76369,0,0,34455,18000,0,60641
2001,24299,3250,20630,93873,6130,69681,0,0,46982,15500,0,53001
2002,10132,2925,15961,90290,6300,72766,0,0,50609,16800,0,43705
2003,26132,5851,23049,86490,6443,65761,0,0,34070,16800,0,63805
2004,21905,5845,24796,91952,7177,72156,0,0,45434,18500,0,58698
2005,25173,4873,25748,97445,8184,68637,0,0,47615,18500,0,57243
2006,10822,2234,25265,108466,8274,69355,0,0,44927,17500,0,49217
2007,13569,3825,20090,109525,7379,75807,0,0,49368,15500,0,55821
2008,21420,5880,28619,112932,7977,78570,0,0,63765,16800,0,68363
2009,21834,5026,26950,115834,8523,80679,0,0,61770,18450,0,60117
2010,27410,5900,23300,116141,7200,80804,0,0,41508,17000,0,58868
2011,29905,5800,25288,118625,8400,86874,0,0,56240,18800,0,54244
2012,22856,4380,27246,122540,8500,94882,0,0,37720,16000,0,61298
2013,25303,5300,37589,123710,8250,93506,0,0,52091,18750,0,58105
2014,23743,6000,29442,128321,8300,95850,0,0,59080,15250,0,55147
2015,22275,5540,27647,132639,8100,86527,0,0,61044,19500,0,56117
2016,31819,6730,32140,133271,8100,87000,0,0,72529,17250,14383,62832
2017,20941,4264,30377,134334,8450,98510,0,0,85167,21000,14444,47380
2018,17598,5428,32352,131430,8450,99870,0,0,71685,19000,13455,51306
2019,15200,5200,32670,133590,8770,103600,0,0,73610,17500,15600,52581
2020,33000,6250,35183,134250,8900,107860,0,0,85354,18250,9658,49691
2021,27000,6800,32000,136000,9000,108000,0,0,85000,17250,14100,50948
