Years,Countries,Importatoin ($)
1961,MAC,5.0
1962,CAN,20.0
1963,MAC,120.0
1964,MAC,50.0
1965,MAC,30.0
1966,MAC,13.0
1967,MAC,21.0
1968,TUR,1.0
1969,MAC,25.0
1970,MAC,28.0
1971,MAC,36.0
1972,MAC,13.0
1973,CAN,9.0
1974,MAC,2.0
1975,MAC,1.0
1976,MAC,3.0
1977,MAC,5.0
1978,MAC,2.0
1979,MAC,8.0
1980,MAC,4.0
1981,MAC,4.0
1982,MAC,2.0
1983,MAC,1.0
1984,MAC,1.0
1985,HKG,22238.0
1986,HKG,20531.0
1987,IND,6926.0
1988,AUS,1.0
1989,AUS,19.0
1990,CAN,52.0
1991,MAC,1.0
1992,MAC,1.0
1993,AUS,39.0
1994,AUS,76.0
1995,AUS,44.0
1996,AUS,462.0
1997,MAC,1.0
1998,AUS,331.0
1999,MAC,2.0
2000,MAC,23.0
2001,AUS,9.0
2002,AUS,58.0
2003,MAC,2.0
2004,AUS,39.0
2005,AUS,22.0
2006,MAC,1.0
2007,MAC,1.0
2008,MAC,2.0
2009,MAC,4.0
2010,AUS,108.0
2011,MAC,3.0
2012,IND,541.0
2013,AUS,1283.0
2014,AUS,866.0
2015,MAC,1.0
2016,AUS,504.0
2017,AUS,916.0
2018,AUS,876.0
2019,MAC,6.0
